configuration_id,experiment,block,stream,method,method_label,replicates,valid_count,valid_rate,reject_count_05,rejection_rate_valid_05,unconditional_rejection_rate_05
C1_N3_n1000,C1,1,null_simulation,normal_wald,Normal Wald,2000,2000,1.0,84,0.042,0.042
C1_N3_n1000,C1,1,null_simulation,simple_welch,Simple Welch,2000,2000,1.0,84,0.042,0.042
C1_N3_n1000,C1,1,null_simulation,expanded_welch,Expanded Welch,2000,2000,1.0,73,0.0365,0.0365
C1_N3_n1000,C1,2,null_simulation,normal_wald,Normal Wald,2000,2000,1.0,100,0.05,0.05
C1_N3_n1000,C1,2,null_simulation,simple_welch,Simple Welch,2000,2000,1.0,100,0.05,0.05
C1_N3_n1000,C1,2,null_simulation,expanded_welch,Expanded Welch,2000,2000,1.0,89,0.0445,0.0445
C1_N3_n1000,C1,3,null_simulation,normal_wald,Normal Wald,2000,2000,1.0,96,0.048,0.048
C1_N3_n1000,C1,3,null_simulation,simple_welch,Simple Welch,2000,2000,1.0,96,0.048,0.048
C1_N3_n1000,C1,3,null_simulation,expanded_welch,Expanded Welch,2000,2000,1.0,91,0.0455,0.0455
C1_N3_n1000,C1,4,null_simulation,normal_wald,Normal Wald,2000,2000,1.0,108,0.054,0.054
C1_N3_n1000,C1,4,null_simulation,simple_welch,Simple Welch,2000,2000,1.0,107,0.0535,0.0535
C1_N3_n1000,C1,4,null_simulation,expanded_welch,Expanded Welch,2000,2000,1.0,95,0.0475,0.0475
C1_N4_n10,C1,0,null_simulation,normal_wald,Normal Wald,2000,1300,0.65,20,0.015384615384615385,0.01
