configuration_id,experiment,population_pair_id,purpose,power_family,calibration_key,n_p,n_q,sample_size_ratio_q_over_p,u_p,v_p,u_q,v_q,association_direction_p,association_direction_q,association_delta_p,association_delta_q,true_mi_p,true_mi_q,true_delta_p_minus_q,effect_delta_i_q_minus_p,minimum_probability_p,minimum_probability_q,minimum_expected_p,minimum_expected_q,minimum_expected_either,probability_p_json,probability_q_json,expected_p_json,expected_q_json,population_variance_p,population_variance_q,method,method_label,replicates,valid_count,invalid_count,valid_rate,invalid_shared_statistic_count,invalid_reference_count,invalid_component_p_count,invalid_component_q_count,invalid_combined_df_count,mean_degrees_of_freedom,median_degrees_of_freedom,p10_degrees_of_freedom,p90_degrees_of_freedom,coverage_95_valid,false_positive_count_10,true_negative_count_10,false_positive_rate_10,true_negative_rate_10,fpr_wilson_low_10,fpr_wilson_high_10,absolute_fpr_error_10,unconditional_rejection_rate_10,false_positive_count_05,true_negative_count_05,false_positive_rate_05,true_negative_rate_05,fpr_wilson_low_05,fpr_wilson_high_05,absolute_fpr_error_05,unconditional_rejection_rate_05,false_positive_count_01,true_negative_count_01,false_positive_rate_01,true_negative_rate_01,fpr_wilson_low_01,fpr_wilson_high_01,absolute_fpr_error_01,unconditional_rejection_rate_01
C3_C3_same_balanced_i0p005_n1000,C3,C3_same_balanced_i0p005,Near-zero MI with identical balanced margins,,,1000,1000,1.0,0.5,0.5,0.5,0.5,1,1,0.02497914403686528,0.02497914403686528,0.005000000000002336,0.005000000000002336,0.0,0.0,0.22502085596313473,0.22502085596313473,225.02085596313472,225.02085596313472,225.02085596313472,"[[0.2749791440368653, 0.22502085596313473], [0.22502085596313473, 0.2749791440368653]]","[[0.2749791440368653, 0.22502085596313473], [0.22502085596313473, 0.2749791440368653]]","[[274.9791440368653, 225.02085596313472], [225.02085596313472, 274.9791440368653]]","[[274.9791440368653, 225.02085596313472], [225.02085596313472, 274.9791440368653]]",0.009949944249172586,0.009949944249172586,expanded_welch,Expanded Welch,10000,10000,0,1.0,0,0,0,0,0,11.246809892147397,10.68007448751801,5.593298449992067,17.747797933285977,0.9847,511,9489,0.0511,0.9489,0.04695388984871269,0.055590863888480745,0.048900000000000006,0.0511,153,9847,0.0153,0.9847,0.013073671515406563,0.017898576505127325,0.0347,0.0153,7,9993,0.0007,0.9993,0.0003391263316879597,0.0014443344412696886,0.009300000000000001,0.0007
C3_C3_same_balanced_i0p01_n20,C3,C3_same_balanced_i0p01,Near-zero MI with identical balanced margins,,,20,20,1.0,0.5,0.5,0.5,0.5,1,1,0.03529628513674744,0.03529628513674744,0.010000000000000231,0.010000000000000231,0.0,0.0,0.21470371486325257,0.21470371486325257,4.294074297265052,4.294074297265052,4.294074297265052,"[[0.28529628513674743, 0.21470371486325257], [0.21470371486325257, 0.28529628513674743]]","[[0.28529628513674743, 0.21470371486325257], [0.21470371486325257, 0.28529628513674743]]","[[5.705925702734948, 4.294074297265052], [4.294074297265052, 5.705925702734948]]","[[5.705925702734948, 4.294074297265052], [4.294074297265052, 5.705925702734948]]",0.01979955241769263,0.01979955241769263,normal_wald,Normal Wald,10000,9978,22,0.9978,22,0,0,0,0,inf,inf,inf,inf,0.9789536981358989,307,9671,0.030767688915614353,0.9692323110843857,0.027555767230766207,0.03434077374011083,0.06923231108438566,0.0307,210,9768,0.021046301864101023,0.9789536981358989,0.018408733986532477,0.024052515329960764,0.02895369813589898,0.021,59,9919,0.005913008618961716,0.9940869913810383,0.004587144081878222,0.007619166679852621,0.004086991381038284,0.0059
C3_C3_same_balanced_i0p01_n20,C3,C3_same_balanced_i0p01,Near-zero MI with identical balanced margins,,,20,20,1.0,0.5,0.5,0.5,0.5,1,1,0.03529628513674744,0.03529628513674744,0.010000000000000231,0.010000000000000231,0.0,0.0,0.21470371486325257,0.21470371486325257,4.294074297265052,4.294074297265052,4.294074297265052,"[[0.28529628513674743, 0.21470371486325257], [0.21470371486325257, 0.28529628513674743]]","[[0.28529628513674743, 0.21470371486325257], [0.21470371486325257, 0.28529628513674743]]","[[5.705925702734948, 4.294074297265052], [4.294074297265052, 5.705925702734948]]","[[5.705925702734948, 4.294074297265052], [4.294074297265052, 5.705925702734948]]",0.01979955241769263,0.01979955241769263,simple_welch,Simple Welch,10000,9978,22,0.9978,22,0,0,0,0,27.193793429791594,25.85933893756963,19.02486827989296,37.31051314627039,0.9824614151132491,275,9703,0.027560633393465626,0.9724393666065344,0.024525727688813604,0.030959170674431668,0.07243936660653438,0.0275,175,9803,0.017538584886750853,0.9824614151132491,0.015142450704716034,0.02030606450967996,0.032461415113249154,0.0175,32,9946,0.0032070555221487274,0.9967929444778513,0.002272715766928596,0.004523771544612942,0.006792944477851273,0.0032
C3_C3_same_balanced_i0p01_n20,C3,C3_same_balanced_i0p01,Near-zero MI with identical balanced margins,,,20,20,1.0,0.5,0.5,0.5,0.5,1,1,0.03529628513674744,0.03529628513674744,0.010000000000000231,0.010000000000000231,0.0,0.0,0.21470371486325257,0.21470371486325257,4.294074297265052,4.294074297265052,4.294074297265052,"[[0.28529628513674743, 0.21470371486325257], [0.21470371486325257, 0.28529628513674743]]","[[0.28529628513674743, 0.21470371486325257], [0.21470371486325257, 0.28529628513674743]]","[[5.705925702734948, 4.294074297265052], [4.294074297265052, 5.705925702734948]]","[[5.705925702734948, 4.294074297265052], [4.294074297265052, 5.705925702734948]]",0.01979955241769263,0.01979955241769263,expanded_welch,Expanded Welch,10000,9816,184,0.9816,22,162,86,76,162,2.5063547086478795,1.2739692164790872,0.17541627966575196,5.763286973372072,0.9873675631621842,227,9589,0.023125509372453137,0.9768744906275468,0.020333444922815223,0.0262906742893577,0.07687449062754687,0.0227,124,9692,0.01263243683781581,0.9873675631621842,0.010605965076112524,0.01504021871176085,0.03736756316218419,0.0124,19,9797,0.0019356153219233904,0.9980643846780766,0.0012395581218382292,0.0030213516898074514,0.00806438467807661,0.0019
C3_C3_same_balanced_i0p01_n50,C3,C3_same_balanced_i0p01,Near-zero MI with identical balanced margins,,,50,50,1.0,0.5,0.5,0.5,0.5,1,1,0.03529628513674744,0.03529628513674744,0.010000000000000231,0.010000000000000231,0.0,0.0,0.21470371486325257,0.21470371486325257,10.735185743162628,10.735185743162628,10.735185743162628,"[[0.28529628513674743, 0.21470371486325257], [0.21470371486325257, 0.28529628513674743]]","[[0.28529628513674743, 0.21470371486325257], [0.21470371486325257, 0.28529628513674743]]","[[14.264814256837372, 10.735185743162628], [10.735185743162628, 14.264814256837372]]","[[14.264814256837372, 10.735185743162628], [10.735185743162628, 14.264814256837372]]",0.01979955241769263,0.01979955241769263,normal_wald,Normal Wald,10000,9997,3,0.9997,3,0,0,0,0,inf,inf,inf,inf,0.9965989796939082,166,9831,0.016604981494448334,0.9833950185055517,0.014279332691985702,0.019301987460278443,0.08339501850555167,0.0166,34,9963,0.0034010203060918275,0.9965989796939082,0.0024349125852693634,0.004748628831371164,0.04659897969390817,0.0034,5,9992,0.0005001500450135041,0.9994998499549865,0.00021365252741846984,0.0011703768942744447,0.009499849954986496,0.0005
C3_C3_same_balanced_i0p01_n50,C3,C3_same_balanced_i0p01,Near-zero MI with identical balanced margins,,,50,50,1.0,0.5,0.5,0.5,0.5,1,1,0.03529628513674744,0.03529628513674744,0.010000000000000231,0.010000000000000231,0.0,0.0,0.21470371486325257,0.21470371486325257,10.735185743162628,10.735185743162628,10.735185743162628,"[[0.28529628513674743, 0.21470371486325257], [0.21470371486325257, 0.28529628513674743]]","[[0.28529628513674743, 0.21470371486325257], [0.21470371486325257, 0.28529628513674743]]","[[14.264814256837372, 10.735185743162628], [10.735185743162628, 14.264814256837372]]","[[14.264814256837372, 10.735185743162628], [10.735185743162628, 14.264814256837372]]",0.01979955241769263,0.01979955241769263,simple_welch,Simple Welch,10000,9997,3,0.9997,3,0,0,0,0,70.86961918286786,68.40794973146417,49.6049893982385,96.24186853108722,0.9971991597479244,140,9857,0.014004201260378114,0.9859957987396218,0.011880311660827777,0.016501446013207476,0.08599579873962189,0.014,28,9969,0.0028008402520756227,0.9971991597479244,0.0019385875124652687,0.004045054870737822,0.04719915974792438,0.0028,3,9994,0.00030009002700810244,0.9996999099729919,0.00010206281980235153,0.0008820002574114169,0.009699909972991898,0.0003
C3_C3_same_balanced_i0p01_n50,C3,C3_same_balanced_i0p01,Near-zero MI with identical balanced margins,,,50,50,1.0,0.5,0.5,0.5,0.5,1,1,0.03529628513674744,0.03529628513674744,0.010000000000000231,0.010000000000000231,0.0,0.0,0.21470371486325257,0.21470371486325257,10.735185743162628,10.735185743162628,10.735185743162628,"[[0.28529628513674743, 0.21470371486325257], [0.21470371486325257, 0.28529628513674743]]","[[0.28529628513674743, 0.21470371486325257], [0.21470371486325257, 0.28529628513674743]]","[[14.264814256837372, 10.735185743162628], [10.735185743162628, 14.264814256837372]]","[[14.264814256837372, 10.735185743162628], [10.735185743162628, 14.264814256837372]]",0.01979955241769263,0.01979955241769263,expanded_welch,Expanded Welch,10000,9903,97,0.9903,3,94,43,51,94,2.5258347742909857,1.7349442763847125,0.2909439507390971,5.542134346468696,0.9983843279814197,87,9816,0.008785216601029992,0.99121478339897,0.007128287676550877,0.010823090627010297,0.09121478339897002,0.0087,16,9887,0.0016156720185802281,0.9983843279814197,0.0009947843314430677,0.0026230649063462563,0.04838432798141978,0.0016,2,9901,0.00020195900232252852,0.9997980409976774,5.538619015012041e-05,0.0007361333726982759,0.009798040997677471,0.0002
C3_C3_same_balanced_i0p01_n100,C3,C3_same_balanced_i0p01,Near-zero MI with identical balanced margins,,,100,100,1.0,0.5,0.5,0.5,0.5,1,1,0.03529628513674744,0.03529628513674744,0.010000000000000231,0.010000000000000231,0.0,0.0,0.21470371486325257,0.21470371486325257,21.470371486325256,21.470371486325256,21.470371486325256,"[[0.28529628513674743, 0.21470371486325257], [0.21470371486325257, 0.28529628513674743]]","[[0.28529628513674743, 0.21470371486325257], [0.21470371486325257, 0.28529628513674743]]","[[28.529628513674744, 21.470371486325256], [21.470371486325256, 28.529628513674744]]","[[28.529628513674744, 21.470371486325256], [21.470371486325256, 28.529628513674744]]",0.01979955241769263,0.01979955241769263,normal_wald,Normal Wald,10000,10000,0,1.0,0,0,0,0,0,inf,inf,inf,inf,0.9951,236,9764,0.0236,0.9764,0.020802675812245514,0.026763197835335144,0.07640000000000001,0.0236,49,9951,0.0049,0.9951,0.0037086267628327185,0.006471608423811247,0.0451,0.0049,2,9998,0.0002,0.9998,5.484892732085777e-05,0.0007289958440074673,0.0098,0.0002
C3_C3_same_balanced_i0p01_n100,C3,C3_same_balanced_i0p01,Near-zero MI with identical balanced margins,,,100,100,1.0,0.5,0.5,0.5,0.5,1,1,0.03529628513674744,0.03529628513674744,0.010000000000000231,0.010000000000000231,0.0,0.0,0.21470371486325257,0.21470371486325257,21.470371486325256,21.470371486325256,21.470371486325256,"[[0.28529628513674743, 0.21470371486325257], [0.21470371486325257, 0.28529628513674743]]","[[0.28529628513674743, 0.21470371486325257], [0.21470371486325257, 0.28529628513674743]]","[[28.529628513674744, 21.470371486325256], [21.470371486325256, 28.529628513674744]]","[[28.529628513674744, 21.470371486325256], [21.470371486325256, 28.529628513674744]]",0.01979955241769263,0.01979955241769263,simple_welch,Simple Welch,10000,10000,0,1.0,0,0,0,0,0,148.74034262731433,148.25308427455113,101.60855516003417,195.508873187689,0.9955,219,9781,0.0219,0.9781,0.019209724626243638,0.02495745461579732,0.0781,0.0219,45,9955,0.0045,0.9955,0.003364971291591769,0.006015571093748737,0.045500000000000006,0.0045,1,9999,0.0001,0.9999,1.765267360112231e-05,0.0005662688974013381,0.0099,0.0001
C3_C3_same_balanced_i0p01_n100,C3,C3_same_balanced_i0p01,Near-zero MI with identical balanced margins,,,100,100,1.0,0.5,0.5,0.5,0.5,1,1,0.03529628513674744,0.03529628513674744,0.010000000000000231,0.010000000000000231,0.0,0.0,0.21470371486325257,0.21470371486325257,21.470371486325256,21.470371486325256,21.470371486325256,"[[0.28529628513674743, 0.21470371486325257], [0.21470371486325257, 0.28529628513674743]]","[[0.28529628513674743, 0.21470371486325257], [0.21470371486325257, 0.28529628513674743]]","[[28.529628513674744, 21.470371486325256], [21.470371486325256, 28.529628513674744]]","[[28.529628513674744, 21.470371486325256], [21.470371486325256, 28.529628513674744]]",0.01979955241769263,0.01979955241769263,expanded_welch,Expanded Welch,10000,9977,23,0.9977,0,23,12,11,23,3.3441118336046243,2.6812590297063323,0.6272387870474107,6.944877692409279,0.9986970031071465,102,9875,0.010223514082389496,0.9897764859176105,0.008429556185106908,0.01239448552302098,0.0897764859176105,0.0102,13,9964,0.0013029968928535633,0.9986970031071465,0.000761664049264539,0.0022282099953052567,0.04869700310714644,0.0013,1,9976,0.00010023053021950487,0.9998997694697805,1.7693368852299122e-05,0.0005675737997321355,0.009899769469780495,0.0001
C3_C3_same_balanced_i0p01_n200,C3,C3_same_balanced_i0p01,Near-zero MI with identical balanced margins,,,200,200,1.0,0.5,0.5,0.5,0.5,1,1,0.03529628513674744,0.03529628513674744,0.010000000000000231,0.010000000000000231,0.0,0.0,0.21470371486325257,0.21470371486325257,42.94074297265051,42.94074297265051,42.94074297265051,"[[0.28529628513674743, 0.21470371486325257], [0.21470371486325257, 0.28529628513674743]]","[[0.28529628513674743, 0.21470371486325257], [0.21470371486325257, 0.28529628513674743]]","[[57.05925702734949, 42.94074297265051], [42.94074297265051, 57.05925702734949]]","[[57.05925702734949, 42.94074297265051], [42.94074297265051, 57.05925702734949]]",0.01979955241769263,0.01979955241769263,normal_wald,Normal Wald,10000,10000,0,1.0,0,0,0,0,0,inf,inf,inf,inf,0.986,447,9553,0.0447,0.9553,0.04082168371429806,0.04892798520204003,0.05530000000000001,0.0447,140,9860,0.014,0.986,0.011876744048833453,0.016496502367464198,0.036000000000000004,0.014,10,9990,0.001,0.999,0.0005432859864972464,0.0018399443874379962,0.009000000000000001,0.001
C3_C3_same_balanced_i0p01_n200,C3,C3_same_balanced_i0p01,Near-zero MI with identical balanced margins,,,200,200,1.0,0.5,0.5,0.5,0.5,1,1,0.03529628513674744,0.03529628513674744,0.010000000000000231,0.010000000000000231,0.0,0.0,0.21470371486325257,0.21470371486325257,42.94074297265051,42.94074297265051,42.94074297265051,"[[0.28529628513674743, 0.21470371486325257], [0.21470371486325257, 0.28529628513674743]]","[[0.28529628513674743, 0.21470371486325257], [0.21470371486325257, 0.28529628513674743]]","[[57.05925702734949, 42.94074297265051], [42.94074297265051, 57.05925702734949]]","[[57.05925702734949, 42.94074297265051], [42.94074297265051, 57.05925702734949]]",0.01979955241769263,0.01979955241769263,simple_welch,Simple Welch,10000,10000,0,1.0,0,0,0,0,0,316.65659465178146,328.2714390126905,215.25832684629643,394.9868869098464,0.9864,433,9567,0.0433,0.9567,0.03948313833238368,0.04746760577939231,0.05670000000000001,0.0433,136,9864,0.0136,0.9864,0.01150944523779097,0.01606410837720322,0.0364,0.0136,7,9993,0.0007,0.9993,0.0003391263316879597,0.0014443344412696886,0.009300000000000001,0.0007
