configuration_id,experiment,population_pair_id,purpose,power_family,calibration_key,n_p,n_q,sample_size_ratio_q_over_p,u_p,v_p,u_q,v_q,association_direction_p,association_direction_q,association_delta_p,association_delta_q,true_mi_p,true_mi_q,true_delta_p_minus_q,effect_delta_i_q_minus_p,minimum_probability_p,minimum_probability_q,minimum_expected_p,minimum_expected_q,minimum_expected_either,probability_p_json,probability_q_json,expected_p_json,expected_q_json,population_variance_p,population_variance_q,replicates,mean_delta_corrected,sd_delta_corrected,mean_standard_error,rms_standard_error,sd_to_rms_se_ratio,mean_influence_variance_p,mean_influence_variance_q,mean_variance_influence_variance_p,mean_variance_influence_variance_q,any_zero_cell_rate_p,any_zero_cell_rate_q,empty_margin_rate_p,empty_margin_rate_q,mean_zero_cell_fraction_p,mean_zero_cell_fraction_q,zero_estimated_variance_rate_p,zero_estimated_variance_rate_q,mean_welch_degrees_of_freedom,median_welch_degrees_of_freedom,mean_expanded_welch_degrees_of_freedom,median_expanded_welch_degrees_of_freedom,mean_expanded_component_degrees_of_freedom_p,median_expanded_component_degrees_of_freedom_p,mean_expanded_component_degrees_of_freedom_q,median_expanded_component_degrees_of_freedom_q
C4_C4_s0p01_i0p005_n20,C4,C4_s0p01_i0p005,Rare-cell breakdown ladder,,,20,20,1.0,0.01,0.01,0.005,0.02,1,1,0.002048380407586448,0.0020058497418354703,0.004999999999999893,0.004999999999617005,3.8288816561760086e-13,0.0,0.0021483804075864477,0.00210584974183547,0.04296760815172895,0.0421169948367094,0.0421169948367094,"[[0.9821483804075865, 0.007851619592413553], [0.007851619592413553, 0.0021483804075864477]]","[[0.9771058497418355, 0.01789415025816453], [0.0028941502581645295, 0.00210584974183547]]","[[19.64296760815173, 0.15703239184827106], [0.15703239184827106, 0.04296760815172895]]","[[19.54211699483671, 0.3578830051632906], [0.05788300516329059, 0.0421169948367094]]",0.021035806035581642,0.020538569256617387,10000,0.0007117292379121438,0.05179167648140508,0.01132838479477898,0.03934991345110958,1.316182729239133,0.016187570114902353,0.014780743657293939,0.013870693432533745,0.014204266350362772,0.9992,0.9996,0.9359,0.943,0.665925,0.6483,0.9359,0.943,19.377171925995718,19.0,39.622601089476106,39.03721528360587,24.327532715384073,14.145908528202243,21.184489039193075,3.914476852302447
C4_C4_s0p01_i0p005_n50,C4,C4_s0p01_i0p005,Rare-cell breakdown ladder,,,50,50,1.0,0.01,0.01,0.005,0.02,1,1,0.002048380407586448,0.0020058497418354703,0.004999999999999893,0.004999999999617005,3.8288816561760086e-13,0.0,0.0021483804075864477,0.00210584974183547,0.10741902037932238,0.10529248709177351,0.10529248709177351,"[[0.9821483804075865, 0.007851619592413553], [0.007851619592413553, 0.0021483804075864477]]","[[0.9771058497418355, 0.01789415025816453], [0.0028941502581645295, 0.00210584974183547]]","[[49.107419020379325, 0.3925809796206776], [0.3925809796206776, 0.10741902037932238]]","[[48.85529248709177, 0.8947075129082265], [0.14470751290822648, 0.10529248709177351]]",0.021035806035581642,0.020538569256617387,10000,0.0007028181391892442,0.036126864981804285,0.013993783571000961,0.0316340382283535,1.1420250782090753,0.026198301662655996,0.023837317068990536,0.11423317722334383,0.1094027128456146,0.989,0.9902,0.7978,0.8245,0.56045,0.5399,0.7978,0.8245,51.403900267626504,49.0,7.475205856445803,6.236340391604229,3.9962452256152994,1.4574547348400866,3.9328318776812417,2.8101032966362864
C4_C4_s0p01_i0p005_n100,C4,C4_s0p01_i0p005,Rare-cell breakdown ladder,,,100,100,1.0,0.01,0.01,0.005,0.02,1,1,0.002048380407586448,0.0020058497418354703,0.004999999999999893,0.004999999999617005,3.8288816561760086e-13,0.0,0.0021483804075864477,0.00210584974183547,0.21483804075864477,0.21058497418354702,0.21058497418354702,"[[0.9821483804075865, 0.007851619592413553], [0.007851619592413553, 0.0021483804075864477]]","[[0.9771058497418355, 0.01789415025816453], [0.0028941502581645295, 0.00210584974183547]]","[[98.21483804075865, 0.7851619592413552], [0.7851619592413552, 0.21483804075864477]]","[[97.71058497418355, 1.789415025816453], [0.28941502581645295, 0.21058497418354702]]",0.021035806035581642,0.020538569256617387,10000,0.0005743617387810824,0.02495385749355255,0.013812263457253511,0.023786837182853154,1.0490616008226872,0.02985140143471456,0.02672996088164198,0.26195674513297385,0.23046523257588816,0.9422,0.9596,0.565,0.6357,0.428725,0.429925,0.565,0.6357,109.1245913014124,99.0,3.854360540664029,2.9073441130317264,2.105096831982829,0.9134998749680376,2.17704202908987,1.1297494181913743
C4_C4_s0p01_i0p005_n200,C4,C4_s0p01_i0p005,Rare-cell breakdown ladder,,,200,200,1.0,0.01,0.01,0.005,0.02,1,1,0.002048380407586448,0.0020058497418354703,0.004999999999999893,0.004999999999617005,3.8288816561760086e-13,0.0,0.0021483804075864477,0.00210584974183547,0.42967608151728953,0.42116994836709404,0.42116994836709404,"[[0.9821483804075865, 0.007851619592413553], [0.007851619592413553, 0.0021483804075864477]]","[[0.9771058497418355, 0.01789415025816453], [0.0028941502581645295, 0.00210584974183547]]","[[196.4296760815173, 1.5703239184827105], [1.5703239184827105, 0.42967608151728953]]","[[195.4211699483671, 3.578830051632906], [0.5788300516329059, 0.42116994836709404]]",0.021035806035581642,0.020538569256617387,10000,0.0005030735234554401,0.016903127824346716,0.012384651459631803,0.016933048477187417,0.9982330025877496,0.03060790761704377,0.02673771852911206,0.4208639607189034,0.33640794396224233,0.7823,0.8544,0.2399,0.3802,0.266475,0.3125,0.2399,0.3802,235.5790044150226,199.00142253133828,3.0707384190325606,2.3389890832928772,1.7240426580552481,1.1092970452344162,1.8812450276398964,1.267799347827949
C4_C4_s0p01_i0p005_n500,C4,C4_s0p01_i0p005,Rare-cell breakdown ladder,,,500,500,1.0,0.01,0.01,0.005,0.02,1,1,0.002048380407586448,0.0020058497418354703,0.004999999999999893,0.004999999999617005,3.8288816561760086e-13,0.0,0.0021483804075864477,0.00210584974183547,1.0741902037932238,1.052924870917735,1.052924870917735,"[[0.9821483804075865, 0.007851619592413553], [0.007851619592413553, 0.0021483804075864477]]","[[0.9771058497418355, 0.01789415025816453], [0.0028941502581645295, 0.00210584974183547]]","[[491.07419020379325, 3.9258097962067766], [3.9258097962067766, 1.0741902037932238]]","[[488.5529248709177, 8.947075129082265], [1.4470751290822648, 1.052924870917735]]",0.021035806035581642,0.020538569256617387,10000,-0.00012042777083362168,0.009312594127236054,0.009057782710115137,0.010125202869328578,0.919743954508399,0.026347558051468684,0.024912308521061164,0.49227639982586063,0.39497105263606186,0.3706,0.4926,0.0118,0.0771,0.095625,0.142425,0.0118,0.0771,691.6933965120311,610.0770649268608,3.481463796833323,2.929401202264712,2.033349824169912,1.5557713632487895,2.2497614602644185,1.8997279839243704
C4_C4_s0p01_i0p005_n1000,C4,C4_s0p01_i0p005,Rare-cell breakdown ladder,,,1000,1000,1.0,0.01,0.01,0.005,0.02,1,1,0.002048380407586448,0.0020058497418354703,0.004999999999999893,0.004999999999617005,3.8288816561760086e-13,0.0,0.0021483804075864477,0.00210584974183547,2.1483804075864477,2.10584974183547,2.10584974183547,"[[0.9821483804075865, 0.007851619592413553], [0.007851619592413553, 0.0021483804075864477]]","[[0.9771058497418355, 0.01789415025816453], [0.0028941502581645295, 0.00210584974183547]]","[[982.1483804075865, 7.851619592413553], [7.851619592413553, 2.1483804075864477]]","[[977.1058497418354, 17.89415025816453], [2.8941502581645295, 2.10584974183547]]",0.021035806035581642,0.020538569256617387,10000,5.954816899827118e-05,0.006484214418187322,0.006484286894236118,0.006843764926474699,0.9474630540133725,0.024132910874815762,0.02270420749402947,0.4762262959574211,0.3890740688872711,0.1183,0.171,0.0,0.0066,0.029575,0.0444,0.0,0.0066,1551.0441859787745,1627.3343784354015,5.223259333387961,4.680933096919947,2.880123231026896,2.3772399901940764,3.0703641570832825,2.4750583900613816
C4_C4_s0p005_i0p0001_n10,C4,C4_s0p005_i0p0001,Rare-cell breakdown ladder,,,10,10,1.0,0.005,0.005,0.0025,0.01,1,1,9.804588376137424e-05,9.773752389381737e-05,9.999999998681897e-05,9.999999999987103e-05,-1.3052059433249497e-14,0.0,0.00012304588376137423,0.00012273752389381737,0.0012304588376137423,0.0012273752389381737,0.0012273752389381737,"[[0.9901230458837614, 0.004876954116238626], [0.004876954116238626, 0.00012304588376137423]]","[[0.987622737523894, 0.009877262476106183], [0.002377262476106183, 0.00012273752389381737]]","[[9.901230458837615, 0.04876954116238626], [0.04876954116238626, 0.0012304588376137423]]","[[9.87622737523894, 0.09877262476106183], [0.02377262476106183, 0.0012273752389381737]]",0.00031637858837146453,0.00031556690296527924,10000,0.00014904071512437473,0.014896823342817984,0.0005099024843054241,0.00961445972277427,1.5494186644238683,0.0005693450142285814,0.0003550333433799054,3.359334585754049e-05,2.1166881301553108e-05,1.0,1.0,0.9969,0.9963,0.724225,0.71925,0.9969,0.9963,9.001372399124186,9.0,148.52316885732003,148.52316885732003,62.42250394575449,0.5174880393298927,32.4458321572645,0.5174880393298927
C4_C4_s0p005_i0p0001_n20,C4,C4_s0p005_i0p0001,Rare-cell breakdown ladder,,,20,20,1.0,0.005,0.005,0.0025,0.01,1,1,9.804588376137424e-05,9.773752389381737e-05,9.999999998681897e-05,9.999999999987103e-05,-1.3052059433249497e-14,0.0,0.00012304588376137423,0.00012273752389381737,0.0024609176752274846,0.0024547504778763473,0.0024547504778763473,"[[0.9901230458837614, 0.004876954116238626], [0.004876954116238626, 0.00012304588376137423]]","[[0.987622737523894, 0.009877262476106183], [0.002377262476106183, 0.00012273752389381737]]","[[19.80246091767523, 0.09753908232477251], [0.09753908232477251, 0.0024609176752274846]]","[[19.75245475047788, 0.19754524952212366], [0.04754524952212366, 0.0024547504778763473]]",0.00031637858837146453,0.00031556690296527924,10000,-0.0002477053565108497,0.014352315262091384,0.0008709089045972951,0.010615595625471212,1.3520028238127528,0.0008669667065905427,0.0013868507030799285,0.0005564445954306926,0.0010313961373212455,1.0,1.0,0.9895,0.9884,0.703825,0.692,0.9895,0.9884,19.0,19.0,,,7.5743482722862545,0.4771101386256769,10.329542501113716,0.4771101386256769
C4_C4_s0p005_i0p0001_n50,C4,C4_s0p005_i0p0001,Rare-cell breakdown ladder,,,50,50,1.0,0.005,0.005,0.0025,0.01,1,1,9.804588376137424e-05,9.773752389381737e-05,9.999999998681897e-05,9.999999999987103e-05,-1.3052059433249497e-14,0.0,0.00012304588376137423,0.00012273752389381737,0.006152294188068712,0.006136876194690869,0.006136876194690869,"[[0.9901230458837614, 0.004876954116238626], [0.004876954116238626, 0.00012304588376137423]]","[[0.987622737523894, 0.009877262476106183], [0.002377262476106183, 0.00012273752389381737]]","[[49.50615229418807, 0.24384770581193127], [0.24384770581193127, 0.006152294188068712]]","[[49.381136876194695, 0.49386312380530917], [0.11886312380530914, 0.006136876194690869]]",0.00031637858837146453,0.00031556690296527924,10000,0.00015709773719786832,0.009423118900852193,0.0008797022047578401,0.007723949840718507,1.2199870655783056,0.0017315604737784924,0.0012514095833182797,0.006542608266115642,0.004968278457463063,0.9998,0.9997,0.9479,0.957,0.640575,0.625025,0.9479,0.957,50.002097770830865,49.0,2.165481123598411,0.9134998749680376,1.4107380214898653,0.4567499374840188,1.2921990902776797,0.4567499374840188
C4_C4_s0p005_i0p0001_n100,C4,C4_s0p005_i0p0001,Rare-cell breakdown ladder,,,100,100,1.0,0.005,0.005,0.0025,0.01,1,1,9.804588376137424e-05,9.773752389381737e-05,9.999999998681897e-05,9.999999999987103e-05,-1.3052059433249497e-14,0.0,0.00012304588376137423,0.00012273752389381737,0.012304588376137423,0.012273752389381738,0.012273752389381738,"[[0.9901230458837614, 0.004876954116238626], [0.004876954116238626, 0.00012304588376137423]]","[[0.987622737523894, 0.009877262476106183], [0.002377262476106183, 0.00012273752389381737]]","[[99.01230458837614, 0.48769541162386254], [0.48769541162386254, 0.012304588376137423]]","[[98.76227375238939, 0.9877262476106183], [0.23772624761061828, 0.012273752389381738]]",0.00031637858837146453,0.00031556690296527924,10000,-6.320779432236904e-05,0.006965103861520427,0.0010228257350877992,0.006233636636064818,1.117341973579867,0.001843443380449792,0.0020423791905991575,0.015760817600425032,0.017807035038147286,0.9983,0.9978,0.8439,0.8546,0.555075,0.53705,0.8439,0.8546,104.21535234050573,99.0,1.3868334258577921,0.98658275499649,0.8064783238539976,0.45048134316351174,0.8675790206596669,0.6441009514150744
C4_C4_s0p005_i0p0001_n200,C4,C4_s0p005_i0p0001,Rare-cell breakdown ladder,,,200,200,1.0,0.005,0.005,0.0025,0.01,1,1,9.804588376137424e-05,9.773752389381737e-05,9.999999998681897e-05,9.999999999987103e-05,-1.3052059433249497e-14,0.0,0.00012304588376137423,0.00012273752389381737,0.024609176752274847,0.024547504778763475,0.024547504778763475,"[[0.9901230458837614, 0.004876954116238626], [0.004876954116238626, 0.00012304588376137423]]","[[0.987622737523894, 0.009877262476106183], [0.002377262476106183, 0.00012273752389381737]]","[[198.02460917675228, 0.9753908232477251], [0.9753908232477251, 0.024609176752274847]]","[[197.52454750477878, 1.9754524952212367], [0.47545249522123656, 0.024547504778763475]]",0.00031637858837146453,0.00031556690296527924,10000,2.7737774008257913e-05,0.0048776221950556364,0.0010836180605529324,0.004729450308313705,1.0313296212207719,0.0023224005100453676,0.0021511395337163505,0.033649604528388645,0.030465846822602692,0.9904,0.9927,0.6055,0.6573,0.43415,0.432525,0.6055,0.6573,222.71763562462772,199.0,1.4307735954793632,1.2755105008848522,0.792874260229076,0.6377552504424323,0.8544982830753736,0.6377552504424323
C4_C4_s0p005_i0p0001_n500,C4,C4_s0p005_i0p0001,Rare-cell breakdown ladder,,,500,500,1.0,0.005,0.005,0.0025,0.01,1,1,9.804588376137424e-05,9.773752389381737e-05,9.999999998681897e-05,9.999999999987103e-05,-1.3052059433249497e-14,0.0,0.00012304588376137423,0.00012273752389381737,0.06152294188068712,0.061368761946908684,0.061368761946908684,"[[0.9901230458837614, 0.004876954116238626], [0.004876954116238626, 0.00012304588376137423]]","[[0.987622737523894, 0.009877262476106183], [0.002377262476106183, 0.00012273752389381737]]","[[495.0615229418807, 2.4384770581193127], [2.4384770581193127, 0.06152294188068712]]","[[493.811368761947, 4.938631238053092], [1.1886312380530915, 0.061368761946908684]]",0.00031637858837146453,0.00031556690296527924,10000,6.997498305061962e-05,0.0025483006056907327,0.0009632884875025885,0.0028136585168769303,0.9056893686300155,0.0022033058871446954,0.0017550312376523483,0.05036876138719799,0.03623980475173387,0.9467,0.9603,0.1552,0.2884,0.277,0.31265,0.1552,0.2884,653.199247072955,548.5189296793001,2.023165773013517,1.9734608919837728,1.146457627320794,1.0981629719514523,1.2485324442791612,1.1398053482090436
C4_C4_s0p005_i0p0001_n1000,C4,C4_s0p005_i0p0001,Rare-cell breakdown ladder,,,1000,1000,1.0,0.005,0.005,0.0025,0.01,1,1,9.804588376137424e-05,9.773752389381737e-05,9.999999998681897e-05,9.999999999987103e-05,-1.3052059433249497e-14,0.0,0.00012304588376137423,0.00012273752389381737,0.12304588376137424,0.12273752389381737,0.12273752389381737,"[[0.9901230458837614, 0.004876954116238626], [0.004876954116238626, 0.00012304588376137423]]","[[0.987622737523894, 0.009877262476106183], [0.002377262476106183, 0.00012273752389381737]]","[[990.1230458837614, 4.876954116238625], [4.876954116238625, 0.12304588376137424]]","[[987.622737523894, 9.877262476106184], [2.377262476106183, 0.12273752389381737]]",0.00031637858837146453,0.00031556690296527924,10000,2.1729880550287044e-06,0.001483632188865672,0.0008394787608173779,0.0018143223183493197,0.8177335272023157,0.0016889333975574458,0.0016028320773030038,0.04304360997950746,0.036293451949622864,0.885,0.8982,0.0136,0.0821,0.22465,0.245075,0.0136,0.0821,1451.8334384942143,1442.3893017282737,3.261665116462904,3.4278499212525784,1.9610704050586847,1.9057945165639651,2.0182367844588396,1.9797965422873431
