method,method_label,valid_count,valid_rate,p_value_threshold_for_five_percent,calibration_key,configuration_id,power_family,n_p,n_q,replicates
simple_welch,Simple Welch,9084,0.9084,0.20795297112700087,extreme_rare_np100_nq100,PCAL_PCAL_extreme_rare_np100_nq100_extreme_rare_np100_nq100,extreme_rare,100,100,10000
expanded_welch,Expanded Welch,4751,0.4751,0.35771704763646067,extreme_rare_np100_nq100,PCAL_PCAL_extreme_rare_np100_nq100_extreme_rare_np100_nq100,extreme_rare,100,100,10000
normal_wald,Normal Wald,9963,0.9963,0.14838186130329564,extreme_rare_np200_nq200,PCAL_PCAL_extreme_rare_np200_nq200_extreme_rare_np200_nq200,extreme_rare,200,200,10000
simple_welch,Simple Welch,9963,0.9963,0.1499534184648655,extreme_rare_np200_nq200,PCAL_PCAL_extreme_rare_np200_nq200_extreme_rare_np200_nq200,extreme_rare,200,200,10000
expanded_welch,Expanded Welch,8388,0.8388,0.2779600450390423,extreme_rare_np200_nq200,PCAL_PCAL_extreme_rare_np200_nq200_extreme_rare_np200_nq200,extreme_rare,200,200,10000
normal_wald,Normal Wald,10000,1.0,0.18398205448267937,extreme_rare_np500_nq500,PCAL_PCAL_extreme_rare_np500_nq500_extreme_rare_np500_nq500,extreme_rare,500,500,10000
simple_welch,Simple Welch,10000,1.0,0.18458885538576075,extreme_rare_np500_nq500,PCAL_PCAL_extreme_rare_np500_nq500_extreme_rare_np500_nq500,extreme_rare,500,500,10000
expanded_welch,Expanded Welch,9953,0.9953,0.24380044843320997,extreme_rare_np500_nq500,PCAL_PCAL_extreme_rare_np500_nq500_extreme_rare_np500_nq500,extreme_rare,500,500,10000
normal_wald,Normal Wald,10000,1.0,0.21542762999545834,extreme_rare_np1000_nq1000,PCAL_PCAL_extreme_rare_np1000_nq1000_extreme_rare_np1000_nq1000,extreme_rare,1000,1000,10000
simple_welch,Simple Welch,10000,1.0,0.21562530491595627,extreme_rare_np1000_nq1000,PCAL_PCAL_extreme_rare_np1000_nq1000_extreme_rare_np1000_nq1000,extreme_rare,1000,1000,10000
expanded_welch,Expanded Welch,10000,1.0,0.29260773884399655,extreme_rare_np1000_nq1000,PCAL_PCAL_extreme_rare_np1000_nq1000_extreme_rare_np1000_nq1000,extreme_rare,1000,1000,10000
normal_wald,Normal Wald,3765,0.3765,8.551663469547957e-49,extreme_rare_np20_nq40,PCAL_PCAL_extreme_rare_np20_nq40_extreme_rare_np20_nq40,extreme_rare,20,40,10000
simple_welch,Simple Welch,3765,0.3765,1.7856014278881815e-17,extreme_rare_np20_nq40,PCAL_PCAL_extreme_rare_np20_nq40_extreme_rare_np20_nq40,extreme_rare,20,40,10000
expanded_welch,Expanded Welch,329,0.0329,0.1834791793575953,extreme_rare_np20_nq40,PCAL_PCAL_extreme_rare_np20_nq40_extreme_rare_np20_nq40,extreme_rare,20,40,10000
normal_wald,Normal Wald,6827,0.6827,0.0,extreme_rare_np20_nq100,PCAL_PCAL_extreme_rare_np20_nq100_extreme_rare_np20_nq100,extreme_rare,20,100,10000
simple_welch,Simple Welch,6827,0.6827,1.0416397427628542e-92,extreme_rare_np20_nq100,PCAL_PCAL_extreme_rare_np20_nq100_extreme_rare_np20_nq100,extreme_rare,20,100,10000
expanded_welch,Expanded Welch,726,0.0726,0.22142168465783682,extreme_rare_np20_nq100,PCAL_PCAL_extreme_rare_np20_nq100_extreme_rare_np20_nq100,extreme_rare,20,100,10000
normal_wald,Normal Wald,8853,0.8853,0.0,extreme_rare_np20_nq200,PCAL_PCAL_extreme_rare_np20_nq200_extreme_rare_np20_nq200,extreme_rare,20,200,10000
simple_welch,Simple Welch,8853,0.8853,4.2703165351971243e-187,extreme_rare_np20_nq200,PCAL_PCAL_extreme_rare_np20_nq200_extreme_rare_np20_nq200,extreme_rare,20,200,10000
expanded_welch,Expanded Welch,1056,0.1056,0.13696325939882278,extreme_rare_np20_nq200,PCAL_PCAL_extreme_rare_np20_nq200_extreme_rare_np20_nq200,extreme_rare,20,200,10000
normal_wald,Normal Wald,7868,0.7868,1.1127026691345663e-51,extreme_rare_np50_nq100,PCAL_PCAL_extreme_rare_np50_nq100_extreme_rare_np50_nq100,extreme_rare,50,100,10000
simple_welch,Simple Welch,7868,0.7868,1.7513733986681024e-27,extreme_rare_np50_nq100,PCAL_PCAL_extreme_rare_np50_nq100_extreme_rare_np50_nq100,extreme_rare,50,100,10000
expanded_welch,Expanded Welch,2601,0.2601,0.038985185530964146,extreme_rare_np50_nq100,PCAL_PCAL_extreme_rare_np50_nq100_extreme_rare_np50_nq100,extreme_rare,50,100,10000
normal_wald,Normal Wald,9513,0.9513,0.0,extreme_rare_np50_nq250,PCAL_PCAL_extreme_rare_np50_nq250_extreme_rare_np50_nq250,extreme_rare,50,250,10000
simple_welch,Simple Welch,9513,0.9513,1.5772349125771578e-118,extreme_rare_np50_nq250,PCAL_PCAL_extreme_rare_np50_nq250_extreme_rare_np50_nq250,extreme_rare,50,250,10000
expanded_welch,Expanded Welch,3819,0.3819,0.05948979691030019,extreme_rare_np50_nq250,PCAL_PCAL_extreme_rare_np50_nq250_extreme_rare_np50_nq250,extreme_rare,50,250,10000
normal_wald,Normal Wald,9963,0.9963,0.0,extreme_rare_np50_nq500,PCAL_PCAL_extreme_rare_np50_nq500_extreme_rare_np50_nq500,extreme_rare,50,500,10000
simple_welch,Simple Welch,9963,0.9963,1.2399581468529535e-227,extreme_rare_np50_nq500,PCAL_PCAL_extreme_rare_np50_nq500_extreme_rare_np50_nq500,extreme_rare,50,500,10000
expanded_welch,Expanded Welch,4086,0.4086,0.10063156373875895,extreme_rare_np50_nq500,PCAL_PCAL_extreme_rare_np50_nq500_extreme_rare_np50_nq500,extreme_rare,50,500,10000
normal_wald,Normal Wald,9645,0.9645,2.146788046994708e-25,extreme_rare_np100_nq200,PCAL_PCAL_extreme_rare_np100_nq200_extreme_rare_np100_nq200,extreme_rare,100,200,10000
simple_welch,Simple Welch,9645,0.9645,1.0611213282018638e-20,extreme_rare_np100_nq200,PCAL_PCAL_extreme_rare_np100_nq200_extreme_rare_np100_nq200,extreme_rare,100,200,10000
expanded_welch,Expanded Welch,6522,0.6522,0.011349480636382258,extreme_rare_np100_nq200,PCAL_PCAL_extreme_rare_np100_nq200_extreme_rare_np100_nq200,extreme_rare,100,200,10000
normal_wald,Normal Wald,9979,0.9979,4.1175978003629784e-105,extreme_rare_np100_nq500,PCAL_PCAL_extreme_rare_np100_nq500_extreme_rare_np100_nq500,extreme_rare,100,500,10000
