scenario_seed,scenario_id,rows,columns,n_p,n_q,target_mi,replicates,invalid_rate,fallback_rate,clipped_rate,median_root_iterations,median_saddlepoint_ms,p95_saddlepoint_ms,wald_analytic_valid_n,wald_analytic_fpr_10,wald_analytic_fpr_05,influence_saddlepoint_valid_n,influence_saddlepoint_fpr_10,influence_saddlepoint_fpr_05,route_lugannani_rice_rate,route_normal_near_mean_rate,route_normal_numerical_fallback_rate
2026072501,random_5x10_d5,5,10,500,2000,0.15,2000,0.0,0.0,0.0,5.0,0.6677920464426279,0.7737583597190678,2000,0.1205,0.062,2000,0.122,0.062,1.0,0.0,0.0
2026072501,random_8x8_d0,8,8,6400,6400,0.03,2000,0.0,0.0,0.0,5.0,0.6524794735014439,0.7419160567224026,2000,0.0965,0.0495,2000,0.0965,0.05,1.0,0.0,0.0
2026072501,random_8x8_d1,8,8,3200,6400,0.07,2000,0.0,0.0005,0.0,5.0,0.66039600642398,0.7325062353629619,2000,0.099,0.0535,2000,0.099,0.054,0.9995,0.0005,0.0
2026072501,random_8x8_d2,8,8,1600,6400,0.15,2000,0.0,0.0,0.0,5.0,0.667895539663732,0.7559061574283987,2000,0.1,0.0435,2000,0.1005,0.043,1.0,0.0,0.0
2026072501,random_8x8_d3,8,8,12800,12800,0.03,2000,0.0,0.0,0.0,5.0,0.6771250627934933,0.7930145366117358,2000,0.097,0.048,2000,0.097,0.048,1.0,0.0,0.0
2026072501,random_8x8_d4,8,8,1280,2560,0.07,2000,0.0,0.0,0.0,5.0,0.6598749314434826,0.7506702153477818,2000,0.092,0.044,2000,0.0915,0.0445,1.0,0.0,0.0
2026072501,random_8x8_d5,8,8,640,2560,0.15,2000,0.0,0.0,0.0,5.0,0.670375011395663,0.8015026571229099,2000,0.0955,0.0525,2000,0.0955,0.0525,1.0,0.0,0.0
2026072501,random_8x12_d0,8,12,9600,9600,0.03,2000,0.0,0.0,0.0,5.0,0.6780209951102734,0.7649818726349622,2000,0.0855,0.0405,2000,0.0855,0.041,1.0,0.0,0.0
2026072501,random_8x12_d1,8,12,4800,9600,0.07,2000,0.0,0.0,0.0,5.0,0.6674170144833624,0.7458361273165792,2000,0.1025,0.046,2000,0.1025,0.046,1.0,0.0,0.0
2026072501,random_8x12_d2,8,12,2400,9600,0.15,2000,0.0,0.0,0.0,5.0,0.6749375024810433,0.7738064741715789,2000,0.0925,0.043,2000,0.093,0.0435,1.0,0.0,0.0
2026072501,random_8x12_d3,8,12,19200,19200,0.03,2000,0.0,0.0,0.0,5.0,0.6788959726691246,0.8080353843979537,2000,0.095,0.052,2000,0.095,0.052,1.0,0.0,0.0
2026072501,random_8x12_d4,8,12,1920,3840,0.07,2000,0.0,0.0,0.0,5.0,0.669979490339756,0.7459610467776656,2000,0.085,0.0395,2000,0.085,0.0395,1.0,0.0,0.0
2026072501,random_8x12_d5,8,12,960,3840,0.15,2000,0.0,0.0,0.0,5.0,0.6736040231771767,0.772438960848376,2000,0.1035,0.0565,2000,0.1025,0.0565,1.0,0.0,0.0
2026072501,random_10x10_d0,10,10,10000,10000,0.03,2000,0.0,0.0,0.0,5.0,0.6837295368313789,0.768785533728078,2000,0.095,0.0455,2000,0.095,0.0455,1.0,0.0,0.0
2026072501,random_10x10_d1,10,10,5000,10000,0.07,2000,0.0,0.0,0.0,5.0,0.6704170373268425,0.7522961415816098,2000,0.0885,0.0475,2000,0.089,0.0475,1.0,0.0,0.0
2026072501,random_10x10_d2,10,10,2500,10000,0.15,2000,0.0,0.0,0.0,5.0,0.6777085363864899,0.767325289780274,2000,0.097,0.0475,2000,0.097,0.0485,1.0,0.0,0.0
2026072501,random_10x10_d3,10,10,20000,20000,0.03,2000,0.0,0.0,0.0,6.0,0.7141664973460138,0.8707730041351168,2000,0.096,0.0495,2000,0.096,0.049,1.0,0.0,0.0
2026072501,random_10x10_d4,10,10,2000,4000,0.07,2000,0.0,0.0,0.0,5.0,0.6739170057699084,0.7569191046059132,2000,0.093,0.0415,2000,0.092,0.042,1.0,0.0,0.0
2026072501,random_10x10_d5,10,10,1000,4000,0.15,2000,0.0,0.0,0.0,5.0,0.6778960232622921,0.7690711005125195,2000,0.099,0.048,2000,0.098,0.0485,1.0,0.0,0.0
2026072501,random_10x15_d0,10,15,15000,15000,0.03,2000,0.0,0.0005,0.0,5.0,0.7041665376164019,0.8048330200836062,2000,0.0905,0.0445,2000,0.0905,0.0445,0.9995,0.0005,0.0
2026072501,random_10x15_d1,10,15,7500,15000,0.07,2000,0.0,0.0,0.0,5.0,0.6932080141268671,0.7763771049212664,2000,0.093,0.053,2000,0.093,0.053,1.0,0.0,0.0
2026072501,random_10x15_d2,10,15,3750,15000,0.15,2000,0.0,0.0005,0.0,5.0,0.6957500008866191,0.775377155514434,2000,0.0975,0.0485,2000,0.0975,0.049,0.9995,0.0005,0.0
2026072501,random_10x15_d3,10,15,30000,30000,0.03,2000,0.0,0.0,0.0,6.0,0.759229005780071,0.9348893247079103,2000,0.0925,0.048,2000,0.0925,0.048,1.0,0.0,0.0
2026072501,random_10x15_d4,10,15,3000,6000,0.07,2000,0.0,0.0,0.0,5.0,0.6930205272510648,0.7698896108195185,2000,0.0945,0.0375,2000,0.0945,0.0375,1.0,0.0,0.0
2026072501,random_10x15_d5,10,15,1500,6000,0.15,2000,0.0,0.0,0.0,5.0,0.7021250203251839,0.788961024954915,2000,0.099,0.051,2000,0.099,0.051,1.0,0.0,0.0
2026072501,random_20x20_d0,20,20,40000,40000,0.03,2000,0.0,0.0,0.0,5.0,0.775103981141001,0.9078044560737907,2000,0.0955,0.046,2000,0.0955,0.046,1.0,0.0,0.0
2026072501,random_20x20_d1,20,20,20000,40000,0.07,2000,0.0,0.0005,0.0,5.0,0.7595409988425672,0.8505063247866929,2000,0.103,0.0515,2000,0.103,0.0515,0.9995,0.0,0.0005
2026072501,random_20x20_d2,20,20,10000,40000,0.15,2000,0.0,0.0005,0.0,5.0,0.7675829692743719,0.8530556631740183,2000,0.112,0.061,2000,0.112,0.061,0.9995,0.0,0.0005
2026072501,random_20x20_d3,20,20,80000,80000,0.03,2000,0.0,0.0,0.0,6.0,0.8249994716607034,1.0121077008079737,2000,0.11,0.056,2000,0.11,0.056,1.0,0.0,0.0
2026072501,random_20x20_d4,20,20,8000,16000,0.07,2000,0.0,0.0005,0.0,5.0,0.7602290133945644,0.8531836851034313,2000,0.0925,0.041,2000,0.0925,0.0405,0.9995,0.0005,0.0
2026072501,random_20x20_d5,20,20,4000,16000,0.15,2000,0.0,0.0,0.0,5.0,0.7741250446997583,0.8604451781138778,2000,0.11,0.05,2000,0.11,0.0515,1.0,0.0,0.0
2026072601,random_2x2_d0,2,2,400,400,0.03,2000,0.0,0.0,0.0,6.0,0.7116880151443183,0.7759190222714096,2000,0.093,0.0435,2000,0.0935,0.0435,1.0,0.0,0.0
2026072601,random_2x2_d1,2,2,200,400,0.07,2000,0.0,0.0,0.0,5.0,0.6697080098092556,0.7740409870166332,2000,0.092,0.048,2000,0.093,0.0515,1.0,0.0,0.0
2026072601,random_2x2_d2,2,2,120,480,0.15,2000,0.0,0.0,0.0,6.0,0.7096249610185623,0.7820922532118857,2000,0.128,0.068,2000,0.126,0.065,1.0,0.0,0.0
2026072601,random_2x2_d3,2,2,800,800,0.03,2000,0.0,0.0,0.0,5.0,0.6828124169260263,0.7590618391986936,2000,0.103,0.045,2000,0.103,0.0465,1.0,0.0,0.0
2026072601,random_2x2_d4,2,2,120,240,0.07,2000,0.0,0.0,0.0,6.0,0.7151039899326861,0.7875409733969718,2000,0.109,0.052,2000,0.111,0.054,1.0,0.0,0.0
2026072601,random_2x2_d5,2,2,120,480,0.15,2000,0.0,0.0,0.0,6.0,0.7135000778362155,0.7859684701543301,2000,0.1115,0.062,2000,0.1095,0.061,1.0,0.0,0.0
2026072601,random_2x5_d0,2,5,1000,1000,0.03,2000,0.0,0.0005,0.0,5.0,0.6965000065974891,0.7807163870893419,2000,0.1045,0.0455,2000,0.1055,0.0455,0.9995,0.0005,0.0
