lam_target,sparse_bin,n,median_mu_ratio,median_sigma2_ratio,median_q95_standard,median_q95_bartlett,median_q95_moment,median_nu_norm,median_a
0.75,"(0.0, 0.25]",96,1.003968765821559,1.0201791339840807,0.9426499589624349,1.0082446391693005,1.0072824616745835,1.1420857099638129,0.9534459198841518
0.75,"(0.25, 0.5]",6,1.00195548921449,1.0255816562605342,0.9154219520692521,1.1046505828916866,1.0206498559647474,1.6674510793380874,0.7396510511797103
0.75,"(0.75, 1.0]",13,0.9944342748797508,0.9822704583315892,0.9645632167698907,1.2177179052759706,1.0012236432549269,2.076951257729337,0.5619009944080674
0.8,"(0.0, 0.25]",420,0.9995719119522521,1.0043651255870014,0.9391806728655214,1.0035750297168706,1.000488127338788,1.1161339505297092,0.9584727867469879
0.8,"(0.25, 0.5]",49,1.004212164359231,1.0003092697992166,0.9184731072344063,1.0744955571856316,1.0024692951324412,1.5077265172213925,0.7694390041693631
0.8,"(0.5, 0.75]",1,1.0367802644987651,1.0033330077459746,0.9506813068136698,1.202786882930802,1.022337676309884,1.7155185490719007,0.7232523134018997
0.8,"(0.75, 1.0]",15,0.98078870119298,0.9724334271041046,0.9377959841343882,1.165066782739243,0.9820914694021993,2.2943514561833815,0.498859540095759
1.0,"(-0.002, 0.0]",276,0.9943972919949933,1.0062867833414886,0.9436220205918704,0.9985191301333878,0.9977151172081481,1.1109187603462574,0.968065086272292
1.0,"(0.0, 0.25]",216,1.0005306881904648,1.0105979898173656,0.9358111510744295,0.9986891886996858,1.0006898807442104,1.1025733373390243,0.9734554196854202
1.0,"(0.25, 0.5]",14,1.033797361647098,1.00392042382861,0.9188980848156514,1.0997573730973689,1.0128479495322595,1.4056519243404408,0.8582680155962568
1.0,"(0.75, 1.0]",2,0.9968674685349469,0.9695627914901127,0.9107571531021363,1.0932363133618783,0.996865388178201,1.9856271772556084,0.5949555944229288
1.25,"(-0.002, 0.0]",494,0.9992354548861725,1.0058809771956498,0.9403338311209843,0.9933586571789468,1.0005656695655885,1.0717352838281566,0.9973091325086175
1.5,"(-0.002, 0.0]",122,0.9997051541487492,1.0172163482441945,0.9397116235563707,0.993489871982902,1.0058588094219263,1.0559284381868568,1.0150101164620757
1.6,"(-0.002, 0.0]",497,0.9996821477816689,1.003154711533604,0.9463441152204396,0.9884253320799373,1.0009161778811004,1.035118987338432,1.0156614811379194
2.0,"(-0.002, 0.0]",522,0.999367892369264,1.0012254509656935,0.9558003666825587,0.9875139119608523,0.9995433471899097,1.0157210460992698,1.034081684325988
2.5,"(-0.002, 0.0]",506,0.9971133108768222,0.9980854287361005,0.9594565134497521,0.9862937920845081,0.9968274011017171,1.0022945484309695,1.0455746158494477
3.0,"(-0.002, 0.0]",126,0.996336044713021,0.9971551759879231,0.9640481590421921,0.9914697045989584,0.997333700361309,0.9902301715243884,1.0496921641644832
3.2,"(-0.002, 0.0]",506,0.9942272895350914,0.9945873208229516,0.9693229116291201,0.990973100539057,0.9943980358535114,0.9886353262376328,1.0442122587960412
4.0,"(-0.002, 0.0]",506,0.9937549379408741,0.9940854245270185,0.97570562290361,0.9937373452681786,0.9938150290131513,0.9878688543942338,1.0384494011905998
5.0,"(-0.002, 0.0]",524,0.9966500840548205,0.9970684630916025,0.9827721610100633,0.9965327610084778,0.9970270946171773,0.9926610677595917,1.027887099060345
7.5,"(-0.002, 0.0]",505,0.997344655265498,1.0018609264436564,0.9896606557898459,0.9990204400498958,0.998243018542998,0.9973973425348154,1.0142460733676206
8.0,"(-0.002, 0.0]",126,0.9986536630345932,1.0016638551917707,0.9889514378699993,0.9979185956356296,0.9980259399082341,0.9915365175231245,1.0176047511131134
10.0,"(-0.002, 0.0]",505,0.9977266414416649,1.0023735250776462,0.9925048983319956,0.9990959180859496,0.9986004551429937,0.9988557041648098,1.010131922912104
12.0,"(-0.002, 0.0]",126,0.9987408013214559,1.0098537240439778,0.9956635415132065,1.0009555034954132,1.001016403757238,1.0028221651449212,1.0089194616292412
