k,nu0,N,lam_min,lam_tp,mu,sigma2,nu,a
5,16,67,2.68,0.1072,18.600767814238118,43.315179661421276,15.975395507240703,1.1643384857550154
5,16,82,3.28,0.1312,18.014158833162075,40.94243135125247,15.852010139913885,1.1363958686730902
5,16,101,4.04,0.1616,17.600772888326215,40.335289278112555,15.360604166264967,1.1458385814655077
5,16,125,5.0,0.2,17.181956814200998,38.42568036554812,15.365746925317037,1.1181986074423447
5,16,227,9.08,0.3632,16.44114643611223,35.363699491239025,15.287501026336491,1.0754633087375303
5,16,413,16.52,0.6608,16.045712040013537,32.86099172223331,15.669939425281443,1.0239804765375056
5,16,750,30.0,1.2,16.13673867308182,32.11693020731626,16.21539377035582,0.9951493563222747
6,25,11,0.3055555555555556,0.008487654320987654,18.442182405198906,17.20134291146039,39.54506268694024,0.4663586590112914
6,25,18,0.5,0.013888888888888888,24.63506390732122,22.521841350464243,53.89313993238755,0.45710945656956553
6,25,22,0.6111111111111112,0.016975308641975308,26.863442341276574,24.04978142931873,60.01256489951671,0.447630298525916
6,25,27,0.75,0.020833333333333332,28.298750848327206,28.695296393381444,55.815370477261105,0.5070064142968642
6,25,34,0.9444444444444444,0.026234567901234566,29.915199855952384,34.30162609316027,52.17940280679696,0.573314339505158
6,25,42,1.1666666666666667,0.032407407407407406,30.417938671231983,42.56736743691347,43.47231453192819,0.6997082855777454
6,25,51,1.4166666666666667,0.03935185185185185,30.621972634070495,50.149413146817956,37.396457871063284,0.8188468742053038
6,25,63,1.75,0.04861111111111111,29.85854877911676,53.200005735916406,33.5162721455499,0.8908672375451281
6,25,78,2.1666666666666665,0.06018518518518518,29.58102207539282,64.57665356173572,27.100718874765974,1.0915216755720936
6,25,96,2.6666666666666665,0.07407407407407407,28.614708550385966,60.296694919828894,27.1590854693518,1.053596174388007
6,25,118,3.2777777777777777,0.09104938271604938,27.869199378002815,65.42661829420558,23.74239397421704,1.173815892713568
6,25,146,4.055555555555555,0.11265432098765432,27.211572455647975,62.559050364679784,23.672663545642354,1.1494934823528575
6,25,180,5.0,0.1388888888888889,26.611545024341122,59.48959311723275,23.808343324418978,1.1177403090053328
6,25,327,9.083333333333334,0.2523148148148148,25.514001620055716,51.72654049280673,25.169449666123757,1.0136892923167764
6,25,594,16.5,0.4583333333333333,25.590690186413756,52.67161342652409,24.86665517207151,1.0291167030439794
6,25,1080,30.0,0.8333333333333334,25.09749898038594,49.76433904961606,25.314691889807502,0.9914202823258926
7,36,14,0.2857142857142857,0.0058309037900874635,26.13696186390946,22.74527451008774,60.068809033056795,0.43511703136191504
7,36,24,0.4897959183673469,0.009995835068721367,35.48376600921834,28.346480730004913,88.83625887739898,0.3994288644931427
7,36,30,0.6122448979591837,0.012494793835901708,38.68276225437481,34.04490895720627,87.90483754909566,0.4400527130576873
7,36,37,0.7551020408163265,0.015410245730945439,41.08884280019275,40.94907283343833,82.45817967728539,0.49829917372662336
7,36,46,0.9387755102040817,0.019158683881715953,42.42312131370239,50.571256240855874,71.17565810212712,0.5960341280277471
7,36,57,1.163265306122449,0.023740108288213244,43.4766508013197,60.58791343212091,62.39591554898427,0.6967868075785844
7,36,70,1.4285714285714286,0.029154518950437316,43.73407869908204,72.89730966806378,52.47572642575696,0.8334154032332899
7,36,86,1.7551020408163265,0.03581840899625156,42.950990258537836,80.63969122765411,45.75383501856394,0.9387407687489171
7,36,106,2.163265306122449,0.044148271553519365,42.53981802667626,84.6005723153457,42.780706281687415,0.9943692314609056
7,36,131,2.673469387755102,0.054560599750104126,41.116731785702115,90.89308877739136,37.19943189251328,1.1053053687622907
7,36,161,3.2857142857142856,0.06705539358600583,39.92076210251354,92.98029985930047,34.27967535611411,1.164560681739166
7,36,199,4.061224489795919,0.08288213244481465,39.12143479441462,88.31413673772714,34.66006048202297,1.128718018674711
