scenario_id,shape_index,design_index,rows,columns,n_p,n_q,target_mi,margin_alpha_p,margin_alpha_q,association_p,association_q,generation_attempts,true_mi_p,true_mi_q,true_delta,distribution_l1,population_variance_p,population_variance_q,pooled_mixture_mi,pooled_mixture_variance,min_probability_p,min_probability_q,min_joint_expected_p,min_joint_expected_q,independence_expected_below_1_p,independence_expected_below_1_q,independence_expected_below_5_p,independence_expected_below_5_q,is_permutation_anchor,regime,regime_label,variant,cells,observations_per_cell_p,observations_per_cell_q,sample_size_ratio_q_to_p,minimum_joint_expected_pair,joint_expected_below_1_p,joint_expected_below_1_q,joint_expected_below_5_p,joint_expected_below_5_q,minimum_row_expected_p,minimum_row_expected_q,minimum_column_expected_p,minimum_column_expected_q,maximum_row_margin_p,maximum_column_margin_p,maximum_row_margin_q,maximum_column_margin_q,probability_p_json,probability_q_json
stress_2x5_d7,1,7,2,5,1122,4488,0.15,1.0,0.6,1.136254843969457,0.7598223745621604,6,0.14999999999999858,0.15000000000000013,-1.5543122344752192e-15,1.0063476248028198,0.22495174889656067,0.24408741239790355,0.16322902949299634,0.2577970550738822,0.0015993081237053123,0.0007718298282057647,1.7944237147973603,3.4639722689874723,0.0,0.0,0.0,0.0,False,highly_sparse,Highly skewed and sparse,variant_2,10,112.2,448.8,4.0,1.7944237147973603,0.0,0.0,0.1,0.1,340.35350567392504,1431.2965995559846,49.986357800714885,55.313562287484324,0.696654629524131,0.6031597150932787,0.6810836453752265,0.481736000899198,"[[0.07915572381299268, 0.03670178358866681, 0.006753035549312239, 0.12968820020573005, 0.05104662731916728], [0.05835239814359144, 0.007849337445838434, 0.15538207092344714, 0.4734715148875487, 0.0015993081237053123]]","[[0.06130149023903512, 0.05073906604763619, 0.011552938952427998, 0.12786182507982305, 0.42962832505630405], [0.0024405991606098153, 0.0630958985288378, 0.0007718298282057647, 0.20050035126422644, 0.052107675842893914]]"
stress_2x5_d8,1,8,2,5,568,568,0.1,0.6,0.6,0.8600224405814947,0.8304849053769479,10,0.09999999999999987,0.10000000000000053,-6.661338147750939e-16,0.8952998992862806,0.19152767646792895,0.16312484283664275,0.04752076562911722,0.09419841512319388,0.0010370627521103883,0.0010599907321774628,0.5890516431987006,0.6020747358767988,0.0,0.0,0.2,0.0,False,ultra_sparse,Ultra-skewed and sparse,variant_1,10,56.8,56.8,1.0,0.5890516431987006,0.1,0.1,0.3,0.2,133.53270134269934,235.99593567695106,13.847383765898584,13.06462806955411,0.7649072159459519,0.6484601121496079,0.5845141977518467,0.5777658733695152,"[[0.07825904081533024, 0.0010370627521103883, 0.006919558726098427, 0.031637983644035673, 0.11723913811647341], [0.5702010713342777, 0.02334213401883782, 0.04193862001639825, 0.005242601679640527, 0.12418278889679771]]","[[0.1990361386823682, 0.021941115024079777, 0.1150005838212599, 0.056934496185842925, 0.022573468534602445], [0.378729734687147, 0.0010599907321774628, 0.024960836193465754, 0.17783386354680464, 0.0019297725922518309]]"
stress_2x5_d9,1,9,2,5,424,1696,0.15,0.8,0.45,1.1188053856596973,0.9011370016065435,1,0.15000000000000102,0.15000000000000902,-7.993605777301127e-15,1.0051257210210143,0.22822777680604078,0.19602037958599888,0.17058320534589977,0.20252841808833835,0.0014573695532223417,0.0003093945643351091,0.6179246905662729,0.524733181112345,0.0,0.0,0.1,0.0,False,ultra_sparse,Ultra-skewed and sparse,variant_2,10,42.4,169.6,4.0,0.524733181112345,0.1,0.2,0.3,0.2,155.67742901509905,313.0234040449957,10.343609106333883,43.65477123952515,0.6328362523228797,0.47045317875513704,0.8154343136527147,0.4570552755641904,"[[0.0029280801871565993, 0.0014573695532223417, 0.3979852850691988, 0.1758562226624588, 0.05460929485084309], [0.02146722430891388, 0.04293831385569553, 0.07246789368593824, 0.22640384853758155, 0.003886467288991183]]","[[0.00598904353180172, 0.00548847706373125, 0.0004721715265593862, 0.17230659966085776, 0.0003093945643351091], [0.04549616635410522, 0.45156679850045917, 0.025267670006179497, 0.23179440049434302, 0.061309278297627945]]"
adversarial_2x5_d10,1,10,2,5,120,120,0.03,0.35,0.35,0.43001020921729116,0.7711302402751856,1,0.029999999999999916,0.030000000000000027,-1.1102230246251565e-16,1.1268653752224953,0.05893915474148256,0.04865774885222614,0.05088231306795099,0.07748367632710695,7.299671198873823e-05,2.3488397547243842e-05,0.008759605438648588,0.002818607705669261,0.3,0.2,0.6,0.7,False,widespread_sparse,Widespread sparsity,variant_1,10,12.0,12.0,1.0,0.002818607705669261,0.3,0.4,0.5,0.6,25.84203454046358,7.25422543101387,0.13598334254443925,1.467225547711617,0.7846497121628037,0.6589724505033888,0.9395481214082178,0.3750368860339409,"[[0.004187503894273822, 0.010981361808255886, 0.06937566711315656, 0.1307327583095215, 7.299671198873823e-05], [0.03130784581037342, 0.13092947253373127, 0.09311250381561659, 0.5282396921938673, 0.0010601978092149222]]","[[0.007685924235544465, 2.3488397547243842e-05, 0.0005856157770027249, 0.0497801710432553, 0.002376679138432517], [0.254082097128404, 0.012651514167149824, 0.011641263787260749, 0.3252567149906856, 0.3359165313347176]]"
adversarial_2x5_d11,1,11,2,5,169,169,0.03,0.5,0.25,0.7169664361111784,0.6155757630992644,1,0.029999999999999583,0.029999999999999805,-2.220446049250313e-16,1.043222990299891,0.039335556820403635,0.07258177451789678,0.031217394641132268,0.0575673768793068,0.0008075693529363261,0.0003664681475589525,0.1364792206462391,0.06193311693746298,0.3,0.3,0.6,0.6,False,widespread_sparse,Widespread sparsity,variant_2,10,16.9,16.9,1.0,0.06193311693746298,0.5,0.4,0.6,0.6,12.903863156758929,7.140947257386027,0.6287148288977737,0.36808264451917855,0.9236457801375212,0.5226878253248717,0.9577458742166508,0.4048708048833287,"[[0.0015972290086501714, 0.0042898430767388755, 0.002385624532620356, 0.0008075693529363261, 0.06727395389153314], [0.2707725163551353, 0.17919547345293316, 0.015351282160898061, 0.002912636735216181, 0.45541387143333856]]","[[0.005614962366010608, 0.005925326208041312, 0.0012839508938235487, 0.029063418167914846, 0.0003664681475589525], [0.3474907710344424, 0.3989454786752874, 0.06762368378658924, 0.14187440505416776, 0.0018115356661639974]]"
adversarial_2x5_d12,1,12,2,5,250,250,0.07,50.0,0.35,0.3835591557151723,0.894486080566181,3,0.06999999999999962,0.07000000000000006,-4.440892098500626e-16,1.0767224169655676,0.1254677204865362,0.12120630977813635,0.07821104639569443,0.1286884498690913,0.05253903080379319,4.391701891861014e-05,13.134757700948297,0.010979254729652535,0.0,0.2,0.0,0.4,False,shape_mismatch,Equal-MI shape mismatch,variant_1,10,25.0,25.0,1.0,0.010979254729652535,0.0,0.3,0.0,0.4,114.61597184965935,30.514934221955833,36.66143785598286,0.19970025229020721,0.5415361126013628,0.23907953006367977,0.8779402631121765,0.5717731274042993,"[[0.09188696105378714, 0.14493068921649288, 0.05253903080379319, 0.18490629046210955, 0.06727314106518002], [0.07512306509539929, 0.09078507806281544, 0.15900989428010098, 0.05417323960157022, 0.07937261035875141]]","[[0.05229691000315872, 0.0007548839902422187, 0.2219156044946423, 0.553890925254044, 0.049081939370089325], [0.00019541145972519662, 4.391701891861014e-05, 0.07709307921137165, 0.017882202150255294, 0.02684512704755258]]"
adversarial_2x5_d13,1,13,2,5,500,500,0.15,50.0,0.35,0.7505213169982107,2.6215642315535908,1,0.15000000000000036,0.14999999999999936,9.992007221626409e-16,1.131415835189224,0.20411449578352,0.2802323967363435,0.14076282426457642,0.2532513408842878,0.008826762213411513,1.124446412013287e-06,4.4133811067057565,0.0005622232060066435,0.0,0.0,0.0,0.3,False,shape_mismatch,Equal-MI shape mismatch,variant_2,10,50.0,50.0,1.0,0.0005622232060066435,0.0,0.2,0.1,0.4,245.3772139698988,52.26784396466757,93.31152258450587,17.087858809252452,0.5092455720602024,0.23161650784143314,0.895464312070665,0.6041887404624287,"[[0.048923177661835245, 0.05522797999171272, 0.09882767535377163, 0.10992076769369526, 0.17785482723878274], [0.1376998675071765, 0.17638852784972042, 0.0963067977045383, 0.0900236167853556, 0.008826762213411513]]","[[1.124446412013287e-06, 4.194204880225223e-05, 0.04331786663629297, 0.05406373128306968, 0.007111023514758212], [0.22060577708985615, 0.08410986418706735, 0.5608708738261357, 0.0028131028638591414, 0.0270646941037467]]"
adversarial_2x5_d14,1,14,2,5,250,2500,0.07,5.0,1.0,0.4018696531872349,0.6161960908358293,1,0.07000000000000028,0.07000000000000006,2.220446049250313e-16,1.0853562902606089,0.1273353470406513,0.14607235931783485,0.05452717237617444,0.11840723381308435,0.0432664249365677,0.0007524073727036203,10.816606234141926,1.8810184317590508,0.0,0.0,0.0,0.0,False,extreme_imbalance,Extreme sample imbalance,variant_1,10,25.0,250.0,10.0,1.8810184317590508,0.0,0.0,0.0,0.2,90.86366744723674,231.76362157986364,36.54359570407395,111.73961351524353,0.6365453302110531,0.3133826502349185,0.9072945513680546,0.4651158648047379,"[[0.051602397950594486, 0.059967224169224766, 0.09901868797722371, 0.0432664249365677, 0.10959993475533628], [0.261780252284324, 0.09678227268431132, 0.0471556948390721, 0.11503176396293854, 0.11579534644040708]]","[[0.001222069806701229, 0.01113304378912335, 0.06949199457671733, 0.0007524073727036203, 0.010105933086699926], [0.060939654240565855, 0.19816046311340346, 0.14924106426265352, 0.04394343803339379, 0.45500993171803794]]"
adversarial_2x5_d15,1,15,2,5,120,2400,0.15,2.0,0.8,1.2288583756899578,1.53039070312366,3,0.1499999999999999,0.15000000000000346,-3.552713678800501e-15,1.405127692815245,0.19581456861093782,0.3224830893794414,0.12237959223186734,0.26966417854190766,0.00037137838346669504,3.510684652551982e-05,0.0445654060160034,0.08425643166124756,0.0,0.0,0.2,0.0,False,extreme_imbalance,Extreme sample imbalance,variant_2,10,12.0,240.0,20.0,0.0445654060160034,0.2,0.1,0.2,0.1,31.956016004029774,254.1607977274332,8.05396474789822,231.40955730854722,0.7336998666330852,0.380602476140634,0.8940996676135696,0.3926933868701589,"[[0.06453412208490422, 0.31666946619514086, 0.1834018062763901, 0.12347827227253277, 0.04561619980411717], [0.0025822508142476232, 0.0639330099454932, 0.00037137838346669504, 0.09921899527851337, 0.10019449894519389]]","[[0.012962312590138414, 3.510684652551982e-05, 0.011517328932548438, 0.07196596576101587, 0.009419618256202257], [0.15907186499239778, 0.1632817695836583, 0.16401758130601132, 0.02445468311754548, 0.3832737686139567]]"
zero_mi_2x5_d16,1,16,2,5,1000,1000,0.0,50.0,20.0,0.0,0.0,1,4.440892098500626e-16,-2.220446049250313e-16,6.661338147750939e-16,0.18304293255836426,1.6312795456267932e-32,3.0400066614693376e-32,4.262103036056786e-06,8.524578371463554e-06,0.08850460171759277,0.07936045996140202,88.50460171759276,79.36045996140203,0.0,0.0,0.0,0.0,False,zero_mi,Zero MI (independence),variant_1,10,100.0,100.0,1.0,79.36045996140203,0.0,0.0,0.0,0.0,465.1375723498745,492.26420929381317,190.27618274410216,161.21517360616173,0.5348624276501255,0.20954056775246555,0.5077357907061868,0.2708390678032107,"[[0.10437407942392356, 0.10177158102650939, 0.11200498621228863, 0.11207537675926932, 0.10463640422813457], [0.09076783750316848, 0.08850460171759277, 0.09740397658282379, 0.09746519099319623, 0.09099596555309326]]","[[0.08772997893709225, 0.13751468824518975, 0.08185471364475971, 0.11183146911091904, 0.08880494076822615], [0.08505669583143759, 0.13332437955802096, 0.07936045996140202, 0.10842377221326983, 0.08609890172968275]]"
zero_mi_2x5_d17,1,17,2,5,250,1000,0.0,2.0,0.8,0.0,0.0,1,0.0,0.0,0.0,0.20808034802718073,5.538940263909902e-32,3.8634986953935244e-32,3.7229368246016747e-06,7.443596819770045e-06,0.015481627804112563,0.018532441218535468,3.8704069510281407,18.532441218535467,0.0,0.0,0.1,0.0,False,zero_mi,Zero MI (independence),variant_2,10,25.0,100.0,4.0,3.8704069510281407,0.0,0.0,0.1,0.0,43.29229273427559,204.23860104960897,22.350438765072862,90.73917037863959,0.8268308290628978,0.35628030741653904,0.7957613989503911,0.454174260401929,"[[0.03193206374378954, 0.061696765456538016, 0.015481627804112563, 0.0406404683218687, 0.023418245610793545], [0.15246602265340034, 0.294583541960001, 0.07392012725617889, 0.1940460414185396, 0.11181509577477794]]","[[0.03502747135756701, 0.09275991557723079, 0.018532441218535468, 0.036487121191060824, 0.021431651705214886], [0.13647522782640822, 0.3614143448246982, 0.07220672916010412, 0.1421623652603187, 0.08350273187886185]]"
random_3x3_d0,2,0,3,3,900,900,0.03,50.0,50.0,0.2392246100856027,0.25741204356811265,1,0.03000000000000025,0.030000000000036886,-3.6637359812630166e-14,0.3930991506245044,0.06115667899485789,0.05816314628219862,0.014787249573337657,0.02827045770776228,0.07322777639564453,0.05328576667029986,65.90499875608008,47.95719000326988,0.0,0.0,0.0,0.0,False,well_sampled,Well sampled,variant_1,9,100.0,100.0,1.0,47.95719000326988,0.0,0.0,0.0,0.0,255.672369567014,254.0126646426656,291.10675490778436,251.95484599887314,0.3724261970440136,0.3400184072000114,0.3994381314476742,0.36040042388394733,"[[0.07875736311770279, 0.07322777639564453, 0.13209527111666824], [0.1116203277564682, 0.17009491232195362, 0.0907109569655918], [0.1461519520282795, 0.09669571848241325, 0.10064572181527816]]","[[0.1338762101524343, 0.14109355183805994, 0.12446836945717994], [0.12365770415187245, 0.08557051037927697, 0.07300807951625683], [0.10286650957964058, 0.05328576667029986, 0.16217329825497917]]"
random_3x3_d1,2,1,3,3,450,900,0.07,20.0,5.0,0.42472828350783026,0.39482790237129295,1,0.06999999999999695,0.0700000000000709,-7.394085344003543e-14,0.5681626184600657,0.1241047884020756,0.12264104764437513,0.018472582201180643,0.03539935947167685,0.025224372531597258,0.041866511035890994,11.350967639218766,37.679859932301895,0.0,0.0,0.0,0.0,False,moderate,Moderate,variant_1,9,50.0,100.0,2.0,11.350967639218766,0.0,0.0,0.0,0.0,130.25169032025642,244.46928862979266,124.47155008472956,257.30490378824396,0.4152092233202906,0.4007972328410507,0.37650061399451956,0.4072362636347493,"[[0.11160075947550877, 0.12510343798430656, 0.17850502586047526], [0.08944302615968079, 0.18067517727675048, 0.025224372531597258], [0.12155553689102752, 0.09501861757999362, 0.0728740462406598]]","[[0.08158137601788751, 0.0982517407121723, 0.09179942619193203], [0.10542844850471701, 0.041866511035890994, 0.22920565445391156], [0.11985957430015286, 0.14577608579442994, 0.08623118298890567]]"
random_3x3_d2,2,2,3,3,225,900,0.15,5.0,1.2,0.5387679368219529,0.6790634580312088,1,0.1499999999999999,0.15000000000000746,-7.549516567451064e-15,0.8888931452453581,0.29050508234422107,0.23826656689010703,0.1525652881988342,0.24613513264176523,0.03786504658490679,0.009278327294352467,8.519635481604027,8.35049456491722,0.0,0.0,0.0,0.0,False,sparse_imbalanced,Sparse and imbalanced,variant_1,9,25.0,100.0,4.0,8.35049456491722,0.0,0.0,0.0,0.0,59.247248801566776,55.24383728463202,71.10592220473963,139.1192627930535,0.4098867277334118,0.35866160580484724,0.6067635035725302,0.5745811472669878,"[[0.05854619897723752, 0.2062723729877467, 0.061973594516862615], [0.0938454707380449, 0.09985357718718238, 0.21618767980818449], [0.17292040356991625, 0.052535655629918174, 0.03786504658490679]]","[[0.08168791681180258, 0.1301599875264946, 0.12000655066180389], [0.035568851865394886, 0.009278327294352467, 0.016534862267621565], [0.45732437858979036, 0.131403579253217, 0.01803554572952286]]"
random_3x3_d3,2,3,3,3,1800,1800,0.03,1.0,0.5,0.387623865106709,0.2864026836388112,1,0.030000000000000027,0.029999999999999916,1.1102230246251565e-16,0.7095885378443364,0.05518859685344925,0.053806323066793955,0.00827164530195379,0.016713438362875473,0.003055797480384682,0.00553472741103871,5.500435464692427,9.962509339869678,0.0,0.0,0.0,0.0,False,well_sampled,Well sampled,variant_2,9,200.0,200.0,1.0,5.500435464692427,0.0,0.0,0.0,0.0,131.52278168590541,139.6946592389337,247.30971143663282,109.36792598434346,0.5340511607903865,0.4959122422433856,0.6810182351889178,0.6538990470320016,"[[0.1938498311314281, 0.1710589276457379, 0.027971868384722428], [0.24550255581082497, 0.1821819867132059, 0.10636661826635559], [0.056559855301132514, 0.013452559266208048, 0.003055797480384682]]","[[0.23907016839108677, 0.39408677008810294, 0.04786129670972802], [0.03470842994735234, 0.199301256082676, 0.007363934759424081], [0.011562395749368385, 0.06051102086122273, 0.00553472741103871]]"
random_3x3_d4,2,4,3,3,180,360,0.07,10.0,0.8,0.42412216322851365,1.5630357714117762,1,0.06999999999997075,0.07000000000000028,-2.9531932455029164e-14,1.3157446735192426,0.12743445128802228,0.14513539747398077,0.03717646568764954,0.07649872886209079,0.026206954128162187,1.3233028567667474e-06,4.717251743069194,0.00047638902843602905,0.0,0.3333333333333333,0.0,0.3333333333333333,True,moderate,Moderate,variant_2,9,20.0,40.0,2.0,0.00047638902843602905,0.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,46.164730599126656,45.01046146905483,41.99981346010388,0.8046641624412705,0.4513748355443423,0.49471623326341363,0.6503486717108375,0.8480866414944191,"[[0.06918614161603462, 0.026206954128162187, 0.16107762980650686], [0.061256618547298664, 0.19759196773124196, 0.19252624926580167], [0.10288953683724383, 0.04815254787660512, 0.14111235419110515]]","[[0.10890538578575872, 0.01611586070725056, 7.813143254167134e-06], [0.6080555689810385, 0.04229177942694231, 1.3233028567667474e-06], [0.13112568672762195, 0.09127054014238445, 0.002226041782892595]]"
random_3x3_d5,2,5,3,3,120,480,0.15,2.0,20.0,0.6789464695349969,0.5485804580032637,1,0.15000000000000024,0.14999999999999925,9.992007221626409e-16,0.8168185369205744,0.2429014928161946,0.2788889665151029,0.07283602543324208,0.14493201143575546,0.017709230765240457,0.03852744782372003,2.125107691828855,18.493174955385612,0.0,0.0,0.0,0.0,False,sparse_imbalanced,Sparse and imbalanced,variant_2,9,13.333333333333334,53.333333333333336,4.0,2.125107691828855,0.0,0.0,0.2222222222222222,0.0,38.68261908543261,144.51091400466515,18.098763521348072,139.91188536643637,0.34570892086189525,0.5438197500212292,0.3551290301058632,0.38187376120761374,"[[0.11614555436451345, 0.21185413573214135, 0.017709230765240457], [0.17377784391623846, 0.07501470617189539, 0.08314337000469926], [0.2538963517404773, 0.018488378730166954, 0.04997042857462753]]","[[0.11324167322327895, 0.06029810188360824, 0.17026679061086375], [0.20579570885708415, 0.056741247495581584, 0.03852744782372003], [0.06283637912725062, 0.20960379489978728, 0.08268885607882531]]"
