regime,regime_label,method,method_label,population_pairs,replicates_per_population,mean_valid_rate,mean_coverage_95,median_effective_df,mean_fpr_10,mean_absolute_fpr_error_10,median_absolute_fpr_error_10,minimum_fpr_10,maximum_fpr_10,improved_vs_normal_10,worsened_vs_normal_10,tied_vs_normal_10,mean_fpr_05,mean_absolute_fpr_error_05,median_absolute_fpr_error_05,minimum_fpr_05,maximum_fpr_05,improved_vs_normal_05,worsened_vs_normal_05,tied_vs_normal_05,mean_fpr_01,mean_absolute_fpr_error_01,median_absolute_fpr_error_01,minimum_fpr_01,maximum_fpr_01,improved_vs_normal_01,worsened_vs_normal_01,tied_vs_normal_01
highly_sparse,Highly skewed and sparse,simple_welch,Simple Welch,6,300,1.0,0.9411111111111111,4254.497050274303,0.10722222222222222,0.010555555555555554,0.008333333333333331,0.09333333333333334,0.12333333333333334,0,0,6,0.058888888888888886,0.01222222222222222,0.008333333333333331,0.043333333333333335,0.08666666666666667,2,0,4,0.010555555555555556,0.005000000000000001,0.003333333333333333,0.006666666666666667,0.02666666666666667,0,0,6
highly_sparse,Highly skewed and sparse,expanded_welch,Expanded Welch,6,300,1.0,0.9438888888888889,711.4939188005052,0.10666666666666667,0.009999999999999997,0.008333333333333331,0.09333333333333334,0.12,1,0,5,0.056111111111111105,0.009444444444444445,0.008333333333333331,0.043333333333333335,0.07,2,0,4,0.007777777777777778,0.0022222222222222222,0.003333333333333333,0.006666666666666667,0.01,1,0,5
ultra_sparse,Ultra-skewed and sparse,normal_wald,Normal Wald,6,300,1.0,0.9383333333333334,,0.11777777777777777,0.01777777777777777,0.016666666666666656,0.10666666666666667,0.13,0,0,6,0.06166666666666667,0.011666666666666664,0.009999999999999995,0.056666666666666664,0.07,0,0,6,0.016666666666666666,0.006666666666666668,0.005,0.01,0.02666666666666667,0,0,6
ultra_sparse,Ultra-skewed and sparse,simple_welch,Simple Welch,6,300,1.0,0.9388888888888888,770.9809188348494,0.11666666666666665,0.016666666666666663,0.014999999999999993,0.10666666666666667,0.12666666666666668,2,0,4,0.061111111111111116,0.011111111111111108,0.009999999999999995,0.056666666666666664,0.07,1,0,5,0.016666666666666666,0.006666666666666668,0.005,0.01,0.02666666666666667,0,0,6
ultra_sparse,Ultra-skewed and sparse,expanded_welch,Expanded Welch,6,300,1.0,0.9416666666666668,187.29217972200038,0.11388888888888887,0.013888888888888883,0.013333333333333322,0.10666666666666667,0.12333333333333334,3,0,3,0.05833333333333334,0.008333333333333333,0.0049999999999999975,0.05333333333333334,0.07,4,0,2,0.016666666666666666,0.006666666666666668,0.005,0.01,0.02666666666666667,0,0,6
widespread_sparse,Widespread sparsity,normal_wald,Normal Wald,6,300,0.9983333333333334,0.9493587873074305,,0.10684358001690947,0.009065802239131678,0.007024608501118565,0.09333333333333334,0.12333333333333334,0,0,6,0.05064121269256957,0.011752323803680673,0.006755852842809364,0.03,0.08333333333333333,0,0,6,0.008338919939445182,0.006105524504999265,0.006649906848331126,0.0033333333333333335,0.023333333333333334,0,0,6
widespread_sparse,Widespread sparsity,simple_welch,Simple Welch,6,300,0.9983333333333334,0.949914342862986,232.85578881046973,0.10573246890579835,0.00906580223913168,0.008691275167785228,0.09,0.12333333333333334,1,1,4,0.05008565713701401,0.011196768248125119,0.006755852842809364,0.03,0.08,1,0,5,0.007224080267558529,0.0072203641768859165,0.006661092530657748,0.0,0.023333333333333334,0,2,4
widespread_sparse,Widespread sparsity,expanded_welch,Expanded Welch,6,300,0.9705555555555555,0.9762404748536135,9.777939853311267,0.06634466101619386,0.03365533898380614,0.043333333333333335,0.04395604395604396,0.09666666666666666,2,4,0,0.023759525146386462,0.026240474853613544,0.027384428223844286,0.007326007326007326,0.043333333333333335,1,5,0,0.002777777777777778,0.007222222222222223,0.01,0.0,0.01,1,5,0
shape_mismatch,Equal-MI shape mismatch,normal_wald,Normal Wald,6,300,1.0,0.9622222222222222,,0.085,0.018333333333333337,0.011666666666666672,0.05,0.10666666666666667,0,0,6,0.03777777777777778,0.016666666666666666,0.015000000000000003,0.02,0.06333333333333334,0,0,6,0.008333333333333333,0.0038888888888888883,0.004999999999999999,0.0033333333333333335,0.016666666666666666,0,0,6
shape_mismatch,Equal-MI shape mismatch,simple_welch,Simple Welch,6,300,1.0,0.9627777777777776,464.2003232228549,0.08333333333333333,0.017777777777777778,0.013333333333333336,0.05,0.10333333333333333,2,1,3,0.03722222222222222,0.017222222222222226,0.015000000000000003,0.016666666666666666,0.06333333333333334,0,1,5,0.008333333333333333,0.0038888888888888883,0.004999999999999999,0.0033333333333333335,0.016666666666666666,0,0,6
shape_mismatch,Equal-MI shape mismatch,expanded_welch,Expanded Welch,6,300,1.0,0.9633333333333333,82.83380440146686,0.08166666666666667,0.019444444444444448,0.01666666666666667,0.04666666666666667,0.10333333333333333,2,2,2,0.036666666666666674,0.01777777777777778,0.015000000000000003,0.016666666666666666,0.06333333333333334,0,2,4,0.006111111111111111,0.006111111111111111,0.006666666666666666,0.0,0.016666666666666666,0,3,3
