anchor_configuration_id,configuration_label,configuration_id,sample_scale,baseline_n_p,baseline_n_q,n_p,n_q,mi_p,mi_q,true_delta_p_minus_q,mi_difference,minimum_expected_count,mean_delta_corrected,mean_delta_error,sd_delta_corrected,mean_standard_error,rms_standard_error,method,method_label,replicates,valid_count,valid_rate,reject_count,rejection_rate,rejection_wilson_low,rejection_wilson_high,median_degrees_of_freedom,p_any_zero_cell_rate,q_any_zero_cell_rate,p_empty_margin_rate,q_empty_margin_rate
C2_N0_np20_nq200,"Balanced, unequal samples",CURVE_CURVE_C2_N0_np20_nq200_di0p5_scale0p5,0.5,20,200,10,100,0.09999999999999987,0.5999999999981145,-0.4999999999981146,0.5,0.9376710941234961,-0.4841112946310678,0.01588870536704684,0.1687904178385769,0.12221647114330217,0.12983391111123324,simple_welch,Simple Welch,50000,49979,0.99958,39674,0.7938134016286841,0.7902440273572529,0.7973376135183705,11.750557188291566,0.42284,0.62618,0.00398,0.0
C2_N0_np20_nq200,"Balanced, unequal samples",CURVE_CURVE_C2_N0_np20_nq200_di0p5_scale0p5,0.5,20,200,10,100,0.09999999999999987,0.5999999999981145,-0.4999999999981146,0.5,0.9376710941234961,-0.4841112946310678,0.01588870536704684,0.1687904178385769,0.12221647114330217,0.12983391111123324,expanded_welch,Expanded Welch,50000,48789,0.97578,15288,0.3133493205435651,0.3092482075182955,0.31747982357267746,3.370390621594897,0.42284,0.62618,0.00398,0.0
C2_N0_np20_nq200,"Balanced, unequal samples",CURVE_CURVE_C2_N0_np20_nq200_di0_scale1,1.0,20,200,20,200,0.09999999999999987,0.09999999999999987,0.0,0.0,2.8020537383859043,0.005009697767045434,0.005009697767045434,0.11214673818128722,0.09448474051875518,0.09932226275632401,normal_wald,Normal Wald,50000,50000,1.0,8494,0.16988,0.1666138078239628,0.17319691397455872,,0.09836,0.0,0.0,0.0
C2_N0_np20_nq200,"Balanced, unequal samples",CURVE_CURVE_C2_N0_np20_nq200_di0_scale1,1.0,20,200,20,200,0.09999999999999987,0.09999999999999987,0.0,0.0,2.8020537383859043,0.005009697767045434,0.005009697767045434,0.11214673818128722,0.09448474051875518,0.09932226275632401,simple_welch,Simple Welch,50000,50000,1.0,7926,0.15852,0.1553449443353369,0.16174752288797312,23.104373731607453,0.09836,0.0,0.0,0.0
C2_N0_np20_nq200,"Balanced, unequal samples",CURVE_CURVE_C2_N0_np20_nq200_di0_scale1,1.0,20,200,20,200,0.09999999999999987,0.09999999999999987,0.0,0.0,2.8020537383859043,0.005009697767045434,0.005009697767045434,0.11214673818128722,0.09448474051875518,0.09932226275632401,expanded_welch,Expanded Welch,50000,49911,0.99822,2826,0.056620784997295184,0.05462710423431741,0.05868271091328181,4.287801419986666,0.09836,0.0,0.0,0.0
C2_N0_np20_nq200,"Balanced, unequal samples",CURVE_CURVE_C2_N0_np20_nq200_di1em05_scale1,1.0,20,200,20,200,0.09999999999999987,0.10000999999999949,-9.999999999621423e-06,1e-05,2.8020537383859043,0.00558347747348285,0.0055934774734824715,0.11175437832330457,0.09476850530825137,0.09958123918628876,normal_wald,Normal Wald,50000,50000,1.0,8411,0.16822,0.16496678163016265,0.17152419522162898,,0.09958,0.0,0.0,0.0
C2_N0_np20_nq200,"Balanced, unequal samples",CURVE_CURVE_C2_N0_np20_nq200_di1em05_scale1,1.0,20,200,20,200,0.09999999999999987,0.10000999999999949,-9.999999999621423e-06,1e-05,2.8020537383859043,0.00558347747348285,0.0055934774734824715,0.11175437832330457,0.09476850530825137,0.09958123918628876,simple_welch,Simple Welch,50000,50000,1.0,7829,0.15658,0.1534210749200072,0.15979169037760652,23.086946123435776,0.09958,0.0,0.0,0.0
C2_N0_np20_nq200,"Balanced, unequal samples",CURVE_CURVE_C2_N0_np20_nq200_di1em05_scale1,1.0,20,200,20,200,0.09999999999999987,0.10000999999999949,-9.999999999621423e-06,1e-05,2.8020537383859043,0.00558347747348285,0.0055934774734824715,0.11175437832330457,0.09476850530825137,0.09958123918628876,expanded_welch,Expanded Welch,50000,49922,0.99844,2771,0.055506590280838104,0.05353206788059571,0.05754951425748314,4.353727769361429,0.09958,0.0,0.0,0.0
C2_N0_np20_nq200,"Balanced, unequal samples",CURVE_CURVE_C2_N0_np20_nq200_di0p0001_scale1,1.0,20,200,20,200,0.09999999999999987,0.10009999999999986,-9.999999999998899e-05,0.0001,2.8020537383859043,0.004050930022509978,0.004150930022509967,0.11099083769268847,0.09445928594310048,0.09933276965117077,normal_wald,Normal Wald,50000,50000,1.0,8401,0.16802,0.164768352498258,0.17132265508284328,,0.09518,0.0,0.0,0.0
C2_N0_np20_nq200,"Balanced, unequal samples",CURVE_CURVE_C2_N0_np20_nq200_di0p0001_scale1,1.0,20,200,20,200,0.09999999999999987,0.10009999999999986,-9.999999999998899e-05,0.0001,2.8020537383859043,0.004050930022509978,0.004150930022509967,0.11099083769268847,0.09445928594310048,0.09933276965117077,simple_welch,Simple Welch,50000,50000,1.0,7879,0.15758,0.15441273889280854,0.1607998727582569,23.102980195008513,0.09518,0.0,0.0,0.0
