anchor_configuration_id,configuration_label,configuration_id,sample_scale,baseline_n_p,baseline_n_q,n_p,n_q,mi_p,mi_q,true_delta_p_minus_q,mi_difference,minimum_expected_count
C1_N0_n50,"Balanced, moderate sample",CURVE_CURVE_C1_N0_n50_di0p05_scale2,2.0,50,50,100,100,0.09999999999999987,0.14999999999944302,-0.04999999999944316,0.05,11.66138878705905
C1_N0_n50,"Balanced, moderate sample",CURVE_CURVE_C1_N0_n50_di0p1_scale2,2.0,50,50,100,100,0.09999999999999987,0.19999999999999996,-0.10000000000000009,0.1,9.741358138509234
C1_N0_n50,"Balanced, moderate sample",CURVE_CURVE_C1_N0_n50_di0p2_scale2,2.0,50,50,100,100,0.09999999999999987,0.30000000000001115,-0.20000000000001128,0.2,6.679301267662597
C1_N0_n50,"Balanced, moderate sample",CURVE_CURVE_C1_N0_n50_di0p5_scale2,2.0,50,50,100,100,0.09999999999999987,0.5999999999981145,-0.4999999999981146,0.5,0.9376710941234961
C1_N0_n1000,"Balanced, large sample",CURVE_CURVE_C1_N0_n1000_di0_scale0p5,0.5,1000,1000,500,500,0.09999999999999987,0.09999999999999987,0.0,0.0,70.05134345964761
C1_N0_n1000,"Balanced, large sample",CURVE_CURVE_C1_N0_n1000_di1em05_scale0p5,0.5,1000,1000,500,500,0.09999999999999987,0.10000999999999949,-9.999999999621423e-06,1e-05,70.04869366515848
C1_N0_n1000,"Balanced, large sample",CURVE_CURVE_C1_N0_n1000_di0p0001_scale0p5,0.5,1000,1000,500,500,0.09999999999999987,0.10009999999999986,-9.999999999998899e-05,0.0001,70.02485215357845
C1_N0_n1000,"Balanced, large sample",CURVE_CURVE_C1_N0_n1000_di0p001_scale0p5,0.5,1000,1000,500,500,0.09999999999999987,0.1010000000000002,-0.001000000000000334,0.001,69.78709114623841
C1_N0_n1000,"Balanced, large sample",CURVE_CURVE_C1_N0_n1000_di0p005_scale0p5,0.5,1000,1000,500,500,0.09999999999999987,0.10499999999999998,-0.0050000000000001155,0.005,68.74443069495659
C1_N0_n1000,"Balanced, large sample",CURVE_CURVE_C1_N0_n1000_di0p01_scale0p5,0.5,1000,1000,500,500,0.09999999999999987,0.1100000000000001,-0.010000000000000231,0.01,67.47194221814156
C1_N0_n1000,"Balanced, large sample",CURVE_CURVE_C1_N0_n1000_di0p02_scale0p5,0.5,1000,1000,500,500,0.09999999999999987,0.11999999999999988,-0.020000000000000018,0.02,65.02157875304336
C1_N0_n1000,"Balanced, large sample",CURVE_CURVE_C1_N0_n1000_di0p05_scale0p5,0.5,1000,1000,500,500,0.09999999999999987,0.14999999999944302,-0.04999999999944316,0.05,58.306943935295244
C1_N0_n1000,"Balanced, large sample",CURVE_CURVE_C1_N0_n1000_di0p1_scale0p5,0.5,1000,1000,500,500,0.09999999999999987,0.19999999999999996,-0.10000000000000009,0.1,48.70679069254617
C1_N0_n1000,"Balanced, large sample",CURVE_CURVE_C1_N0_n1000_di0p2_scale0p5,0.5,1000,1000,500,500,0.09999999999999987,0.30000000000001115,-0.20000000000001128,0.2,33.39650633831298
C1_N0_n1000,"Balanced, large sample",CURVE_CURVE_C1_N0_n1000_di0p5_scale0p5,0.5,1000,1000,500,500,0.09999999999999987,0.5999999999981145,-0.4999999999981146,0.5,4.688355470617481
C1_N0_n1000,"Balanced, large sample",CURVE_CURVE_C1_N0_n1000_di0_scale1,1.0,1000,1000,1000,1000,0.09999999999999987,0.09999999999999987,0.0,0.0,140.10268691929522
C1_N0_n1000,"Balanced, large sample",CURVE_CURVE_C1_N0_n1000_di1em05_scale1,1.0,1000,1000,1000,1000,0.09999999999999987,0.10000999999999949,-9.999999999621423e-06,1e-05,140.09738733031696
C1_N0_n1000,"Balanced, large sample",CURVE_CURVE_C1_N0_n1000_di0p0001_scale1,1.0,1000,1000,1000,1000,0.09999999999999987,0.10009999999999986,-9.999999999998899e-05,0.0001,140.0497043071569
C1_N0_n1000,"Balanced, large sample",CURVE_CURVE_C1_N0_n1000_di0p001_scale1,1.0,1000,1000,1000,1000,0.09999999999999987,0.1010000000000002,-0.001000000000000334,0.001,139.57418229247682
C1_N0_n1000,"Balanced, large sample",CURVE_CURVE_C1_N0_n1000_di0p005_scale1,1.0,1000,1000,1000,1000,0.09999999999999987,0.10499999999999998,-0.0050000000000001155,0.005,137.48886138991318
C1_N0_n1000,"Balanced, large sample",CURVE_CURVE_C1_N0_n1000_di0p01_scale1,1.0,1000,1000,1000,1000,0.09999999999999987,0.1100000000000001,-0.010000000000000231,0.01,134.94388443628313
C1_N0_n1000,"Balanced, large sample",CURVE_CURVE_C1_N0_n1000_di0p02_scale1,1.0,1000,1000,1000,1000,0.09999999999999987,0.11999999999999988,-0.020000000000000018,0.02,130.04315750608671
C1_N0_n1000,"Balanced, large sample",CURVE_CURVE_C1_N0_n1000_di0p05_scale1,1.0,1000,1000,1000,1000,0.09999999999999987,0.14999999999944302,-0.04999999999944316,0.05,116.61388787059049
C1_N0_n1000,"Balanced, large sample",CURVE_CURVE_C1_N0_n1000_di0p1_scale1,1.0,1000,1000,1000,1000,0.09999999999999987,0.19999999999999996,-0.10000000000000009,0.1,97.41358138509234
C1_N0_n1000,"Balanced, large sample",CURVE_CURVE_C1_N0_n1000_di0p2_scale1,1.0,1000,1000,1000,1000,0.09999999999999987,0.30000000000001115,-0.20000000000001128,0.2,66.79301267662596
C1_N0_n1000,"Balanced, large sample",CURVE_CURVE_C1_N0_n1000_di0p5_scale1,1.0,1000,1000,1000,1000,0.09999999999999987,0.5999999999981145,-0.4999999999981146,0.5,9.376710941234961
C1_N0_n1000,"Balanced, large sample",CURVE_CURVE_C1_N0_n1000_di0_scale2,2.0,1000,1000,2000,2000,0.09999999999999987,0.09999999999999987,0.0,0.0,280.20537383859045
C1_N0_n1000,"Balanced, large sample",CURVE_CURVE_C1_N0_n1000_di1em05_scale2,2.0,1000,1000,2000,2000,0.09999999999999987,0.10000999999999949,-9.999999999621423e-06,1e-05,280.1947746606339
C1_N0_n1000,"Balanced, large sample",CURVE_CURVE_C1_N0_n1000_di0p0001_scale2,2.0,1000,1000,2000,2000,0.09999999999999987,0.10009999999999986,-9.999999999998899e-05,0.0001,280.0994086143138
C1_N0_n1000,"Balanced, large sample",CURVE_CURVE_C1_N0_n1000_di0p001_scale2,2.0,1000,1000,2000,2000,0.09999999999999987,0.1010000000000002,-0.001000000000000334,0.001,279.14836458495364
C1_N0_n1000,"Balanced, large sample",CURVE_CURVE_C1_N0_n1000_di0p005_scale2,2.0,1000,1000,2000,2000,0.09999999999999987,0.10499999999999998,-0.0050000000000001155,0.005,274.97772277982637
C1_N0_n1000,"Balanced, large sample",CURVE_CURVE_C1_N0_n1000_di0p01_scale2,2.0,1000,1000,2000,2000,0.09999999999999987,0.1100000000000001,-0.010000000000000231,0.01,269.88776887256626
C1_N0_n1000,"Balanced, large sample",CURVE_CURVE_C1_N0_n1000_di0p02_scale2,2.0,1000,1000,2000,2000,0.09999999999999987,0.11999999999999988,-0.020000000000000018,0.02,260.08631501217343
C1_N0_n1000,"Balanced, large sample",CURVE_CURVE_C1_N0_n1000_di0p05_scale2,2.0,1000,1000,2000,2000,0.09999999999999987,0.14999999999944302,-0.04999999999944316,0.05,233.22777574118098
C1_N0_n1000,"Balanced, large sample",CURVE_CURVE_C1_N0_n1000_di0p1_scale2,2.0,1000,1000,2000,2000,0.09999999999999987,0.19999999999999996,-0.10000000000000009,0.1,194.82716277018469
C1_N0_n1000,"Balanced, large sample",CURVE_CURVE_C1_N0_n1000_di0p2_scale2,2.0,1000,1000,2000,2000,0.09999999999999987,0.30000000000001115,-0.20000000000001128,0.2,133.58602535325193
C1_N0_n1000,"Balanced, large sample",CURVE_CURVE_C1_N0_n1000_di0p5_scale2,2.0,1000,1000,2000,2000,0.09999999999999987,0.5999999999981145,-0.4999999999981146,0.5,18.753421882469922
C1_N3_n50,One skewed population,CURVE_CURVE_C1_N3_n50_di0_scale0p5,0.5,50,50,25,25,0.03000000000000036,0.029999999999356874,6.434852650727407e-13,0.0,0.8648959216103085
C1_N3_n50,One skewed population,CURVE_CURVE_C1_N3_n50_di1em05_scale0p5,0.5,50,50,25,25,0.03000000000000036,0.030009999999358383,-9.999999358023537e-06,1e-05,0.8647470705965629
C1_N3_n50,One skewed population,CURVE_CURVE_C1_N3_n50_di0p0001_scale0p5,0.5,50,50,25,25,0.03000000000000036,0.030099999999374183,-9.99999993738232e-05,0.0001,0.863408596149424
C1_N3_n50,One skewed population,CURVE_CURVE_C1_N3_n50_di0p001_scale0p5,0.5,50,50,25,25,0.03000000000000036,0.030999999999493877,-0.0009999999994935171,0.001,0.8501393821870583
C1_N3_n50,One skewed population,CURVE_CURVE_C1_N3_n50_di0p005_scale0p5,0.5,50,50,25,25,0.03000000000000036,0.034999999999659415,-0.004999999999659055,0.005,0.7935319932386035
C1_N3_n50,One skewed population,CURVE_CURVE_C1_N3_n50_di0p01_scale0p5,0.5,50,50,25,25,0.03000000000000036,0.039999999999677294,-0.009999999999676934,0.01,0.7275445987264987
C1_N3_n50,One skewed population,CURVE_CURVE_C1_N3_n50_di0p02_scale0p5,0.5,50,50,25,25,0.03000000000000036,0.04999999999967819,-0.01999999999967783,0.02,0.608413964592508
