lam_target,sparse_bin,n,median_q95_standard,median_q95_formula,median_nu_norm,median_a
1.0,"(0.0, 0.25]",216,0.9358111510744295,1.0100674920545654,1.1025733373390243,0.9734554196854202
1.0,"(0.25, 0.5]",14,0.9188980848156514,1.0719015547792483,1.4056519243404408,0.8582680155962568
1.0,"(0.75, 1.0]",2,0.9107571531021363,0.9500355532539804,1.9856271772556084,0.5949555944229288
1.25,"(-0.002, 0.0]",494,0.9403338311209843,0.9954577368051061,1.0717352838281566,0.9973091325086175
1.5,"(-0.002, 0.0]",122,0.9397116235563707,0.9976441671661883,1.0559284381868568,1.0150101164620757
1.6,"(-0.002, 0.0]",497,0.9463441152204396,1.0034593406080443,1.035118987338432,1.0156614811379194
2.0,"(-0.002, 0.0]",522,0.9558003666825587,1.0075425477596913,1.0157210460992698,1.034081684325988
2.5,"(-0.002, 0.0]",506,0.9594565134497521,1.0081706996982942,1.0022945484309695,1.0455746158494477
3.0,"(-0.002, 0.0]",126,0.9640481590421921,1.0067649701334962,0.9902301715243884,1.0496921641644832
3.2,"(-0.002, 0.0]",506,0.9693229116291201,1.0099427696149923,0.9886353262376328,1.0442122587960412
4.0,"(-0.002, 0.0]",506,0.97570562290361,1.0076634273053355,0.9878688543942338,1.0384494011905998
5.0,"(-0.002, 0.0]",524,0.9827721610100633,0.9992327966187515,0.9926610677595917,1.027887099060345
7.5,"(-0.002, 0.0]",505,0.9896606557898459,0.9988072321414025,0.9973973425348154,1.0142460733676206
8.0,"(-0.002, 0.0]",126,0.9889514378699993,0.9932713065166356,0.9915365175231245,1.0176047511131134
10.0,"(-0.002, 0.0]",505,0.9925048983319956,1.0003865048327554,0.9988557041648098,1.010131922912104
12.0,"(-0.002, 0.0]",126,0.9956635415132065,1.0000970479564446,1.0028221651449212,1.0089194616292412
15.0,"(-0.002, 0.0]",505,0.9952980900886472,1.0016526958465044,0.9998111507052324,1.0056130249744712
20.0,"(-0.002, 0.0]",126,0.9966186563432052,0.9991115992657493,1.0034102835537841,1.0024903164203656
22.0,"(-0.002, 0.0]",504,0.9964960065613775,1.0018841314498226,1.0001492835627543,1.0037200220221827
30.0,"(-0.002, 0.0]",522,0.9974467305278383,1.0018051054913109,0.9987890585165292,1.0037427362270535
