stage,scenario_seed,scenario_id,scenario_key,replicates,valid_rate,mean_zero_fraction_p,mean_zero_fraction_q,mean_expected_below_1_p,mean_expected_below_1_q,mean_expected_below_5_p,mean_expected_below_5_q,median_welch_df,p05_welch_df,minimum_welch_df,wald_normal_fpr_10,wald_normal_fpr_10_low,wald_normal_fpr_10_high,wald_normal_fpr_05,wald_normal_fpr_05_low,wald_normal_fpr_05_high,wald_normal_coverage_95,welch_reference_fpr_10,welch_reference_fpr_10_low,welch_reference_fpr_10_high,welch_reference_fpr_05,welch_reference_fpr_05_low,welch_reference_fpr_05_high,welch_reference_coverage_95,welch_unbiased_fpr_10,welch_unbiased_fpr_10_low,welch_unbiased_fpr_10_high,welch_unbiased_fpr_05,welch_unbiased_fpr_05_low,welch_unbiased_fpr_05_high,welch_unbiased_coverage_95
broad,2026072601,random_3x7_d5,broad:2026072601:random_3x7_d5,5000,1.0,0.1271238095238095,9.523809523809523e-05,0.06457142857142857,0.0,0.36045714285714286,0.0,320.5328519926709,287.9007955967605,258.8344203920116,0.1226,0.11379769801158326,0.13198176341654583,0.0684,0.061729279053560085,0.07573340126541321,0.9316,0.1224,0.11360422386769062,0.1317755446412165,0.0676,0.06096785843452042,0.07489605020756494,0.9324,0.1218,0.11302384861458527,0.13115684113665593,0.067,0.06039697580822044,0.07426785407619903,0.933
broad,2026072601,random_4x6_d0,broad:2026072601:random_4x6_d0,5000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4772.277566091073,4581.195242565232,4064.511919842573,0.0946,0.08679635247448181,0.1030261002625705,0.0504,0.044673814062764695,0.05681650352623067,0.9496,0.0946,0.08679635247448181,0.1030261002625705,0.0502,0.04448534215006971,0.05660528251970368,0.9498,0.0946,0.08679635247448181,0.1030261002625705,0.0502,0.04448534215006971,0.05660528251970368,0.9498
broad,2026072601,random_4x6_d1,broad:2026072601:random_4x6_d1,5000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2348.5884409192836,2087.599958151171,1872.1808751892347,0.0968,0.08891101254321587,0.1053080623052782,0.047,0.041473496167793764,0.05322204179442799,0.953,0.0966,0.08871871668658596,0.10510066524268613,0.0466,0.04109752422905178,0.05279862789472602,0.9534,0.0964,0.08852643154627349,0.10489325746377662,0.0466,0.04109752422905178,0.05279862789472602,0.9534
broad,2026072601,random_4x6_d2,broad:2026072601:random_4x6_d2,5000,1.0,0.0025999999999999994,0.0351,0.0,0.0,0.008258333333333333,0.005449999999999999,894.4437905766823,838.1242542449343,789.1271699100824,0.1112,0.1027827165852735,0.1202142484472029,0.056,0.04996120599481009,0.06272051333240064,0.944,0.1112,0.1027827165852735,0.1202142484472029,0.0556,0.04958291385480927,0.06229941963395749,0.9444,0.1108,0.10239672947720273,0.11980084971682971,0.0554,0.049393802093284464,0.06208883847626033,0.9446
broad,2026072601,random_4x6_d3,broad:2026072601:random_4x6_d3,5000,1.0,8.333333333333332e-06,1.6666666666666664e-05,0.0,0.0,0.0,0.0,9571.219527427538,9371.825709838733,8884.06031142889,0.0916,0.08391488273466795,0.0999121762140547,0.0452,0.03978255839785056,0.05131574329137339,0.9548,0.0916,0.08391488273466795,0.0999121762140547,0.0452,0.03978255839785056,0.05131574329137339,0.9548,0.0914,0.08372287557926333,0.09970449045023735,0.0452,0.03978255839785056,0.05131574329137339,0.9548
broad,2026072601,random_4x6_d4,broad:2026072601:random_4x6_d4,5000,1.0,0.0013583333333333331,0.021841666666666662,0.0,0.0004833333333333333,0.00010833333333333333,0.14843333333333336,882.136902732633,753.763256626274,652.9969247945606,0.0976,0.08968030254353887,0.10613754398184314,0.0444,0.039031820881426316,0.05046770913090974,0.9556,0.0972,0.08929563628725427,0.10572282439968374,0.0444,0.039031820881426316,0.05046770913090974,0.9556,0.097,0.08910331908658219,0.10551544868113384,0.044,0.03865664033773348,0.05004350383615861,0.956
broad,2026072601,random_4x6_d5,broad:2026072601:random_4x6_d5,5000,1.0,0.19693333333333335,0.00031666666666666665,0.06758333333333334,0.0,0.4654666666666667,0.0,366.3828536944675,331.4804995244862,300.1133269408183,0.1158,0.10722408446271624,0.12496581771186564,0.0604,0.05412821616515825,0.06734674738493598,0.9396,0.1152,0.1066445174639681,0.12434630595294784,0.0596,0.0533698127022566,0.06650637917094972,0.9404,0.1146,0.10606502690790927,0.12372671775134074,0.0588,0.05261174177534381,0.0656656784209746,0.9412
broad,2026072601,random_5x5_d0,broad:2026072601:random_5x5_d0,5000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4975.607332157439,4815.48613529577,4387.591276715184,0.0942,0.08641201089382725,0.10261105600478113,0.044,0.03865664033773348,0.05004350383615861,0.956,0.094,0.08621985671290236,0.10240351726648403,0.0438,0.03846909782873126,0.04983135342593886,0.9562,0.094,0.08621985671290236,0.10240351726648403,0.0438,0.03846909782873126,0.04983135342593886,0.9562
broad,2026072601,random_5x5_d1,broad:2026072601:random_5x5_d1,5000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2423.3457249251264,2164.204577643765,1875.5495728592769,0.0946,0.08679635247448181,0.1030261002625705,0.0466,0.04109752422905178,0.05279862789472602,0.9534,0.0946,0.08679635247448181,0.1030261002625705,0.0466,0.04109752422905178,0.05279862789472602,0.9534,0.0944,0.08660417615817816,0.10281858365965217,0.0466,0.04109752422905178,0.05279862789472602,0.9534
broad,2026072601,random_5x5_d2,broad:2026072601:random_5x5_d2,5000,1.0,0.013039999999999998,0.027127999999999996,0.0,0.040015999999999996,0.03804,0.13688799999999998,936.9222040536259,869.4570849929138,821.1323858018898,0.105,0.09680402194170139,0.11380246259489372,0.055,0.04901564776937427,0.06166760696172657,0.945,0.1046,0.09641860881615973,0.11338848988199142,0.0546,0.04863758649946047,0.06124628239319642,0.9454,0.104,0.09584056149398838,0.11276745844649684,0.0542,0.04825961924472352,0.06082486380948941,0.9458
