stage,scenario_seed,scenario_id,scenario_key,replicates,batch_seconds,batch_microseconds_per_pair
hard,2026072601,random_5x5_d5,hard:2026072601:random_5x5_d5,20000,0.02146341698244214,1.073170849122107
hard,2026072601,random_5x10_d5,hard:2026072601:random_5x10_d5,20000,0.03236312500666827,1.6181562503334135
stress,2026072501,stress_random_2x2_d0_n20_20,stress:2026072501:stress_random_2x2_d0_n20_20,10000,0.009419542038813233,0.9419542038813233
stress,2026072501,stress_random_2x2_d0_n30_30,stress:2026072501:stress_random_2x2_d0_n30_30,10000,0.005541749997064471,0.5541749997064471
stress,2026072501,stress_random_2x2_d0_n50_50,stress:2026072501:stress_random_2x2_d0_n50_50,10000,0.005379292066209018,0.5379292066209018
stress,2026072501,stress_random_2x2_d0_n100_100,stress:2026072501:stress_random_2x2_d0_n100_100,10000,0.005355666973628104,0.5355666973628104
stress,2026072501,stress_random_2x5_d5_n30_120,stress:2026072501:stress_random_2x5_d5_n30_120,10000,0.007232042029500008,0.7232042029500008
stress,2026072501,stress_random_2x5_d5_n50_200,stress:2026072501:stress_random_2x5_d5_n50_200,10000,0.007139916997402906,0.7139916997402906
stress,2026072501,stress_random_2x5_d5_n100_400,stress:2026072501:stress_random_2x5_d5_n100_400,10000,0.006943125044927001,0.6943125044927001
stress,2026072501,stress_random_3x3_d2_n30_120,stress:2026072501:stress_random_3x3_d2_n30_120,10000,0.007487874943763018,0.7487874943763018
stress,2026072501,stress_random_3x3_d2_n50_200,stress:2026072501:stress_random_3x3_d2_n50_200,10000,0.00711883301846683,0.711883301846683
stress,2026072501,stress_random_3x3_d2_n100_400,stress:2026072501:stress_random_3x3_d2_n100_400,10000,0.0069889589212834835,0.6988958921283484
stress,2026072501,stress_random_4x6_d5_n50_200,stress:2026072501:stress_random_4x6_d5_n50_200,10000,0.01197729108389467,1.197729108389467
stress,2026072501,stress_random_4x6_d5_n100_400,stress:2026072501:stress_random_4x6_d5_n100_400,10000,0.011455291998572648,1.1455291998572648
stress,2026072501,stress_random_4x6_d5_n200_800,stress:2026072501:stress_random_4x6_d5_n200_800,10000,0.010843458934687078,1.0843458934687078
stress,2026072601,stress_random_2x2_d0_n20_20,stress:2026072601:stress_random_2x2_d0_n20_20,10000,0.005585542065091431,0.5585542065091431
stress,2026072601,stress_random_2x2_d0_n30_30,stress:2026072601:stress_random_2x2_d0_n30_30,10000,0.005389916943386197,0.5389916943386197
stress,2026072601,stress_random_2x2_d0_n50_50,stress:2026072601:stress_random_2x2_d0_n50_50,10000,0.0053204579744488,0.53204579744488
stress,2026072601,stress_random_2x2_d0_n100_100,stress:2026072601:stress_random_2x2_d0_n100_100,10000,0.005321290926076472,0.5321290926076472
stress,2026072601,stress_random_2x5_d5_n30_120,stress:2026072601:stress_random_2x5_d5_n30_120,10000,0.007031874964013696,0.7031874964013696
stress,2026072601,stress_random_2x5_d5_n50_200,stress:2026072601:stress_random_2x5_d5_n50_200,10000,0.006990000023506582,0.6990000023506582
stress,2026072601,stress_random_2x5_d5_n100_400,stress:2026072601:stress_random_2x5_d5_n100_400,10000,0.006812167004682124,0.6812167004682124
stress,2026072601,stress_random_3x3_d2_n30_120,stress:2026072601:stress_random_3x3_d2_n30_120,10000,0.0074750419007614255,0.7475041900761425
stress,2026072601,stress_random_3x3_d2_n50_200,stress:2026072601:stress_random_3x3_d2_n50_200,10000,0.007352208951488137,0.7352208951488137
stress,2026072601,stress_random_3x3_d2_n100_400,stress:2026072601:stress_random_3x3_d2_n100_400,10000,0.006979291909374297,0.6979291909374297
stress,2026072601,stress_random_4x6_d5_n50_200,stress:2026072601:stress_random_4x6_d5_n50_200,10000,0.011755708022974432,1.1755708022974432
stress,2026072601,stress_random_4x6_d5_n100_400,stress:2026072601:stress_random_4x6_d5_n100_400,10000,0.011165459058247507,1.1165459058247507
stress,2026072601,stress_random_4x6_d5_n200_800,stress:2026072601:stress_random_4x6_d5_n200_800,10000,0.015563042019493878,1.5563042019493878
