configuration,k,average_n,total_n,margin_pattern,z_pattern,replicates,mean_informative_strata,mean_lyapunov_ratio,mean_max_variance_share,zero_variance_fraction,method_seconds,method_seconds_per_table,conditional_mc_seconds_per_table,runtime_speedup_vs_conditional_mc,conditional_mc_anchor_count,conditional_mc_samples,normal_anchor_p_mae,edgeworth_anchor_p_mae,chi2_nominal_anchor_p_mae,chi2_informative_anchor_p_mae,alpha,normal_fpr,normal_size_distortion,edgeworth_fpr,edgeworth_size_distortion,cornish_fisher_fpr,cornish_fisher_size_distortion,chi2_nominal_fpr,chi2_nominal_size_distortion,chi2_informative_fpr,chi2_informative_size_distortion,conditional_mc_fpr,conditional_mc_size_distortion
k50_n5_asymmetric_random_uniform,50,5,250,asymmetric,random_uniform,5000,14.9228,0.5639277111396678,0.17460024434179133,0.0,0.43662362499162555,8.732472499832511e-05,0.0016525587509386242,18.92429378930561,100,1000,0.015761777952812642,0.011404820999912775,0.46010079276467125,0.440815966611023,0.1,0.116,0.016,0.108,0.007999999999999993,0.11,0.009999999999999995,0.0,0.1,0.844,0.744,0.11,0.009999999999999995
k50_n5_asymmetric_random_uniform,50,5,250,asymmetric,random_uniform,5000,14.9228,0.5639277111396678,0.17460024434179133,0.0,0.43662362499162555,8.732472499832511e-05,0.0016525587509386242,18.92429378930561,100,1000,0.015761777952812642,0.011404820999912775,0.46010079276467125,0.440815966611023,0.05,0.0632,0.013200000000000003,0.0496,0.0004000000000000045,0.0512,0.0011999999999999997,0.0,0.05,0.6934,0.6434,0.04,0.010000000000000002
k50_n5_asymmetric_random_uniform,50,5,250,asymmetric,random_uniform,5000,14.9228,0.5639277111396678,0.17460024434179133,0.0,0.43662362499162555,8.732472499832511e-05,0.0016525587509386242,18.92429378930561,100,1000,0.015761777952812642,0.011404820999912775,0.46010079276467125,0.440815966611023,0.01,0.0142,0.004200000000000001,0.009,0.0010000000000000009,0.0086,0.0014000000000000002,0.0,0.01,0.3262,0.3162,0.0,0.01
k50_n5_heterogeneous_fixed_equal,50,5,250,heterogeneous,fixed_equal,5000,15.907,0.5654601225418225,0.1517254865105995,0.0,0.13862300000619143,2.7724600001238286e-05,0.0016476608405355364,59.42956221052587,100,1000,0.017185728760372773,0.01638036029563519,0.4541404772441968,0.38502448099964903,0.1,0.112,0.011999999999999997,0.1022,0.0021999999999999936,0.1042,0.004199999999999995,0.0,0.1,0.549,0.44900000000000007,0.1,0.0
k50_n5_heterogeneous_fixed_equal,50,5,250,heterogeneous,fixed_equal,5000,15.907,0.5654601225418225,0.1517254865105995,0.0,0.13862300000619143,2.7724600001238286e-05,0.0016476608405355364,59.42956221052587,100,1000,0.017185728760372773,0.01638036029563519,0.4541404772441968,0.38502448099964903,0.05,0.0616,0.0116,0.047,0.0030000000000000027,0.0488,0.0011999999999999997,0.0,0.05,0.3588,0.3088,0.06,0.009999999999999995
k50_n5_heterogeneous_fixed_equal,50,5,250,heterogeneous,fixed_equal,5000,15.907,0.5654601225418225,0.1517254865105995,0.0,0.13862300000619143,2.7724600001238286e-05,0.0016476608405355364,59.42956221052587,100,1000,0.017185728760372773,0.01638036029563519,0.4541404772441968,0.38502448099964903,0.01,0.0166,0.0066,0.008,0.002,0.0076,0.0024000000000000002,0.0,0.01,0.1106,0.10060000000000001,0.02,0.01
k50_n5_heterogeneous_random_uniform,50,5,250,heterogeneous,random_uniform,5000,12.9886,0.6122871214287543,0.16972599697466315,0.0,0.3856946669984609,7.713893339969218e-05,0.0016114379197824746,20.89007261006418,100,1000,0.016470535136100226,0.014194674156917254,0.4730391941276026,0.4080222049054126,0.1,0.109,0.008999999999999994,0.0968,0.0032000000000000084,0.099,0.0010000000000000009,0.0,0.1,0.6716,0.5716,0.09,0.010000000000000009
k50_n5_heterogeneous_random_uniform,50,5,250,heterogeneous,random_uniform,5000,12.9886,0.6122871214287543,0.16972599697466315,0.0,0.3856946669984609,7.713893339969218e-05,0.0016114379197824746,20.89007261006418,100,1000,0.016470535136100226,0.014194674156917254,0.4730391941276026,0.4080222049054126,0.05,0.0622,0.012199999999999996,0.0482,0.001800000000000003,0.0502,0.0001999999999999988,0.0,0.05,0.4972,0.4472,0.04,0.010000000000000002
k50_n5_heterogeneous_random_uniform,50,5,250,heterogeneous,random_uniform,5000,12.9886,0.6122871214287543,0.16972599697466315,0.0,0.3856946669984609,7.713893339969218e-05,0.0016114379197824746,20.89007261006418,100,1000,0.016470535136100226,0.014194674156917254,0.4730391941276026,0.4080222049054126,0.01,0.0198,0.009800000000000001,0.0106,0.0005999999999999998,0.01,0.0,0.0,0.01,0.203,0.193,0.02,0.01
k50_n20_balanced_fixed_equal,50,20,1000,balanced,fixed_equal,5000,49.9994,0.442386968192757,0.023456092053259835,0.0,0.353556374902837,7.071127498056739e-05,0.003922354580136016,55.47000221978663,100,1000,0.017330909518999134,0.011037736869430152,0.14267649596949067,0.14267649596949067,0.1,0.0986,0.0014000000000000123,0.0916,0.008400000000000005,0.0932,0.0068000000000000005,0.2234,0.12339999999999998,0.2234,0.12339999999999998,0.1,0.0
k50_n20_balanced_fixed_equal,50,20,1000,balanced,fixed_equal,5000,49.9994,0.442386968192757,0.023456092053259835,0.0,0.353556374902837,7.071127498056739e-05,0.003922354580136016,55.47000221978663,100,1000,0.017330909518999134,0.011037736869430152,0.14267649596949067,0.14267649596949067,0.05,0.0564,0.006399999999999996,0.0446,0.005400000000000002,0.046,0.0040000000000000036,0.133,0.083,0.133,0.083,0.02,0.030000000000000002
k50_n20_balanced_fixed_equal,50,20,1000,balanced,fixed_equal,5000,49.9994,0.442386968192757,0.023456092053259835,0.0,0.353556374902837,7.071127498056739e-05,0.003922354580136016,55.47000221978663,100,1000,0.017330909518999134,0.011037736869430152,0.14267649596949067,0.14267649596949067,0.01,0.0172,0.0072,0.0096,0.00040000000000000105,0.009,0.0010000000000000009,0.0396,0.0296,0.0396,0.0296,0.0,0.01
k50_n20_balanced_random_uniform,50,20,1000,balanced,random_uniform,5000,49.9814,0.4345342145811934,0.02549029037748233,0.0,2.427985250018537,0.0004855970500037074,0.004123169590020553,8.490928002937979,100,1000,0.018676841712787884,0.010132611845782563,0.16527063423827454,0.16564730397789426,0.1,0.1102,0.0102,0.1034,0.0034000000000000002,0.1038,0.003799999999999998,0.251,0.151,0.2518,0.15180000000000002,0.08,0.020000000000000004
k50_n20_balanced_random_uniform,50,20,1000,balanced,random_uniform,5000,49.9814,0.4345342145811934,0.02549029037748233,0.0,2.427985250018537,0.0004855970500037074,0.004123169590020553,8.490928002937979,100,1000,0.018676841712787884,0.010132611845782563,0.16527063423827454,0.16564730397789426,0.05,0.063,0.012999999999999998,0.0504,0.0003999999999999976,0.0514,0.0013999999999999985,0.1598,0.1098,0.1606,0.11059999999999999,0.04,0.010000000000000002
k50_n20_balanced_random_uniform,50,20,1000,balanced,random_uniform,5000,49.9814,0.4345342145811934,0.02549029037748233,0.0,2.427985250018537,0.0004855970500037074,0.004123169590020553,8.490928002937979,100,1000,0.018676841712787884,0.010132611845782563,0.16527063423827454,0.16564730397789426,0.01,0.0184,0.0084,0.0098,0.00020000000000000052,0.0088,0.0011999999999999997,0.0502,0.0402,0.0502,0.0402,0.0,0.01
k50_n20_both_skew_fixed_equal,50,20,1000,both_skew,fixed_equal,5000,38.6262,0.6094475541024145,0.0437613083644461,0.0,0.19421470898669213,3.8842941797338425e-05,0.002349210000829771,60.47971374276143,100,1000,0.02051647542129524,0.009875305725450145,0.33888568354094106,0.07310879077054705,0.1,0.1048,0.004799999999999999,0.0936,0.006400000000000003,0.095,0.0050000000000000044,0.0054,0.0946,0.0608,0.039200000000000006,0.14,0.04000000000000001
k50_n20_both_skew_fixed_equal,50,20,1000,both_skew,fixed_equal,5000,38.6262,0.6094475541024145,0.0437613083644461,0.0,0.19421470898669213,3.8842941797338425e-05,0.002349210000829771,60.47971374276143,100,1000,0.02051647542129524,0.009875305725450145,0.33888568354094106,0.07310879077054705,0.05,0.062,0.011999999999999997,0.0468,0.0032000000000000015,0.0488,0.0011999999999999997,0.0012,0.0488,0.0292,0.020800000000000003,0.08,0.03
k50_n20_both_skew_fixed_equal,50,20,1000,both_skew,fixed_equal,5000,38.6262,0.6094475541024145,0.0437613083644461,0.0,0.19421470898669213,3.8842941797338425e-05,0.002349210000829771,60.47971374276143,100,1000,0.02051647542129524,0.009875305725450145,0.33888568354094106,0.07310879077054705,0.01,0.0222,0.0122,0.011,0.0009999999999999992,0.01,0.0,0.0,0.01,0.0058,0.004200000000000001,0.03,0.019999999999999997
k50_n20_both_skew_random_uniform,50,20,1000,both_skew,random_uniform,5000,37.6344,0.6122615639311725,0.050191927758482816,0.0,1.1459353340324014,0.0002291870668064803,0.0021838004200253635,9.528462711507665,100,1000,0.024613315086499426,0.012893934315373086,0.3693221920362888,0.07125054165783734,0.1,0.1062,0.006199999999999997,0.0966,0.0034000000000000002,0.0972,0.002800000000000011,0.0024,0.0976,0.064,0.036000000000000004,0.1,0.0
k50_n20_both_skew_random_uniform,50,20,1000,both_skew,random_uniform,5000,37.6344,0.6122615639311725,0.050191927758482816,0.0,1.1459353340324014,0.0002291870668064803,0.0021838004200253635,9.528462711507665,100,1000,0.024613315086499426,0.012893934315373086,0.3693221920362888,0.07125054165783734,0.05,0.0644,0.014399999999999996,0.0488,0.0011999999999999997,0.0512,0.0011999999999999997,0.0008,0.0492,0.0318,0.0182,0.04,0.010000000000000002
k50_n20_both_skew_random_uniform,50,20,1000,both_skew,random_uniform,5000,37.6344,0.6122615639311725,0.050191927758482816,0.0,1.1459353340324014,0.0002291870668064803,0.0021838004200253635,9.528462711507665,100,1000,0.024613315086499426,0.012893934315373086,0.3693221920362888,0.07125054165783734,0.01,0.0232,0.013199999999999998,0.0122,0.0022000000000000006,0.0104,0.0003999999999999993,0.0,0.01,0.0052,0.0048000000000000004,0.01,0.0
k50_n20_asymmetric_fixed_equal,50,20,1000,asymmetric,fixed_equal,5000,41.5984,0.32910554793803565,0.0398869180281889,0.0,0.2580657920334488,5.1613158406689765e-05,0.002476781659061089,47.987407388346625,100,1000,0.01389881639304844,0.010070387581130545,0.2789064052220293,0.4416499072232942,0.1,0.1036,0.003599999999999992,0.0994,0.0006000000000000033,0.0996,0.00040000000000001146,0.3166,0.2166,0.7112,0.6112000000000001,0.1,0.0
k50_n20_asymmetric_fixed_equal,50,20,1000,asymmetric,fixed_equal,5000,41.5984,0.32910554793803565,0.0398869180281889,0.0,0.2580657920334488,5.1613158406689765e-05,0.002476781659061089,47.987407388346625,100,1000,0.01389881639304844,0.010070387581130545,0.2789064052220293,0.4416499072232942,0.05,0.0588,0.008799999999999995,0.0504,0.0003999999999999976,0.0508,0.0007999999999999952,0.178,0.128,0.546,0.49600000000000005,0.05,0.0
k50_n20_asymmetric_fixed_equal,50,20,1000,asymmetric,fixed_equal,5000,41.5984,0.32910554793803565,0.0398869180281889,0.0,0.2580657920334488,5.1613158406689765e-05,0.002476781659061089,47.987407388346625,100,1000,0.01389881639304844,0.010070387581130545,0.2789064052220293,0.4416499072232942,0.01,0.015,0.004999999999999999,0.0088,0.0011999999999999997,0.0088,0.0011999999999999997,0.0408,0.0308,0.22,0.21,0.0,0.01
k50_n20_asymmetric_random_uniform,50,20,1000,asymmetric,random_uniform,5000,42.003,0.33807454313937313,0.04129384735220554,0.0,1.7046940410509706,0.00034093880821019413,0.002365116660948843,6.93707082911697,100,1000,0.012958035080298793,0.010941680792809372,0.2233361945661962,0.3843390258408937,0.1,0.1082,0.008199999999999999,0.1028,0.002799999999999997,0.1032,0.0031999999999999945,0.276,0.17600000000000002,0.6448,0.5448000000000001,0.11,0.009999999999999995
k50_n20_asymmetric_random_uniform,50,20,1000,asymmetric,random_uniform,5000,42.003,0.33807454313937313,0.04129384735220554,0.0,1.7046940410509706,0.00034093880821019413,0.002365116660948843,6.93707082911697,100,1000,0.012958035080298793,0.010941680792809372,0.2233361945661962,0.3843390258408937,0.05,0.058,0.008,0.0522,0.0022000000000000006,0.0522,0.0022000000000000006,0.1562,0.1062,0.4686,0.4186,0.04,0.010000000000000002
k50_n20_asymmetric_random_uniform,50,20,1000,asymmetric,random_uniform,5000,42.003,0.33807454313937313,0.04129384735220554,0.0,1.7046940410509706,0.00034093880821019413,0.002365116660948843,6.93707082911697,100,1000,0.012958035080298793,0.010941680792809372,0.2233361945661962,0.3843390258408937,0.01,0.014,0.004,0.0094,0.0005999999999999998,0.0092,0.0008000000000000004,0.0332,0.0232,0.1758,0.1658,0.0,0.01
k50_n20_heterogeneous_fixed_equal,50,20,1000,heterogeneous,fixed_equal,5000,38.248,0.4717468268155071,0.03979583029924086,0.0,0.26655808300711215,5.331161660142243e-05,0.0028104774991516025,52.71791925132908,100,1000,0.015332358305964702,0.010200457930083116,0.1774319256446612,0.1730370551196122,0.1,0.1078,0.007800000000000001,0.1006,0.0005999999999999894,0.1024,0.0023999999999999994,0.0256,0.07440000000000001,0.237,0.13699999999999998,0.09,0.010000000000000009
k50_n20_heterogeneous_fixed_equal,50,20,1000,heterogeneous,fixed_equal,5000,38.248,0.4717468268155071,0.03979583029924086,0.0,0.26655808300711215,5.331161660142243e-05,0.0028104774991516025,52.71791925132908,100,1000,0.015332358305964702,0.010200457930083116,0.1774319256446612,0.1730370551196122,0.05,0.0614,0.0114,0.0482,0.001800000000000003,0.0512,0.0011999999999999997,0.011,0.03900000000000001,0.134,0.084,0.06,0.009999999999999995
k50_n20_heterogeneous_fixed_equal,50,20,1000,heterogeneous,fixed_equal,5000,38.248,0.4717468268155071,0.03979583029924086,0.0,0.26655808300711215,5.331161660142243e-05,0.0028104774991516025,52.71791925132908,100,1000,0.015332358305964702,0.010200457930083116,0.1774319256446612,0.1730370551196122,0.01,0.0174,0.007399999999999999,0.0118,0.0017999999999999995,0.0114,0.0014000000000000002,0.0026,0.0074,0.0338,0.023799999999999995,0.01,0.0
k50_n20_heterogeneous_random_uniform,50,20,1000,heterogeneous,random_uniform,5000,37.9546,0.47477794946487284,0.042506218248866606,0.0,1.6757548339664936,0.0003351509667932987,0.0025637729198206218,7.649606218805285,100,1000,0.016590728308044422,0.010781087481434049,0.1812514078219243,0.1744113034703967,0.1,0.1108,0.01079999999999999,0.1024,0.0023999999999999994,0.104,0.00399999999999999,0.0266,0.0734,0.2372,0.1372,0.15,0.04999999999999999
k50_n20_heterogeneous_random_uniform,50,20,1000,heterogeneous,random_uniform,5000,37.9546,0.47477794946487284,0.042506218248866606,0.0,1.6757548339664936,0.0003351509667932987,0.0025637729198206218,7.649606218805285,100,1000,0.016590728308044422,0.010781087481434049,0.1812514078219243,0.1744113034703967,0.05,0.0648,0.014799999999999994,0.0488,0.0011999999999999997,0.0514,0.0013999999999999985,0.0122,0.0378,0.1346,0.0846,0.07,0.020000000000000004
k50_n20_heterogeneous_random_uniform,50,20,1000,heterogeneous,random_uniform,5000,37.9546,0.47477794946487284,0.042506218248866606,0.0,1.6757548339664936,0.0003351509667932987,0.0025637729198206218,7.649606218805285,100,1000,0.016590728308044422,0.010781087481434049,0.1812514078219243,0.1744113034703967,0.01,0.0182,0.0082,0.0112,0.0011999999999999997,0.01,0.0,0.001,0.009000000000000001,0.0338,0.023799999999999995,0.0,0.01
