configuration_id,anchor_configuration_id,configuration_label,n_p,n_q,mi_p,mi_q,mi_difference,minimum_expected_count,method,method_label,replicates,valid_count,valid_rate,reject_count,rejection_rate,wilson_low,wilson_high
CURVE_CURVE_C1_N0_n1000_di1em05_scale1,C1_N0_n1000,"Balanced, large sample",1000,1000,0.09999999999999987,0.10000999999999949,1e-05,140.09738733031696,bartlett_lr,Oracle Bartlett LR,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n1000_di1em05_scale1,C1_N0_n1000,"Balanced, large sample",1000,1000,0.09999999999999987,0.10000999999999949,1e-05,140.09738733031696,constrained_lr,Constrained LR,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n1000_di1em05_scale1,C1_N0_n1000,"Balanced, large sample",1000,1000,0.09999999999999987,0.10000999999999949,1e-05,140.09738733031696,empirical_lr,Oracle-calibrated LR,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n1000_di1em05_scale1,C1_N0_n1000,"Balanced, large sample",1000,1000,0.09999999999999987,0.10000999999999949,1e-05,140.09738733031696,expanded_welch,Expanded Welch,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n1000_di1em05_scale1,C1_N0_n1000,"Balanced, large sample",1000,1000,0.09999999999999987,0.10000999999999949,1e-05,140.09738733031696,normal_wald,Normal Wald,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n1000_di1em05_scale1,C1_N0_n1000,"Balanced, large sample",1000,1000,0.09999999999999987,0.10000999999999949,1e-05,140.09738733031696,simple_welch,Simple Welch,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n1000_di0p0001_scale1,C1_N0_n1000,"Balanced, large sample",1000,1000,0.09999999999999987,0.10009999999999986,0.0001,140.0497043071569,bartlett_lr,Oracle Bartlett LR,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n1000_di0p0001_scale1,C1_N0_n1000,"Balanced, large sample",1000,1000,0.09999999999999987,0.10009999999999986,0.0001,140.0497043071569,constrained_lr,Constrained LR,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n1000_di0p0001_scale1,C1_N0_n1000,"Balanced, large sample",1000,1000,0.09999999999999987,0.10009999999999986,0.0001,140.0497043071569,empirical_lr,Oracle-calibrated LR,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n1000_di0p0001_scale1,C1_N0_n1000,"Balanced, large sample",1000,1000,0.09999999999999987,0.10009999999999986,0.0001,140.0497043071569,expanded_welch,Expanded Welch,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n1000_di0p0001_scale1,C1_N0_n1000,"Balanced, large sample",1000,1000,0.09999999999999987,0.10009999999999986,0.0001,140.0497043071569,normal_wald,Normal Wald,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n1000_di0p0001_scale1,C1_N0_n1000,"Balanced, large sample",1000,1000,0.09999999999999987,0.10009999999999986,0.0001,140.0497043071569,simple_welch,Simple Welch,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n1000_di0p001_scale1,C1_N0_n1000,"Balanced, large sample",1000,1000,0.09999999999999987,0.1010000000000002,0.001,139.57418229247682,bartlett_lr,Oracle Bartlett LR,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n1000_di0p001_scale1,C1_N0_n1000,"Balanced, large sample",1000,1000,0.09999999999999987,0.1010000000000002,0.001,139.57418229247682,constrained_lr,Constrained LR,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n1000_di0p001_scale1,C1_N0_n1000,"Balanced, large sample",1000,1000,0.09999999999999987,0.1010000000000002,0.001,139.57418229247682,empirical_lr,Oracle-calibrated LR,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n1000_di0p001_scale1,C1_N0_n1000,"Balanced, large sample",1000,1000,0.09999999999999987,0.1010000000000002,0.001,139.57418229247682,expanded_welch,Expanded Welch,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n1000_di0p001_scale1,C1_N0_n1000,"Balanced, large sample",1000,1000,0.09999999999999987,0.1010000000000002,0.001,139.57418229247682,normal_wald,Normal Wald,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n1000_di0p001_scale1,C1_N0_n1000,"Balanced, large sample",1000,1000,0.09999999999999987,0.1010000000000002,0.001,139.57418229247682,simple_welch,Simple Welch,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n1000_di0p005_scale1,C1_N0_n1000,"Balanced, large sample",1000,1000,0.09999999999999987,0.10499999999999998,0.005,137.48886138991318,bartlett_lr,Oracle Bartlett LR,10,10,1.0,1,0.1,0.017876213095072896,0.4041500267952385
CURVE_CURVE_C1_N0_n1000_di0p005_scale1,C1_N0_n1000,"Balanced, large sample",1000,1000,0.09999999999999987,0.10499999999999998,0.005,137.48886138991318,constrained_lr,Constrained LR,10,10,1.0,1,0.1,0.017876213095072896,0.4041500267952385
CURVE_CURVE_C1_N0_n1000_di0p005_scale1,C1_N0_n1000,"Balanced, large sample",1000,1000,0.09999999999999987,0.10499999999999998,0.005,137.48886138991318,empirical_lr,Oracle-calibrated LR,10,10,1.0,1,0.1,0.017876213095072896,0.4041500267952385
CURVE_CURVE_C1_N0_n1000_di0p005_scale1,C1_N0_n1000,"Balanced, large sample",1000,1000,0.09999999999999987,0.10499999999999998,0.005,137.48886138991318,expanded_welch,Expanded Welch,10,10,1.0,1,0.1,0.017876213095072896,0.4041500267952385
CURVE_CURVE_C1_N0_n1000_di0p005_scale1,C1_N0_n1000,"Balanced, large sample",1000,1000,0.09999999999999987,0.10499999999999998,0.005,137.48886138991318,normal_wald,Normal Wald,10,10,1.0,1,0.1,0.017876213095072896,0.4041500267952385
CURVE_CURVE_C1_N0_n1000_di0p005_scale1,C1_N0_n1000,"Balanced, large sample",1000,1000,0.09999999999999987,0.10499999999999998,0.005,137.48886138991318,simple_welch,Simple Welch,10,10,1.0,1,0.1,0.017876213095072896,0.4041500267952385
CURVE_CURVE_C1_N0_n1000_di0p01_scale1,C1_N0_n1000,"Balanced, large sample",1000,1000,0.09999999999999987,0.1100000000000001,0.01,134.94388443628313,bartlett_lr,Oracle Bartlett LR,10,10,1.0,1,0.1,0.017876213095072896,0.4041500267952385
CURVE_CURVE_C1_N0_n1000_di0p01_scale1,C1_N0_n1000,"Balanced, large sample",1000,1000,0.09999999999999987,0.1100000000000001,0.01,134.94388443628313,constrained_lr,Constrained LR,10,10,1.0,1,0.1,0.017876213095072896,0.4041500267952385
