configuration_id,lr_valid_count,lr_valid_rate,lr_retry_count,lr_median_elapsed_ms,lr_p99_elapsed_ms,lr_max_constraint_residual,lr_median_iterations,lr_full_start_audit_count,lr_full_start_max_statistic_difference
CURVE_CURVE_C1_N6_n200_di0_scale1,10,1.0,0,6.215791450813413,8.510773389134556,6.67691570435669e-11,15.0,1,0.0
CURVE_CURVE_C1_N6_n200_di0p0001_scale1,10,1.0,0,6.318083498626947,13.194630118086934,2.045932007144202e-09,14.5,1,0.0
CURVE_CURVE_C1_N6_n200_di0p001_scale1,10,1.0,0,5.9638540260493755,9.742699204944074,1.951987356474394e-10,20.5,1,0.0
CURVE_CURVE_C1_N6_n200_di0p005_scale1,10,1.0,0,7.154062506742775,8.909161377232522,4.244445264006691e-10,30.0,1,0.0
CURVE_CURVE_C1_N6_n200_di1em05_scale1,10,1.0,0,6.746728904545307,13.32961497362703,2.1927395663090543e-10,33.0,1,0.0
CURVE_CURVE_C1_N7_n1000_di0_scale1,10,1.0,0,9.095291956327856,21.762049277313057,1.5432572508797325e-11,32.5,1,0.0
CURVE_CURVE_C1_N7_n1000_di0p0001_scale1,10,1.0,0,8.72918707318604,24.918566322885454,1.2168231578054377e-11,31.0,1,0.0
CURVE_CURVE_C1_N7_n1000_di0p001_scale1,10,1.0,0,6.408479064702988,23.059438162017617,1.1830098099047115e-11,19.5,1,0.0
CURVE_CURVE_C1_N7_n1000_di0p005_scale1,10,1.0,0,6.44116650801152,20.62595532042906,5.057916498824033e-11,19.0,1,0.0
CURVE_CURVE_C1_N7_n1000_di1em05_scale1,10,1.0,0,9.075249428860843,17.77903615264222,1.0217928269446418e-11,36.5,1,0.0
CURVE_CURVE_C2_N0_np20_nq200_di0_scale1,10,1.0,0,4.01918706484139,10.316022681072354,8.958135885861473e-09,11.0,1,0.0
CURVE_CURVE_C2_N0_np20_nq200_di0p0001_scale1,10,1.0,0,3.8964380510151386,5.661069282796234,1.696773471726587e-09,10.0,1,0.0
CURVE_CURVE_C2_N0_np20_nq200_di0p001_scale1,10,1.0,0,4.0529376128688455,6.2271700031124055,9.883712737135397e-10,11.0,1,0.0
CURVE_CURVE_C2_N0_np20_nq200_di0p005_scale1,10,1.0,0,3.922875039279461,4.26428034203127,2.9518938821082585e-09,11.0,1,0.0
CURVE_CURVE_C2_N0_np20_nq200_di0p01_scale1,10,1.0,0,3.7752919597551227,6.744791886303574,9.12710811096229e-09,10.5,1,0.0
CURVE_CURVE_C2_N0_np20_nq200_di0p02_scale1,10,1.0,0,4.052062402479351,16.061683807056397,5.54075009484567e-09,11.5,1,0.0
CURVE_CURVE_C2_N0_np20_nq200_di0p05_scale1,10,1.0,0,3.8123750127851963,10.1941720652394,4.463140412802602e-10,10.0,1,0.0
CURVE_CURVE_C2_N0_np20_nq200_di0p1_scale1,10,1.0,0,3.8794371066614985,4.330679252743721,2.354111044988727e-09,10.5,1,0.0
CURVE_CURVE_C2_N0_np20_nq200_di0p2_scale1,10,1.0,0,4.011124488897622,4.544636888895184,5.434747096799697e-10,11.5,1,0.0
CURVE_CURVE_C2_N0_np20_nq200_di0p5_scale1,10,1.0,0,5.439291591756046,10.913997364696115,7.683207403630377e-10,15.5,1,0.0
CURVE_CURVE_C2_N0_np20_nq200_di1em05_scale1,10,1.0,0,3.9969164645299315,6.023344360291958,5.631164562425184e-10,10.0,1,0.0
CURVE_CURVE_C2_N3_np500_nq50_di0_scale1,10,1.0,0,4.806979093700647,5.55228112032637,2.8550137254335084e-10,11.5,1,0.0
CURVE_CURVE_C2_N3_np500_nq50_di0p0001_scale1,10,1.0,0,4.73202089779079,6.972615607082844,2.7952262726671506e-10,12.0,1,0.0
CURVE_CURVE_C2_N3_np500_nq50_di0p001_scale1,10,1.0,0,4.604166490025818,5.468696968164295,5.7958783605815967e-11,11.0,1,0.0
CURVE_CURVE_C2_N3_np500_nq50_di0p005_scale1,10,1.0,0,4.535041516646743,4.812836300116032,6.121951626192335e-10,10.5,1,0.0
CURVE_CURVE_C2_N3_np500_nq50_di0p01_scale1,10,1.0,0,4.335665958933532,5.190664881374687,3.445674370827767e-10,10.0,1,0.0
CURVE_CURVE_C2_N3_np500_nq50_di0p02_scale1,10,1.0,0,4.360604449175298,5.16720209736377,2.162407128358801e-10,10.5,1,0.0
CURVE_CURVE_C2_N3_np500_nq50_di0p05_scale1,10,1.0,0,4.751187516376376,5.400447517167777,2.77297254602793e-10,12.5,1,0.0
CURVE_CURVE_C2_N3_np500_nq50_di0p1_scale1,10,1.0,0,4.924083477817476,5.550290795508772,9.214812246582937e-11,13.0,1,0.0
CURVE_CURVE_C2_N3_np500_nq50_di1em05_scale1,10,1.0,0,4.352812422439456,6.026126660872251,5.626564353322649e-10,11.5,1,0.0
CURVE_CURVE_C2_N5_np200_nq2000_di0_scale1,10,1.0,0,4.33499994687736,4.6902694390155375,8.020140281062016e-11,11.0,1,0.0
CURVE_CURVE_C2_N5_np200_nq2000_di0p0001_scale1,10,1.0,0,4.158416646532714,6.69891050318256,5.728007304584004e-11,11.0,1,0.0
CURVE_CURVE_C2_N5_np200_nq2000_di0p001_scale1,10,1.0,0,4.262291942723095,5.361559193115681,1.1845456907022545e-11,11.0,1,0.0
CURVE_CURVE_C2_N5_np200_nq2000_di0p005_scale1,10,1.0,0,4.1940410155802965,4.756774485576898,1.23371476229428e-10,10.5,1,0.0
CURVE_CURVE_C2_N5_np200_nq2000_di0p01_scale1,10,1.0,0,4.512604558840394,4.852747458498925,1.797761037258816e-10,12.0,1,0.0
CURVE_CURVE_C2_N5_np200_nq2000_di0p02_scale1,10,1.0,0,4.615770885720849,7.814619201235473,2.6970531710746037e-10,11.5,1,0.0
CURVE_CURVE_C2_N5_np200_nq2000_di1em05_scale1,10,1.0,0,4.215292050503194,4.563139283563942,4.924782213977519e-10,10.0,1,0.0
CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0_scale1,10,1.0,0,4.6732500195503235,4.8616808373481035,3.561065026191912e-09,9.0,1,0.0
CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0p0001_scale1,10,1.0,0,4.686083528213203,4.810178882908076,1.588725678791647e-11,9.0,1,0.0
CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0p001_scale1,10,1.0,0,4.6554586151614785,4.781312458217144,6.302651803236081e-11,9.0,1,0.0
CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0p005_scale1,10,1.0,0,4.681665915995836,4.820096392650157,5.985378859207913e-12,9.0,1,0.0
