p_X,p_Y,ratio,N,lam,mu,sigma2,nu,a
0.2,0.2,1.0,150,6.0,1.0645393744525349,2.101792037320267,1.078359856386793,0.9871837941180731
0.2,0.2,1.0,200,8.0,1.044915834904251,2.164688663874154,1.0087816509183916,1.0358196285122385
0.2,0.2,1.0,300,12.0,1.0105612783007003,2.094095187175008,0.9753463963387626,1.036105000330269
0.2,0.2,1.0,500,20.0,1.0246721432197832,2.23394797046139,0.9399977214991009,1.0900793903900576
0.2,0.2,1.0,750,30.0,0.9888851220791478,2.0001206280691317,0.9778348075071114,1.0113007989562246
0.2,0.2,1.0,1000,40.0,0.9850767038019356,1.887072287641815,1.0284461477476514,0.9578301265061888
0.3,0.012,25.0,10,0.036000000000000004,0.12802196161853732,0.2781063075061942,0.11786588232122856,1.0861664045379107
0.3,0.012,25.0,20,0.07200000000000001,0.270937231264799,0.47387559180483485,0.3098154222539817,0.8745117634676335
0.3,0.012,25.0,30,0.108,0.389471066851726,0.619571812590004,0.4896533665097498,0.795401591186591
0.3,0.012,25.0,50,0.18,0.5410793721813041,0.7602329128266035,0.7702031365929284,0.7025151501911866
0.3,0.012,25.0,75,0.27,0.7352064607365356,1.0548788766232966,1.0248163118764753,0.7174031601725253
0.3,0.012,25.0,100,0.36,0.8498920688413066,1.051700141706264,1.3736168705035634,0.6187257066300729
0.3,0.012,25.0,150,0.54,1.0156899425249075,1.4239138316903854,1.4490006858372393,0.7009589108220726
0.3,0.012,25.0,200,0.72,1.1584007906553686,1.6455821229874295,1.6309029771846077,0.710281854200236
0.3,0.012,25.0,300,1.08,1.2235192914431579,2.016981454097677,1.4843958564837367,0.8242540465866377
0.3,0.012,25.0,500,1.8,1.1541617429129114,2.255771046756057,1.181050116517276,0.977233503279561
0.3,0.012,25.0,750,2.7,1.097346061380273,2.493363941509507,0.9658986066011549,1.136088253860994
0.3,0.012,25.0,1000,3.6,1.0638447788159282,2.3811904023922636,0.9505881699144112,1.1191437180537545
0.3,0.03,10.0,10,0.09,0.32877741520738146,0.6434398685303765,0.33598971415102424,0.9785341674465639
0.3,0.03,10.0,20,0.18,0.5761198850260556,0.8581757826155971,0.7735341142133112,0.7447892399832591
0.3,0.03,10.0,30,0.27,0.7678261518209171,1.177522263229005,1.0013517668930234,0.7667896309838395
0.3,0.03,10.0,50,0.44999999999999996,1.0032741048564766,1.3226386445055578,1.522046756545279,0.6591611594992616
0.3,0.03,10.0,75,0.6749999999999999,1.1458002078571883,1.6449484253124633,1.596230126274256,0.7178164282186483
0.3,0.03,10.0,100,0.8999999999999999,1.180876311378219,1.6847350043213867,1.6554162633261393,0.7133410112847071
0.3,0.03,10.0,150,1.3499999999999999,1.2022047278743582,2.16031479958078,1.3380422223686352,0.8984804124836853
0.3,0.03,10.0,200,1.7999999999999998,1.1580006473511646,2.394773881486234,1.1199099085158655,1.0340123241571975
0.3,0.03,10.0,300,2.6999999999999997,1.0982309613891639,2.291602347327462,1.0526357209926684,1.0433153079334014
0.3,0.03,10.0,500,4.5,1.056745646201878,2.1276712272910725,1.0497029300794836,1.0067092468931769
0.3,0.03,10.0,750,6.75,1.0626620591726115,2.370530405883812,0.9527409133433603,1.1153735966302902
0.3,0.03,10.0,1000,9.0,1.0536288629178847,2.269068120943224,0.9784931272245502,1.076787187975917
0.3,0.06,5.0,10,0.18,0.5665804245260354,0.9998045694541884,0.6421522510771273,0.8823147837225054
0.3,0.06,5.0,20,0.36,0.8758566311915629,1.4156786199157598,1.0837556315541181,0.8081680091807912
0.3,0.06,5.0,30,0.54,1.0546635780183615,1.4289911014134316,1.5567840299331306,0.6774629991956321
0.3,0.06,5.0,50,0.8999999999999999,1.1532190822157824,1.6747340402569884,1.5882094943057776,0.7261126988287312
0.3,0.06,5.0,75,1.3499999999999999,1.2031988230074637,2.174008311300276,1.3318140507206093,0.9034285397097626
0.3,0.06,5.0,100,1.7999999999999998,1.151025044734476,2.243114635471859,1.181267004953857,0.9743987091042451
0.3,0.06,5.0,150,2.6999999999999997,1.1372944487354129,2.5001190066748564,1.0347016759371406,1.0991520311449703
0.3,0.06,5.0,200,3.5999999999999996,1.0568088647069631,2.2339039126760967,0.9999042216505186,1.0569100938112985
0.3,0.06,5.0,300,5.3999999999999995,1.0441156408477403,2.2516910364473373,0.9683188801807754,1.0782766526795537
0.3,0.06,5.0,500,9.0,1.038251007960852,2.171764489933039,0.9927090718432011,1.0458764177838038
0.3,0.06,5.0,750,13.5,0.9989272941528066,2.0538202436545694,0.9717069856394661,1.0280128772517028
0.3,0.06,5.0,1000,18.0,1.0396738325286223,2.2761548301761465,0.9497786914268076,1.0946485132939439
0.3,0.15,2.0,10,0.44999999999999996,1.0889475265575845,1.9344314429363367,1.2260002492473,0.8882115050352898
0.3,0.15,2.0,20,0.8999999999999999,1.175675723100465,1.7218034698914706,1.6055414338024603,0.7322612162777207
0.3,0.15,2.0,30,1.3499999999999999,1.2153575142104256,2.214615149502713,1.3339508561380726,0.9110961686617248
0.3,0.15,2.0,50,2.25,1.1584076687629965,2.407577586230816,1.114737348215428,1.0391754350183746
0.3,0.15,2.0,75,3.375,1.078955197248771,2.361369637071201,0.9859907567152584,1.0942853063280384
0.3,0.15,2.0,100,4.5,1.0597542548391017,2.180084813936488,1.0303076958016901,1.0285803543518122
0.3,0.15,2.0,150,6.75,1.0498932753414192,2.2391930094557444,0.9845295916452069,1.0663907761136826
0.3,0.15,2.0,200,9.0,1.0123708020787685,2.0630256820191337,0.9935839866991085,1.018908130194483
0.3,0.15,2.0,300,13.5,1.0283898817356625,2.2291806256778677,0.9488560385587331,1.083820769373758
0.3,0.15,2.0,500,22.5,0.9636047218619763,1.8758094103935896,0.9900089581061097,0.9733292956311782
0.3,0.15,2.0,750,33.75,0.9980529224736118,2.037029951901588,0.9780019534108851,1.0205019724069024
0.3,0.15,2.0,1000,45.0,1.0334497050410383,2.059867710767154,1.0369775566331376,0.9965979479791698
0.3,0.3,1.0,10,0.8999999999999999,1.253011414499767,2.3193372884088626,1.3538674281771252,0.9255052514165639
