p,N,lam,mu,sigma2,nu,a
0.05,150,0.37500000000000006,0.923199493069832,1.0052568768869221,1.6956806237303,0.5444418483941278
0.05,200,0.5000000000000001,1.0266093612627103,1.0786132142976868,1.9542256049931104,0.5253279655325823
0.05,300,0.7500000000000001,1.0995485586142655,1.1443573756886405,2.112988579329362,0.5203760064634374
0.05,500,1.2500000000000002,1.1594528362153866,1.7893725218863399,1.5025723967089013,0.7716452390280477
0.05,750,1.8750000000000004,1.1618510020712847,2.209814386355405,1.221729534705766,0.9509887164601435
0.05,1000,2.5000000000000004,1.1021797556613144,2.3501791408622856,1.0337937161198036,1.0661505660899044
0.03,10,0.009,0.07282073014036623,0.3411033493124328,0.03109238738854424,2.342075866686149
0.03,20,0.018,0.11672041904473222,0.5049677535105663,0.053958519637206166,2.163150876441941
0.03,30,0.027,0.19957280647510667,0.9324936429451186,0.08542536538599117,2.336224206631657
0.03,50,0.045,0.2557430446229356,0.9583734126332467,0.13649064970052133,1.8737037678703259
0.03,75,0.0675,0.37206821932468104,1.2055835736939384,0.22965601531426208,1.6201109246607002
0.03,100,0.09,0.44281836372962124,1.1334199333733503,0.3460113899224806,1.2797797316118091
0.03,150,0.135,0.5901253978747255,1.2977326178081665,0.5367022149832129,1.0995397101038304
0.03,200,0.18,0.652432911403646,0.8912158499114875,0.9552538903452261,0.6829942468675616
0.03,300,0.27,0.7917476914552836,0.7174722003617271,1.747424936070625,0.45309396421666015
0.03,500,0.45,0.97050649239649,0.8589369194448033,2.193136260559272,0.44251992447974986
0.03,750,0.6749999999999999,1.0985250307829373,1.0364778705922675,2.3285730983664594,0.4717588773801323
0.03,1000,0.9,1.136301042827307,1.24206240812237,2.0790904732110955,0.5465375641264532
0.02,10,0.004,0.02959733521960567,0.11865840158573877,0.014765111284071004,2.0045453535819986
0.02,20,0.008,0.07464431128486697,0.4047590239779542,0.027531310617527296,2.711251648054345
0.02,30,0.012,0.10755525897310399,0.5809489025481487,0.03982496113524444,2.7006996593882255
0.02,50,0.02,0.11920982826892983,0.5048073748519524,0.056302597243455384,2.1173060232631946
0.02,75,0.030000000000000002,0.21503133493969911,0.9641318036682918,0.095917331696813,2.2418402507212765
0.02,100,0.04,0.2725790217706132,1.1078074867070762,0.13413760784425982,2.0320850069660588
0.02,150,0.060000000000000005,0.3406592970748755,1.1108140309580126,0.2089436277348117,1.6303885443553008
0.02,200,0.08,0.45891874516227243,1.2555154954879566,0.3354899488189311,1.3679060930971665
0.02,300,0.12000000000000001,0.5369601029702951,1.1115636777240392,0.5187757713930101,1.0350523917654377
0.02,500,0.2,0.6776956583725708,0.7541301525645374,1.2180162901992662,0.5563929348282366
0.02,750,0.3,0.8375364599942217,0.8054541766149856,1.7417932445707838,0.48084723178531397
0.02,1000,0.4,0.9723409982606676,0.9058781286245293,2.087360290581478,0.4658232709743662
0.01,10,0.001,0.01110886330059749,0.061200506657218934,0.004032870006209507,2.7545800592364507
0.01,20,0.002,0.025511954201303155,0.1464303915192975,0.008889681990416797,2.8698387893746258
0.01,30,0.003,0.028416673966794325,0.15907981447376385,0.010152229080808541,2.799057600119793
0.01,50,0.005,0.0540729535844211,0.37372167182842153,0.015647389647156115,3.4557172029168948
0.01,75,0.007500000000000001,0.06835437813766515,0.38983653234378424,0.023970667820667695,2.8515842215597127
0.01,100,0.01,0.0921394333257479,0.5576679741077625,0.030447060142454643,3.0262177331620563
0.01,150,0.015000000000000001,0.14984080563675015,0.8993945611316737,0.04992751347221737,3.0011669962320564
0.01,200,0.02,0.15618445359249558,0.7667841374048051,0.06362568643255176,2.45473899535942
0.01,300,0.030000000000000002,0.2541520379071348,1.1399878176750562,0.11332271691128097,2.242728067542781
0.01,500,0.05,0.3290463899535582,1.109963582777286,0.19509023254719476,1.6866369251672186
0.01,750,0.075,0.39605376587308155,0.9140899039961714,0.3432016583412712,1.1539972382046464
0.01,1000,0.1,0.44572629317875406,0.8175409547914597,0.48602318273229583,0.9170885443632479
