regime,regime_label,method,method_label,population_pairs,mean_valid_rate,mean_fpr_10,mean_absolute_fpr_error_10,mean_fpr_05,mean_absolute_fpr_error_05,mean_fpr_01,mean_absolute_fpr_error_01
highly_sparse,Highly skewed and sparse,jackknife_normal,Jackknife correction + Normal Wald,12,0.9999916666666667,0.107667535086842,0.008817535086842012,0.056342094209420955,0.007358760876087607,0.013050100843417676,0.003166767510084342
highly_sparse,Highly skewed and sparse,jackknife_simple,Jackknife correction + Simple Welch,12,0.9999916666666667,0.10658415841584157,0.007999174917491745,0.055217055872253895,0.006849610794412774,0.012541752508584194,0.0026750858419175246
highly_sparse,Highly skewed and sparse,jackknife_expanded,Jackknife correction + Expanded Welch,12,0.9999916666666667,0.1034507234056739,0.007315943260992763,0.0525670025335867,0.00561633079974664,0.011316738340500718,0.0018332616594992834
ultra_sparse,Ultra-skewed and sparse,analytic_normal,Analytic correction + Normal Wald,12,1.0,0.13176666666666667,0.031766666666666665,0.07504166666666667,0.025041666666666667,0.021916666666666668,0.012100000000000001
ultra_sparse,Ultra-skewed and sparse,analytic_simple,Analytic correction + Simple Welch,12,1.0,0.12900833333333334,0.02900833333333333,0.07208333333333333,0.02208333333333333,0.019916666666666666,0.010116666666666668
ultra_sparse,Ultra-skewed and sparse,analytic_expanded,Analytic correction + Expanded Welch,12,1.0,0.12055000000000003,0.020583333333333332,0.06305000000000001,0.013399999999999997,0.013125000000000003,0.004075
ultra_sparse,Ultra-skewed and sparse,jackknife_normal,Jackknife correction + Normal Wald,12,1.0,0.16588333333333335,0.06588333333333334,0.10324166666666668,0.053241666666666666,0.0376,0.0277
ultra_sparse,Ultra-skewed and sparse,jackknife_simple,Jackknife correction + Simple Welch,12,1.0,0.16282500000000003,0.06282499999999999,0.10006666666666668,0.05006666666666667,0.034833333333333334,0.02495
ultra_sparse,Ultra-skewed and sparse,jackknife_expanded,Jackknife correction + Expanded Welch,12,1.0,0.15356666666666666,0.05356666666666667,0.08938333333333333,0.03938333333333333,0.025124999999999998,0.015475000000000003
widespread_sparse,Widespread sparsity,analytic_normal,Analytic correction + Normal Wald,12,0.974475,0.12011451261507529,0.028009249457180557,0.06621217905864989,0.020866237478356447,0.01747867925844063,0.00851717703741492
widespread_sparse,Widespread sparsity,analytic_simple,Analytic correction + Simple Welch,12,0.974475,0.117332238066091,0.025832709192756764,0.06399801059935573,0.01887641505038098,0.016078204108895214,0.007251309506660727
widespread_sparse,Widespread sparsity,analytic_expanded,Analytic correction + Expanded Welch,12,0.974475,0.10900294372445314,0.01828862596073439,0.056869543765517255,0.012768926946532887,0.012669515174286763,0.004382237305745207
widespread_sparse,Widespread sparsity,jackknife_normal,Jackknife correction + Normal Wald,12,0.974475,0.12479328715417017,0.03223933193363802,0.0685990264577087,0.022759523608514094,0.018415469102399787,0.009364228468846596
widespread_sparse,Widespread sparsity,jackknife_simple,Jackknife correction + Simple Welch,12,0.974475,0.12204066901821432,0.03056357474801198,0.06650205806734394,0.020954205058863667,0.016717932769055185,0.007711561341765733
widespread_sparse,Widespread sparsity,jackknife_expanded,Jackknife correction + Expanded Welch,12,0.974475,0.11384271677781567,0.023227705442759452,0.05895741896173603,0.01466222299529761,0.012867917476139128,0.004140861629245821
