scenario_id,regime,regime_label,variant,rows,columns,n_p,n_q,target_mi,minimum_joint_expected_pair,sample_size_ratio_q_to_p,simulation_seed,replicates,correction,valid_replicates,mean_delta_error,mean_standard_error,standardized_mean_bias,empirical_delta_sd,sd_to_mean_se_ratio
stress_3x3_d6,ultra_sparse,Ultra-skewed and sparse,variant_1,3,3,64,64,0.1,0.1684496381393881,1.0,3155669485,10000,analytic,10000,0.005882613254569609,0.07628153838264355,0.07711712924641395,0.08164853930952545,1.0703577961414457
stress_3x3_d6,ultra_sparse,Ultra-skewed and sparse,variant_1,3,3,64,64,0.1,0.1684496381393881,1.0,3155669485,10000,jackknife,10000,-0.006769895339044967,0.07628153838264355,-0.088748804528375,0.08458647813900037,1.1088722111855895
stress_3x3_d7,ultra_sparse,Ultra-skewed and sparse,variant_2,3,3,70,700,0.15,0.609930399459118,10.0,3915028103,10000,analytic,10000,0.0029619728518674266,0.05584081548794344,0.05304315178754767,0.06082357907096372,1.0892315690499919
stress_3x3_d7,ultra_sparse,Ultra-skewed and sparse,variant_2,3,3,70,700,0.15,0.609930399459118,10.0,3915028103,10000,jackknife,10000,-0.0006382567896744293,0.05584081548794344,-0.01142993317875587,0.06404532145842437,1.1469266861307275
adversarial_3x3_d8,widespread_sparse,Widespread sparsity,variant_1,3,3,50,50,0.1,0.0005112066617647,1.0,1035720000,10000,analytic,9999,0.020953052521776875,0.0768451299303522,0.27266597819233906,0.07991022806653877,1.0398866933918207
adversarial_3x3_d8,widespread_sparse,Widespread sparsity,variant_1,3,3,50,50,0.1,0.0005112066617647,1.0,1035720000,10000,jackknife,9999,0.006136066174327184,0.0768451299303522,0.07984977291194048,0.08823399840812442,1.1482054684284404
adversarial_3x3_d9,widespread_sparse,Widespread sparsity,variant_2,3,3,59,118,0.15,0.0004200461897041,2.0,127500412,10000,analytic,10000,-0.012719948745407064,0.07146947717868,-0.17797735827290395,0.07587729832821932,1.0616741764952242
adversarial_3x3_d9,widespread_sparse,Widespread sparsity,variant_2,3,3,59,118,0.15,0.0004200461897041,2.0,127500412,10000,jackknife,10000,0.0015662683205642835,0.07146947717868,0.02191520607669305,0.07857751178400715,1.0994555282327927
fixed_3x5_d0,well_sampled,Well sampled,variant_1,3,5,225,225,0.1,2.4415805847839818,1.0,2766434811,10000,analytic,10000,-0.0003875493791040902,0.040990837324976735,-0.009454536779319381,0.04125489992349897,1.0064419908387998
fixed_3x5_d0,well_sampled,Well sampled,variant_1,3,5,225,225,0.1,2.4415805847839818,1.0,2766434811,10000,jackknife,10000,-0.00037002797021050497,0.040990837324976735,-0.009027089817095239,0.041146372866418965,1.0037943977628254
fixed_3x5_d1,well_sampled,Well sampled,variant_2,3,5,225,225,0.15,3.597301932911095,1.0,3202765758,10000,analytic,10000,0.0006267748026564724,0.04924450250786467,0.012727812664091233,0.05017753039162196,1.0189468435305704
fixed_3x5_d1,well_sampled,Well sampled,variant_2,3,5,225,225,0.15,3.597301932911095,1.0,3202765758,10000,jackknife,10000,0.00045767428081097884,0.04924450250786467,0.009293916224209702,0.0498739968839781,1.0127830385942653
fixed_3x5_d2,moderate,Moderate,variant_1,3,5,120,120,0.1,1.751653113091162,1.0,2867895330,10000,analytic,10000,0.0006210945684502434,0.05814784780286327,0.010681299341566686,0.05986288645404033,1.0294944476189642
fixed_3x5_d2,moderate,Moderate,variant_1,3,5,120,120,0.1,1.751653113091162,1.0,2867895330,10000,jackknife,10000,-0.0004465057591516736,0.05814784780286327,-0.007678801125459489,0.06024308308267947,1.0360328947499418
fixed_3x5_d3,moderate,Moderate,variant_2,3,5,100,200,0.15,0.4368866217462104,2.0,4085902826,10000,analytic,10000,0.00038161758839801564,0.06109468052048618,0.006246330861326825,0.06420429265059151,1.0508982468459365
fixed_3x5_d3,moderate,Moderate,variant_2,3,5,100,200,0.15,0.4368866217462104,2.0,4085902826,10000,jackknife,10000,0.0009022535860234167,0.06109468052048618,0.014768120208450463,0.06591848402252784,1.0789561948920274
stress_3x5_d4,highly_sparse,Highly skewed and sparse,variant_1,3,5,414,414,0.1,2.085802085412178,1.0,3741159399,10000,analytic,10000,0.00022484214476295518,0.027864550653272188,0.008069110733589078,0.028285539327986494,1.0151083963259557
stress_3x5_d4,highly_sparse,Highly skewed and sparse,variant_1,3,5,414,414,0.1,2.085802085412178,1.0,3741159399,10000,jackknife,10000,-0.0004637784870642186,0.027864550653272188,-0.016644032514113276,0.028362579295329003,1.0178731983965559
stress_3x5_d5,highly_sparse,Highly skewed and sparse,variant_2,3,5,337,674,0.15,1.460231884953746,2.0,2377483062,10000,analytic,10000,0.0005489525456499783,0.03298923502882387,0.016640353896364646,0.03396685684371884,1.0296345706119219
stress_3x5_d5,highly_sparse,Highly skewed and sparse,variant_2,3,5,337,674,0.15,1.460231884953746,2.0,2377483062,10000,jackknife,10000,-0.00037006228572413136,0.03298923502882387,-0.011217667987778278,0.03397020168747515,1.0297359625888316
stress_3x5_d6,ultra_sparse,Ultra-skewed and sparse,variant_1,3,5,535,535,0.1,0.0839139728019528,1.0,980052219,10000,analytic,10000,0.0006840857194186477,0.025919780851468427,0.026392419107968357,0.026000748783311406,1.0031237892136111
stress_3x5_d6,ultra_sparse,Ultra-skewed and sparse,variant_1,3,5,535,535,0.1,0.0839139728019528,1.0,980052219,10000,jackknife,10000,-0.0002923728428877352,0.025919780851468427,-0.011279911838883138,0.02620889433730414,1.011154163975863
stress_3x5_d7,ultra_sparse,Ultra-skewed and sparse,variant_2,3,5,69,690,0.15,0.0570032850682869,10.0,1246660382,10000,analytic,10000,0.007614936375082383,0.0607852053572784,0.12527614787716715,0.06882847630402722,1.1323228390769222
stress_3x5_d7,ultra_sparse,Ultra-skewed and sparse,variant_2,3,5,69,690,0.15,0.0570032850682869,10.0,1246660382,10000,jackknife,10000,-0.0038956140332664594,0.0607852053572784,-0.0640881939999895,0.0744660767036655,1.2250690980802774
adversarial_3x5_d8,widespread_sparse,Widespread sparsity,variant_1,3,5,55,55,0.1,0.000347412423323,1.0,3343794369,10000,analytic,10000,-0.019453136508583664,0.09051221773290521,-0.21492276949823963,0.09250674674685991,1.0220360197099623
