scenario_id,regime,regime_label,variant,rows,columns,n_p,n_q,target_mi,minimum_joint_expected_pair,sample_size_ratio_q_to_p,simulation_seed,replicates,method,method_label,valid_replicates,valid_rate,fpr_10,absolute_fpr_error_10,fpr_05,absolute_fpr_error_05,fpr_01,absolute_fpr_error_01
stress_2x2_d5,highly_sparse,Highly skewed and sparse,variant_2,2,2,54,108,0.15,4.20095477751052,2.0,880372142,10000,jackknife_expanded,Jackknife correction + Expanded Welch,10000,1.0,0.1032,0.0031999999999999945,0.0553,0.005299999999999999,0.0119,0.0019000000000000006
stress_2x2_d6,ultra_sparse,Ultra-skewed and sparse,variant_1,2,2,142,142,0.1,0.0516378360260086,1.0,3260596029,10000,analytic_normal,Analytic correction + Normal Wald,10000,1.0,0.1226,0.022599999999999995,0.0663,0.016299999999999995,0.0145,0.0045000000000000005
stress_2x2_d6,ultra_sparse,Ultra-skewed and sparse,variant_1,2,2,142,142,0.1,0.0516378360260086,1.0,3260596029,10000,analytic_simple,Analytic correction + Simple Welch,10000,1.0,0.1205,0.02049999999999999,0.0656,0.015600000000000003,0.0135,0.0034999999999999996
stress_2x2_d6,ultra_sparse,Ultra-skewed and sparse,variant_1,2,2,142,142,0.1,0.0516378360260086,1.0,3260596029,10000,analytic_expanded,Analytic correction + Expanded Welch,10000,1.0,0.1167,0.016699999999999993,0.0615,0.011499999999999996,0.0109,0.0008999999999999998
stress_2x2_d6,ultra_sparse,Ultra-skewed and sparse,variant_1,2,2,142,142,0.1,0.0516378360260086,1.0,3260596029,10000,jackknife_normal,Jackknife correction + Normal Wald,10000,1.0,0.132,0.032,0.0743,0.024300000000000002,0.0168,0.006799999999999999
stress_2x2_d6,ultra_sparse,Ultra-skewed and sparse,variant_1,2,2,142,142,0.1,0.0516378360260086,1.0,3260596029,10000,jackknife_simple,Jackknife correction + Simple Welch,10000,1.0,0.1309,0.030899999999999983,0.0734,0.023400000000000004,0.0157,0.0056999999999999985
stress_2x2_d6,ultra_sparse,Ultra-skewed and sparse,variant_1,2,2,142,142,0.1,0.0516378360260086,1.0,3260596029,10000,jackknife_expanded,Jackknife correction + Expanded Welch,10000,1.0,0.127,0.026999999999999996,0.0692,0.019199999999999995,0.0135,0.0034999999999999996
stress_2x2_d7,ultra_sparse,Ultra-skewed and sparse,variant_2,2,2,51,510,0.15,0.0730870541020675,10.0,3227718042,10000,analytic_normal,Analytic correction + Normal Wald,10000,1.0,0.1544,0.054400000000000004,0.0938,0.04379999999999999,0.0337,0.0237
stress_2x2_d7,ultra_sparse,Ultra-skewed and sparse,variant_2,2,2,51,510,0.15,0.0730870541020675,10.0,3227718042,10000,analytic_simple,Analytic correction + Simple Welch,10000,1.0,0.1489,0.0489,0.0883,0.0383,0.0287,0.0187
stress_2x2_d7,ultra_sparse,Ultra-skewed and sparse,variant_2,2,2,51,510,0.15,0.0730870541020675,10.0,3227718042,10000,analytic_expanded,Analytic correction + Expanded Welch,10000,1.0,0.1297,0.029700000000000004,0.0614,0.0114,0.0067,0.0033
