configuration_id,alpha,chi_squared_threshold,bartlett_scale,bartlett_threshold,empirical_threshold,development_valid_count
LR_C2_N3_np500_nq50_scale0.5,0.05,3.8414588206941205,0.9151474812460904,3.515501364068801,3.037588144101619,5000
LR_C2_N3_np500_nq50_scale0.5,0.1,2.705543454095418,0.9151474812460904,2.475971277417269,2.320724263647321,5000
LR_C2_N3_np500_nq50_scale1,0.01,6.634896601021215,1.0120519653099298,6.714860144691694,5.888030305280154,5000
LR_C2_N3_np500_nq50_scale1,0.05,3.8414588206941205,1.0120519653099298,3.88775594914065,3.5677373936509866,5000
LR_C2_N3_np500_nq50_scale1,0.1,2.705543454095418,1.0120519653099298,2.738150569948684,2.6379999020989544,5000
LR_C2_N3_np500_nq50_scale2,0.01,6.634896601021215,1.0509356346322547,6.97284927011362,6.488177755652032,5000
LR_C2_N3_np500_nq50_scale2,0.05,3.8414588206941205,1.0509356346322547,4.037125963639848,4.063925819076758,5000
LR_C2_N3_np500_nq50_scale2,0.1,2.705543454095418,1.0509356346322547,2.8433520269549106,2.892743447729572,5000
LR_C2_N5_np200_nq2000_scale0.5,0.01,6.634896601021215,0.9041476089621683,5.99892589752455,6.016481319894183,5000
LR_C2_N5_np200_nq2000_scale0.5,0.05,3.8414588206941205,0.9041476089621683,3.4732458076572197,2.904018484682979,5000
LR_C2_N5_np200_nq2000_scale0.5,0.1,2.705543454095418,0.9041476089621683,2.4462106449636183,1.9114361000425788,5000
LR_C2_N5_np200_nq2000_scale1,0.01,6.634896601021215,1.1139893804356609,7.3912043538262955,5.690687223201621,5000
LR_C2_N5_np200_nq2000_scale1,0.05,3.8414588206941205,1.1139893804356609,4.279344331634148,2.9089760342739055,5000
LR_C2_N5_np200_nq2000_scale1,0.1,2.705543454095418,1.1139893804356609,3.0139466761695126,2.2241139840239157,5000
LR_C2_N5_np200_nq2000_scale2,0.01,6.634896601021215,1.15012925816765,7.6309887057515935,5.648841385803053,5000
LR_C2_N5_np200_nq2000_scale2,0.05,3.8414588206941205,1.15012925816765,4.418174183726505,3.7631026550766364,5000
LR_C2_N5_np200_nq2000_scale2,0.1,2.705543454095418,1.15012925816765,3.111724685799105,3.1037636261730768,5000
LR_C3_C3_same_balanced_i0p005_n1000_scale0.5,0.01,6.634896601021215,0.9628274261081254,6.3882604168548065,6.135105051993833,5000
LR_C3_C3_same_balanced_i0p005_n1000_scale0.5,0.05,3.8414588206941205,0.9628274261081254,3.698661908829275,3.5854844065388534,5000
LR_C3_C3_same_balanced_i0p005_n1000_scale0.5,0.1,2.705543454095418,0.9628274261081254,2.6049714401303787,2.674483948854686,5000
LR_C3_C3_same_balanced_i0p005_n1000_scale1,0.01,6.634896601021215,1.018033433242655,6.75454656594765,6.828795561608786,5000
LR_C3_C3_same_balanced_i0p005_n1000_scale1,0.05,3.8414588206941205,1.018033433242655,3.9107335118915163,3.895260653202058,5000
LR_C3_C3_same_balanced_i0p005_n1000_scale1,0.1,2.705543454095418,1.018033433242655,2.75433369135995,2.7754335796807936,5000
LR_C3_C3_same_balanced_i0p005_n1000_scale2,0.01,6.634896601021215,1.0440773340230622,6.927345154712908,7.166962847910327,5000
LR_C3_C3_same_balanced_i0p005_n1000_scale2,0.05,3.8414588206941205,1.0440773340230622,4.010780084269694,3.9655982471576863,5000
LR_C3_C3_same_balanced_i0p005_n1000_scale2,0.1,2.705543454095418,1.0440773340230622,2.8247965966354913,2.917660357612476,5000
LR_C4_C4_s0p05_i0p0001_n500_scale0.5,0.01,6.634896601021215,0.32922381004507023,2.1843659382432907,2.353157746562033,5000
LR_C4_C4_s0p05_i0p0001_n500_scale0.5,0.05,3.8414588206941205,0.32922381004507023,1.2646997090801606,1.1991586133750616,5000
LR_C4_C4_s0p05_i0p0001_n500_scale0.5,0.1,2.705543454095418,0.32922381004507023,0.8907293241997931,0.8074498321768715,5000
LR_C4_C4_s0p05_i0p0001_n500_scale1,0.01,6.634896601021215,0.47693054027669457,3.1643848206050524,2.6959584861369876,5000
LR_C4_C4_s0p05_i0p0001_n500_scale1,0.05,3.8414588206941205,0.47693054027669457,1.8321090308043209,1.629571049105607,5000
LR_C4_C4_s0p05_i0p0001_n500_scale1,0.1,2.705543454095418,0.47693054027669457,1.2903563013038022,1.2955778693142292,5000
LR_C4_C4_s0p05_i0p0001_n500_scale2,0.01,6.634896601021215,0.4702148704941922,3.119827045991547,3.030800738938524,5000
