cohort,rule,rule_label,configurations,mean_valid_rate,mean_expanded_route_rate,mean_selection_score,mean_fpr_05,mean_absolute_error_05,median_absolute_error_05,p90_absolute_error_05,maximum_absolute_error_05,mean_fpr_01,mean_absolute_error_01,median_absolute_error_01,p90_absolute_error_01,maximum_absolute_error_01
development,ratio_ge_4_margin_ge_5,Ratio >= 4 and minimum margin >= 5,1404,0.9993031813865146,0.41937632399727537,1.5657626205141182,0.08315374742764607,0.03698564833815809,0.005666666666666667,0.08056666666666666,0.9279999999999999,0.03247525744879612,0.023918122742650746,0.002333333333333333,0.045366666666666715,0.896
development,ratio_ge_4_small_share_ge_50,Ratio >= 4 and smaller-sample share >= 0.50,1404,0.9993031813865146,0.6061170460461179,1.3706544092038935,0.0786552121242437,0.033132887013863015,0.005333333333333336,0.05706666666666675,0.9263333333333333,0.029164633141771614,0.020786510781305268,0.002,0.028666666666666667,0.89
development,ratio_ge_4_small_share_ge_60,Ratio >= 4 and smaller-sample share >= 0.60,1404,0.9993031813865146,0.603871777002602,1.3896058222771732,0.07905051413062782,0.033364846190237635,0.005333333333333336,0.05856666666666668,0.9263333333333333,0.02955140062209334,0.021119147207495935,0.002333333333333333,0.029900000000000013,0.89
development,ratio_ge_4_small_share_ge_70,Ratio >= 4 and smaller-sample share >= 0.70,1404,0.9993031813865146,0.5960923171837466,1.4213258147513967,0.07980195845387467,0.03387649944036009,0.005666666666666667,0.06056666666666668,0.9263333333333333,0.030182710087460252,0.021651216406955914,0.002333333333333333,0.03166666666666666,0.89
development,ratio_ge_4_margin_ge_2_share_ge_50,"Ratio >= 4, minimum margin >= 2, and smaller-sample share >= 0.50",1404,0.9993031813865146,0.4692313537532171,1.5432709115968808,0.08243882577824277,0.03633198025000833,0.005333333333333336,0.0794666666666667,0.9279999999999999,0.03215235821761599,0.023599022181935953,0.002333333333333333,0.043265197060788255,0.896
holdout,normal,Always Normal Wald,1404,0.9991590693257361,0.0,1.8080791285882214,0.08781364959782248,0.040546723790539106,0.006666666666666661,0.07806666666666677,0.9436666666666667,0.037115347753066956,0.028052237813656605,0.002999999999999999,0.044900000000000016,0.9586666666666667
holdout,expanded_no_fallback,Always Expanded Welch,1404,0.9894579772079772,1.0,1.2521562713191277,0.0738410650444406,0.030379412672705098,0.005333333333333329,0.03832393950135886,0.9436666666666667,0.026765178716341844,0.018967242891841533,0.002,0.010900000000000016,0.955
holdout,expanded_fallback,Expanded with Wald fallback,1404,0.9991590693257361,0.9898042042565005,1.4542639235659134,0.0788265356029807,0.03392410373171677,0.005333333333333329,0.042333333333333334,0.9436666666666667,0.030397283398056536,0.022300457724974913,0.002333333333333333,0.01566666666666667,0.955
holdout,ratio_ge_2,Expanded if ratio >= 2,1404,0.9991590693257361,0.913881920270066,1.4547494834379269,0.07905580663440884,0.033913287284865236,0.005333333333333332,0.04213333333333336,0.9436666666666667,0.030496049938470285,0.022312332211785493,0.002333333333333333,0.01566666666666667,0.955
holdout,ratio_ge_3,Expanded if ratio >= 3,1404,0.9991590693257361,0.7616921395498056,1.4720714643688244,0.07980528998297695,0.0342833784207078,0.005333333333333336,0.04323333333333335,0.9436666666666667,0.030903324131439185,0.022584753603234923,0.002333333333333333,0.01666666666666667,0.955
holdout,ratio_ge_4,Expanded if ratio >= 4,1404,0.9991590693257361,0.6093967610664963,1.5100831600246913,0.0808435341123853,0.035071385133212084,0.005666666666666667,0.04723333333333334,0.9436666666666667,0.03160947047223611,0.023187386173851403,0.002333333333333333,0.02113333333333336,0.955
holdout,ratio_ge_6,Expanded if ratio >= 6,1404,0.9991590693257361,0.457081526965477,1.5584740080627681,0.08205287017025788,0.03599772024141702,0.005666666666666667,0.05233333333333333,0.9436666666666667,0.032498858018194264,0.023969936112971955,0.002333333333333334,0.02556666666666668,0.955
holdout,ratio_ge_10,Expanded if ratio >= 10,1404,0.9991590693257361,0.3047223459576744,1.6256764331028315,0.08363843346848275,0.037327822950847994,0.005999999999999998,0.06156666666666668,0.9436666666666667,0.033702242102465474,0.025047964071887033,0.002666666666666666,0.030566666666666676,0.955
holdout,ratio_ge_4_margin_ge_1,Ratio >= 4 and minimum margin >= 1,1404,0.9991590693257361,0.4923594866125552,1.687906047014245,0.08439647808199593,0.0381029615814552,0.005666666666666667,0.07490000000000001,0.9436666666666667,0.034791806654572294,0.026137528623993857,0.002333333333333334,0.03980000000000003,0.9586666666666667
holdout,ratio_ge_4_margin_ge_2,Ratio >= 4 and minimum margin >= 2,1404,0.9991590693257361,0.45027887685155077,1.7305480436069642,0.08537954685170313,0.038889449154581174,0.005666666666666667,0.07523333333333333,0.9436666666666667,0.035497320581773004,0.026833071041223056,0.002333333333333334,0.041900000000000014,0.9586666666666667
holdout,ratio_ge_4_margin_ge_5,Ratio >= 4 and minimum margin >= 5,1404,0.9991590693257361,0.3998513908338776,1.7612700054310586,0.08616336406273303,0.03960394062961869,0.005999999999999998,0.07556666666666668,0.9436666666666667,0.03598405620510874,0.027304611982697444,0.002333333333333334,0.04456666666666668,0.9586666666666667
holdout,ratio_ge_4_small_share_ge_50,Ratio >= 4 and smaller-sample share >= 0.50,1404,0.9991590693257361,0.6061545283933479,1.5581449585603167,0.0816727511774155,0.035696898494538574,0.005666666666666667,0.050900000000000015,0.9436666666666667,0.03254104536612492,0.024023519472298614,0.002333333333333333,0.024666666666666663,0.955
holdout,ratio_ge_4_small_share_ge_60,Ratio >= 4 and smaller-sample share >= 0.60,1404,0.9991590693257361,0.6040544997070523,1.5757245283681112,0.08204503932231606,0.035954276857862684,0.005666666666666667,0.05133333333333333,0.9436666666666667,0.03289624181136337,0.024323635195789683,0.002333333333333333,0.02723333333333335,0.955
holdout,ratio_ge_4_small_share_ge_70,Ratio >= 4 and smaller-sample share >= 0.70,1404,0.9991590693257361,0.5963979435460711,1.607212335010838,0.08271244452008104,0.03643792137186699,0.005666666666666667,0.05380000000000002,0.9436666666666667,0.03352898414113216,0.02485666242584337,0.002333333333333334,0.030566666666666676,0.955
holdout,ratio_ge_4_margin_ge_2_share_ge_50,"Ratio >= 4, minimum margin >= 2, and smaller-sample share >= 0.50",1404,0.9991590693257361,0.449606031297693,1.737537248123388,0.085507578653616,0.0389923147646612,0.005833333333333333,0.07523333333333333,0.9436666666666667,0.035656417589971526,0.02695228200953553,0.002333333333333334,0.042466666666666694,0.9586666666666667
