cohort,ratio,rule,rule_label,configurations,mean_valid_rate,mean_expanded_route_rate,mean_selection_score,mean_fpr_05,mean_absolute_error_05,median_absolute_error_05,p90_absolute_error_05,maximum_absolute_error_05,mean_fpr_01,mean_absolute_error_01,median_absolute_error_01,p90_absolute_error_01,maximum_absolute_error_01
development,6,ratio_ge_4_small_share_ge_60,Ratio >= 4 and smaller-sample share >= 0.60,216,0.9999429012345679,0.9821222018466079,1.6219355674170814,0.08524662987559631,0.039296012591645696,0.005333333333333336,0.074,0.8999999999999999,0.03318753352137052,0.02457950883001249,0.002333333333333333,0.04204742818971276,0.841
development,6,ratio_ge_4_small_share_ge_70,Ratio >= 4 and smaller-sample share >= 0.70,216,0.9999429012345679,0.9699948108555725,1.6971834406250725,0.08675128581459574,0.040439557419533985,0.005500000000000001,0.07816666666666666,0.8999999999999999,0.03461501658785392,0.025855757328594655,0.002333333333333334,0.04733333333333333,0.841
development,6,ratio_ge_4_margin_ge_2_share_ge_50,"Ratio >= 4, minimum margin >= 2, and smaller-sample share >= 0.50",216,0.9999429012345679,0.7590280340737933,1.8370368553988339,0.0899288709524915,0.043567759841380393,0.005333333333333336,0.10666666666666666,0.9033333333333333,0.03676483946068826,0.028027185139700598,0.0021666666666666666,0.05933333333333333,0.8523333333333333
development,10,normal,Always Normal Wald,216,1.0,0.0,2.362222222222222,0.1,0.05268827160493826,0.0075,0.13533333333333333,0.9199999999999999,0.04588888888888888,0.03670679012345679,0.003666666666666667,0.07450000000000001,0.8823333333333333
development,10,expanded_no_fallback,Always Expanded Welch,216,0.9893333333333333,1.0,1.326541808235578,0.07700891879251184,0.03371286181958915,0.005333333333333336,0.043935323383084576,0.9183333333333333,0.0277173684080005,0.01978826380079373,0.002,0.01634083044982699,0.8733333333333333
development,10,expanded_fallback,Expanded with Wald fallback,216,1.0,0.9893333333333333,1.8302314814814817,0.0869675925925926,0.04239043209876544,0.005333333333333336,0.07366666666666666,0.9183333333333333,0.03617283950617284,0.028126543209876547,0.002,0.034999999999999996,0.8733333333333333
development,10,ratio_ge_2,Expanded if ratio >= 2,216,1.0,0.9893333333333333,1.8302314814814817,0.0869675925925926,0.04239043209876544,0.005333333333333336,0.07366666666666666,0.9183333333333333,0.03617283950617284,0.028126543209876547,0.002,0.034999999999999996,0.8733333333333333
development,10,ratio_ge_3,Expanded if ratio >= 3,216,1.0,0.9893333333333333,1.8302314814814817,0.0869675925925926,0.04239043209876544,0.005333333333333336,0.07366666666666666,0.9183333333333333,0.03617283950617284,0.028126543209876547,0.002,0.034999999999999996,0.8733333333333333
development,10,ratio_ge_4,Expanded if ratio >= 4,216,1.0,0.9893333333333333,1.8302314814814817,0.0869675925925926,0.04239043209876544,0.005333333333333336,0.07366666666666666,0.9183333333333333,0.03617283950617284,0.028126543209876547,0.002,0.034999999999999996,0.8733333333333333
development,10,ratio_ge_6,Expanded if ratio >= 6,216,1.0,0.9893333333333333,1.8302314814814817,0.0869675925925926,0.04239043209876544,0.005333333333333336,0.07366666666666666,0.9183333333333333,0.03617283950617284,0.028126543209876547,0.002,0.034999999999999996,0.8733333333333333
