cohort,domain,candidate,reference,metric,population_clusters,mean_paired_difference,ci95_low,ci95_high,candidate_better_fraction,tied_fraction
holdout,all,expanded_fallback,ratio_ge_2,selection_score,108,-0.00048555987201356475,-0.0024235814290481223,0.0013618239444525971,0.027065527065527065,0.9408831908831908
holdout,all,expanded_fallback,ratio_ge_2,absolute_error_05,108,1.08164468515266e-05,-5.485434038514301e-05,7.621123406988398e-05,0.02564102564102564,0.9437321937321937
holdout,all,expanded_fallback,ratio_ge_2,absolute_error_01,108,-1.1874486810576622e-05,-4.083934910877225e-05,1.4234180465979965e-05,0.02207977207977208,0.9537037037037037
holdout,exclude_support_instability,ratio_ge_4,normal,selection_score,96,-0.17143162393162395,-0.2492630208333333,-0.10473177083333336,0.3629807692307692,0.5264423076923077
holdout,exclude_support_instability,ratio_ge_4,normal,absolute_error_05,96,-0.0033557692307692303,-0.0049166666666666655,-0.0019842147435897434,0.3317307692307692,0.5440705128205128
holdout,exclude_support_instability,ratio_ge_4,normal,absolute_error_01,96,-0.0027574786324786322,-0.004002951388888889,-0.0016746661324786327,0.328525641025641,0.5921474358974359
holdout,exclude_support_instability,ratio_ge_2,normal,selection_score,96,-0.20248397435897436,-0.2937735710470085,-0.12379700854700855,0.5152243589743589,0.2980769230769231
holdout,exclude_support_instability,ratio_ge_2,normal,absolute_error_05,96,-0.003986378205128204,-0.005814650106837606,-0.00236184561965812,0.47596153846153844,0.32051282051282054
holdout,exclude_support_instability,ratio_ge_2,normal,absolute_error_01,96,-0.003252403846153846,-0.004664543269230769,-0.0020087873931623934,0.4639423076923077,0.40544871794871795
holdout,exclude_support_instability,ratio_ge_2,ratio_ge_4,selection_score,96,-0.031052350427350425,-0.044781249999999995,-0.019260016025641022,0.15224358974358973,0.7716346153846154
holdout,exclude_support_instability,ratio_ge_2,ratio_ge_4,absolute_error_05,96,-0.0006306089743589742,-0.0009428485576923076,-0.00034962606837606833,0.14423076923076922,0.7764423076923077
holdout,exclude_support_instability,ratio_ge_2,ratio_ge_4,absolute_error_01,96,-0.0004949252136752137,-0.0007075320512820513,-0.00031196581196581195,0.13541666666666666,0.813301282051282
holdout,exclude_support_instability,expanded_fallback,ratio_ge_2,selection_score,96,-0.0016618190750193075,-0.0036837752007079275,0.00019769163171911945,0.030448717948717948,0.9431089743589743
holdout,exclude_support_instability,expanded_fallback,ratio_ge_2,absolute_error_05,96,-2.7272534577052674e-05,-9.588747575758866e-05,3.8404372415449086e-05,0.028044871794871796,0.9463141025641025
holdout,exclude_support_instability,expanded_fallback,ratio_ge_2,absolute_error_01,96,-2.778187458497562e-05,-5.824116185095886e-05,-2.71190824291861e-07,0.024839743589743588,0.9559294871794872
holdout,regular_support,ratio_ge_4,normal,selection_score,84,-0.08217338217338216,-0.11810943223443218,-0.05058241758241758,0.32875457875457875,0.5467032967032966
holdout,regular_support,ratio_ge_4,normal,absolute_error_05,84,-0.0015628815628815624,-0.002302205433455433,-0.0009334554334554329,0.29945054945054944,0.5668498168498168
