cohort,regime,regime_label,rule,rule_label,configurations,mean_valid_rate,mean_expanded_route_rate,mean_selection_score,mean_fpr_05,mean_absolute_error_05,median_absolute_error_05,p90_absolute_error_05,maximum_absolute_error_05,mean_fpr_01,mean_absolute_error_01,median_absolute_error_01,p90_absolute_error_01,maximum_absolute_error_01
holdout,moderate,Moderate,ratio_ge_4_margin_ge_2,Ratio >= 4 and minimum margin >= 2,156,1.0,0.5987457264957265,0.20950854700854704,0.048525641025641025,0.00576923076923077,0.0045000000000000005,0.010333333333333333,0.03599999999999999,0.01042094017094017,0.003036324786324786,0.001666666666666667,0.0055,0.03033333333333333
holdout,moderate,Moderate,ratio_ge_4_margin_ge_5,Ratio >= 4 and minimum margin >= 5,156,1.0,0.5356709401709402,0.23192307692307693,0.04928418803418803,0.0063012820512820525,0.004333333333333335,0.011166666666666665,0.04166666666666666,0.010805555555555556,0.0033782051282051284,0.0018333333333333335,0.0055,0.035333333333333335
holdout,moderate,Moderate,ratio_ge_4_small_share_ge_50,Ratio >= 4 and smaller-sample share >= 0.50,156,1.0,0.614474358974359,0.19068376068376067,0.04812393162393162,0.005606837606837609,0.004333333333333335,0.010166666666666668,0.03599999999999999,0.010175213675213676,0.002692307692307692,0.001666666666666667,0.005166666666666667,0.03033333333333333
holdout,moderate,Moderate,ratio_ge_4_small_share_ge_60,Ratio >= 4 and smaller-sample share >= 0.60,156,1.0,0.6116752136752137,0.1926282051282051,0.0482051282051282,0.005576923076923078,0.0045000000000000005,0.010166666666666668,0.03599999999999999,0.010348290598290597,0.002737179487179487,0.001666666666666667,0.004666666666666666,0.03033333333333333
holdout,moderate,Moderate,ratio_ge_4_small_share_ge_70,Ratio >= 4 and smaller-sample share >= 0.70,156,1.0,0.6022393162393163,0.20927350427350427,0.048549145299145294,0.005767094017094019,0.004666666666666666,0.010666666666666668,0.03599999999999999,0.010831196581196582,0.003032051282051282,0.002,0.005666666666666665,0.03033333333333333
holdout,moderate,Moderate,ratio_ge_4_margin_ge_2_share_ge_50,"Ratio >= 4, minimum margin >= 2, and smaller-sample share >= 0.50",156,1.0,0.5980940170940172,0.20636752136752137,0.04855555555555556,0.005743589743589745,0.0045000000000000005,0.010333333333333333,0.03599999999999999,0.010487179487179487,0.0029786324786324784,0.001666666666666667,0.0055,0.03033333333333333
holdout,sparse_imbalanced,Sparse and imbalanced,normal,Always Normal Wald,156,1.0,0.0,0.3063888888888889,0.05827136752136752,0.009036324786324785,0.006999999999999999,0.019333333333333327,0.03266666666666666,0.013807692307692307,0.00432051282051282,0.0033333333333333335,0.009666666666666667,0.019000000000000003
holdout,sparse_imbalanced,Sparse and imbalanced,expanded_no_fallback,Always Expanded Welch,156,1.0,1.0,0.19025641025641024,0.055358974358974355,0.006376068376068374,0.0049999999999999975,0.013999999999999999,0.028999999999999998,0.011764957264957264,0.00252991452991453,0.002,0.005333333333333332,0.014333333333333332
holdout,sparse_imbalanced,Sparse and imbalanced,expanded_fallback,Expanded with Wald fallback,156,1.0,1.0,0.19025641025641024,0.055358974358974355,0.006376068376068374,0.0049999999999999975,0.013999999999999999,0.028999999999999998,0.011764957264957264,0.00252991452991453,0.002,0.005333333333333332,0.014333333333333332
holdout,sparse_imbalanced,Sparse and imbalanced,ratio_ge_2,Expanded if ratio >= 2,156,1.0,0.9230769230769231,0.19397435897435897,0.055485042735042726,0.006438034188034187,0.0049999999999999975,0.013999999999999999,0.028999999999999998,0.011839743589743589,0.0025918803418803417,0.002,0.005499999999999999,0.014333333333333332
