k,shape,n,nu0,A_nu,A_a,r2_nu,r2_a,H,H_norm,perp,perp_n,simpson,simpson_n,k_min_p,log_k_min_p
11,one_rare_0.05,11,100,0.29682755736071714,-0.0017151167025385397,-0.32925843055578663,-0.23867282170124504,3.3487410168322747,0.9680032404142086,10.187590828851649,0.9261446208046954,10.08942903003898,0.9172208209126346,0.05000000000000001,-2.995732273553991
12,one_rare_0.05,12,121,0.339788508788809,-0.0013163848014674888,0.06961236264519488,0.026483655348743085,3.4839613862206646,0.9718264516071858,11.188629193878564,0.932385766156547,11.090107120352865,0.9241755933627388,0.05,-2.995732273553991
13,one_rare_0.05,11,144,0.24419623152324066,-0.0007848913714360148,-0.018908586631936952,-0.011537962758104925,3.607567586782154,0.9749024066238289,12.189504583652441,0.9376541987424954,12.09068010075567,0.9300523154427438,0.05,-2.995732273553991
14,one_rare_0.05,11,169,0.2665385510126903,-0.0007806522425209367,0.07937253224583019,-0.006452144894662393,3.7214002860914714,0.977424054829204,13.190252581817989,0.9421608987012849,13.091170652760292,0.9350836180543066,0.05,-2.995732273553991
15,one_rare_0.05,11,196,0.5425065951213639,-0.0017665884581704566,0.12239231295979602,0.04502619124175666,3.826894094195847,0.9795242535067169,14.190899114282622,0.9460599409521748,14.09159536990438,0.9394396913269587,0.05,-2.995732273553991
3,one_rare_0.2,11,4,0.23092606765716858,-0.021421122154072252,0.7712486356601319,0.3080600332526796,1.2866926683547546,0.8118126881672664,2.439681249491495,0.8132270831638316,2.2727272727272725,0.7575757575757575,0.2,-1.6094379124341003
4,one_rare_0.2,11,9,0.1698974399049098,-0.0003244799358366626,0.31928010451563993,-0.002251564519257121,1.7921113328010545,0.8960556664005273,3.4632135080126383,0.8658033770031596,3.2967032967032965,0.8241758241758241,0.2,-1.6094379124341003
5,one_rare_0.2,11,16,0.09737364638424241,0.006700808076233396,0.28643827892864315,-0.10939654126504172,2.162292189082415,0.931248557542997,4.476254888420231,0.8952509776840462,4.310344827586207,0.8620689655172414,0.2,-1.6094379124341003
6,one_rare_0.2,12,25,0.029425683140282623,0.005531673484804978,0.04966655062939451,0.3895958863217953,2.455372792042982,0.9498678574091419,5.484548242745893,0.9140913737909822,5.319148936170213,0.8865248226950354,0.2,-1.6094379124341003
7,one_rare_0.2,10,36,0.09692767175572024,0.003043433393590924,-0.13280648893229796,0.14109461602046847,2.6982826861451885,0.9611476856540558,6.490288847377369,0.9271841210539098,6.325301204819277,0.9036144578313252,0.2,-1.6094379124341003
