k,shape,nu0,N,lam_min,lam_tp,mu,sigma2,nu,a,H,H_norm,perp,perp_n,simpson,simpson_n,k_min_p,log_k_min_p
10,geometric,81,56968,0.937003968866961,0.15175023811070404,81.954244048085,159.90909284303513,84.00395497316605,0.9755998282969439,2.373794003733639,0.714583198651122,5.1830237470599565,0.5183023747059956,3.9519177939135695,0.39519177939135697,0.0405560106880119,-3.2050712803547072
10,geometric,81,70222,1.155004435854791,0.18705598266763548,81.9700397734287,159.9518555298052,84.01387277693014,0.97567267242961,2.373794003733639,0.714583198651122,5.1830237470599565,0.5183023747059956,3.9519177939135695,0.39519177939135697,0.0405560106880119,-3.2050712803547072
10,geometric,81,86576,1.4239933929333313,0.2306194462623282,82.23624635494127,162.41197498057213,83.27957609479922,0.9874719614486234,2.373794003733639,0.714583198651122,5.1830237470599565,0.5183023747059956,3.9519177939135695,0.39519177939135697,0.0405560106880119,-3.2050712803547072
10,geometric,81,106761,1.755994255023972,0.28438785231949293,81.94978393035699,173.0319907733699,77.62457169007816,1.0557196277687375,2.373794003733639,0.714583198651122,5.1830237470599565,0.5183023747059956,3.9519177939135695,0.39519177939135697,0.0405560106880119,-3.2050712803547072
10,geometric,81,131567,2.164000863149829,0.35046558730359145,81.57798487331277,167.5367238982261,79.44488182821523,1.0268501002960766,2.373794003733639,0.714583198651122,5.1830237470599565,0.5183023747059956,3.9519177939135695,0.39519177939135697,0.0405560106880119,-3.2050712803547072
10,geometric,81,162209,2.6679974158464557,0.4320891443213592,81.62601979101268,166.31357133779747,80.12343254165407,1.0187534058601078,2.373794003733639,0.714583198651122,5.1830237470599565,0.5183023747059956,3.9519177939135695,0.39519177939135697,0.0405560106880119,-3.2050712803547072
10,geometric,81,200026,3.2900076512530325,0.5328253252410421,81.378620511347,162.86061912481784,81.32696427064786,1.0006351674523006,2.373794003733639,0.714583198651122,5.1830237470599565,0.5183023747059956,3.9519177939135695,0.39519177939135697,0.0405560106880119,-3.2050712803547072
10,geometric,81,246597,4.056002803515764,0.6568802392112288,81.09233595197631,169.93237762168857,77.39510318378426,1.0477708875122564,2.373794003733639,0.714583198651122,5.1830237470599565,0.5183023747059956,3.9519177939135695,0.39519177939135697,0.0405560106880119,-3.2050712803547072
10,geometric,81,303990,4.99999712989516,0.8097625839642065,81.50252996867415,167.6973204718843,79.22204567852138,1.0287859808544562,2.373794003733639,0.714583198651122,5.1830237470599565,0.5183023747059956,3.9519177939135695,0.39519177939135697,0.0405560106880119,-3.2050712803547072
10,geometric,81,552411,9.086000903064296,1.4715015585060407,81.16136638049586,164.0551030573941,80.30432787506264,1.010672382524222,2.373794003733639,0.714583198651122,5.1830237470599565,0.5183023747059956,3.9519177939135695,0.39519177939135697,0.0405560106880119,-3.2050712803547072
