configuration_id,rows,columns,condition,condition_label,n_p,n_q,method,method_label,population_pairs,mean_valid_rate,mean_delta_error,mean_empirical_delta_sd,mean_standard_error,mean_absolute_edgeworth_adjustment,mean_fpr_10,mean_absolute_fpr_error_10,population_sd_fpr_10,mean_fpr_05,mean_absolute_fpr_error_05,population_sd_fpr_05,mean_fpr_01,mean_absolute_fpr_error_01,population_sd_fpr_01
2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,normal_wald,Normal Wald,10,0.9999600000000001,-0.00011935184538665916,0.10465909322448212,0.09596066361256159,0.09209865974925777,0.1228248049609922,0.02282480496099219,0.0055707623169587595,0.0635024844968994,0.013502484496899374,0.0034645947817797114,0.016060608121624326,0.006060608121624325,0.0012890163025509446
2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,simple_welch,Simple Welch,10,0.9999600000000001,-0.00011935184538665916,0.10465909322448212,0.09596066361256159,0.09209865974925777,0.1173845729145829,0.01738457291458291,0.0052543953430568184,0.05868229645929187,0.008682296459291857,0.003172756488200095,0.012480472094418884,0.002480472094418884,0.0013988244537187014
2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,expanded_welch,Expanded Welch,10,0.9818200000000001,-0.00011935184538665916,0.10465909322448212,0.09596066361256159,0.09209865974925777,0.10116017940670985,0.0034365690497866904,0.004093503381806223,0.04944012957855857,0.0019292543907587403,0.002484874084260898,0.010428339748298307,0.0011719025762412791,0.0015079499468189427
2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,edgeworth_normal,Joint Edgeworth,10,0.9663600000000001,-0.00011935184538665916,0.10465909322448212,0.09596066361256159,0.09209865974925777,0.1416649470213997,0.04166494702139969,0.005288119653162244,0.07914292989429608,0.029142929894296076,0.004770625510845141,0.024421526536006082,0.014421526536006085,0.0020503861996695825
2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,joint_influence_welch,Joint-Influence Welch,10,0.9733599999999999,-0.00011935184538665916,0.10465909322448212,0.09596066361256159,0.09209865974925777,0.12334359461197528,0.023343594611975292,0.005234396075355452,0.06581119144300539,0.01581119144300539,0.004044595323235163,0.016477277385108145,0.006477277385108143,0.002353735496322308
2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,normal_wald,Normal Wald,10,1.0,0.0029366212640556015,0.0808380689675282,0.07407055572988729,0.2515772183303001,0.16840000000000002,0.06839999999999999,0.006953176732017286,0.11756,0.06756,0.006007254873160544,0.06388,0.05388,0.00538821759850963
2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,simple_welch,Simple Welch,10,1.0,0.0029366212640556015,0.0808380689675282,0.07407055572988729,0.2515772183303001,0.16486,0.06486,0.0070124017125217375,0.1142,0.06420000000000001,0.006197490531569118,0.061439999999999995,0.05144,0.004887898889661648
2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,expanded_welch,Expanded Welch,10,0.9904999999999997,0.0029366212640556015,0.0808380689675282,0.07407055572988729,0.2515772183303001,0.1080462460784605,0.008619751732741581,0.006087380783994732,0.06390578093223788,0.01390578093223788,0.005669916212153151,0.032467965107175104,0.022467965107175098,0.0031363524789380683
2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,edgeworth_normal,Joint Edgeworth,10,0.9572600000000001,0.0029366212640556015,0.0808380689675282,0.07407055572988729,0.2515772183303001,0.1012505114450081,0.003926113465224837,0.004935092329139208,0.053971081536411135,0.00411057606524042,0.0038949105395334215,0.012413028518622821,0.002910345472657298,0.002656237668387703
2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,joint_influence_welch,Joint-Influence Welch,10,0.9581800000000001,0.0029366212640556015,0.0808380689675282,0.07407055572988729,0.2515772183303001,0.07666678585510538,0.023333214144894632,0.0043637471391852565,0.0372410138223357,0.0127589861776643,0.0034408880467843746,0.0064508207114500355,0.003549179288549964,0.0010863201917252433
3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,normal_wald,Normal Wald,10,1.0,0.00023367091213456116,0.055098254243306,0.0544987204883026,0.027238200585378024,0.09925999999999999,0.0033799999999999998,0.004505848051883982,0.047740000000000005,0.0029400000000000016,0.0028441753344921154,0.009580000000000002,0.00126,0.0015068731421943476
3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,simple_welch,Simple Welch,10,1.0,0.00023367091213456116,0.055098254243306,0.0544987204883026,0.027238200585378024,0.09788,0.003640000000000003,0.004420356948884959,0.04678,0.003380000000000002,0.002794359397866431,0.009019999999999999,0.00142,0.0016233025322197681
3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,expanded_welch,Expanded Welch,10,1.0,0.00023367091213456116,0.055098254243306,0.0544987204883026,0.027238200585378024,0.09190000000000001,0.008100000000000003,0.0054554763515409195,0.042260000000000006,0.007740000000000002,0.003098458398049658,0.00726,0.0027400000000000002,0.0017231753634883867
3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,edgeworth_normal,Joint Edgeworth,10,0.9938800000000001,0.00023367091213456116,0.055098254243306,0.0544987204883026,0.027238200585378024,0.10882584481150212,0.008825844811502137,0.0036256654018002304,0.05807729170713508,0.00807729170713507,0.0030314148010271665,0.01489260216492185,0.004892602164921848,0.00155497990388069
3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,joint_influence_welch,Joint-Influence Welch,10,0.9979000000000001,0.00023367091213456116,0.055098254243306,0.0544987204883026,0.027238200585378024,0.10568284745632879,0.00606399088661966,0.004105233435046091,0.05485545515981673,0.005041715924887819,0.0028957135882121945,0.013649106621281073,0.003649106621281072,0.0024149605926877204
3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,normal_wald,Normal Wald,10,1.0,0.0001447086950207985,0.08308227594135356,0.08023937112240667,0.04384699390539404,0.10642,0.0068199999999999945,0.00516780632592033,0.05384,0.005399999999999999,0.005291334635252454,0.01178,0.00278,0.002546369965264278
3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,simple_welch,Simple Welch,10,1.0,0.0001447086950207985,0.08308227594135356,0.08023937112240667,0.04384699390539404,0.1038,0.005559999999999997,0.005309948733797301,0.05126000000000001,0.004339999999999998,0.005321695636208862,0.01004,0.00152,0.0021618921753357124
3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,expanded_welch,Expanded Welch,10,1.0,0.0001447086950207985,0.08308227594135356,0.08023937112240667,0.04384699390539404,0.09419999999999999,0.006080000000000002,0.005830189629086786,0.043859999999999996,0.006140000000000003,0.0048470380417093666,0.00766,0.0024600000000000004,0.0018476411387977315
3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,edgeworth_normal,Joint Edgeworth,10,0.98796,0.0001447086950207985,0.08308227594135356,0.08023937112240667,0.04384699390539404,0.11804666622168317,0.018046666221683154,0.004396975701123584,0.06340894098343422,0.013408940983434214,0.004896995136070858,0.016358217923855483,0.006358217923855486,0.001971844603192225
3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,joint_influence_welch,Joint-Influence Welch,10,0.9964000000000001,0.0001447086950207985,0.08308227594135356,0.08023937112240667,0.04384699390539404,0.11056060317482719,0.010560603174827191,0.0046090066825012765,0.05869406895479714,0.008792285030162942,0.005365504960868502,0.01395192509635217,0.003951925096352167,0.002747102815304618
3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,normal_wald,Normal Wald,10,0.9999,0.0018150506070906027,0.11297571240673647,0.10504883567836094,0.09881169474809315,0.1390933876955463,0.0390933876955463,0.008782030852126236,0.07710700189817875,0.027107001898178752,0.008356977965035808,0.019561596440936847,0.009561596440936848,0.003607953578873719
3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,simple_welch,Simple Welch,10,0.9999,0.0018150506070906027,0.11297571240673647,0.10504883567836094,0.09881169474809315,0.13327282353629588,0.03327282353629589,0.00866854508863521,0.07030630971332322,0.020306309713323218,0.0074836884795691045,0.016141304356909796,0.006141304356909796,0.00315399209058743
3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,expanded_welch,Expanded Welch,10,0.98062,0.0018150506070906027,0.11297571240673647,0.10504883567836094,0.09881169474809315,0.1131870275532243,0.013538334742766783,0.00957990512731626,0.057551162047830964,0.008237436557634887,0.006919365705404622,0.013888244434678556,0.003927460120953066,0.0029489524365210523
3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,edgeworth_normal,Joint Edgeworth,10,0.95902,0.0018150506070906027,0.11297571240673647,0.10504883567836094,0.09881169474809315,0.15218203994309673,0.052182039943096746,0.012568409170928127,0.09709865122200714,0.04709865122200715,0.010977017436990769,0.030761697292583608,0.020761697292583602,0.005619543907722442
3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,joint_influence_welch,Joint-Influence Welch,10,0.9765400000000002,0.0018150506070906027,0.11297571240673647,0.10504883567836094,0.09881169474809315,0.14178260360897985,0.041782603608979854,0.01020780491289249,0.0831874078927799,0.033187407892779894,0.008040564823038176,0.02586423617431834,0.015864236174318338,0.00412516697854244
3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,normal_wald,Normal Wald,10,1.0,-0.008849039469680913,0.08790313308610298,0.08089658885449544,0.29860805057507883,0.17759999999999998,0.07759999999999999,0.02535069580460816,0.1356,0.08559999999999998,0.02816301751509514,0.09849999999999999,0.0885,0.03259273947778349
3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,simple_welch,Simple Welch,10,1.0,-0.008849039469680913,0.08790313308610298,0.08089658885449544,0.29860805057507883,0.17468,0.07468,0.025610275715466674,0.13294,0.08294,0.028374487758469853,0.09718,0.08718000000000001,0.03287355573506868
