condition,condition_label,method,method_label,nominal_alpha,actual_rejection_rate
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.041,0.03761999999999999
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.042,0.03853000000000001
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.043000000000000003,0.039459999999999995
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.044,0.040395
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.045,0.04129000000000001
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.046,0.04229
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.047,0.043155
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.048,0.04401499999999999
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.049,0.044890000000000006
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.05,0.04592
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.051000000000000004,0.04695500000000001
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.052000000000000005,0.047995
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.053,0.048955000000000005
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.054,0.04996499999999999
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.055,0.050824999999999995
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.056,0.05175
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.057,0.052615
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.058,0.05354500000000002
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.059000000000000004,0.05450000000000001
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.06,0.05552499999999999
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.061,0.05644499999999999
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.062,0.05738
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.063,0.058325000000000016
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.064,0.05927499999999998
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.065,0.06024499999999999
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.066,0.061204999999999975
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.067,0.062265000000000015
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.068,0.063095
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.069,0.06403
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.07,0.06500999999999998
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.07100000000000001,0.06597999999999998
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.07200000000000001,0.06695000000000001
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.073,0.067905
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.074,0.068935
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.075,0.069875
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.076,0.070895
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.077,0.07186
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.078,0.07288
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.079,0.07379499999999997
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.08,0.07488500000000001
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.081,0.07594999999999999
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.082,0.076855
