pair_id,shape,profile,n_p,n_q,baseline_mi,mi_difference,input_index,method,median_microseconds,valid
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,73,normal_wald,85.333,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,73,expanded_welch,147.5,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,74,normal_wald,83.875,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,74,expanded_welch,147.542,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,75,normal_wald,84.375,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,75,expanded_welch,148.209,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,76,normal_wald,84.0,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,76,expanded_welch,149.666,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,77,normal_wald,85.375,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,77,expanded_welch,149.75,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,78,normal_wald,84.25,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,78,expanded_welch,150.042,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,79,normal_wald,84.125,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,79,expanded_welch,150.334,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,80,normal_wald,83.958,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,80,expanded_welch,151.334,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,81,normal_wald,83.292,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,81,expanded_welch,149.708,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,82,normal_wald,83.291,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,82,expanded_welch,148.833,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,83,normal_wald,83.75,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,83,expanded_welch,148.5,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,84,normal_wald,85.084,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,84,expanded_welch,147.959,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,85,normal_wald,85.083,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,85,expanded_welch,153.25,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,86,normal_wald,84.375,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,86,expanded_welch,153.041,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,87,normal_wald,83.708,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,87,expanded_welch,149.917,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,88,normal_wald,84.042,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,88,expanded_welch,149.083,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,89,normal_wald,83.709,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,89,expanded_welch,151.625,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,90,normal_wald,84.125,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,90,expanded_welch,150.916,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,91,normal_wald,83.417,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,91,expanded_welch,148.583,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,92,normal_wald,85.083,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,92,expanded_welch,147.75,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,93,normal_wald,84.666,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,93,expanded_welch,147.708,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,94,normal_wald,83.75,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,94,expanded_welch,147.542,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,95,normal_wald,85.834,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,95,expanded_welch,147.792,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,96,normal_wald,84.917,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,96,expanded_welch,147.834,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,97,normal_wald,83.875,True
