absolute_mi_difference,achieved_mi_p,achieved_mi_q,both_reject,columns,configuration_id,constructor,dominant_p,dominant_q,method_a,method_b,n_p,n_q,neither_rejects,nominal_alpha,only_method_a_rejects,only_method_b_rejects,pair_id,paired_95_high,paired_95_low,paired_standard_error,pattern,profile,rejection_rate_difference_a_minus_b,replicates,rows,shape,signed_mi_difference_q_minus_p,simulation_seed,target_mi_p,target_mi_q
0.005000000000000469,0.025000000000000328,0.019999999999999858,183,3,config_02906e6ef8b931ca,additive,,,expanded_welch,normal_wald,100,50,19483,0.05,0,334,pair_77d4726f9e436b7f,-0.01492395818601412,-0.018476041813985877,0.0009061437826458566,first,same_skew,-0.0167,20000,3,3x3,-0.005000000000000469,12014002343079929060,0.025,0.02
0.0020000000000000894,9.99999999999569e-05,0.0021000000000000463,32,2,config_02b59bcdf214cad1,additive,,,expanded_welch,normal_wald,100,100,19920,0.05,0,48,pair_dc06364c84b6e171,-0.0017218343752218549,-0.003078165624778145,0.0003460028697847678,first,different_skew,-0.0024,20000,2,2x2,0.0020000000000000894,6525190733130981264,0.0001,0.0021
0.0019999999999999237,0.0010000000000000009,0.0029999999999999246,1129,8,config_02bcbd3fbca47ab7,additive,,,expanded_welch,normal_wald,20,20,18634,0.05,0,237,pair_8d60f1e964e833c4,-0.010350237315237664,-0.013349762684762335,0.0007651850432460899,first,uniform,-0.01185,20000,8,8x8,0.0019999999999999237,9207885986581401832,0.001,0.003
2.5000000000280386e-05,9.99999999977034e-06,3.5000000000050724e-05,308,8,config_02c97848c7690ee5,additive,0.9,0.95,expanded_welch,normal_wald,100,100,18357,0.05,0,1335,pair_26a1cb58fe278277,-0.06329079288554544,-0.07020920711445457,0.001764901589007428,first,custom_extreme,-0.06675,20000,8,8x8,2.5000000000280386e-05,18175986158716421610,1e-05,3.5000000000000004e-05
0.0010000000000001154,0.019999999999999858,0.020999999999999974,418,3,config_02d1af6333a75f2b,additive,,,expanded_welch,normal_wald,250,50,18772,0.05,0,810,pair_c05eb36f14bc3704,-0.037767866400100394,-0.04323213359989961,0.0013939457142344933,first,same_skew,-0.0405,20000,3,3x3,0.0010000000000001154,11867779821699089752,0.02,0.021
0.05000000000000023,0.019999999999999858,0.07000000000000009,924,3,config_02e0d83e98e6a6ed,additive,,,expanded_welch,normal_wald,20,20,18681,0.05,0,395,pair_dc9e16529236fd76,-0.017821569877559246,-0.021678430122440754,0.000983892919612629,first,same_skew,-0.01975,20000,3,3x3,0.05000000000000023,18273724379345980151,0.02,0.07
0.0019999999999999324,0.019999999999999997,0.02199999999999993,1206,8,config_02e8417a0165338a,additive,,,expanded_welch,normal_wald,100,50,18534,0.05,0,260,pair_b71c16122efe963c,-0.011430063149331874,-0.014569936850668125,0.0008009881891163908,first,uniform,-0.013,20000,8,8x8,0.0019999999999999324,2900884175744724732,0.02,0.022
0.0019999999999999367,0.0001000000000000523,0.002099999999999989,285,3,config_0333fbc87b502f0b,additive,,,expanded_welch,normal_wald,1000,1000,19465,0.05,0,250,pair_3d616241f2c6e275,-0.010960160380006164,-0.014039839619993838,0.0007856324591805293,rare,different_skew,-0.0125,20000,3,3x3,0.0019999999999999367,16958428675783687767,0.0001,0.0021
0.0,0.01999999999999995,0.01999999999999995,183,2,config_033b35a7a6c4fa8a,additive,,,expanded_welch,normal_wald,10,10,19286,0.05,0,531,pair_cd3f51adc4b4ed85,-0.0243218674733024,-0.0287781325266976,0.0011368023095395913,first,same_skew,-0.02655,20000,2,2x2,0.0,2348617675585097657,0.02,0.02
0.02000000000000017,0.01999999999999985,0.04000000000000002,0,2,config_0375c4a204613747,additive,,,expanded_welch,normal_wald,2,2,20000,0.05,0,0,pair_f92afa0319e6f637,0.0,0.0,0.0,first,uniform,0.0,20000,2,2x2,0.02000000000000017,17170885797022702019,0.02,0.04
0.00020000000000088355,1.0000000000052644e-05,0.0002100000000009362,0,8,config_0386a61b0ea34b17,additive,0.99,0.995,expanded_welch,normal_wald,5,5,19977,0.05,0,23,pair_5fb4b798b2099807,-0.0006802670900923244,-0.0016197329099076757,0.0002396596479120794,first,custom_extreme,-0.00115,20000,8,8x8,0.00020000000000088355,10507976393873092783,1e-05,0.00021
0.01999999999999979,0.0010000000000003517,0.02100000000000014,672,8,config_03a458ce6c995251,additive,,,expanded_welch,normal_wald,100,100,18959,0.05,0,369,pair_028ce0ffa99b3aba,-0.016584881928383338,-0.020315118071616664,0.0009515908528656435,first,different_skew,-0.01845,20000,8,8x8,0.01999999999999979,7711459774057959278,0.001,0.021
0.0019999999999997012,0.0010000000000003517,0.003000000000000053,264,8,config_03c909777532f4da,additive,,,expanded_welch,normal_wald,1000,1000,19633,0.05,0,103,pair_9df2d09eb3791f17,-0.00415794820370188,-0.00614205179629812,0.0005061488756623062,first,different_skew,-0.00515,20000,8,8x8,0.0019999999999997012,14205166453740407958,0.001,0.003
0.004999999999999942,0.0,0.004999999999999942,0,2,config_03d3e1181798c4c0,additive,,,expanded_welch,normal_wald,2,2,20000,0.05,0,0,pair_1280eaf26768bc08,0.0,0.0,0.0,first,uniform,0.0,20000,2,2x2,0.004999999999999942,3851675648326752107,0.0,0.005
1.8484291788162244e-16,9.99999999977034e-06,9.999999999955183e-06,0,8,config_03eb190c120774fd,additive,0.9,0.95,expanded_welch,normal_wald,5,5,18994,0.05,0,1006,pair_256ab9b3d2111c19,-0.04727079166811592,-0.05332920833188407,0.0015455144550428953,first,custom_extreme,-0.0503,20000,8,8x8,1.8484291788162244e-16,7972855143481452881,1e-05,1e-05
