absolute_mi_difference,achieved_mi_p,achieved_mi_q,columns,common_valid_rate,common_valid_rejection_rate,common_valid_rejections,common_valid_replicates,conditional_rejection_rate,configuration_id,constructor,dominant_p,dominant_q,empty_column_p,empty_column_q,empty_row_p,empty_row_q,expanded_df_median,expanded_df_p05,expanded_df_p95,invalid_reason_counts_json,method,method_label,minimum_true_expected_p,minimum_true_expected_q,monte_carlo_standard_error,n_p,n_q,nominal_alpha,observed_zero_fraction_p,observed_zero_fraction_q,pair_id,pattern,profile,rejections,replicates,rows,shape,signed_mi_difference_q_minus_p,simulation_seed,standard_error_median,standard_error_p05,standard_error_p95,statistic_median,statistic_p05,statistic_p95,target_mi_p,target_mi_q,true_expected_below_1_p,true_expected_below_1_q,true_expected_below_5_p,true_expected_below_5_q,unconditional_rejection_rate,valid_rate,valid_replicates,wilson_95_high,wilson_95_low
0.0010000000000000772,0.01999999999999999,0.021000000000000067,3,0.95435,0.1777125792424163,3392,19087,0.1923557956876282,config_07443a6003e13001,additive,,,0.37905,0.38235,0.379,0.38305,,,,"{""invalid_base"": 11}",normal_wald,Normal Wald,0.39015137860150384,0.38613208271838007,0.0027864846805607957,5,5,0.05,0.5580888888888889,0.5590777777777778,pair_387604fbc8c5493e,first,uniform,3845,20000,3,3x3,0.0010000000000000772,10991889373180192758,0.24836286238903812,0.14061662169269099,0.3323221810420037,0.0,-2.3904572186687885,2.390457218668788,0.02,0.021,1.0,1.0,1.0,1.0,0.19225,0.99945,19989,0.1977703040780823,0.18684789411445005
0.0019999999999999254,0.019999999999999993,0.02199999999999992,5,1.0,0.01435,287,20000,0.01435,config_076c36eb62e1a658,additive,,,0.07925,0.023,0.07705,0.0237,9.923231344196179,4.087243628171788,25.539993338903006,"{""invalid_base"": 0, ""invalid_combined_df"": 0, ""invalid_component_p"": 0, ""invalid_component_q"": 0}",expanded_welch,Expanded Welch,0.28125000000000006,0.2499999999999999,0.0008409541455989143,50,100,0.05,0.49413600000000013,0.483926,pair_e1cbcdc30514ed94,first,different_skew,287,20000,5,5x5,0.0019999999999999254,11334172676414591741,0.07764093919013164,0.05422047123852687,0.09956776822877292,-0.1531828232531958,-1.6453020528067996,1.165891899460242,0.02,0.022,0.6,0.6,0.96,0.96,0.01435,1.0,20000,0.016093980553996277,0.012792544067298144
0.0019999999999999254,0.019999999999999993,0.02199999999999992,5,1.0,0.02905,581,20000,0.02905,config_076c36eb62e1a658,additive,,,0.07925,0.023,0.07705,0.0237,,,,"{""invalid_base"": 0}",normal_wald,Normal Wald,0.28125000000000006,0.2499999999999999,0.0011875625772985606,50,100,0.05,0.49413600000000013,0.483926,pair_e1cbcdc30514ed94,first,different_skew,581,20000,5,5x5,0.0019999999999999254,11334172676414591741,0.07764093919013164,0.05422047123852687,0.09956776822877292,-0.1531828232531958,-1.6453020528067996,1.165891899460242,0.02,0.022,0.6,0.6,0.96,0.96,0.02905,1.0,20000,0.03146955230265307,0.026811326458591873
0.02000000000000001,0.019999999999999872,0.03999999999999988,5,1.0,0.11995,2399,20000,0.11995,config_07d9e54989408104,additive,,,0.0,0.0,0.0,0.0,28.52806739191631,16.302580041280294,47.212057372146575,"{""invalid_base"": 0, ""invalid_combined_df"": 0, ""invalid_component_p"": 0, ""invalid_component_q"": 0}",expanded_welch,Expanded Welch,1.2499999999999993,1.2499999999999993,0.0022974115597776557,500,500,0.05,0.17151600000000003,0.17128000000000002,pair_7ce1d258fd1cfc5a,first,same_skew,2399,20000,5,5x5,0.02000000000000001,13331870627156334746,0.02083990901038725,0.016292333469104133,0.02506098346543266,-0.9539163853578121,-2.438198180369685,0.6692016736887277,0.02,0.04,0.0,0.0,0.6,0.6,0.11995,1.0,20000,0.12452598632743435,0.11551998027881079
0.02000000000000001,0.019999999999999872,0.03999999999999988,5,1.0,0.13955,2791,20000,0.13955,config_07d9e54989408104,additive,,,0.0,0.0,0.0,0.0,,,,"{""invalid_base"": 0}",normal_wald,Normal Wald,1.2499999999999993,1.2499999999999993,0.002450263225655562,500,500,0.05,0.17151600000000003,0.17128000000000002,pair_7ce1d258fd1cfc5a,first,same_skew,2791,20000,5,5x5,0.02000000000000001,13331870627156334746,0.02083990901038725,0.016292333469104133,0.02506098346543266,-0.9539163853578121,-2.438198180369685,0.6692016736887277,0.02,0.04,0.0,0.0,0.6,0.6,0.13955,1.0,20000,0.14442168479560683,0.134816753997239
0.0099999999999998,0.019999999999999993,0.029999999999999794,5,1.0,0.03235,647,20000,0.03235,config_07de083ccba9fbb0,additive,,,0.0,0.0,0.0,0.0,35.11894321959373,22.46129176767176,52.12359036297244,"{""invalid_base"": 0, ""invalid_combined_df"": 0, ""invalid_component_p"": 0, ""invalid_component_q"": 0}",expanded_welch,Expanded Welch,5.107194876520683,4.076319246969211,0.00125106909281622,250,250,0.05,0.00045999999999999996,0.0013160000000000001,pair_4d27465cf0425ea3,first,uniform,647,20000,5,5x5,0.0099999999999998,16563246163885634715,0.02824538762737848,0.023703989380017065,0.03285760224759019,-0.36236625029722114,-1.8028128083383836,1.0908675172993882,0.02,0.03,0.0,0.0,0.0,0.08,0.03235,1.0,20000,0.034893264733707206,0.029986346589567444
0.0099999999999998,0.019999999999999993,0.029999999999999794,5,1.0,0.039,780,20000,0.039,config_07de083ccba9fbb0,additive,,,0.0,0.0,0.0,0.0,,,,"{""invalid_base"": 0}",normal_wald,Normal Wald,5.107194876520683,4.076319246969211,0.0013689229342808162,250,250,0.05,0.00045999999999999996,0.0013160000000000001,pair_4d27465cf0425ea3,first,uniform,780,20000,5,5x5,0.0099999999999998,16563246163885634715,0.02824538762737848,0.023703989380017065,0.03285760224759019,-0.36236625029722114,-1.8028128083383836,1.0908675172993882,0.02,0.03,0.0,0.0,0.0,0.08,0.039,1.0,20000,0.04177277091041317,0.03640428633331529
0.0,9.999999999994562e-05,9.999999999994562e-05,2,0.9901,5.04999495000505e-05,1,19802,5.04999495000505e-05,config_07e2bfbc67936923,additive,,,0.0,0.0,0.0,0.0,0.7391479067481079,0.05483428398873408,3.387963408242741,"{""invalid_base"": 1, ""invalid_combined_df"": 197, ""invalid_component_p"": 97, ""invalid_component_q"": 100}",expanded_welch,Expanded Welch,24.646452502090913,24.646452502090913,4.999874998437461e-05,100,100,0.05,0.0,0.0,pair_4f79562663eb21be,first,uniform,1,20000,2,2x2,0.0,11877794810216992610,0.011981065569356023,0.00323996041378501,0.02472680692789822,-0.007645709496304684,-0.8590330300526241,0.8394597199320413,0.0001,0.0001,0.0,0.0,0.0,0.0,5e-05,0.9901,19802,0.0002831905702260402,8.826282272974824e-06
0.0,9.999999999994562e-05,9.999999999994562e-05,2,0.9901,0.0002524997475002525,5,19802,0.00025001250062503126,config_07e2bfbc67936923,additive,,,0.0,0.0,0.0,0.0,,,,"{""invalid_base"": 1}",normal_wald,Normal Wald,24.646452502090913,24.646452502090913,0.00011178942257655686,100,100,0.05,0.0,0.0,pair_4f79562663eb21be,first,uniform,5,20000,2,2x2,0.0,11877794810216992610,0.011981065569356023,0.00323996041378501,0.02472680692789822,-0.007645709496304684,-0.8590330300526241,0.8394597199320413,0.0001,0.0001,0.0,0.0,0.0,0.0,0.00025,0.99995,19999,0.0005851504035326238,0.00010678963454394949
0.009999999999999787,0.019999999999999997,0.029999999999999784,8,1.0,0.05675,1135,20000,0.05675,config_07f7dad0fccee38c,additive,,,0.0107,0.0107,0.01095,0.01085,29.691835141606113,19.36467803331561,45.82670781496203,"{""invalid_base"": 0, ""invalid_combined_df"": 0, ""invalid_component_p"": 0, ""invalid_component_q"": 0}",expanded_welch,Expanded Welch,0.19241603673577806,0.08602816468290504,0.0016359926268171262,50,50,0.05,0.4602828125,0.46238984375,pair_2ec66db67e17568d,first,uniform,1135,20000,8,8x8,0.009999999999999787,4539900433107242214,0.10054136376840977,0.08679393585608747,0.11536531153933152,-0.05729821225050638,-1.7993521797642118,1.7016873297851929,0.02,0.03,0.96875,0.96875,1.0,1.0,0.05675,1.0,20000,0.06004242842888627,0.05362781153485048
