stage,population_seed,scenario_id,scenario_key,simulation_seed,rows,columns,design_index,n_p,n_q,replicates,valid_n,valid_rate,true_delta,minimum_joint_expected_p,minimum_joint_expected_q,mean_zero_fraction_p,mean_zero_fraction_q,batch_seconds,batch_microseconds_per_pair,empirical_component_df_p,empirical_component_df_q,empirical_total_df,median_naive_total_df,median_if_total_df,population_if_component_df_p,population_if_component_df_q,population_if_total_df,correlation_delta_total_variance,wald_normal_coverage_95,wald_normal_fpr_10,wald_normal_fpr_10_low,wald_normal_fpr_10_high,wald_normal_error_10,wald_normal_fpr_05,wald_normal_fpr_05_low,wald_normal_fpr_05_high,wald_normal_error_05,welch_n_minus_1_coverage_95,welch_n_minus_1_median_df,welch_n_minus_1_fpr_10,welch_n_minus_1_fpr_10_low,welch_n_minus_1_fpr_10_high,welch_n_minus_1_error_10,welch_n_minus_1_fpr_05,welch_n_minus_1_fpr_05_low,welch_n_minus_1_fpr_05_high,welch_n_minus_1_error_05,if_satterthwaite_coverage_95,if_satterthwaite_median_df,if_satterthwaite_fpr_10,if_satterthwaite_fpr_10_low,if_satterthwaite_fpr_10_high,if_satterthwaite_error_10,if_satterthwaite_fpr_05,if_satterthwaite_fpr_05_low,if_satterthwaite_fpr_05_high,if_satterthwaite_error_05
strong,73105913,strong_random_4x6_d1,strong:73105913:strong_random_4x6_d1,2781960879,4,6,1,1200,2400,5000,5000,1.0,0.0,14.35367658070443,28.70735316140886,0.0,0.0,0.006744624930433929,1.3489249860867858,122.80428578418984,226.2796158608638,239.58195058420426,2364.9042727578626,227.12594823431698,103.9233474455634,207.8466948911268,207.84669489112676,0.5657002999288352,0.955,0.0918,0.08410690139814984,0.10011985046979481,0.008199999999999999,0.045,0.0395948274633155,0.051103781306686476,0.0050000000000000044,0.9554,2364.9042727578626,0.0914,0.08372287557926333,0.09970449045023735,0.00860000000000001,0.0446,0.03921945850747833,0.0506797644240797,0.005400000000000002,0.9562,227.12594823431698,0.0906,0.08295496271923773,0.09887363163337505,0.009400000000000006,0.0438,0.03846909782873126,0.04983135342593886,0.006200000000000004
strong,73105913,strong_random_4x6_d2,strong:73105913:strong_random_4x6_d2,3655251979,4,6,2,600,2400,5000,5000,1.0,0.0,1.1500041727092334,4.6000166908369335,0.01365,0.00035833333333333333,0.007127374992705882,1.4254749985411763,155.7673293560971,613.2338181961701,238.0736223803196,913.5022537664106,237.8901732364815,150.82574899601218,603.3029959840487,232.03961384001875,0.6731752078723753,0.9434,0.1066,0.0983460562167133,0.11545797167365762,0.006599999999999995,0.0566,0.05052881403128711,0.06335198405358955,0.006599999999999995,0.9436,913.5022537664106,0.1062,0.09796049076292289,0.11504415128900407,0.006199999999999997,0.0564,0.05033958885978194,0.06314151630587274,0.006399999999999996,0.9448,237.8901732364815,0.105,0.09680402194170139,0.11380246259489372,0.0049999999999999906,0.0552,0.049204713358980225,0.061878234291342586,0.005199999999999996
strong,73105913,strong_random_4x6_d3,strong:73105913:strong_random_4x6_d3,2307307102,4,6,3,4800,4800,5000,5000,1.0,0.0,4.827121290552921,4.827121290552921,0.0003,0.000325,0.006991041940636933,1.3982083881273866,170.19570856425264,177.52413121987342,347.39143050791995,9572.34397720427,344.60840062675607,162.65491494731708,162.65491494731708,325.3098298946342,0.018789979898043686,0.95,0.0994,0.0914118206070568,0.10800326219132297,0.0006000000000000033,0.05,0.04429689670057055,0.05639403504998086,0.0,0.95,9572.34397720427,0.0994,0.0914118206070568,0.10800326219132297,0.0006000000000000033,0.05,0.04429689670057055,0.05639403504998086,0.0,0.9514,344.60840062675607,0.098,0.09006501107959225,0.10655222128423367,0.0020000000000000018,0.0486,0.04297853230752914,0.05491454900846843,0.0014000000000000054
strong,73105913,strong_random_4x6_d4,strong:73105913:strong_random_4x6_d4,150415482,4,6,4,480,960,5000,5000,1.0,0.0,7.648704353763511,15.297408707527023,4.1666666666666665e-05,0.0,0.006756291026249528,1.3512582052499056,56.300222733449026,90.29602849052301,105.11850058902237,928.0672741276497,97.34592540472957,39.5601478413237,79.1202956826474,79.12029568264737,0.5517855268635242,0.959,0.0922,0.0844909731146427,0.1005351645917459,0.007800000000000001,0.041,0.035846974112552034,0.0468577762730104,0.009000000000000001,0.9592,928.0672741276497,0.092,0.08429893153598811,0.1003275132511785,0.008000000000000007,0.0408,0.0356599365855389,0.04664512088080157,0.0092,0.9612,97.34592540472957,0.09,0.08237915058874334,0.09825036500620349,0.010000000000000009,0.0388,0.03379155841070425,0.04451656986341644,0.011200000000000002
strong,73105913,strong_random_4x6_d5,strong:73105913:strong_random_4x6_d5,3413949383,4,6,5,240,960,5000,5000,1.0,0.0,1.548793172222043,6.195172688888172,0.018391666666666667,9.166666666666667e-05,0.007126707932911813,1.4253415865823627,72.20693830849815,236.08459969047948,108.12787385064806,360.87029226238974,99.98524318453087,52.41275104460013,209.6510041784005,80.63500160707713,0.7080420214639256,0.9406,0.1088,0.10046733357174994,0.11773331643006271,0.008799999999999988,0.0594,0.05318026355064123,0.0662962354033431,0.009399999999999999,0.9416,360.87029226238974,0.1082,0.099888692291972,0.11711287895217473,0.008199999999999999,0.0584,0.05223283299055025,0.06524520136732419,0.008399999999999998,0.9434,99.98524318453087,0.1072,0.09892447485888445,0.1160786317891524,0.007199999999999998,0.0566,0.05052881403128711,0.06335198405358955,0.006599999999999995
strong,73105913,strong_random_5x5_d0,strong:73105913:strong_random_5x5_d0,433845777,5,5,0,2500,2500,5000,5000,1.0,0.0,48.31162114737368,48.31162114737368,0.0,0.0,0.0071766250766813755,1.435325015336275,93.7023554464406,88.87468105707703,183.30951806210086,4972.972540700153,172.2016913387335,76.70385493185489,76.70385493185489,153.4077098637098,-0.022683773147781344,0.958,0.0878,0.0802687542239326,0.09596413925957249,0.012200000000000003,0.042,0.036782686294686,0.047920528686986326,0.008,0.958,4972.972540700153,0.0878,0.0802687542239326,0.09596413925957249,0.012200000000000003,0.042,0.036782686294686,0.047920528686986326,0.008,0.9588,172.2016913387335,0.0866,0.07911824725927426,0.09471648870889897,0.013400000000000009,0.0412,0.03603404693250977,0.04707039637227465,0.008800000000000002
strong,73105913,strong_random_5x5_d1,strong:73105913:strong_random_5x5_d1,1630516052,5,5,1,1250,2500,5000,5000,1.0,0.0,12.146906702015837,24.293813404031674,0.0,0.0,0.007159042055718601,1.4318084111437201,120.51613968029807,221.8827022787336,234.0423673918753,2464.112554821406,221.33938420651256,101.21851651513732,202.43703303027465,202.43703303027465,0.5584677703299551,0.957,0.092,0.08429893153598811,0.1003275132511785,0.008000000000000007,0.043,0.0377192510877771,0.0489824284900051,0.007000000000000006,0.957,2464.112554821406,0.0916,0.08391488273466795,0.0999121762140547,0.008400000000000005,0.043,0.0377192510877771,0.0489824284900051,0.007000000000000006,0.9588,221.33938420651256,0.0902,0.08257107622794863,0.09845813228622019,0.009800000000000003,0.0412,0.03603404693250977,0.04707039637227465,0.008800000000000002
strong,73105913,strong_random_5x5_d2,strong:73105913:strong_random_5x5_d2,2555422087,5,5,2,625,2500,5000,5000,1.0,0.0,0.36970771345551257,1.4788308538220503,0.04396,0.009576,0.0075374169973656535,1.5074833994731307,126.11385959818489,469.0446662632818,193.50297675771998,957.9506929934721,187.4709728661862,116.39227376789954,465.56909507159816,179.06503656599932,0.6778376472798063,0.9458,0.1022,0.09410694680069474,0.11090383686679268,0.0021999999999999936,0.0542,0.04825961924472352,0.06082486380948941,0.004199999999999995,0.9458,957.9506929934721,0.1018,0.09372180779356477,0.11048959003547872,0.001799999999999996,0.0542,0.04825961924472352,0.06082486380948941,0.004199999999999995,0.9464,187.4709728661862,0.0998,0.0917967165871111,0.10841775204971262,0.00020000000000000573,0.0536,0.04769284678695338,0.06019255750959362,0.003599999999999999
strong,73105913,strong_random_5x5_d3,strong:73105913:strong_random_5x5_d3,3361648196,5,5,3,5000,5000,5000,5000,1.0,0.0,1.0093230919265515,1.0093230919265515,0.030768,0.030592,0.007445957977324724,1.4891915954649448,178.2654735432211,171.16640923773164,351.933150830234,9972.143939311096,341.623477512295,165.0418250778134,165.0418250778134,330.0836501556268,-0.02861522599417196,0.9512,0.1046,0.09641860881615973,0.11338848988199142,0.004599999999999993,0.0488,0.043166788231898734,0.05512598600332083,0.0011999999999999997,0.9512,9972.143939311096,0.1046,0.09641860881615973,0.11338848988199142,0.004599999999999993,0.0488,0.043166788231898734,0.05512598600332083,0.0011999999999999997,0.9524,341.623477512295,0.103,0.09487734390886227,0.11173221143551307,0.002999999999999989,0.0476,0.04203767154178206,0.05385694517810563,0.0023999999999999994
strong,73105913,strong_random_5x5_d4,strong:73105913:strong_random_5x5_d4,3033915420,5,5,4,500,1000,5000,5000,1.0,0.0,6.093598440463985,12.18719688092797,0.000128,0.0,0.007239874918013811,1.4479749836027622,51.800810400037655,89.36032589495372,97.74118662259175,970.8294827836437,92.84526572481754,36.67974292047951,73.35948584095902,73.359485840959,0.5732275659130996,0.9618,0.0884,0.08084417271707507,0.09658779952409598,0.0116,0.0382,0.03323177727980299,0.04387727223665176,0.011800000000000005,0.9626,970.8294827836437,0.0874,0.07988520275826139,0.09554830488679975,0.0126,0.0374,0.03248595059283844,0.04302432724672841,0.0126,0.9646,92.84526572481754,0.0828,0.07547796479300165,0.09076260570995401,0.017200000000000007,0.0354,0.030624246822118124,0.04088910182522896,0.014600000000000002
