configuration,family,split,seen_in_router_pilot,total_n,total_strata,informative_strata,lyapunov_ratio,max_variance_share,skewness,reference,exact_state_count,exact_state_upper_bound,exact_transition_upper_bound,router_route,moments_seconds,complexity_seconds,exact_seconds,cgf_build_seconds,cgf_components,cgf_unique_components,saddlepoint_pvalue_seconds,router_seconds,permutation_seconds,runtime_speedup_vs_permutation,saddlepoint_quantile_p_mae,saddlepoint_tail_quantile_p_mae,saddlepoint_quantile_max_error,saddlepoint_quantile_monotonicity_violations,saddlepoint_quantile_evaluations,saddlepoint_quantile_fallbacks,saddlepoint_quantile_numerical_failures,saddlepoint_quantile_guardrail_reasons,alpha,reference_fpr,saddlepoint_threshold,saddlepoint_threshold_evaluations,saddlepoint_threshold_guardrails,saddlepoint_threshold_numerical_failures,normal_fpr,normal_fpr_error_vs_reference,normal_size_distortion,edgeworth_fpr,edgeworth_fpr_error_vs_reference,edgeworth_size_distortion,cornish_fisher_fpr,cornish_fisher_fpr_error_vs_reference,cornish_fisher_size_distortion,saddlepoint_fpr,saddlepoint_fpr_error_vs_reference,saddlepoint_size_distortion,router_fpr,router_fpr_error_vs_reference,router_size_distortion,chi2_nominal_fpr,chi2_nominal_fpr_error_vs_reference,chi2_nominal_size_distortion,chi2_informative_fpr,chi2_informative_fpr_error_vs_reference,chi2_informative_size_distortion
homogeneous_k50_n5_both_skew,homogeneous,development,False,250,50,50,0.24041630560342614,0.02,0.21213203435596423,exact_convolution,51.0,51,2550,exact_convolution,0.0002254159189760685,7.49160535633564e-05,0.0007661249255761504,0.00031408295035362244,50,1,0.0003047666046768427,0.0010664568981155753,0.06790204194840044,63.67068567738935,0.029284680193879274,0.0066084848878357905,0.07036432629646472,0,17,1,0,"{""near_mean_edgeworth"": 1}",0.05,0.03080342278204759,92.747371275815,8,2,0,0.06072207963194929,0.0299186568499017,0.010722079631949287,0.06072207963194929,0.0299186568499017,0.010722079631949287,0.06072207963194929,0.0299186568499017,0.010722079631949287,0.06072207963194929,0.0299186568499017,0.010722079631949287,0.03080342278204759,0.0,0.019196577217952412,0.5562595867082493,0.5254561639262016,0.5062595867082492,0.5562595867082493,0.5254561639262016,0.5062595867082492
homogeneous_k50_n5_both_skew,homogeneous,development,False,250,50,50,0.24041630560342614,0.02,0.21213203435596423,exact_convolution,51.0,51,2550,exact_convolution,0.0002254159189760685,7.49160535633564e-05,0.0007661249255761504,0.00031408295035362244,50,1,0.0003047666046768427,0.0010664568981155753,0.06790204194840044,63.67068567738935,0.029284680193879274,0.0066084848878357905,0.07036432629646472,0,17,1,0,"{""near_mean_edgeworth"": 1}",0.01,0.006260774584862601,101.744733589717,8,2,0,0.014441657317257599,0.008180882732394998,0.0044416573172575986,0.006260774584862601,0.0,0.003739225415137399,0.006260774584862601,0.0,0.003739225415137399,0.014441657317257599,0.008180882732394998,0.0044416573172575986,0.006260774584862601,0.0,0.003739225415137399,0.2893323950118289,0.28307162042696626,0.2793323950118289,0.2893323950118289,0.28307162042696626,0.2793323950118289
homogeneous_k50_n5_both_skew,homogeneous,development,False,250,50,50,0.24041630560342614,0.02,0.21213203435596423,exact_convolution,51.0,51,2550,exact_convolution,0.0002254159189760685,7.49160535633564e-05,0.0007661249255761504,0.00031408295035362244,50,1,0.0003047666046768427,0.0010664568981155753,0.06790204194840044,63.67068567738935,0.029284680193879274,0.0066084848878357905,0.07036432629646472,0,17,1,0,"{""near_mean_edgeworth"": 1}",0.001,0.0009324364894211228,115.24077706057,8,2,0,0.002511203332514894,0.0015787668430937713,0.0015112033325148941,0.0009324364894211228,0.0,6.756351057887722e-05,0.0009324364894211229,1.0842021724855044e-19,6.756351057887711e-05,0.0009324364894211229,1.0842021724855044e-19,6.756351057887711e-05,0.0009324364894211228,0.0,6.756351057887722e-05,0.1105865077151188,0.10965407122569767,0.1095865077151188,0.1105865077151188,0.10965407122569767,0.1095865077151188
homogeneous_k50_n10_balanced,homogeneous,development,False,500,50,50,0.5064633173073861,0.02,0.4867727769280475,exact_convolution,1326.0,1326,66300,exact_convolution,0.00022333406377583742,0.00015404191799461842,0.02067145798355341,0.0003766670124605298,50,1,0.00035364170325919987,0.021048833965323865,0.07076274999417365,3.3618370552377943,0.017295263939201534,0.004851285602097094,0.046200508625704795,0,39,0,0,{},0.1,0.09543532784689046,77.428631780861,13,2,0,0.09543532784689046,0.0,0.004564672153109545,0.09543532784689046,0.0,0.004564672153109545,0.09543532784689046,0.0,0.004564672153109545,0.09543532784689046,0.0,0.004564672153109545,0.09543532784689046,0.0,0.004564672153109545,0.3630915540242825,0.26765622617739204,0.2630915540242825,0.3630915540242825,0.26765622617739204,0.2630915540242825
homogeneous_k50_n10_balanced,homogeneous,development,False,500,50,50,0.5064633173073861,0.02,0.4867727769280475,exact_convolution,1326.0,1326,66300,exact_convolution,0.00022333406377583742,0.00015404191799461842,0.02067145798355341,0.0003766670124605298,50,1,0.00035364170325919987,0.021048833965323865,0.07076274999417365,3.3618370552377943,0.017295263939201534,0.004851285602097094,0.046200508625704795,0,39,0,0,{},0.05,0.04353541539390318,82.274841200278,12,2,0,0.063403480976059,0.019868065582155814,0.013403480976058993,0.04101799929406054,0.0025174160998426426,0.008982000705939464,0.04353541539390318,0.0,0.006464584606096821,0.04353541539390318,0.0,0.006464584606096821,0.04353541539390318,0.0,0.006464584606096821,0.2728947332939837,0.22935931790008054,0.22289473329398374,0.2728947332939837,0.22935931790008054,0.22289473329398374
homogeneous_k50_n10_balanced,homogeneous,development,False,500,50,50,0.5064633173073861,0.02,0.4867727769280475,exact_convolution,1326.0,1326,66300,exact_convolution,0.00022333406377583742,0.00015404191799461842,0.02067145798355341,0.0003766670124605298,50,1,0.00035364170325919987,0.021048833965323865,0.07076274999417365,3.3618370552377943,0.017295263939201534,0.004851285602097094,0.046200508625704795,0,39,0,0,{},0.01,0.009749426775976426,94.341049990467,12,2,0,0.016353162497080742,0.006603735721104316,0.006353162497080742,0.00960273523632394,0.00014669153965248503,0.0003972647636760595,0.00960273523632394,0.00014669153965248503,0.0003972647636760595,0.00960273523632394,0.00014669153965248503,0.0003972647636760595,0.009749426775976426,0.0,0.00025057322402357446,0.09543532784689046,0.08568590107091403,0.08543532784689047,0.09543532784689046,0.08568590107091403,0.08543532784689047
homogeneous_k50_n10_balanced,homogeneous,development,False,500,50,50,0.5064633173073861,0.02,0.4867727769280475,exact_convolution,1326.0,1326,66300,exact_convolution,0.00022333406377583742,0.00015404191799461842,0.02067145798355341,0.0003766670124605298,50,1,0.00035364170325919987,0.021048833965323865,0.07076274999417365,3.3618370552377943,0.017295263939201534,0.004851285602097094,0.046200508625704795,0,39,0,0,{},0.001,0.0009407551031422355,107.801283330652,12,2,0,0.004809172635128009,0.0038684175319857734,0.0038091726351280088,0.001853090349846083,0.0009123352467038476,0.000853090349846083,0.0010305917043300415,8.983660118780607e-05,3.059170433004151e-05,0.0010305917043300415,8.983660118780607e-05,3.059170433004151e-05,0.0009407551031422355,0.0,5.924489685776456e-05,0.02587779020881447,0.024937035105672235,0.02487779020881447,0.02587779020881447,0.024937035105672235,0.02487779020881447
homogeneous_k50_n10_x_skew,homogeneous,heldout,False,500,50,0,0.0,0.0,0.0,exact_convolution,1.0,1,0,exact_convolution,0.0002133749658241868,5.916692316532135e-05,6.662507075816393e-05,0.0003549159737303853,50,1,1.0041054338216782e-06,0.0003391669597476721,0.0709376250160858,209.15252201706446,0.0,0.0,0.0,0,1,1,0,"{""exact_lower_endpoint"": 1}",0.1,0.0,,1,1,0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,1.0,1.0,0.9,0.0,0.0,0.1
homogeneous_k50_n10_x_skew,homogeneous,heldout,False,500,50,0,0.0,0.0,0.0,exact_convolution,1.0,1,0,exact_convolution,0.0002133749658241868,5.916692316532135e-05,6.662507075816393e-05,0.0003549159737303853,50,1,1.0041054338216782e-06,0.0003391669597476721,0.0709376250160858,209.15252201706446,0.0,0.0,0.0,0,1,1,0,"{""exact_lower_endpoint"": 1}",0.05,0.0,,1,1,0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.05,1.0,1.0,0.95,0.0,0.0,0.05
homogeneous_k50_n10_x_skew,homogeneous,heldout,False,500,50,0,0.0,0.0,0.0,exact_convolution,1.0,1,0,exact_convolution,0.0002133749658241868,5.916692316532135e-05,6.662507075816393e-05,0.0003549159737303853,50,1,1.0041054338216782e-06,0.0003391669597476721,0.0709376250160858,209.15252201706446,0.0,0.0,0.0,0,1,1,0,"{""exact_lower_endpoint"": 1}",0.01,0.0,,1,1,0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.01
