scenario_id,regime,table_index,true_delta,paired_wald_normal_p,paired_wald_t_p,paired_jackknife_t_p,bootstrap_t_p,analytic_seconds,bootstrap_seconds,bootstrap_valid_replicates,bootstrap_requested_replicates
regular_2x2_weak_n100_negative,regular,5,-4.440892098500626e-16,0.33303008168771486,0.33538904175677875,0.35095081122703375,0.33,0.00015220895875245333,0.0015043329913169146,999,999
regular_2x2_weak_n100_negative,regular,6,-4.440892098500626e-16,0.06974170850182947,0.07277131081373908,0.0755816913409926,0.071,0.00015312503091990948,0.0013630419271066785,999,999
regular_2x2_weak_n100_negative,regular,7,-4.440892098500626e-16,0.979875477053254,0.9799262530790153,0.9749903618560763,0.981,0.00014720798935741186,0.001339209033176303,999,999
regular_3x3_weak_n150_positive,regular,0,-4.9682480351975755e-14,0.5062944534372942,0.5073217465930348,0.4738682564491913,0.49,0.0001707079354673624,0.002429499989375472,999,999
regular_3x3_weak_n150_positive,regular,1,-4.9682480351975755e-14,0.4417428770816205,0.4429605901409894,0.390054083338447,0.386,0.00015729200094938278,0.0022088750265538692,999,999
regular_3x3_weak_n150_positive,regular,2,-4.9682480351975755e-14,0.3785611071732411,0.3799791949932996,0.4391907694664867,0.44,0.0001508750719949603,0.0023870409931987524,999,999
regular_3x3_weak_n150_positive,regular,3,-4.9682480351975755e-14,0.7864020423957298,0.7867770855319084,0.8062409317387159,0.812,0.00015004095621407032,0.0024047079496085644,999,999
regular_3x3_weak_n150_positive,regular,4,-4.9682480351975755e-14,0.024909462497411362,0.026385186356099485,0.02269614254236325,0.039,0.00015587499365210533,0.002320040948688984,999,999
regular_3x3_weak_n150_positive,regular,5,-4.9682480351975755e-14,0.2571219978154554,0.2589421338023557,0.32006632092349624,0.325,0.00017620902508497238,0.002352749928832054,999,999
regular_3x3_weak_n150_positive,regular,6,-4.9682480351975755e-14,0.1413562419619707,0.14346491374731393,0.10643254123560146,0.098,0.0001558329677209258,0.0023795829620212317,999,999
regular_3x3_weak_n150_positive,regular,7,-4.9682480351975755e-14,0.6800494822501275,0.680642226674833,0.5808839639707639,0.568,0.00021187507081776857,0.0023236670531332493,999,999
sparse_3x3_strong_n50_positive,sparse,0,0.0,0.9874104590545819,0.9874745339993668,0.717730366204967,0.7636986301369864,0.00016266596503555775,0.0019895000150427222,875,999
sparse_3x3_strong_n50_positive,sparse,1,0.0,0.23618407758131654,0.2418980900931806,0.3755639441331296,0.39562841530054643,0.00016362511087208986,0.0019348750356584787,914,999
sparse_3x3_strong_n50_positive,sparse,2,0.0,0.10113016998961923,0.10753571880619374,0.20788752816083167,0.31554524361948955,0.00017212505917996168,0.0019621660467237234,861,999
sparse_3x3_strong_n50_positive,sparse,3,0.0,0.24050717535261967,0.24618069370276432,0.2517973697515089,0.21779859484777517,0.00015554099809378386,0.0017430830048397183,853,999
sparse_3x3_strong_n50_positive,sparse,4,0.0,0.1550805074194644,0.1614146689399595,0.159781223677866,0.38813559322033897,0.00015075004193931818,0.0017594159580767155,589,999
sparse_3x3_strong_n50_positive,sparse,5,0.0,0.17529780434253417,0.18151283385295786,0.6438930428854595,0.6898517673888256,0.00015104201156646013,0.0019208330195397139,876,999
sparse_3x3_strong_n50_positive,sparse,6,0.0,0.12303141511846842,0.12946548818741033,0.15490485024771833,0.32524271844660196,0.0001557499635964632,0.0017174170352518559,823,999
sparse_3x3_strong_n50_positive,sparse,7,0.0,0.9804225382346208,0.9805222018567742,0.9768746423254201,0.8816326530612245,0.0001521250233054161,0.001834666938520968,979,999
sparse_5x5_strong_n150_positive,sparse,0,0.0,0.14636080249687314,0.14846342003054833,0.12937451603080777,0.229,0.00019279099069535732,0.006484000012278557,999,999
sparse_5x5_strong_n150_positive,sparse,1,0.0,0.4786043807511421,0.47971143524609855,0.6393107994297311,0.659,0.00017229095101356506,0.005342000047676265,999,999
sparse_5x5_strong_n150_positive,sparse,2,0.0,0.5080640191556637,0.509086315473752,0.659556834257883,0.6926926926926927,0.00017104099970310926,0.004941249964758754,998,999
sparse_5x5_strong_n150_positive,sparse,3,0.0,0.12293720895603477,0.12505837771617384,0.05226067350785471,0.131,0.00017758295871317387,0.004759041941724718,999,999
sparse_5x5_strong_n150_positive,sparse,4,0.0,0.13316719722865722,0.13528347368677596,0.2446078799826344,0.272,0.00018137495499104261,0.004655500059016049,999,999
sparse_5x5_strong_n150_positive,sparse,5,0.0,0.7077516994802013,0.7082847439767683,0.61967229823892,0.6176176176176176,0.00016862503252923489,0.004486916004680097,998,999
sparse_5x5_strong_n150_positive,sparse,6,0.0,0.648841477487978,0.6495043554533515,0.6085409131094766,0.6098294884653962,0.00018224993254989386,0.004686958040110767,996,999
sparse_5x5_strong_n150_positive,sparse,7,0.0,0.052379932282245543,0.05426853608088661,0.040904431524781994,0.074,0.0001646250020712614,0.005072792060673237,999,999
boundary_2x2_weak_n250,boundary,0,9.992007221626409e-16,0.5507364950938722,0.5512785748759039,0.5361104923355624,0.554,0.0001735410187393427,0.0014590420760214329,999,999
boundary_2x2_weak_n250,boundary,1,9.992007221626409e-16,0.9418878831246154,0.9419464052011726,0.9536558163567067,0.958,0.00015362491831183434,0.0014536249218508601,999,999
boundary_2x2_weak_n250,boundary,2,9.992007221626409e-16,0.741777366877652,0.7420543708277594,0.9021026311982543,0.887,0.00014925003051757812,0.0014704170171171427,999,999
boundary_2x2_weak_n250,boundary,3,9.992007221626409e-16,0.5921199489559835,0.592598181483523,0.5445987221419086,0.49,0.0001669999910518527,0.0015413330402225256,999,999
boundary_2x2_weak_n250,boundary,4,9.992007221626409e-16,0.5232284879398992,0.5238151802847955,0.5138298949824187,0.417,0.00015370803885161877,0.0014925000723451376,999,999
boundary_2x2_weak_n250,boundary,5,9.992007221626409e-16,0.6435276514962105,0.6439318151886566,0.6114544983123033,0.56,0.00014875002671033144,0.0015380420954898,999,999
boundary_2x2_weak_n250,boundary,6,9.992007221626409e-16,0.815014523549368,0.8152067690957783,0.6791535488380621,0.549,0.00014854094479233027,0.0014068339951336384,999,999
boundary_2x2_weak_n250,boundary,7,9.992007221626409e-16,0.41849415911789545,0.4192665258406104,0.3843482954144882,0.361,0.00014837505295872688,0.0014246670762076974,999,999
