configuration_id,shape,alphabet_size,regime,sample_size,stage,replicates,minimum_expected_count,fraction_expected_below_1,fraction_expected_below_5,mean_observed_zero_cell_fraction_p,mean_observed_zero_cell_fraction_q,lr_valid_rate,lr_median_elapsed_ms,lr_p90_elapsed_ms,lr_median_iterations,lr_max_constraint_residual
3x3_balanced_n1000,3x3,3,balanced,1000,equal_mi_null,20,60.72212360554844,0.0,0.0,0.0,0.0,1.0,12.054895982146263,12.512145750224592,26.0,9.749919621659942e-11
3x3_mild_n25,3x3,3,mild,25,alternative,20,0.03797054777975365,0.3333333333333333,0.8888888888888888,0.23333333333333334,0.3277777777777778,1.0,16.72139554284513,39.87977078650147,68.5,5.67931054962223e-09
3x3_mild_n25,3x3,3,mild,25,equal_mi_null,20,0.1082401572407485,0.3333333333333333,0.8888888888888888,0.25555555555555554,0.26666666666666666,1.0,15.456937486305833,20.21004969719798,52.5,2.04809688653107e-09
3x3_mild_n50,3x3,3,mild,50,alternative,20,0.0759410955595073,0.1111111111111111,0.7777777777777778,0.10555555555555556,0.2222222222222222,1.0,13.848312548361719,22.943811723962426,43.0,1.002805088967662e-09
3x3_mild_n50,3x3,3,mild,50,equal_mi_null,20,0.216480314481497,0.1111111111111111,0.7777777777777778,0.07777777777777778,0.16666666666666666,1.0,12.831104453653097,15.815808903425939,38.5,1.5460726726646001e-09
3x3_mild_n75,3x3,3,mild,75,alternative,20,0.11391164333926095,0.1111111111111111,0.5555555555555556,0.027777777777777776,0.1388888888888889,1.0,13.2877710275352,23.53462080936879,38.0,1.2900829848838669e-09
3x3_mild_n75,3x3,3,mild,75,equal_mi_null,20,0.32472047172224544,0.1111111111111111,0.6111111111111112,0.03888888888888889,0.08888888888888889,1.0,13.402458047494292,18.256287812255326,36.5,8.715929922242793e-10
3x3_mild_n100,3x3,3,mild,100,alternative,20,0.1518821911190146,0.1111111111111111,0.3888888888888889,0.016666666666666666,0.15555555555555556,1.0,14.139541424810886,18.445004383102066,40.0,4.160823990906337e-09
3x3_mild_n100,3x3,3,mild,100,equal_mi_null,20,0.432960628962994,0.05555555555555555,0.3333333333333333,0.022222222222222223,0.10555555555555556,1.0,13.363229460082948,14.743070746771997,36.5,2.9536959475495728e-09
3x3_mild_n150,3x3,3,mild,150,alternative,20,0.2278232866785219,0.05555555555555555,0.3333333333333333,0.005555555555555556,0.1111111111111111,1.0,14.7321040276438,23.014613054692745,40.0,2.5567231873302454e-09
