configuration_id,experiment,population_pair_id,purpose,power_family,calibration_key,n_p,n_q,sample_size_ratio_q_over_p,u_p,v_p,u_q,v_q,association_direction_p,association_direction_q,association_delta_p,association_delta_q,true_mi_p,true_mi_q,true_delta_p_minus_q,effect_delta_i_q_minus_p,minimum_probability_p,minimum_probability_q,minimum_expected_p,minimum_expected_q,minimum_expected_either,probability_p_json,probability_q_json,expected_p_json,expected_q_json,population_variance_p,population_variance_q,replicates,mean_delta_corrected,sd_delta_corrected,mean_standard_error,rms_standard_error,sd_to_rms_se_ratio,mean_influence_variance_p,mean_influence_variance_q,mean_variance_influence_variance_p,mean_variance_influence_variance_q,any_zero_cell_rate_p,any_zero_cell_rate_q,empty_margin_rate_p,empty_margin_rate_q,mean_zero_cell_fraction_p,mean_zero_cell_fraction_q,zero_estimated_variance_rate_p,zero_estimated_variance_rate_q,mean_welch_degrees_of_freedom,median_welch_degrees_of_freedom,mean_expanded_welch_degrees_of_freedom,median_expanded_welch_degrees_of_freedom,mean_expanded_component_degrees_of_freedom_p,median_expanded_component_degrees_of_freedom_p,mean_expanded_component_degrees_of_freedom_q,median_expanded_component_degrees_of_freedom_q
C1_N1_n200,C1,N1,"Same margins, opposite association",,,200,200,1.0,0.5,0.5,0.5,0.5,1,-1,0.10989731308070487,-0.109897313080705,0.09999999999999987,0.10000000000000031,-4.440892098500626e-16,0.0,0.14010268691929512,0.140102686919295,28.020537383859022,28.020537383859,28.020537383859,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.140102686919295, 0.359897313080705], [0.359897313080705, 0.140102686919295]]","[[71.97946261614098, 28.020537383859022], [28.020537383859022, 71.97946261614098]]","[[28.020537383859, 71.97946261614099], [71.97946261614099, 28.020537383859]]",0.179521513612991,0.17952151361299135,500,-0.002221594587474949,0.04339803875974503,0.04239234010404027,0.042568626490341696,1.0194841210014498,0.17947559046389422,0.1829420017909499,0.4284226392618208,0.4317717915277157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.0100595783368,391.3271456073527,62.167170837035215,59.320628554047474,31.149599325707722,28.47377242267965,32.14177961386485,29.015267839668272
C1_N1_n500,C1,N1,"Same margins, opposite association",,,500,500,1.0,0.5,0.5,0.5,0.5,1,-1,0.10989731308070487,-0.109897313080705,0.09999999999999987,0.10000000000000031,-4.440892098500626e-16,0.0,0.14010268691929512,0.140102686919295,70.05134345964755,70.0513434596475,70.0513434596475,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.140102686919295, 0.359897313080705], [0.359897313080705, 0.140102686919295]]","[[179.94865654035243, 70.05134345964755], [70.05134345964755, 179.94865654035243]]","[[70.0513434596475, 179.9486565403525], [179.9486565403525, 70.0513434596475]]",0.179521513612991,0.17952151361299135,500,-0.001544259378914125,0.025939510998557243,0.026699781142789127,0.02674502811906966,0.9698816125028461,0.17763368284750952,0.18001458169740384,0.44102653836248895,0.4427287979511794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985.3114576762198,991.9778981863165,145.4980370764206,143.46544809366935,72.2697166825246,70.15182769779723,74.01651510571686,71.74821436747308
C1_N1_n1000,C1,N1,"Same margins, opposite association",,,1000,1000,1.0,0.5,0.5,0.5,0.5,1,-1,0.10989731308070487,-0.109897313080705,0.09999999999999987,0.10000000000000031,-4.440892098500626e-16,0.0,0.14010268691929512,0.140102686919295,140.1026869192951,140.102686919295,140.102686919295,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.140102686919295, 0.359897313080705], [0.359897313080705, 0.140102686919295]]","[[359.89731308070486, 140.1026869192951], [140.1026869192951, 359.89731308070486]]","[[140.102686919295, 359.897313080705], [359.897313080705, 140.102686919295]]",0.179521513612991,0.17952151361299135,500,0.0006981218790764961,0.019099522165916354,0.019011616730283124,0.019026878145021815,1.0038179684728545,0.18156860539129757,0.18045348655421123,0.4487229465431268,0.4475694461440952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1984.2838337112291,1991.7838984913285,293.2175596230579,291.0972023403731,147.71811533476853,146.11241937190746,146.3189640373,143.52612900285163
C1_N2_n10,C1,N2,Mild margin mismatch,,,10,10,1.0,0.5,0.5,0.3,0.4,1,1,0.10989731308070487,0.09999802348154296,0.09999999999999987,0.09999999999994569,5.417888360170764e-14,0.0,0.14010268691929512,0.08000197651845703,1.4010268691929513,0.8000197651845703,0.8000197651845703,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.5199980234815429, 0.180001976518457], [0.08000197651845703, 0.21999802348154296]]","[[3.5989731308070487, 1.4010268691929513], [1.4010268691929513, 3.5989731308070487]]","[[5.199980234815429, 1.8000197651845702], [0.8000197651845703, 2.1999802348154294]]",0.179521513612991,0.1822875754189648,500,-0.015705937969558673,0.2141076372560962,0.15923276971389583,0.1664890982438412,1.2860159584894413,0.13727852944944408,0.13990766889102996,0.19751811563648056,0.18499083813912415,0.386,0.58,0.01,0.042,0.1055,0.1705,0.054,0.072,13.998481008792231,14.349594871584287,7.6855337352942,4.211024433803253,10.025562645753698,1.7980372073644109,7.583368215161922,2.0672389901268327
C1_N2_n20,C1,N2,Mild margin mismatch,,,20,20,1.0,0.5,0.5,0.3,0.4,1,1,0.10989731308070487,0.09999802348154296,0.09999999999999987,0.09999999999994569,5.417888360170764e-14,0.0,0.14010268691929512,0.08000197651845703,2.8020537383859025,1.6000395303691406,1.6000395303691406,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.5199980234815429, 0.180001976518457], [0.08000197651845703, 0.21999802348154296]]","[[7.1979462616140975, 2.8020537383859025], [2.8020537383859025, 7.1979462616140975]]","[[10.399960469630859, 3.6000395303691404], [1.6000395303691406, 4.399960469630859]]",0.179521513612991,0.1822875754189648,500,0.0010980800066339475,0.1520143488888666,0.12820487960275195,0.13215581046155897,1.1502661014899835,0.17930162883311868,0.17000153594191125,0.28492838430493816,0.2785319457198459,0.102,0.192,0.0,0.002,0.0255,0.0485,0.008,0.01,31.87230890375925,34.06928034089524,11.841261339640837,8.416703508735718,13.60174935894303,2.7153603054306723,9.50014943112754,3.348464090683927
C1_N2_n30,C1,N2,Mild margin mismatch,,,30,30,1.0,0.5,0.5,0.3,0.4,1,1,0.10989731308070487,0.09999802348154296,0.09999999999999987,0.09999999999994569,5.417888360170764e-14,0.0,0.14010268691929512,0.08000197651845703,4.203080607578854,2.400059295553711,2.400059295553711,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.5199980234815429, 0.180001976518457], [0.08000197651845703, 0.21999802348154296]]","[[10.796919392421147, 4.203080607578854], [4.203080607578854, 10.796919392421147]]","[[15.599940704446286, 5.40005929555371], [2.400059295553711, 6.599940704446289]]",0.179521513612991,0.1822875754189648,500,-0.007869345957047998,0.12387640084506395,0.108330275532224,0.11053602573513598,1.1206880292755765,0.181015720690586,0.18553066886897335,0.3196179859854527,0.33472534299796114,0.026,0.102,0.0,0.0,0.0065,0.026,0.004,0.002,49.7495269089381,52.93622257733388,15.090103219869654,11.646443798915202,14.827361099127735,4.572584698458669,10.026287688852104,5.0102943241712845
C1_N2_n50,C1,N2,Mild margin mismatch,,,50,50,1.0,0.5,0.5,0.3,0.4,1,1,0.10989731308070487,0.09999802348154296,0.09999999999999987,0.09999999999994569,5.417888360170764e-14,0.0,0.14010268691929512,0.08000197651845703,7.0051343459647555,4.000098825922851,4.000098825922851,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.5199980234815429, 0.180001976518457], [0.08000197651845703, 0.21999802348154296]]","[[17.994865654035245, 7.0051343459647555], [7.0051343459647555, 17.994865654035245]]","[[25.999901174077145, 9.00009882592285], [4.000098825922851, 10.999901174077149]]",0.179521513612991,0.1822875754189648,500,-0.0008773695089824952,0.085991419245495,0.08473290524263824,0.08616002143820364,0.9980431505251008,0.18501515124136564,0.18616231347021994,0.3679966190438174,0.3688497409465947,0.002,0.012,0.0,0.0,0.0005,0.003,0.0,0.0,88.69756536686548,92.71800107917822,21.529760020174653,17.41735976319427,12.366498076897601,7.349149849310104,12.49137402067412,7.575326704666491
C1_N2_n100,C1,N2,Mild margin mismatch,,,100,100,1.0,0.5,0.5,0.3,0.4,1,1,0.10989731308070487,0.09999802348154296,0.09999999999999987,0.09999999999994569,5.417888360170764e-14,0.0,0.14010268691929512,0.08000197651845703,14.010268691929511,8.000197651845703,8.000197651845703,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.5199980234815429, 0.180001976518457], [0.08000197651845703, 0.21999802348154296]]","[[35.98973130807049, 14.010268691929511], [14.010268691929511, 35.98973130807049]]","[[51.99980234815429, 18.0001976518457], [8.000197651845703, 21.999802348154297]]",0.179521513612991,0.1822875754189648,500,0.003966588074379788,0.06380154183076778,0.06015071355792112,0.06063972791992908,1.052140964666162,0.18583613875146238,0.1818815214688402,0.4099972880034412,0.4106146956545431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.32117072312587,192.83030406113727,34.45616556086755,32.109579096475315,18.386333344367127,15.339970261501064,17.955870866828207,14.372464043461527
C1_N2_n200,C1,N2,Mild margin mismatch,,,200,200,1.0,0.5,0.5,0.3,0.4,1,1,0.10989731308070487,0.09999802348154296,0.09999999999999987,0.09999999999994569,5.417888360170764e-14,0.0,0.14010268691929512,0.08000197651845703,28.020537383859022,16.000395303691406,16.000395303691406,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.5199980234815429, 0.180001976518457], [0.08000197651845703, 0.21999802348154296]]","[[71.97946261614098, 28.020537383859022], [28.020537383859022, 71.97946261614098]]","[[103.99960469630858, 36.0003953036914], [16.000395303691406, 43.999604696308594]]",0.179521513612991,0.1822875754189648,500,0.0011626012987112958,0.04385878272267257,0.04256906770355299,0.042755030028609926,1.025815738951044,0.1826546195419029,0.1829438990075644,0.43086663123762203,0.4331551311012629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.1202820436228,391.7152598751677,63.11194973350464,60.796953151620215,32.0767259138947,28.632897903948148,32.441733012129234,29.438126897934108
C1_N2_n500,C1,N2,Mild margin mismatch,,,500,500,1.0,0.5,0.5,0.3,0.4,1,1,0.10989731308070487,0.09999802348154296,0.09999999999999987,0.09999999999994569,5.417888360170764e-14,0.0,0.14010268691929512,0.08000197651845703,70.05134345964755,40.000988259228514,40.000988259228514,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.5199980234815429, 0.180001976518457], [0.08000197651845703, 0.21999802348154296]]","[[179.94865654035243, 70.05134345964755], [70.05134345964755, 179.94865654035243]]","[[259.99901174077144, 90.0009882592285], [40.000988259228514, 109.99901174077148]]",0.179521513612991,0.1822875754189648,500,-0.0006022139660994486,0.027650647558700878,0.026774311897787038,0.026822871058845333,1.030860846254658,0.17817653263834984,0.1815566732813714,0.44109848178760386,0.44831559193455756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,983.379532901089,991.5942558230763,146.54160490929883,143.05790674362643,72.70783446578315,71.79584776843305,74.87917075765743,72.26668199367253
C1_N2_n1000,C1,N2,Mild margin mismatch,,,1000,1000,1.0,0.5,0.5,0.3,0.4,1,1,0.10989731308070487,0.09999802348154296,0.09999999999999987,0.09999999999994569,5.417888360170764e-14,0.0,0.14010268691929512,0.08000197651845703,140.1026869192951,80.00197651845703,80.00197651845703,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.5199980234815429, 0.180001976518457], [0.08000197651845703, 0.21999802348154296]]","[[359.89731308070486, 140.1026869192951], [140.1026869192951, 359.89731308070486]]","[[519.9980234815429, 180.001976518457], [80.00197651845703, 219.99802348154296]]",0.179521513612991,0.1822875754189648,500,0.0005399606112693991,0.01840026744720786,0.019009113345281874,0.019025520298458234,0.9671360971241851,0.1801177806039197,0.1818526420231267,0.4471972143232465,0.4543395483970961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1985.2208503856766,1991.6715356915524,291.61645894427687,289.374956646305,145.87747123792533,141.8449439682365,146.6754141887595,143.05358921130156
C1_N3_n10,C1,N3,One skewed population,,,10,10,1.0,0.3,0.4,0.1,0.3,1,1,0.05528109983181547,0.03540416313577926,0.03000000000000036,0.029999999999678284,3.220756994437579e-13,0.0,0.12471890016818452,0.034595836864220735,1.2471890016818452,0.34595836864220736,0.34595836864220736,"[[0.47528109983181543, 0.2247189001681845], [0.12471890016818452, 0.17528109983181547]]","[[0.6654041631357792, 0.23459583686422075], [0.034595836864220735, 0.06540416313577926]]","[[4.752810998318155, 2.247189001681845], [1.2471890016818452, 1.7528109983181548]]","[[6.654041631357792, 2.3459583686422074], [0.34595836864220736, 0.6540416313577926]]",0.05919008954132586,0.0626368161702698,500,0.03212774324610294,0.15452074600934268,0.11559524641018643,0.12987538429339024,1.1897616076367346,0.1019604036615528,0.06671575079200513,0.16068240246413826,0.07546896586162762,0.422,0.904,0.04,0.4,0.1215,0.333,0.108,0.404,11.723678823738648,9.48912449143106,5.430452950591849,3.39508052758187,7.7621603904275736,1.3325524964204205,3.922401387870558,1.9780589031065356
C1_N3_n20,C1,N3,One skewed population,,,20,20,1.0,0.3,0.4,0.1,0.3,1,1,0.05528109983181547,0.03540416313577926,0.03000000000000036,0.029999999999678284,3.220756994437579e-13,0.0,0.12471890016818452,0.034595836864220735,2.4943780033636904,0.6919167372844147,0.6919167372844147,"[[0.47528109983181543, 0.2247189001681845], [0.12471890016818452, 0.17528109983181547]]","[[0.6654041631357792, 0.23459583686422075], [0.034595836864220735, 0.06540416313577926]]","[[9.50562199663631, 4.49437800336369], [2.4943780033636904, 3.5056219966363096]]","[[13.308083262715584, 4.691916737284415], [0.6919167372844147, 1.3080832627155852]]",0.05919008954132586,0.0626368161702698,500,0.001483855461006275,0.09246181037882316,0.08628519678868692,0.09313806116241327,0.9927392649669734,0.09690484694036997,0.07658912180149878,0.21259890889317462,0.14960799973146033,0.078,0.664,0.0,0.122,0.0195,0.1965,0.02,0.128,27.10997164787155,25.689304689195957,4.374715725077124,2.9177712461578365,3.997081183310309,0.9459224939024133,2.7778159108038225,2.0448808728100714
C1_N3_n30,C1,N3,One skewed population,,,30,30,1.0,0.3,0.4,0.1,0.3,1,1,0.05528109983181547,0.03540416313577926,0.03000000000000036,0.029999999999678284,3.220756994437579e-13,0.0,0.12471890016818452,0.034595836864220735,3.7415670050455354,1.037875105926622,1.037875105926622,"[[0.47528109983181543, 0.2247189001681845], [0.12471890016818452, 0.17528109983181547]]","[[0.6654041631357792, 0.23459583686422075], [0.034595836864220735, 0.06540416313577926]]","[[14.258432994954463, 6.7415670050455345], [3.7415670050455354, 5.258432994954465]]","[[19.962124894073376, 7.037875105926623], [1.037875105926622, 1.962124894073378]]",0.05919008954132586,0.0626368161702698,500,-0.0011164815436031934,0.07056259318490866,0.06511146412619115,0.0698385662235014,1.0103671509963448,0.07991559354789303,0.0664071664167387,0.2097535852415134,0.16289553837082765,0.016,0.456,0.0,0.05,0.004,0.1265,0.01,0.052,42.55475169694361,40.6120308006022,6.704450012815127,2.8389276866988435,4.682177162439587,0.9650776719546076,2.6208482431518783,1.5965570568091865
