configuration_id,experiment,block,stream,method,method_label,replicates,valid_count,valid_rate,reject_count_05,rejection_rate_valid_05,unconditional_rejection_rate_05
C2_N5_np200_nq2000,C2,0,null_simulation,expanded_welch,Expanded Welch,500,483,0.966,106,0.2194616977225673,0.212
C2_N5_np2000_nq200,C2,0,null_simulation,normal_wald,Normal Wald,500,500,1.0,211,0.422,0.422
C2_N5_np2000_nq200,C2,0,null_simulation,simple_welch,Simple Welch,500,500,1.0,211,0.422,0.422
C2_N5_np2000_nq200,C2,0,null_simulation,expanded_welch,Expanded Welch,500,445,0.89,44,0.09887640449438202,0.088
C2_N7_np10_nq20,C2,0,null_simulation,normal_wald,Normal Wald,500,9,0.018,6,0.6666666666666666,0.012
C2_N7_np10_nq20,C2,0,null_simulation,simple_welch,Simple Welch,500,9,0.018,6,0.6666666666666666,0.012
C2_N7_np10_nq20,C2,0,null_simulation,expanded_welch,Expanded Welch,500,0,0.0,0,,0.0
C2_N7_np20_nq10,C2,0,null_simulation,normal_wald,Normal Wald,500,14,0.028,5,0.35714285714285715,0.01
C2_N7_np20_nq10,C2,0,null_simulation,simple_welch,Simple Welch,500,14,0.028,5,0.35714285714285715,0.01
C2_N7_np20_nq10,C2,0,null_simulation,expanded_welch,Expanded Welch,500,0,0.0,0,,0.0
C2_N7_np10_nq50,C2,0,null_simulation,normal_wald,Normal Wald,500,24,0.048,18,0.75,0.036
C2_N7_np10_nq50,C2,0,null_simulation,simple_welch,Simple Welch,500,24,0.048,18,0.75,0.036
C2_N7_np10_nq50,C2,0,null_simulation,expanded_welch,Expanded Welch,500,0,0.0,0,,0.0
C2_N7_np50_nq10,C2,0,null_simulation,normal_wald,Normal Wald,500,35,0.07,23,0.6571428571428571,0.046
C2_N7_np50_nq10,C2,0,null_simulation,simple_welch,Simple Welch,500,35,0.07,23,0.6571428571428571,0.046
C2_N7_np50_nq10,C2,0,null_simulation,expanded_welch,Expanded Welch,500,0,0.0,0,,0.0
C2_N7_np10_nq100,C2,0,null_simulation,normal_wald,Normal Wald,500,61,0.122,58,0.9508196721311475,0.116
C2_N7_np10_nq100,C2,0,null_simulation,simple_welch,Simple Welch,500,61,0.122,58,0.9508196721311475,0.116
C2_N7_np10_nq100,C2,0,null_simulation,expanded_welch,Expanded Welch,500,1,0.002,0,0.0,0.0
C2_N7_np100_nq10,C2,0,null_simulation,normal_wald,Normal Wald,500,87,0.174,82,0.9425287356321839,0.164
C2_N7_np100_nq10,C2,0,null_simulation,simple_welch,Simple Welch,500,87,0.174,82,0.9425287356321839,0.164
C2_N7_np100_nq10,C2,0,null_simulation,expanded_welch,Expanded Welch,500,0,0.0,0,,0.0
C2_N7_np20_nq40,C2,0,null_simulation,normal_wald,Normal Wald,500,19,0.038,13,0.6842105263157895,0.026
