method,method_label,valid_count,valid_rate,p_value_threshold_for_five_percent,calibration_key,configuration_id,power_family,n_p,n_q,replicates
simple_welch,Simple Welch,500,1.0,0.06911438074421218,balanced_mild_np100_nq200,PCAL_PCAL_balanced_mild_np100_nq200_balanced_mild_np100_nq200,balanced_mild,100,200,500
expanded_welch,Expanded Welch,500,1.0,0.09330906490495221,balanced_mild_np100_nq200,PCAL_PCAL_balanced_mild_np100_nq200_balanced_mild_np100_nq200,balanced_mild,100,200,500
normal_wald,Normal Wald,500,1.0,0.034143040875030214,balanced_mild_np100_nq500,PCAL_PCAL_balanced_mild_np100_nq500_balanced_mild_np100_nq500,balanced_mild,100,500,500
simple_welch,Simple Welch,500,1.0,0.035061583792899184,balanced_mild_np100_nq500,PCAL_PCAL_balanced_mild_np100_nq500_balanced_mild_np100_nq500,balanced_mild,100,500,500
expanded_welch,Expanded Welch,500,1.0,0.07986052289844249,balanced_mild_np100_nq500,PCAL_PCAL_balanced_mild_np100_nq500_balanced_mild_np100_nq500,balanced_mild,100,500,500
normal_wald,Normal Wald,500,1.0,0.018661511554529418,balanced_mild_np100_nq1000,PCAL_PCAL_balanced_mild_np100_nq1000_balanced_mild_np100_nq1000,balanced_mild,100,1000,500
simple_welch,Simple Welch,500,1.0,0.019702954910384443,balanced_mild_np100_nq1000,PCAL_PCAL_balanced_mild_np100_nq1000_balanced_mild_np100_nq1000,balanced_mild,100,1000,500
expanded_welch,Expanded Welch,500,1.0,0.07817397880641656,balanced_mild_np100_nq1000,PCAL_PCAL_balanced_mild_np100_nq1000_balanced_mild_np100_nq1000,balanced_mild,100,1000,500
normal_wald,Normal Wald,337,0.674,0.11886692465464027,sparse_np10_nq10,PCAL_PCAL_sparse_np10_nq10_sparse_np10_nq10,sparse,10,10,500
simple_welch,Simple Welch,337,0.674,0.1532976346969361,sparse_np10_nq10,PCAL_PCAL_sparse_np10_nq10_sparse_np10_nq10,sparse,10,10,500
expanded_welch,Expanded Welch,103,0.206,0.1351427283097387,sparse_np10_nq10,PCAL_PCAL_sparse_np10_nq10_sparse_np10_nq10,sparse,10,10,500
normal_wald,Normal Wald,454,0.908,0.14256092898438966,sparse_np20_nq20,PCAL_PCAL_sparse_np20_nq20_sparse_np20_nq20,sparse,20,20,500
simple_welch,Simple Welch,454,0.908,0.15891683728154254,sparse_np20_nq20,PCAL_PCAL_sparse_np20_nq20_sparse_np20_nq20,sparse,20,20,500
expanded_welch,Expanded Welch,248,0.496,0.20084063678272346,sparse_np20_nq20,PCAL_PCAL_sparse_np20_nq20_sparse_np20_nq20,sparse,20,20,500
normal_wald,Normal Wald,491,0.982,0.13423016812026733,sparse_np30_nq30,PCAL_PCAL_sparse_np30_nq30_sparse_np30_nq30,sparse,30,30,500
simple_welch,Simple Welch,491,0.982,0.1450225040263283,sparse_np30_nq30,PCAL_PCAL_sparse_np30_nq30_sparse_np30_nq30,sparse,30,30,500
expanded_welch,Expanded Welch,352,0.704,0.20565571242804875,sparse_np30_nq30,PCAL_PCAL_sparse_np30_nq30_sparse_np30_nq30,sparse,30,30,500
normal_wald,Normal Wald,500,1.0,0.1482077144174934,sparse_np50_nq50,PCAL_PCAL_sparse_np50_nq50_sparse_np50_nq50,sparse,50,50,500
simple_welch,Simple Welch,500,1.0,0.15452696550530662,sparse_np50_nq50,PCAL_PCAL_sparse_np50_nq50_sparse_np50_nq50,sparse,50,50,500
expanded_welch,Expanded Welch,462,0.924,0.22576547229748606,sparse_np50_nq50,PCAL_PCAL_sparse_np50_nq50_sparse_np50_nq50,sparse,50,50,500
