configuration_id,experiment,population_pair_id,purpose,power_family,calibration_key,n_p,n_q,sample_size_ratio_q_over_p,u_p,v_p,u_q,v_q,association_direction_p,association_direction_q,association_delta_p,association_delta_q,true_mi_p,true_mi_q,true_delta_p_minus_q,effect_delta_i_q_minus_p,minimum_probability_p,minimum_probability_q,minimum_expected_p,minimum_expected_q,minimum_expected_either,probability_p_json,probability_q_json,expected_p_json,expected_q_json,population_variance_p,population_variance_q
C1_N2_n100,C1,N2,Mild margin mismatch,,,100,100,1.0,0.5,0.5,0.3,0.4,1,1,0.10989731308070487,0.09999802348154296,0.09999999999999987,0.09999999999994569,5.417888360170764e-14,0.0,0.14010268691929512,0.08000197651845703,14.010268691929511,8.000197651845703,8.000197651845703,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.5199980234815429, 0.180001976518457], [0.08000197651845703, 0.21999802348154296]]","[[35.98973130807049, 14.010268691929511], [14.010268691929511, 35.98973130807049]]","[[51.99980234815429, 18.0001976518457], [8.000197651845703, 21.999802348154297]]",0.179521513612991,0.1822875754189648
C1_N2_n200,C1,N2,Mild margin mismatch,,,200,200,1.0,0.5,0.5,0.3,0.4,1,1,0.10989731308070487,0.09999802348154296,0.09999999999999987,0.09999999999994569,5.417888360170764e-14,0.0,0.14010268691929512,0.08000197651845703,28.020537383859022,16.000395303691406,16.000395303691406,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.5199980234815429, 0.180001976518457], [0.08000197651845703, 0.21999802348154296]]","[[71.97946261614098, 28.020537383859022], [28.020537383859022, 71.97946261614098]]","[[103.99960469630858, 36.0003953036914], [16.000395303691406, 43.999604696308594]]",0.179521513612991,0.1822875754189648
C1_N2_n500,C1,N2,Mild margin mismatch,,,500,500,1.0,0.5,0.5,0.3,0.4,1,1,0.10989731308070487,0.09999802348154296,0.09999999999999987,0.09999999999994569,5.417888360170764e-14,0.0,0.14010268691929512,0.08000197651845703,70.05134345964755,40.000988259228514,40.000988259228514,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.5199980234815429, 0.180001976518457], [0.08000197651845703, 0.21999802348154296]]","[[179.94865654035243, 70.05134345964755], [70.05134345964755, 179.94865654035243]]","[[259.99901174077144, 90.0009882592285], [40.000988259228514, 109.99901174077148]]",0.179521513612991,0.1822875754189648
C1_N2_n1000,C1,N2,Mild margin mismatch,,,1000,1000,1.0,0.5,0.5,0.3,0.4,1,1,0.10989731308070487,0.09999802348154296,0.09999999999999987,0.09999999999994569,5.417888360170764e-14,0.0,0.14010268691929512,0.08000197651845703,140.1026869192951,80.00197651845703,80.00197651845703,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.5199980234815429, 0.180001976518457], [0.08000197651845703, 0.21999802348154296]]","[[359.89731308070486, 140.1026869192951], [140.1026869192951, 359.89731308070486]]","[[519.9980234815429, 180.001976518457], [80.00197651845703, 219.99802348154296]]",0.179521513612991,0.1822875754189648
C1_N3_n10,C1,N3,One skewed population,,,10,10,1.0,0.3,0.4,0.1,0.3,1,1,0.05528109983181547,0.03540416313577926,0.03000000000000036,0.029999999999678284,3.220756994437579e-13,0.0,0.12471890016818452,0.034595836864220735,1.2471890016818452,0.34595836864220736,0.34595836864220736,"[[0.47528109983181543, 0.2247189001681845], [0.12471890016818452, 0.17528109983181547]]","[[0.6654041631357792, 0.23459583686422075], [0.034595836864220735, 0.06540416313577926]]","[[4.752810998318155, 2.247189001681845], [1.2471890016818452, 1.7528109983181548]]","[[6.654041631357792, 2.3459583686422074], [0.34595836864220736, 0.6540416313577926]]",0.05919008954132586,0.0626368161702698
C1_N3_n20,C1,N3,One skewed population,,,20,20,1.0,0.3,0.4,0.1,0.3,1,1,0.05528109983181547,0.03540416313577926,0.03000000000000036,0.029999999999678284,3.220756994437579e-13,0.0,0.12471890016818452,0.034595836864220735,2.4943780033636904,0.6919167372844147,0.6919167372844147,"[[0.47528109983181543, 0.2247189001681845], [0.12471890016818452, 0.17528109983181547]]","[[0.6654041631357792, 0.23459583686422075], [0.034595836864220735, 0.06540416313577926]]","[[9.50562199663631, 4.49437800336369], [2.4943780033636904, 3.5056219966363096]]","[[13.308083262715584, 4.691916737284415], [0.6919167372844147, 1.3080832627155852]]",0.05919008954132586,0.0626368161702698
C1_N3_n30,C1,N3,One skewed population,,,30,30,1.0,0.3,0.4,0.1,0.3,1,1,0.05528109983181547,0.03540416313577926,0.03000000000000036,0.029999999999678284,3.220756994437579e-13,0.0,0.12471890016818452,0.034595836864220735,3.7415670050455354,1.037875105926622,1.037875105926622,"[[0.47528109983181543, 0.2247189001681845], [0.12471890016818452, 0.17528109983181547]]","[[0.6654041631357792, 0.23459583686422075], [0.034595836864220735, 0.06540416313577926]]","[[14.258432994954463, 6.7415670050455345], [3.7415670050455354, 5.258432994954465]]","[[19.962124894073376, 7.037875105926623], [1.037875105926622, 1.962124894073378]]",0.05919008954132586,0.0626368161702698
C1_N3_n50,C1,N3,One skewed population,,,50,50,1.0,0.3,0.4,0.1,0.3,1,1,0.05528109983181547,0.03540416313577926,0.03000000000000036,0.029999999999678284,3.220756994437579e-13,0.0,0.12471890016818452,0.034595836864220735,6.235945008409225,1.7297918432110366,1.7297918432110366,"[[0.47528109983181543, 0.2247189001681845], [0.12471890016818452, 0.17528109983181547]]","[[0.6654041631357792, 0.23459583686422075], [0.034595836864220735, 0.06540416313577926]]","[[23.764054991590772, 11.235945008409224], [6.235945008409225, 8.764054991590774]]","[[33.27020815678896, 11.729791843211038], [1.7297918432110366, 3.2702081567889634]]",0.05919008954132586,0.0626368161702698
C1_N3_n100,C1,N3,One skewed population,,,100,100,1.0,0.3,0.4,0.1,0.3,1,1,0.05528109983181547,0.03540416313577926,0.03000000000000036,0.029999999999678284,3.220756994437579e-13,0.0,0.12471890016818452,0.034595836864220735,12.47189001681845,3.4595836864220733,3.4595836864220733,"[[0.47528109983181543, 0.2247189001681845], [0.12471890016818452, 0.17528109983181547]]","[[0.6654041631357792, 0.23459583686422075], [0.034595836864220735, 0.06540416313577926]]","[[47.528109983181544, 22.47189001681845], [12.47189001681845, 17.528109983181547]]","[[66.54041631357792, 23.459583686422075], [3.4595836864220733, 6.540416313577927]]",0.05919008954132586,0.0626368161702698
C1_N3_n200,C1,N3,One skewed population,,,200,200,1.0,0.3,0.4,0.1,0.3,1,1,0.05528109983181547,0.03540416313577926,0.03000000000000036,0.029999999999678284,3.220756994437579e-13,0.0,0.12471890016818452,0.034595836864220735,24.9437800336369,6.9191673728441465,6.9191673728441465,"[[0.47528109983181543, 0.2247189001681845], [0.12471890016818452, 0.17528109983181547]]","[[0.6654041631357792, 0.23459583686422075], [0.034595836864220735, 0.06540416313577926]]","[[95.05621996636309, 44.9437800336369], [24.9437800336369, 35.056219966363095]]","[[133.08083262715584, 46.91916737284415], [6.9191673728441465, 13.080832627155853]]",0.05919008954132586,0.0626368161702698
