configuration_id,shape,alphabet_size,cells,regime,regime_label,sample_size_p,sample_size_q,observations_per_cell,stage,true_mi_p,true_mi_q,true_mi_difference,method,method_label,replicates,valid_count,valid_rate,reject_count,rejection_rate,wilson_low,wilson_high,absolute_calibration_error
8x8_ultra_n150,8x8,8,64,ultra,Ultra-skewed margins,150,150,2.34375,equal_mi_null,0.05,0.05,0.0,expanded_welch,Expanded Welch,250,249,0.996,16,0.0642570281124498,0.039936049328530225,0.10181862566767585,0.01425702811244979
8x8_ultra_n150,8x8,8,64,ultra,Ultra-skewed margins,150,150,2.34375,equal_mi_null,0.05,0.05,0.0,normal_wald,Normal Wald,250,250,1.0,19,0.076,0.04919164066173632,0.11564139731040066,0.025999999999999995
8x8_ultra_n250,8x8,8,64,ultra,Ultra-skewed margins,250,250,3.90625,alternative,0.05,0.1,0.05,constrained_lr,Constrained LR,250,250,1.0,36,0.144,0.10586256867804505,0.19291234056271145,
8x8_ultra_n250,8x8,8,64,ultra,Ultra-skewed margins,250,250,3.90625,alternative,0.05,0.1,0.05,expanded_welch,Expanded Welch,250,250,1.0,30,0.12,0.08536319974216687,0.166138107874371,
8x8_ultra_n250,8x8,8,64,ultra,Ultra-skewed margins,250,250,3.90625,alternative,0.05,0.1,0.05,normal_wald,Normal Wald,250,250,1.0,34,0.136,0.09898127060322204,0.18403577142946165,
8x8_ultra_n250,8x8,8,64,ultra,Ultra-skewed margins,250,250,3.90625,equal_mi_null,0.05,0.05,0.0,constrained_lr,Constrained LR,250,250,1.0,17,0.068,0.04288591857836033,0.10618925218570377,0.018000000000000002
8x8_ultra_n250,8x8,8,64,ultra,Ultra-skewed margins,250,250,3.90625,equal_mi_null,0.05,0.05,0.0,expanded_welch,Expanded Welch,250,250,1.0,13,0.052,0.030637655164191247,0.08692178118372709,0.001999999999999995
8x8_ultra_n250,8x8,8,64,ultra,Ultra-skewed margins,250,250,3.90625,equal_mi_null,0.05,0.05,0.0,normal_wald,Normal Wald,250,250,1.0,16,0.064,0.039774745277095874,0.10142149188293179,0.013999999999999999
8x8_ultra_n500,8x8,8,64,ultra,Ultra-skewed margins,500,500,7.8125,alternative,0.05,0.1,0.05,constrained_lr,Constrained LR,250,250,1.0,50,0.2,0.1551240063301722,0.2539559733670946,
8x8_ultra_n500,8x8,8,64,ultra,Ultra-skewed margins,500,500,7.8125,alternative,0.05,0.1,0.05,expanded_welch,Expanded Welch,250,250,1.0,49,0.196,0.1515502357896319,0.24965081030359842,
8x8_ultra_n500,8x8,8,64,ultra,Ultra-skewed margins,500,500,7.8125,alternative,0.05,0.1,0.05,normal_wald,Normal Wald,250,250,1.0,52,0.208,0.16229381886263317,0.26254402804270643,
8x8_ultra_n500,8x8,8,64,ultra,Ultra-skewed margins,500,500,7.8125,equal_mi_null,0.05,0.05,0.0,constrained_lr,Constrained LR,250,250,1.0,7,0.028,0.013628058600839217,0.05665777612286046,0.022000000000000002
8x8_ultra_n500,8x8,8,64,ultra,Ultra-skewed margins,500,500,7.8125,equal_mi_null,0.05,0.05,0.0,expanded_welch,Expanded Welch,250,250,1.0,7,0.028,0.013628058600839217,0.05665777612286046,0.022000000000000002
8x8_ultra_n500,8x8,8,64,ultra,Ultra-skewed margins,500,500,7.8125,equal_mi_null,0.05,0.05,0.0,normal_wald,Normal Wald,250,250,1.0,8,0.032,0.01630236549364963,0.06186240283408649,0.018000000000000002
8x8_ultra_n1000,8x8,8,64,ultra,Ultra-skewed margins,1000,1000,15.625,alternative,0.05,0.1,0.05,constrained_lr,Constrained LR,250,250,1.0,117,0.468,0.40709971631994324,0.5298688148477652,
8x8_ultra_n1000,8x8,8,64,ultra,Ultra-skewed margins,1000,1000,15.625,alternative,0.05,0.1,0.05,expanded_welch,Expanded Welch,250,250,1.0,117,0.468,0.40709971631994324,0.5298688148477652,
8x8_ultra_n1000,8x8,8,64,ultra,Ultra-skewed margins,1000,1000,15.625,alternative,0.05,0.1,0.05,normal_wald,Normal Wald,250,250,1.0,118,0.472,0.4110100538102362,0.5338374109615085,
8x8_ultra_n1000,8x8,8,64,ultra,Ultra-skewed margins,1000,1000,15.625,equal_mi_null,0.05,0.05,0.0,constrained_lr,Constrained LR,250,250,1.0,9,0.036,0.019053279530003277,0.06699042240176928,0.014000000000000005
8x8_ultra_n1000,8x8,8,64,ultra,Ultra-skewed margins,1000,1000,15.625,equal_mi_null,0.05,0.05,0.0,expanded_welch,Expanded Welch,250,250,1.0,9,0.036,0.019053279530003277,0.06699042240176928,0.014000000000000005
8x8_ultra_n1000,8x8,8,64,ultra,Ultra-skewed margins,1000,1000,15.625,equal_mi_null,0.05,0.05,0.0,normal_wald,Normal Wald,250,250,1.0,9,0.036,0.019053279530003277,0.06699042240176928,0.014000000000000005
