configuration_id,shape,alphabet_size,regime,sample_size,stage,replicates,minimum_expected_count,fraction_expected_below_1,fraction_expected_below_5,mean_observed_zero_cell_fraction_p,mean_observed_zero_cell_fraction_q,lr_valid_rate,lr_median_elapsed_ms,lr_p90_elapsed_ms,lr_median_iterations,lr_max_constraint_residual
3x3_balanced_n250,3x3,3,balanced,250,equal_mi_null,1000,15.18053090138711,0.0,0.0,0.0,0.0,1.0,17.448666505515575,24.55472038127482,24.0,4.7470169253771566e-09
3x3_balanced_n500,3x3,3,balanced,500,alternative,1000,21.07023006774816,0.0,0.0,0.0,0.0,1.0,21.444667130708694,28.046808927319944,26.0,9.140990311906627e-09
3x3_balanced_n500,3x3,3,balanced,500,equal_mi_null,1000,30.36106180277422,0.0,0.0,0.0,0.0,1.0,19.68431193381548,26.797075313515965,25.0,6.653513018317625e-09
3x3_balanced_n1000,3x3,3,balanced,1000,alternative,1000,42.14046013549632,0.0,0.0,0.0,0.0,1.0,22.501208004541695,30.30541290063411,26.0,3.0818301383073177e-09
3x3_balanced_n1000,3x3,3,balanced,1000,equal_mi_null,1000,60.72212360554844,0.0,0.0,0.0,0.0,1.0,20.69649996701628,27.99374614842236,25.0,1.6532259450308118e-09
3x3_mild_n25,3x3,3,mild,25,alternative,1000,0.03797054777975365,0.3333333333333333,0.8888888888888888,0.24866666666666667,0.32266666666666666,1.0,26.199853979051113,55.95767854247242,55.0,7.580129829376503e-09
3x3_mild_n25,3x3,3,mild,25,equal_mi_null,1000,0.1082401572407485,0.3333333333333333,0.8888888888888888,0.25066666666666665,0.30333333333333334,1.0,29.095354489982128,59.46086279582233,53.0,9.322319111104704e-09
3x3_mild_n50,3x3,3,mild,50,alternative,1000,0.0759410955595073,0.1111111111111111,0.7777777777777778,0.08955555555555555,0.21833333333333332,1.0,23.090958478860557,40.31012556515634,41.0,7.968630838517399e-09
3x3_mild_n50,3x3,3,mild,50,equal_mi_null,1000,0.216480314481497,0.1111111111111111,0.7777777777777778,0.09177777777777778,0.18666666666666668,1.0,24.7565625468269,42.25876263808459,39.0,9.759625205219002e-09
3x3_mild_n75,3x3,3,mild,75,alternative,1000,0.11391164333926095,0.1111111111111111,0.5555555555555556,0.03777777777777778,0.17644444444444443,1.0,22.577499970793724,36.87888777349144,40.0,3.073808929610067e-09
