scenario_id,regime,regime_label,rows,columns,n_p,n_q,target_mi,method,replicates,valid_replicates,valid_rate,fpr_05,fpr_05_low,fpr_05_high,absolute_fpr_error_05,median_runtime_ms,p95_runtime_ms
stress_2x2_d5,highly_sparse,Highly skewed and sparse,2,2,54,108,0.15,student_permutation,300,300,1.0,0.13666666666666666,0.10236514609208627,0.18015541299775054,0.08666666666666666,0.5563540617004037,0.5767690716311337
stress_2x2_d6,ultra_sparse,Ultra-skewed and sparse,2,2,142,142,0.1,normal_wald,300,300,1.0,0.10333333333333333,0.07375658473854116,0.14294017243293203,0.05333333333333333,0.18033292144536972,0.1933832885697484
stress_2x2_d6,ultra_sparse,Ultra-skewed and sparse,2,2,142,142,0.1,expanded_welch,300,300,1.0,0.09666666666666666,0.06815029481828933,0.13538170196951116,0.04666666666666666,0.18033292144536972,0.1933832885697484
stress_2x2_d6,ultra_sparse,Ultra-skewed and sparse,2,2,142,142,0.1,constrained_lr,300,300,1.0,0.07,0.04623694482717634,0.10463601042593325,0.020000000000000004,10.971124982461333,15.554937021806838
stress_2x2_d6,ultra_sparse,Ultra-skewed and sparse,2,2,142,142,0.1,student_permutation,300,300,1.0,0.23666666666666666,0.1920887039165304,0.28790326092839713,0.18666666666666665,0.5606671329587698,0.6027834489941597
stress_2x2_d7,ultra_sparse,Ultra-skewed and sparse,2,2,51,510,0.15,normal_wald,300,300,1.0,0.07666666666666666,0.05162761178660749,0.11241010385017483,0.026666666666666658,0.18137495499104261,0.19008299568668008
stress_2x2_d7,ultra_sparse,Ultra-skewed and sparse,2,2,51,510,0.15,expanded_welch,300,300,1.0,0.05,0.030531640629347285,0.08084703347274416,0.0,0.18137495499104261,0.19008299568668008
stress_2x2_d7,ultra_sparse,Ultra-skewed and sparse,2,2,51,510,0.15,constrained_lr,300,300,1.0,0.056666666666666664,0.035677476463289524,0.08886595802247463,0.006666666666666661,9.428207878954709,11.142112524248661
stress_2x2_d7,ultra_sparse,Ultra-skewed and sparse,2,2,51,510,0.15,student_permutation,300,300,1.0,0.05,0.030531640629347285,0.08084703347274416,0.0,0.5666459910571575,0.583637214731425
adversarial_2x2_d8,widespread_sparse,Widespread sparsity,2,2,50,50,0.1,normal_wald,300,294,0.98,0.08503401360544217,0.05825940687067331,0.12251280339810479,0.03503401360544217,0.1786454813554883,0.19623702391982079
adversarial_2x2_d8,widespread_sparse,Widespread sparsity,2,2,50,50,0.1,expanded_welch,300,224,0.7466666666666667,0.03571428571428571,0.01820605716805878,0.06887843975973207,0.01428571428571429,0.179499969817698,0.1966105541214347
