configuration_id,shape_index,design_index,rows,columns,condition,condition_label,margin_profile,dominant_margin_mass,target_mi,n_p,n_q,population_pairs,replicates_per_population,method,method_label,mean_valid_rate,mean_coverage_95,median_effective_df,mean_fpr_10,population_sd_fpr_10,population_se_fpr_10,mean_absolute_fpr_error_10,minimum_fpr_10,maximum_fpr_10,mean_fpr_05,population_sd_fpr_05,population_se_fpr_05,mean_absolute_fpr_error_05,minimum_fpr_05,maximum_fpr_05,mean_fpr_01,population_sd_fpr_01,population_se_fpr_01,mean_absolute_fpr_error_01,minimum_fpr_01,maximum_fpr_01
3x3_ultra_sparse,1,2,3,3,ultra_sparse,Ultra-sparsity,dominant_0.90,0.9,0.1,50,50,10,5000,simple_welch,Simple Welch,0.9999,0.9296936902866767,92.888011572827,0.13327282353629588,0.00866854508863521,0.002741234647995345,0.03327282353629589,0.12144857943177272,0.151,0.07030630971332322,0.0074836884795691045,0.002366550089460084,0.020306309713323218,0.056422569027611044,0.0826,0.016141304356909796,0.00315399209058743,0.0009973798728412392,0.006141304356909796,0.012002400480096018,0.0216
3x3_ultra_imbalanced,1,3,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,dominant_0.90,0.9,0.1,50,250,10,5000,expanded_welch,Expanded Welch,0.98984,0.9042827403510305,14.938765204563122,0.1302069056006004,0.02872418488700409,0.009083384817471922,0.030206905600600353,0.10236220472440945,0.16798059429957551,0.0957172596489696,0.03223309051843136,0.010192998206462068,0.045717259648969596,0.06396287328490718,0.13685061653527392,0.07405670476470737,0.03244931914824838,0.010261375703017987,0.06405670476470736,0.043583535108958835,0.11481706084495653
3x3_ultra_imbalanced,1,3,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,dominant_0.90,0.9,0.1,50,250,10,5000,normal_wald,Normal Wald,1.0,0.8644000000000001,,0.17759999999999998,0.02535069580460816,0.008016593901263663,0.07759999999999999,0.1512,0.2146,0.1356,0.02816301751509514,0.008905928113091613,0.08559999999999998,0.1064,0.1714,0.09849999999999999,0.03259273947778349,0.010306729193428272,0.0885,0.0672,0.1406
3x3_ultra_imbalanced,1,3,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,dominant_0.90,0.9,0.1,50,250,10,5000,simple_welch,Simple Welch,1.0,0.86706,70.18089681148751,0.17468,0.025610275715466674,0.008098680276577301,0.07468,0.148,0.2104,0.13294,0.028374487758469853,0.008972800875733036,0.08294,0.1032,0.1686,0.09718,0.03287355573506868,0.010395531091130778,0.08718000000000001,0.0656,0.139
5x5_balanced_control,2,0,5,5,balanced_control,Balanced control,uniform,0.2,0.1,375,375,10,5000,expanded_welch,Expanded Welch,1.0,0.9547800000000001,126.22389924344647,0.0934,0.00539629502529282,0.0017064583206161243,0.006800000000000005,0.0852,0.101,0.045219999999999996,0.003910612341934303,0.0012366442046477593,0.005100000000000002,0.0404,0.051,0.00798,0.0009727395449051213,0.0003076072532015821,0.00202,0.0066,0.0092
5x5_balanced_control,2,0,5,5,balanced_control,Balanced control,uniform,0.2,0.1,375,375,10,5000,normal_wald,Normal Wald,1.0,0.9528399999999999,,0.09613999999999999,0.005518494158534353,0.0017451010795302882,0.005220000000000004,0.0876,0.1038,0.04716,0.0038306367326826725,0.0012113536963982807,0.003800000000000002,0.0416,0.0526,0.00902,0.0013447841627727644,0.000425258091568455,0.0012600000000000003,0.0072,0.0108
5x5_balanced_control,2,0,5,5,balanced_control,Balanced control,uniform,0.2,0.1,375,375,10,5000,simple_welch,Simple Welch,1.0,0.95312,742.973711080645,0.09564,0.005360596981680306,0.0016951696080333674,0.005480000000000004,0.0874,0.1032,0.04688,0.0038898157625608274,0.0012300677488116933,0.003960000000000002,0.0414,0.0524,0.00886,0.0012790621564255584,0.0004044749683231336,0.0013400000000000003,0.007,0.0106
5x5_moderate_sparse,2,1,5,5,moderate_sparse,Moderate sparsity,dominant_0.70,0.7,0.1,200,200,10,5000,expanded_welch,Expanded Welch,1.0,0.95916,62.45655163307684,0.08516,0.002991543637210283,0.0009460091613368936,0.014840000000000002,0.08,0.0888,0.04084,0.0024509408624263274,0.0007750555535644595,0.009160000000000005,0.0382,0.0464,0.00626,0.0008058122196475636,0.00025482019804821856,0.0037400000000000003,0.005,0.008
5x5_moderate_sparse,2,1,5,5,moderate_sparse,Moderate sparsity,dominant_0.70,0.7,0.1,200,200,10,5000,normal_wald,Normal Wald,1.0,0.95534,,0.08988,0.003127228094584014,0.0009889163541753954,0.010120000000000007,0.0848,0.0952,0.04466,0.0022450934155273904,0.000709960875291339,0.005340000000000003,0.0416,0.0486,0.00794,0.0011077504733066521,0.00035030145747785743,0.0021000000000000003,0.0066,0.0102
5x5_moderate_sparse,2,1,5,5,moderate_sparse,Moderate sparsity,dominant_0.70,0.7,0.1,200,200,10,5000,simple_welch,Simple Welch,1.0,0.95594,393.2648972702747,0.08920000000000002,0.0030228757463345688,0.0009559172442098623,0.010800000000000008,0.0842,0.0944,0.044059999999999995,0.00247664647815908,0.0007831843830017152,0.005940000000000003,0.041,0.0486,0.00762,0.0010261037417770625,0.0003244824939636788,0.00238,0.0066,0.0098
5x5_ultra_sparse,2,2,5,5,ultra_sparse,Ultra-sparsity,dominant_0.90,0.9,0.1,75,75,10,5000,expanded_welch,Expanded Welch,0.9989800000000001,0.9381970379038114,32.18142817635423,0.11441582407791806,0.006207933287737789,0.001963120875162885,0.014415824077918065,0.10750750750750751,0.12489991993594876,0.06180296209618861,0.0041929469999536124,0.0013259262628223334,0.01180296209618861,0.05626752102523028,0.06909673542960144,0.014294452074180914,0.0019967077534612746,0.000631414432265558,0.004294452074180914,0.011413696435722867,0.017607042817126852
5x5_ultra_sparse,2,2,5,5,ultra_sparse,Ultra-sparsity,dominant_0.90,0.9,0.1,75,75,10,5000,normal_wald,Normal Wald,1.0,0.9268000000000001,,0.12787999999999997,0.006231960633166204,0.0019707189889310276,0.02788,0.122,0.1392,0.0732,0.004822171018673365,0.0015249043685862179,0.0232,0.068,0.0808,0.02092,0.002420651886487514,0.0007654773383683908,0.010920000000000001,0.0162,0.025
5x5_ultra_sparse,2,2,5,5,ultra_sparse,Ultra-sparsity,dominant_0.90,0.9,0.1,75,75,10,5000,simple_welch,Simple Welch,1.0,0.9298,143.41806340912544,0.12506,0.0059695896006342,0.0018877499834459009,0.025059999999999992,0.1192,0.1356,0.0702,0.004178250564264639,0.0013212788417959992,0.020199999999999996,0.0646,0.0766,0.01794,0.0021459004843861905,0.0006785933162718954,0.00794,0.0142,0.0208
5x5_ultra_imbalanced,2,3,5,5,ultra_imbalanced,Ultra-sparsity with imbalance,dominant_0.90,0.9,0.1,75,375,10,5000,expanded_welch,Expanded Welch,0.9995800000000001,0.8755296970247832,22.276197026297808,0.20340297783428304,0.03244257439247576,0.010259242823967682,0.10340297783428305,0.16146458583433373,0.25510204081632654,0.12447030297521675,0.021872875963766195,0.006916810702385174,0.07447030297521676,0.09523809523809523,0.1640656262505002,0.0378350382399265,0.009982555502726986,0.003156761225766447,0.02783503823992649,0.026410564225690276,0.04980996199239848
5x5_ultra_imbalanced,2,3,5,5,ultra_imbalanced,Ultra-sparsity with imbalance,dominant_0.90,0.9,0.1,75,375,10,5000,normal_wald,Normal Wald,1.0,0.8252799999999999,,0.23528000000000002,0.035136078324138564,0.011111003555034981,0.13528,0.1902,0.2902,0.17472000000000001,0.02984302635830056,0.009437193556466996,0.12471999999999998,0.137,0.2218,0.09803999999999999,0.018174658792456663,0.005747331748056851,0.08804000000000001,0.0742,0.1274
