regime,regime_label,method,method_label,nominal_alpha,population_pairs,mean_rejection_rate,median_rejection_rate,p10_rejection_rate,p90_rejection_rate,minimum_rejection_rate,maximum_rejection_rate,mean_absolute_calibration_error
balanced_control,Balanced control,normal_wald,Normal Wald,0.058,40,0.055935,0.056,0.05158,0.06126,0.0472,0.0638,0.0036650000000000007
balanced_control,Balanced control,normal_wald,Normal Wald,0.059,40,0.056925,0.057,0.052160000000000005,0.0626,0.0476,0.065,0.003814999999999999
balanced_control,Balanced control,normal_wald,Normal Wald,0.06,40,0.05798,0.057999999999999996,0.053520000000000005,0.06342,0.0484,0.0654,0.0038099999999999996
balanced_control,Balanced control,normal_wald,Normal Wald,0.061,40,0.058925000000000005,0.0588,0.054,0.06442,0.0494,0.0666,0.0037950000000000006
balanced_control,Balanced control,normal_wald,Normal Wald,0.062,40,0.05999,0.0601,0.05518,0.06562000000000001,0.0502,0.0678,0.003769999999999999
balanced_control,Balanced control,normal_wald,Normal Wald,0.063,40,0.060965000000000005,0.0611,0.05634,0.0666,0.0508,0.0692,0.003885000000000001
balanced_control,Balanced control,normal_wald,Normal Wald,0.064,40,0.061880000000000004,0.0614,0.05714,0.06744,0.0534,0.071,0.00392
balanced_control,Balanced control,normal_wald,Normal Wald,0.065,40,0.06283,0.06259999999999999,0.05758,0.06848,0.0544,0.072,0.003970000000000001
balanced_control,Balanced control,normal_wald,Normal Wald,0.066,40,0.063885,0.0639,0.05836,0.07002000000000001,0.0556,0.0726,0.003905000000000001
balanced_control,Balanced control,normal_wald,Normal Wald,0.067,40,0.064735,0.0645,0.05936,0.07062,0.0562,0.0734,0.004025000000000001
balanced_control,Balanced control,normal_wald,Normal Wald,0.068,40,0.06565,0.0655,0.060340000000000005,0.07184,0.0566,0.0742,0.0040700000000000024
balanced_control,Balanced control,normal_wald,Normal Wald,0.069,40,0.06666,0.0665,0.06114,0.07228,0.058,0.0752,0.004050000000000002
balanced_control,Balanced control,normal_wald,Normal Wald,0.07,40,0.067745,0.068,0.06214,0.0731,0.0594,0.0764,0.003955000000000002
balanced_control,Balanced control,normal_wald,Normal Wald,0.071,40,0.068825,0.0688,0.0631,0.07526000000000001,0.06,0.078,0.0040149999999999995
balanced_control,Balanced control,normal_wald,Normal Wald,0.072,40,0.069735,0.0699,0.06398,0.07594000000000001,0.0606,0.0786,0.0041449999999999985
balanced_control,Balanced control,normal_wald,Normal Wald,0.073,40,0.07065,0.0707,0.06518,0.07746,0.0616,0.079,0.004169999999999998
balanced_control,Balanced control,normal_wald,Normal Wald,0.074,40,0.07171999999999999,0.0718,0.06609999999999999,0.0785,0.0626,0.0802,0.004199999999999999
balanced_control,Balanced control,normal_wald,Normal Wald,0.075,40,0.07274,0.0728,0.0673,0.08022,0.0632,0.0812,0.004179999999999998
balanced_control,Balanced control,normal_wald,Normal Wald,0.076,40,0.073795,0.074,0.06848,0.08123999999999999,0.064,0.0824,0.004175
balanced_control,Balanced control,normal_wald,Normal Wald,0.077,40,0.074705,0.0746,0.0698,0.08164,0.065,0.0836,0.004095
balanced_control,Balanced control,normal_wald,Normal Wald,0.078,40,0.075615,0.0758,0.07074,0.08208,0.0656,0.0842,0.004105
balanced_control,Balanced control,normal_wald,Normal Wald,0.079,40,0.076615,0.0769,0.07138,0.08346,0.0672,0.0856,0.004165
balanced_control,Balanced control,normal_wald,Normal Wald,0.08,40,0.07760500000000001,0.0778,0.07222,0.08404,0.0676,0.0864,0.004145000000000002
balanced_control,Balanced control,normal_wald,Normal Wald,0.081,40,0.07853,0.0786,0.07338,0.08508,0.0686,0.0872,0.004170000000000002
balanced_control,Balanced control,normal_wald,Normal Wald,0.082,40,0.079585,0.08,0.07382,0.08588,0.0694,0.0886,0.004195000000000001
balanced_control,Balanced control,normal_wald,Normal Wald,0.083,40,0.08055,0.0806,0.0749,0.08714,0.0706,0.09,0.004330000000000002
balanced_control,Balanced control,normal_wald,Normal Wald,0.084,40,0.08158499999999999,0.0814,0.07584,0.08812,0.072,0.091,0.004305000000000003
balanced_control,Balanced control,normal_wald,Normal Wald,0.085,40,0.082645,0.0824,0.07704000000000001,0.08946,0.0732,0.0922,0.004335000000000003
balanced_control,Balanced control,normal_wald,Normal Wald,0.086,40,0.08360999999999999,0.083,0.0776,0.0905,0.0742,0.0934,0.004339999999999997
balanced_control,Balanced control,normal_wald,Normal Wald,0.087,40,0.084605,0.0844,0.07812000000000001,0.09112,0.0748,0.0948,0.004344999999999997
balanced_control,Balanced control,normal_wald,Normal Wald,0.088,40,0.085495,0.0852,0.07854,0.09154,0.076,0.0956,0.0043749999999999995
balanced_control,Balanced control,normal_wald,Normal Wald,0.089,40,0.08655,0.0864,0.07932,0.0929,0.0774,0.0966,0.0043599999999999976
