scenario_id,configuration_id,population_replication,shape_index,design_index,rows,columns,n_p,n_q,target_mi,regime,regime_label,margin_profile,method,method_label,valid_replicates,valid_rate,nominal_alpha,rejections,rejection_rate,rejection_rate_low,rejection_rate_high,absolute_calibration_error
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.075,402,0.0804,0.07318127536682943,0.0882629801054625,0.005400000000000002
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.076,408,0.0816,0.0743293778033679,0.0895130351842559,0.005600000000000008
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.077,410,0.082,0.07471218677229068,0.0899296120537771,0.0050000000000000044
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.078,414,0.0828,0.07547796479300165,0.09076260570995401,0.004799999999999999
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.079,420,0.084,0.07662702679404382,0.09201170122424374,0.0050000000000000044
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.08,424,0.0848,0.07739332746358839,0.09284417223158704,0.004799999999999999
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.081,429,0.0858,0.07835149039041377,0.09388447390087155,0.004799999999999999
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.082,433,0.0866,0.07911824725927426,0.09471648870889897,0.004599999999999993
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.083,442,0.0884,0.08084417271707507,0.09658779952409598,0.005400000000000002
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.084,449,0.0898,0.08218723673405676,0.09804258594166812,0.0058
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.085,455,0.091,0.08333889592848116,0.09928908426257556,0.0059999999999999915
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.086,459,0.0918,0.08410690139814984,0.10011985046979481,0.0058000000000000135
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.087,467,0.0934,0.08564346098790364,0.10178083423381683,0.006400000000000003
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.088,473,0.0946,0.08679635247448182,0.10302610026257052,0.006600000000000009
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.089,483,0.0966,0.08871871668658597,0.10510066524268614,0.0076000000000000095
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.09,488,0.0976,0.08968030254353887,0.10613754398184314,0.0076000000000000095
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.091,496,0.0992,0.09121938807647939,0.1077960018026784,0.008199999999999999
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.092,500,0.1,0.09198917998158555,0.10862498157446017,0.008000000000000007
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.093,502,0.1004,0.09237413744293914,0.10903940995155052,0.007400000000000004
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.094,506,0.1012,0.0931441742993416,0.10986814477203596,0.007199999999999998
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.095,509,0.1018,0.09372180779356479,0.11048959003547873,0.0068000000000000005
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.096,516,0.1032,0.09506996784785657,0.11193928041574078,0.007199999999999998
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.097,520,0.104,0.0958405614939884,0.11276745844649685,0.006999999999999992
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.098,522,0.1044,0.09622591670218936,0.11318148907673986,0.006400000000000003
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.099,525,0.105,0.0968040219417014,0.11380246259489374,0.0059999999999999915
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.1,531,0.1062,0.09796049076292292,0.1150441512890041,0.006199999999999997
