k,shape,nu0,entropy,N,lam_min,lam_tp,mu,sigma2,nu,a
3,mild_skew,4,1.4833557549816874,146,4.055555555555555,1.2517146776406036,4.046532923390037,8.43075565572092,3.8844510192792043,1.0417258200209998
3,mild_skew,4,1.4833557549816874,180,5.0,1.54320987654321,4.10576332315044,7.77741087018288,4.33493684391936,0.9471333657166465
3,mild_skew,4,1.4833557549816874,327,9.083333333333332,2.803497942386832,4.00598071676764,8.311437213097474,3.8616381479307393,1.0373785847631134
3,mild_skew,4,1.4833557549816874,594,16.5,5.0925925925925934,3.9386068301075525,7.840240448922889,3.957180615372842,0.9953063084375946
3,mild_skew,4,1.4833557549816874,1080,30.0,9.25925925925926,4.054655890313799,8.262427305943978,3.979516861111578,1.0188814451162378
3,strong_skew,4,1.2866926683547546,22,0.09777777777777778,0.05914951989026063,3.6259324659315872,6.584425829980647,3.9934799440319195,0.9079631090548943
3,strong_skew,4,1.2866926683547546,38,0.1688888888888889,0.10216735253772291,4.241767136343102,7.436775814315802,4.838814262579923,0.8766129274987935
3,strong_skew,4,1.2866926683547546,66,0.29333333333333333,0.17744855967078188,4.225502548368268,7.4331975019775856,4.804089163920769,0.8795637225266862
3,strong_skew,4,1.2866926683547546,112,0.49777777777777776,0.30112482853223593,4.343111784670985,8.98651036511153,4.197985471063079,1.0345704659075807
3,strong_skew,4,1.2866926683547546,139,0.6177777777777778,0.37371742112482853,4.21210416704709,8.213035640132295,4.320405338888722,0.9749326363277089
3,strong_skew,4,1.2866926683547546,171,0.76,0.45975308641975304,4.265175083744266,7.882819771729209,4.615535816316727,0.9240909947369762
3,strong_skew,4,1.2866926683547546,211,0.9377777777777778,0.5672976680384088,4.2245039329617695,7.936835704273725,4.497115511664111,0.9393807924223266
3,strong_skew,4,1.2866926683547546,260,1.1555555555555554,0.6990397805212619,4.257277223004945,8.003475487027037,4.529134719758897,0.9399758422799966
3,strong_skew,4,1.2866926683547546,320,1.4222222222222223,0.8603566529492455,4.147799393113639,7.682696748426292,4.478698136572411,0.9261172033996443
3,strong_skew,4,1.2866926683547546,395,1.7555555555555555,1.062002743484225,4.185420229782436,8.417289002081755,4.162324115410459,1.0055488505295558
3,strong_skew,4,1.2866926683547546,487,2.1644444444444444,1.309355281207133,4.1480566624320065,8.197337740881638,4.198039563243854,0.9880937518432471
3,strong_skew,4,1.2866926683547546,600,2.6666666666666665,1.6131687242798354,4.221002962027401,8.629170313500332,4.129450540006058,1.022170606266956
3,strong_skew,4,1.2866926683547546,740,3.2888888888888888,1.9895747599451303,4.179412469895185,8.916705195883525,3.9179244372864077,1.066741469059543
3,strong_skew,4,1.2866926683547546,913,4.057777777777778,2.454705075445816,4.130899189030445,8.957247882956848,3.810172127177826,1.0841765282898594
3,strong_skew,4,1.2866926683547546,1125,5.0,3.024691358024691,4.090403993271043,8.494257178283721,3.939462739824486,1.038315187479926
3,strong_skew,4,1.2866926683547546,2044,9.084444444444445,5.495528120713305,4.088526469401768,8.184745722804584,4.084683692597592,1.0009407770817458
3,strong_skew,4,1.2866926683547546,3715,16.511111111111113,9.988203017832648,4.0687945618409715,8.019038007157471,4.1289464326494665,0.9854316659734681
3,strong_skew,4,1.2866926683547546,6750,30.0,18.14814814814815,4.0244098949573885,8.874052710844698,3.6501642553550475,1.102528438015713
4,uniform,9,2.0,12,0.75,0.046875,10.373632955410264,12.423094784144448,17.324549568907585,0.5987822606382708
4,uniform,9,2.0,15,0.9375,0.05859375,11.067161308715141,13.972499026453468,17.531875894388254,0.6312593914868865
4,uniform,9,2.0,18,1.125,0.0703125,11.270259964140164,15.353018186767615,16.54642209292437,0.6811297270700949
4,uniform,9,2.0,23,1.4375,0.08984375,11.19976293221536,18.615809341584026,13.476146799336734,0.8310805083220516
4,uniform,9,2.0,28,1.75,0.109375,11.149743460867185,21.21017961230539,11.722369307144048,0.9511510146734685
4,uniform,9,2.0,35,2.1875,0.13671875,10.895570306086997,21.292079631525766,11.150949493830897,0.9770979872265421
4,uniform,9,2.0,43,2.6875,0.16796875,10.560727756351756,24.72425224505639,9.021827607836236,1.1705752110779475
4,uniform,9,2.0,53,3.3125,0.20703125,10.275413900132463,23.016629316933493,9.174595407969356,1.1199855081573298
4,uniform,9,2.0,65,4.0625,0.25390625,9.837127267311407,22.222212486283542,8.709220374254942,1.1295072170168798
4,uniform,9,2.0,80,5.0,0.3125,9.763987790629646,22.192361657642692,8.591736115902094,1.1364394412158305
4,uniform,9,2.0,145,9.0625,0.56640625,9.419081716455228,20.443942584283427,8.679255482693954,1.0852407484992757
4,uniform,9,2.0,264,16.5,1.03125,9.08883056263282,18.467908762736027,8.945987556851044,1.0159672707874923
4,uniform,9,2.0,480,30.0,1.875,9.192851988638237,18.778077653624987,9.00076453445661,1.0213412375633515
4,mild_skew,9,1.9304066313306079,11,0.171875,0.03289794921875,9.100995775075956,11.604845248811294,14.274748576493883,0.6375590943901104
4,mild_skew,9,1.9304066313306079,19,0.296875,0.05682373046875001,10.48512490947073,16.06238743228763,13.688854764667582,0.7659607096229828
4,mild_skew,9,1.9304066313306079,32,0.5,0.09570312500000001,10.6755214490062,18.94421109895961,12.031829418798054,0.8872733378622529
4,mild_skew,9,1.9304066313306079,39,0.609375,0.11663818359375001,10.7048414225368,20.529603003575392,11.163745335134081,0.9588933732523406
4,mild_skew,9,1.9304066313306079,49,0.765625,0.14654541015625,10.273081170568476,20.092699316280207,10.504929683746111,0.9779295511576469
4,mild_skew,9,1.9304066313306079,60,0.9375,0.17944335937500003,10.29725983758393,21.675661198432262,9.783651736574303,1.052496564149928
4,mild_skew,9,1.9304066313306079,74,1.15625,0.22131347656250003,10.048623881258775,20.65773684557137,9.775982980309024,1.0278888477505443
4,mild_skew,9,1.9304066313306079,91,1.421875,0.27215576171875,9.794898765010766,20.875925899138775,9.191452612002937,1.0656529689572463
4,mild_skew,9,1.9304066313306079,112,1.75,0.3349609375,9.637703053267582,21.454527632007753,8.658808223247831,1.1130519125474496
4,mild_skew,9,1.9304066313306079,138,2.15625,0.41271972656250006,9.511300957091736,19.662864662018624,9.201593709905227,1.0336580006627676
4,mild_skew,9,1.9304066313306079,171,2.671875,0.51141357421875,9.424031778238437,19.63606081671051,9.04584435608058,1.0418078630662753
4,mild_skew,9,1.9304066313306079,211,3.296875,0.63104248046875,9.285658895704389,19.276001499951985,8.946197802234954,1.0379447337263916
4,mild_skew,9,1.9304066313306079,260,4.0625,0.7775878906250001,9.257771571018107,17.859493492600922,9.597846041564244,0.9645676259992693
4,mild_skew,9,1.9304066313306079,320,5.0,0.9570312500000001,9.154394453002645,18.13250536932081,9.243393132308732,0.9903716440454093
4,mild_skew,9,1.9304066313306079,582,9.09375,1.7406005859375002,9.042112175085226,18.30067771072472,8.935165558258086,1.0119691813352354
4,mild_skew,9,1.9304066313306079,1057,16.515625,3.1611938476562504,9.054369842922393,18.06021153486863,9.07869911646844,0.997320180652103
4,mild_skew,9,1.9304066313306079,1920,30.0,5.742187500000001,9.016024283115703,18.012771338165642,9.025673212372016,0.9989309463095688
4,strong_skew,9,1.7921113328010545,40,0.10000000000000002,0.04604591836734694,9.122228858403993,16.209744211227022,10.267288398969686,0.8884749803384699
4,strong_skew,9,1.7921113328010545,68,0.17000000000000004,0.0782780612244898,9.628310432361465,16.665655034923272,11.12519869007926,0.8654506495193991
4,strong_skew,9,1.7921113328010545,117,0.29250000000000004,0.13468431122448982,9.798723341210788,17.7239857116227,10.834468124697961,0.9044028030202871
