configuration_id,alpha,chi_squared_threshold,bartlett_scale,bartlett_threshold,empirical_threshold,development_valid_count
LR_C3_C3_same_balanced_i0p005_n1000_scale2,0.05,3.8414588206941205,1.044077331211755,4.0107800734701735,3.9655982471576863,5000
LR_C3_C3_same_balanced_i0p005_n1000_scale2,0.1,2.705543454095418,1.044077331211755,2.824796589029378,2.917660357612476,5000
LR_C4_C4_s0p05_i0p0001_n500_scale0.5,0.01,6.634896601021215,0.32867839883064426,2.180747191230537,2.353157746562033,5000
LR_C4_C4_s0p05_i0p0001_n500_scale0.5,0.05,3.8414588206941205,0.32867839883064426,1.2626045343595984,1.1991586133750616,5000
LR_C4_C4_s0p05_i0p0001_n500_scale0.5,0.1,2.705543454095418,0.32867839883064426,0.8892536904588128,0.8064707066489518,5000
LR_C4_C4_s0p05_i0p0001_n500_scale1,0.01,6.634896601021215,0.47689657669686575,3.164159475764688,2.6959584831062102,5000
LR_C4_C4_s0p05_i0p0001_n500_scale1,0.05,3.8414588206941205,0.47689657669686575,1.831978561111005,1.629571049105607,5000
LR_C4_C4_s0p05_i0p0001_n500_scale1,0.1,2.705543454095418,0.47689657669686575,1.2902644113627186,1.2955778693142292,5000
LR_C4_C4_s0p05_i0p0001_n500_scale2,0.01,6.634896601021215,0.4702037783153084,3.1197534505315727,3.0308007348844512,5000
LR_C4_C4_s0p05_i0p0001_n500_scale2,0.05,3.8414588206941205,0.4702037783153084,1.8062684517330443,2.008551845473221,5000
LR_C4_C4_s0p05_i0p0001_n500_scale2,0.1,2.705543454095418,0.4702037783153084,1.272156754511916,1.3499923155841316,5000
LR_C4_C4_s0p1_i0p0001_n100_scale0.5,0.01,6.634896601021215,0.43461272916307414,2.883610519484635,2.894753227889396,5000
LR_C4_C4_s0p1_i0p0001_n100_scale0.5,0.05,3.8414588206941205,0.43461272916307414,1.669546902029436,1.7146272744869009,5000
LR_C4_C4_s0p1_i0p0001_n100_scale0.5,0.1,2.705543454095418,0.43461272916307414,1.1758636244537002,1.1151277030981532,5000
LR_C4_C4_s0p1_i0p0001_n100_scale1,0.01,6.634896601021215,0.4424584884355734,2.9356663210141707,2.5809343063293113,5000
LR_C4_C4_s0p1_i0p0001_n100_scale1,0.05,3.8414588206941205,0.4424584884355734,1.699686063191821,1.541781049437759,5000
LR_C4_C4_s0p1_i0p0001_n100_scale1,0.1,2.705543454095418,0.4424584884355734,1.1970906670958188,1.1751506192331362,5000
LR_C4_C4_s0p1_i0p0001_n100_scale2,0.01,6.634896601021215,0.48680381094578323,3.2298929506083516,3.0012573274208307,5000
LR_C4_C4_s0p1_i0p0001_n100_scale2,0.05,3.8414588206941205,0.48680381094578323,1.870036793505192,1.9445083129502336,5000
LR_C4_C4_s0p1_i0p0001_n100_scale2,0.1,2.705543454095418,0.48680381094578323,1.3170688641330672,1.414132511778348,5000
