scenario_id,configuration_id,rows,columns,condition,condition_label,n_p,n_q,population_replication,target_mi,simulation_seed,replicates,lrt_convergence_rate,lrt_fallback_rate,lrt_median_iterations,lrt_max_constraint_residual,lrt_mean_seconds_per_fit,audited_replicates,audit_max_statistic_difference,audit_mean_statistic_difference
config_3x3_d2_p06,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,6,0.1,1557391183,200,1.0,0.01,43.0,7.711338512184085e-11,0.017667104152496903,10,6.691699681482532e-05,6.71532060039226e-06
config_3x3_d2_p07,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,7,0.1,187206401,200,1.0,0.01,37.0,7.742877866645514e-11,0.019532451098784806,10,0.0002843052235732557,2.878503032235358e-05
config_3x3_d2_p08,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,8,0.1,3633303702,200,1.0,0.01,58.5,7.361970755237479e-11,0.021403758340748025,10,2.2044304159862804e-08,2.2044304159862804e-09
config_3x3_d2_p09,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,9,0.1,4049904546,200,1.0,0.02,41.0,8.724927724745868e-11,0.0227597295679152,10,0.0008988223039381182,0.00017841805286451519
config_3x3_d3_p00,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,0,0.1,101742221,200,1.0,0.005,46.0,4.985656332223698e-11,0.015708891669055446,10,5.2994550969742704e-08,6.648355110883131e-09
config_3x3_d3_p01,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,1,0.1,2150972521,200,1.0,0.005,42.0,4.405210224378564e-11,0.013805507723009213,10,4.3062811982963467e-07,4.3833779272972606e-08
config_3x3_d3_p02,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,2,0.1,1023806098,200,1.0,0.0,42.5,5.500309929740155e-11,0.01096153711550869,10,2.9074957978991733e-06,3.0256779837145586e-07
config_3x3_d3_p03,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,3,0.1,856206566,200,1.0,0.0,41.0,9.967801584132019e-11,0.012574770820792764,10,1.8686927205635584e-07,2.9779909027638497e-08
config_3x3_d3_p04,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,4,0.1,2353828250,200,1.0,0.0,41.0,4.225432503890403e-11,0.01256096419179812,10,0.000789554613220389,7.905837776434055e-05
config_3x3_d3_p05,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,5,0.1,2714987022,200,1.0,0.0,41.0,3.99313776489052e-11,0.011304228748194874,10,5.343281372915953e-12,5.343281372915954e-13
