configuration_id,rows,columns,condition,condition_label,n_p,n_q,method,method_label,population_pairs,mean_valid_rate,mean_fpr_10,configuration_mae_10,population_sd_fpr_10,mean_fpr_05,configuration_mae_05,population_sd_fpr_05,mean_fpr_01,configuration_mae_01,population_sd_fpr_01
5x5_moderate_sparse,5,5,moderate_sparse,Moderate sparsity,200,200,constrained_lrt,Constrained LRT,10,1.0,0.097,0.017000000000000005,0.0214993539954628,0.0485,0.015500000000000003,0.019443650777453178,0.0085,0.0034999999999999996,0.004743416490252569
5x5_ultra_sparse,5,5,ultra_sparse,Ultra-sparsity,75,75,normal_wald,Normal Wald,10,1.0,0.1145,0.019499999999999997,0.020337431281042134,0.064,0.013999999999999999,0.0107496769977314,0.022,0.012,0.009189365834726815
5x5_ultra_sparse,5,5,ultra_sparse,Ultra-sparsity,75,75,simple_welch,Simple Welch,10,1.0,0.1135,0.018499999999999996,0.019727307638567074,0.063,0.012999999999999998,0.009775252199076786,0.018,0.01,0.008881941729649486
5x5_ultra_sparse,5,5,ultra_sparse,Ultra-sparsity,75,75,expanded_welch,Expanded Welch,10,1.0,0.10450000000000001,0.0115,0.015174906186786716,0.053500000000000006,0.010499999999999999,0.012258783698955526,0.016999999999999998,0.009,0.00752772652709081
5x5_ultra_sparse,5,5,ultra_sparse,Ultra-sparsity,75,75,constrained_lrt,Constrained LRT,10,0.9979999999999999,0.10318341708542714,0.01693718592964824,0.019946285318613942,0.05059045226130654,0.006515075376884422,0.00826768710916769,0.012520100502512562,0.005510050251256281,0.006774235182734405
5x5_ultra_imbalanced,5,5,ultra_imbalanced,Ultra-sparsity with imbalance,75,375,normal_wald,Normal Wald,10,1.0,0.22349999999999998,0.12350000000000001,0.05911617563934783,0.1685,0.11850000000000001,0.04613085253445415,0.08349999999999999,0.07350000000000001,0.02014530549118909
5x5_ultra_imbalanced,5,5,ultra_imbalanced,Ultra-sparsity with imbalance,75,375,simple_welch,Simple Welch,10,1.0,0.22149999999999997,0.12149999999999998,0.0585495991067023,0.1645,0.11450000000000002,0.04698995164453306,0.08,0.07,0.021343747458109498
5x5_ultra_imbalanced,5,5,ultra_imbalanced,Ultra-sparsity with imbalance,75,375,expanded_welch,Expanded Welch,10,0.9995,0.1945829145728643,0.09458291457286432,0.052730129629174005,0.1170502512562814,0.06705025125628142,0.03725757468079109,0.033515075376884425,0.02451507537688442,0.022488182520423745
5x5_ultra_imbalanced,5,5,ultra_imbalanced,Ultra-sparsity with imbalance,75,375,constrained_lrt,Constrained LRT,10,1.0,0.15400000000000003,0.05500000000000001,0.04208457093889768,0.075,0.026999999999999996,0.02516611478423583,0.0125,0.006500000000000001,0.007168604389202189
8x8_balanced_control,8,8,balanced_control,Balanced control,960,960,normal_wald,Normal Wald,10,1.0,0.10300000000000001,0.020999999999999998,0.025948667274704754,0.05450000000000001,0.015500000000000003,0.017551511489201026,0.0085,0.0045,0.0052967495273569
8x8_balanced_control,8,8,balanced_control,Balanced control,960,960,simple_welch,Simple Welch,10,1.0,0.10250000000000001,0.020499999999999997,0.02519369409638496,0.05450000000000001,0.015500000000000003,0.017551511489201026,0.0075,0.0035000000000000005,0.004249182927993987
8x8_balanced_control,8,8,balanced_control,Balanced control,960,960,expanded_welch,Expanded Welch,10,1.0,0.101,0.02,0.025905812303633934,0.053000000000000005,0.015000000000000003,0.017191729277636836,0.0075,0.0035000000000000005,0.004249182927993987
