scenario_id,configuration_id,rows,columns,condition,condition_label,n_p,n_q,population_replication,target_mi,simulation_seed,replicates,method,method_label,valid_replicates,valid_rate,fpr_10,fpr_05,fpr_01
config_2x2_d0_p03,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,3,0.1,2198623536,200,constrained_lrt,Constrained LRT,200,1.0,0.085,0.035,0.005
config_2x2_d0_p04,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,4,0.1,2768931447,200,normal_wald,Normal Wald,200,1.0,0.08,0.05,0.005
config_2x2_d0_p04,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,4,0.1,2768931447,200,simple_welch,Simple Welch,200,1.0,0.075,0.045,0.005
config_2x2_d0_p04,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,4,0.1,2768931447,200,expanded_welch,Expanded Welch,200,1.0,0.07,0.045,0.005
config_2x2_d0_p04,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,4,0.1,2768931447,200,constrained_lrt,Constrained LRT,200,1.0,0.08,0.055,0.015
config_2x2_d0_p05,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,5,0.1,880372142,200,normal_wald,Normal Wald,200,1.0,0.095,0.04,0.015
config_2x2_d0_p05,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,5,0.1,880372142,200,simple_welch,Simple Welch,200,1.0,0.09,0.04,0.01
config_2x2_d0_p05,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,5,0.1,880372142,200,expanded_welch,Expanded Welch,200,1.0,0.065,0.03,0.0
config_2x2_d0_p05,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,5,0.1,880372142,200,constrained_lrt,Constrained LRT,200,1.0,0.095,0.04,0.02
config_2x2_d0_p06,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,6,0.1,3260596029,200,normal_wald,Normal Wald,200,1.0,0.11,0.04,0.005
config_2x2_d0_p06,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,6,0.1,3260596029,200,simple_welch,Simple Welch,200,1.0,0.105,0.035,0.005
config_2x2_d0_p06,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,6,0.1,3260596029,200,expanded_welch,Expanded Welch,200,1.0,0.085,0.03,0.0
config_2x2_d0_p06,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,6,0.1,3260596029,200,constrained_lrt,Constrained LRT,200,1.0,0.115,0.04,0.005
config_2x2_d0_p07,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,7,0.1,3227718042,200,normal_wald,Normal Wald,200,1.0,0.125,0.08,0.015
config_2x2_d0_p07,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,7,0.1,3227718042,200,simple_welch,Simple Welch,200,1.0,0.125,0.07,0.01
config_2x2_d0_p07,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,7,0.1,3227718042,200,expanded_welch,Expanded Welch,200,1.0,0.11,0.06,0.01
config_2x2_d0_p07,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,7,0.1,3227718042,200,constrained_lrt,Constrained LRT,200,1.0,0.125,0.095,0.02
config_2x2_d0_p08,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,8,0.1,1814125591,200,normal_wald,Normal Wald,200,1.0,0.145,0.06,0.01
config_2x2_d0_p08,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,8,0.1,1814125591,200,simple_welch,Simple Welch,200,1.0,0.145,0.06,0.01
config_2x2_d0_p08,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,8,0.1,1814125591,200,expanded_welch,Expanded Welch,200,1.0,0.135,0.06,0.005
config_2x2_d0_p08,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,8,0.1,1814125591,200,constrained_lrt,Constrained LRT,200,1.0,0.145,0.06,0.015
config_2x2_d0_p09,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,9,0.1,3974158138,200,normal_wald,Normal Wald,200,1.0,0.115,0.08,0.02
config_2x2_d0_p09,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,9,0.1,3974158138,200,simple_welch,Simple Welch,200,1.0,0.115,0.075,0.02
config_2x2_d0_p09,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,9,0.1,3974158138,200,expanded_welch,Expanded Welch,200,1.0,0.11,0.065,0.015
config_2x2_d0_p09,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,9,0.1,3974158138,200,constrained_lrt,Constrained LRT,200,1.0,0.12,0.08,0.025
config_2x2_d1_p00,2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,0,0.1,3229974002,200,normal_wald,Normal Wald,200,1.0,0.085,0.055,0.005
config_2x2_d1_p00,2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,0,0.1,3229974002,200,simple_welch,Simple Welch,200,1.0,0.08,0.05,0.005
config_2x2_d1_p00,2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,0,0.1,3229974002,200,expanded_welch,Expanded Welch,200,1.0,0.075,0.04,0.005
config_2x2_d1_p00,2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,0,0.1,3229974002,200,constrained_lrt,Constrained LRT,200,1.0,0.1,0.07,0.01
config_2x2_d1_p01,2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,1,0.1,606157434,200,normal_wald,Normal Wald,200,1.0,0.1,0.055,0.015
config_2x2_d1_p01,2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,1,0.1,606157434,200,simple_welch,Simple Welch,200,1.0,0.1,0.05,0.015
config_2x2_d1_p01,2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,1,0.1,606157434,200,expanded_welch,Expanded Welch,200,1.0,0.095,0.045,0.005
config_2x2_d1_p01,2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,1,0.1,606157434,200,constrained_lrt,Constrained LRT,200,1.0,0.115,0.065,0.02
config_2x2_d1_p02,2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,2,0.1,2674302760,200,normal_wald,Normal Wald,200,1.0,0.095,0.055,0.02
config_2x2_d1_p02,2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,2,0.1,2674302760,200,simple_welch,Simple Welch,200,1.0,0.095,0.055,0.02
config_2x2_d1_p02,2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,2,0.1,2674302760,200,expanded_welch,Expanded Welch,200,1.0,0.08,0.045,0.02
config_2x2_d1_p02,2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,2,0.1,2674302760,200,constrained_lrt,Constrained LRT,200,1.0,0.11,0.07,0.025
config_2x2_d1_p03,2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,3,0.1,3380239290,200,normal_wald,Normal Wald,200,1.0,0.085,0.04,0.01
config_2x2_d1_p03,2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,3,0.1,3380239290,200,simple_welch,Simple Welch,200,1.0,0.085,0.035,0.01
config_2x2_d1_p03,2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,3,0.1,3380239290,200,expanded_welch,Expanded Welch,200,1.0,0.065,0.03,0.01
config_2x2_d1_p03,2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,3,0.1,3380239290,200,constrained_lrt,Constrained LRT,200,1.0,0.09,0.035,0.01
config_2x2_d1_p04,2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,4,0.1,65349617,200,normal_wald,Normal Wald,200,1.0,0.08,0.04,0.01
config_2x2_d1_p04,2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,4,0.1,65349617,200,simple_welch,Simple Welch,200,1.0,0.075,0.04,0.01
config_2x2_d1_p04,2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,4,0.1,65349617,200,expanded_welch,Expanded Welch,200,1.0,0.06,0.035,0.01
config_2x2_d1_p04,2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,4,0.1,65349617,200,constrained_lrt,Constrained LRT,200,1.0,0.085,0.05,0.015
