configuration_id,pair_id,shape,rows,columns,profile,dominant_p,dominant_q,constructor,pattern,target_mi_p,target_mi_q,achieved_mi_p,achieved_mi_q,signed_mi_difference_q_minus_p,absolute_mi_difference,n_p,n_q,replicates,simulation_seed
config_4f1f13f4d600f002,pair_75c3984a44eb9b8b,5x5,5,5,uniform,,,loglinear,first,0.0001,0.0001,9.999999999950543e-05,9.999999999950543e-05,0.0,0.0,20,20,200,934491301279644415
config_4fa1b8764eb1feab,pair_cd3f51adc4b4ed85,2x2,2,2,same_skew,,,additive,first,0.02,0.02,0.01999999999999995,0.01999999999999995,0.0,0.0,50,50,200,8946861756896517344
config_50240a317df31b69,pair_9d5a636b6388405d,8x8,8,8,uniform,,,additive,first,0.0,0.0,0.0,0.0,0.0,0.0,1000,1000,200,14675716263629924762
config_50312e0173d06053,pair_b026b150200a484d,8x8,8,8,custom_extreme,0.9,0.95,additive,rare,1e-05,0.00011,9.999999999999965e-06,0.00010999999999977944,9.999999999977946e-05,9.999999999977946e-05,1,1,200,11516732267633343605
config_509394888d3892ed,pair_3081fe9cc66e6ec5,8x8,8,8,different_skew,,,additive,first,0.02,0.02,0.020000000000000108,0.019999999999999997,-1.1102230246251565e-16,1.1102230246251565e-16,1000,1000,200,12028461663141885601
config_5188426362b5e209,pair_b02a3d46d9460b5c,8x8,8,8,different_skew,,,additive,first,0.02,0.04,0.020000000000000108,0.03999999999999959,0.019999999999999483,0.019999999999999483,50,50,200,16490570842553382660
config_51edb711afb9dfdc,pair_136b94ec2a51d90f,3x3,3,3,different_skew,,,additive,first,0.02,0.22,0.01999999999999983,0.21999999999999986,0.20000000000000004,0.20000000000000004,20,20,200,12477528237814394494
config_521785bc9a979a4f,pair_0b60debe118a6b51,5x5,5,5,same_skew,,,additive,first,0.0001,0.0001,0.00010000000000007877,0.00010000000000007877,0.0,0.0,20,20,200,797811000460344388
config_525611f9af6f1f59,pair_39932089e73e894c,3x3,3,3,uniform,,,additive,first,0.02,0.04,0.01999999999999999,0.040000000000000036,0.020000000000000046,0.020000000000000046,500,500,200,5025528464335288562
config_5266ebc17e3970bd,pair_310d7ffa029717aa,2x2,2,2,uniform,,,additive,first,0.04,0.02,0.04000000000000002,0.01999999999999985,-0.02000000000000017,0.02000000000000017,500,500,200,15497607457782909914
config_52c6104d629d4017,pair_44cef6e67e7baa50,5x5,5,5,uniform,,,additive,first,0.001,0.021,0.0009999999999999907,0.02100000000000002,0.020000000000000028,0.020000000000000028,20,20,200,5587510426197615957
config_53c01c0baab3d765,pair_f939eff0c7dd3f67,2x2,2,2,custom_extreme,0.999,0.9995,additive,first,1e-05,1e-05,1.000000000002521e-05,9.999999999900583e-06,-1.2462734566131423e-16,1.2462734566131423e-16,10000,10000,200,10068608358439095273
config_54727a096f018329,pair_5b37ff86eea397f4,8x8,8,8,uniform,,,additive,first,0.02,0.04,0.019999999999999997,0.04000000000000001,0.02000000000000001,0.02000000000000001,20,20,200,14351534401419518831
config_54d3db05e1270259,pair_3add47497020f85f,3x3,3,3,same_skew,,,additive,first,0.001,0.001,0.0009999999999998205,0.0009999999999998205,0.0,0.0,1000,1000,200,2731143887901948254
config_5525d42046d49163,pair_e3af9cee70530be8,3x3,3,3,same_skew,,,additive,first,0.02,0.04,0.019999999999999858,0.040000000000000036,0.020000000000000177,0.020000000000000177,2,2,200,14612263179054948554
config_5530d6b44a402964,pair_545fbfbf1742477c,3x5,3,5,same_skew,,,additive,first,0.02,0.02,0.01999999999999993,0.01999999999999993,0.0,0.0,1000,1000,200,8315324569649477056
config_555bfe3e3025980d,pair_13ce026f1e6cdf08,5x5,5,5,different_skew,,,loglinear,first,0.02,0.04,0.019999999999999817,0.04000000000000016,0.020000000000000344,0.020000000000000344,20,20,200,14845956178093434018
config_56554a8a2b4f9f6f,pair_cd3f51adc4b4ed85,2x2,2,2,same_skew,,,additive,first,0.02,0.02,0.01999999999999995,0.01999999999999995,0.0,0.0,50000,50000,200,17114096535509906688
config_56636d4413ad8d46,pair_e37c890386825c8c,3x3,3,3,uniform,,,additive,first,0.0001,0.0201,0.0001000000000000497,0.02010000000000004,0.01999999999999999,0.01999999999999999,20,20,200,1608041365806736981
config_56be666dd22894b1,pair_4f79562663eb21be,2x2,2,2,uniform,,,additive,first,0.0001,0.0001,9.999999999994562e-05,9.999999999994562e-05,0.0,0.0,50000,50000,200,16516684692477530186
config_575502c5750ec54a,pair_9d5a636b6388405d,8x8,8,8,uniform,,,additive,first,0.0,0.0,0.0,0.0,0.0,0.0,2,2,200,9815640723423599632
config_575da483e905b2f4,pair_5b37ff86eea397f4,8x8,8,8,uniform,,,additive,first,0.02,0.04,0.019999999999999997,0.04000000000000001,0.02000000000000001,0.02000000000000001,1000,1000,200,9356514291662024623
config_578e6633ccc4928d,pair_830adf4af45e859c,3x3,3,3,different_skew,,,additive,first,0.0001,0.0201,9.999999999999766e-05,0.020099999999999958,0.019999999999999962,0.019999999999999962,20,20,200,2470145236857771029
