scenario_id,configuration_id,rows,columns,condition,condition_label,n_p,n_q,population_replication,target_mi,simulation_seed,replicates,lrt_convergence_rate,lrt_fallback_rate,lrt_median_iterations,lrt_max_constraint_residual,lrt_mean_seconds_per_fit,audited_replicates,audit_max_statistic_difference,audit_mean_statistic_difference
config_3x3_d2_p01,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,1,0.1,3380239290,20,1.0,0.0,42.5,9.678813306379652e-12,0.005917931359726935,3,0.0,0.0
config_3x3_d3_p00,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,0,0.1,65349617,20,1.0,0.0,45.0,2.1496804336607056e-11,0.004912160313688218,3,2.742126412158541e-06,9.140421373861803e-07
config_3x3_d3_p01,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,1,0.1,796464720,20,1.0,0.0,43.5,1.4302878326155621e-11,0.004863300023134798,3,2.893330020015128e-11,9.644433400050426e-12
config_5x5_d0_p00,5x5_balanced_control,5,5,balanced_control,Balanced control,375,375,0,0.1,478364860,20,1.0,0.0,56.0,1.958211370833851e-12,0.00828677280806005,3,6.320988177321851e-10,2.1069960591072837e-10
config_5x5_d0_p01,5x5_balanced_control,5,5,balanced_control,Balanced control,375,375,1,0.1,1317290562,20,1.0,0.0,56.5,1.0530659677598919e-11,0.008396966592408716,3,3.9472070056945086e-10,1.3612104036534825e-10
config_5x5_d1_p00,5x5_moderate_sparse,5,5,moderate_sparse,Moderate sparsity,200,200,0,0.1,4095152891,20,1.0,0.0,58.5,7.88144549623837e-12,0.012915816507302225,3,1.1623342288658023e-09,3.8744474295526743e-10
config_5x5_d1_p01,5x5_moderate_sparse,5,5,moderate_sparse,Moderate sparsity,200,200,1,0.1,3564677104,20,1.0,0.0,61.0,6.444400568739184e-12,0.014313783182296902,3,6.9317138695623726e-09,2.3276243155123666e-09
config_5x5_d2_p00,5x5_ultra_sparse,5,5,ultra_sparse,Ultra-sparsity,75,75,0,0.1,3875519215,20,1.0,0.1,46.5,3.830441519525607e-11,0.022686962562147528,3,2.3703454132828483e-06,7.901151377609494e-07
config_5x5_d2_p01,5x5_ultra_sparse,5,5,ultra_sparse,Ultra-sparsity,75,75,1,0.1,2786888119,20,1.0,0.1,41.5,1.390196291417567e-11,0.024228818819392473,3,0.0001975779185272586,6.585930617575286e-05
config_5x5_d3_p00,5x5_ultra_imbalanced,5,5,ultra_imbalanced,Ultra-sparsity with imbalance,75,375,0,0.1,4287286767,20,1.0,0.0,146.5,1.0208181522308735e-11,0.021019208442885427,3,0.0,0.0
config_5x5_d3_p01,5x5_ultra_imbalanced,5,5,ultra_imbalanced,Ultra-sparsity with imbalance,75,375,1,0.1,2851230002,20,1.0,0.0,49.5,3.9393308060020615e-11,0.01704949784325436,3,0.011898603382178408,0.004528563321400725
config_8x8_d0_p00,8x8_balanced_control,8,8,balanced_control,Balanced control,960,960,0,0.1,1014955703,20,1.0,0.0,156.0,5.565031768739459e-11,0.0943736394518055,3,0.0,0.0
config_8x8_d0_p01,8x8_balanced_control,8,8,balanced_control,Balanced control,960,960,1,0.1,1303512339,20,1.0,0.0,141.0,1.6857515383605914e-11,0.11247676669154316,3,0.0,0.0
config_8x8_d1_p00,8x8_moderate_sparse,8,8,moderate_sparse,Moderate sparsity,512,512,0,0.1,3155669485,20,1.0,0.0,73.0,1.344763189692344e-11,0.04087287299335003,3,2.226754259027075e-05,7.422514196756917e-06
config_8x8_d1_p01,8x8_moderate_sparse,8,8,moderate_sparse,Moderate sparsity,512,512,1,0.1,3915028103,20,1.0,0.0,79.5,3.1775693187796605e-12,0.043097818712703885,3,2.772982043097727e-06,9.243273476992423e-07
config_8x8_d2_p00,8x8_ultra_sparse,8,8,ultra_sparse,Ultra-sparsity,192,192,0,0.1,1035720000,20,1.0,0.0,42.0,4.490105509624698e-11,0.036857996054459365,3,3.437548912188504e-08,1.145849637396168e-08
config_8x8_d2_p01,8x8_ultra_sparse,8,8,ultra_sparse,Ultra-sparsity,192,192,1,0.1,127500412,20,1.0,0.05,46.0,3.166339412885577e-11,0.056480568752158435,3,0.0,0.0
config_8x8_d3_p00,8x8_ultra_imbalanced,8,8,ultra_imbalanced,Ultra-sparsity with imbalance,192,960,0,0.1,2766434811,20,1.0,0.0,63.5,3.862576924973382e-12,0.06308281450765207,3,0.0,0.0
