scenario_id,configuration_id,rows,columns,condition,condition_label,n_p,n_q,population_replication,target_mi,simulation_seed,replicates,method,method_label,valid_replicates,valid_rate,fpr_10,fpr_05,fpr_01
config_3x3_d1_p01,3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,1,0.1,606157434,20,constrained_lrt,Constrained LRT,20,1.0,0.15,0.1,0.0
config_3x3_d2_p00,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,0,0.1,2674302760,20,normal_wald,Normal Wald,20,1.0,0.2,0.1,0.1
config_3x3_d2_p00,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,0,0.1,2674302760,20,simple_welch,Simple Welch,20,1.0,0.2,0.1,0.1
config_3x3_d2_p00,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,0,0.1,2674302760,20,expanded_welch,Expanded Welch,17,0.85,0.11764705882352941,0.058823529411764705,0.058823529411764705
config_3x3_d2_p00,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,0,0.1,2674302760,20,constrained_lrt,Constrained LRT,20,1.0,0.15,0.1,0.05
config_3x3_d2_p01,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,1,0.1,3380239290,20,normal_wald,Normal Wald,20,1.0,0.15,0.05,0.0
config_3x3_d2_p01,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,1,0.1,3380239290,20,simple_welch,Simple Welch,20,1.0,0.15,0.05,0.0
config_3x3_d2_p01,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,1,0.1,3380239290,20,expanded_welch,Expanded Welch,20,1.0,0.15,0.05,0.0
config_3x3_d2_p01,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,1,0.1,3380239290,20,constrained_lrt,Constrained LRT,20,1.0,0.1,0.05,0.0
config_3x3_d3_p00,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,0,0.1,65349617,20,normal_wald,Normal Wald,20,1.0,0.15,0.15,0.1
config_3x3_d3_p00,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,0,0.1,65349617,20,simple_welch,Simple Welch,20,1.0,0.15,0.15,0.1
config_3x3_d3_p00,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,0,0.1,65349617,20,expanded_welch,Expanded Welch,20,1.0,0.1,0.1,0.1
config_3x3_d3_p00,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,0,0.1,65349617,20,constrained_lrt,Constrained LRT,20,1.0,0.1,0.05,0.0
config_3x3_d3_p01,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,1,0.1,796464720,20,normal_wald,Normal Wald,20,1.0,0.15,0.1,0.0
