configuration_id,anchor_configuration_id,configuration_label,sample_scale,n_p,n_q,mi_p,mi_q,mi_difference,minimum_expected_count,method,method_label,replicates,valid_count,valid_rate,reject_count,power,wilson_low,wilson_high
CURVE_CURVE_C2_N0_np20_nq200_di0p005_scale0p5,C2_N0_np20_nq200,"Balanced, unequal samples",0.5,10,100,0.0999999999999998,0.1049999999999999,0.005,1.4010268691929522,expanded_welch,Expanded Welch,5000,4925,0.985,251,0.0509644670050761,0.0451647223405173,0.057464153643196
CURVE_CURVE_C2_N0_np20_nq200_di0p005_scale0p5,C2_N0_np20_nq200,"Balanced, unequal samples",0.5,10,100,0.0999999999999998,0.1049999999999999,0.005,1.4010268691929522,normal_wald,Normal Wald,5000,5000,1.0,1061,0.2122,0.2010901705414436,0.2237517186981313
CURVE_CURVE_C2_N0_np20_nq200_di0p005_scale0p5,C2_N0_np20_nq200,"Balanced, unequal samples",0.5,10,100,0.0999999999999998,0.1049999999999999,0.005,1.4010268691929522,simple_welch,Simple Welch,5000,5000,1.0,963,0.1926,0.1819072511546312,0.2037647320011899
CURVE_CURVE_C2_N3_np500_nq50_di0p005_scale0p5,C2_N3_np500_nq50,"Skewed, unequal samples",0.5,250,25,0.0300000000000003,0.0349999999996594,0.005,0.7935319932386035,constrained_lr,Constrained LR (chi-squared),5000,5000,1.0,166,0.0332,0.0285814227402997,0.0385353037956056
CURVE_CURVE_C2_N3_np500_nq50_di0p005_scale0p5,C2_N3_np500_nq50,"Skewed, unequal samples",0.5,250,25,0.0300000000000003,0.0349999999996594,0.005,0.7935319932386035,expanded_welch,Expanded Welch,5000,4628,0.9256,168,0.0363007778738115,0.0312852227921016,0.0420854790857689
CURVE_CURVE_C2_N3_np500_nq50_di0p005_scale0p5,C2_N3_np500_nq50,"Skewed, unequal samples",0.5,250,25,0.0300000000000003,0.0349999999996594,0.005,0.7935319932386035,normal_wald,Normal Wald,5000,5000,1.0,962,0.1924,0.1817117223696034,0.2035605678669957
CURVE_CURVE_C2_N3_np500_nq50_di0p005_scale0p5,C2_N3_np500_nq50,"Skewed, unequal samples",0.5,250,25,0.0300000000000003,0.0349999999996594,0.005,0.7935319932386035,simple_welch,Simple Welch,5000,5000,1.0,936,0.1872,0.1766295753955883,0.1982506989412394
CURVE_CURVE_C2_N5_np200_nq2000_di0p005_scale0p5,C2_N5_np200_nq2000,Rare and highly unequal,0.5,100,1000,0.0050000000002087,0.0100000000000003,0.005,0.3493995926134408,constrained_lr,Constrained LR (chi-squared),5000,5000,1.0,62,0.0124,0.0096853856424235,0.0158632772943961
CURVE_CURVE_C2_N5_np200_nq2000_di0p005_scale0p5,C2_N5_np200_nq2000,Rare and highly unequal,0.5,100,1000,0.0050000000002087,0.0100000000000003,0.005,0.3493995926134408,expanded_welch,Expanded Welch,5000,3807,0.7614,1087,0.2855266614131862,0.2714010682419621,0.3000846475386808
CURVE_CURVE_C2_N5_np200_nq2000_di0p005_scale0p5,C2_N5_np200_nq2000,Rare and highly unequal,0.5,100,1000,0.0050000000002087,0.0100000000000003,0.005,0.3493995926134408,normal_wald,Normal Wald,5000,5000,1.0,3542,0.7084,0.6956459902149374,0.7208340316143629
CURVE_CURVE_C2_N5_np200_nq2000_di0p005_scale0p5,C2_N5_np200_nq2000,Rare and highly unequal,0.5,100,1000,0.0050000000002087,0.0100000000000003,0.005,0.3493995926134408,simple_welch,Simple Welch,5000,5000,1.0,3542,0.7084,0.6956459902149374,0.7208340316143629
CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0p005_scale0p5,C3_C3_same_balanced_i0p005_n1000,Near independence,0.5,500,500,0.0050000000000047,0.0100000000000022,0.005,107.3518574316245,constrained_lr,Constrained LR (chi-squared),5000,5000,1.0,482,0.0964,0.0885264315462734,0.1048932574637766
CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0p005_scale0p5,C3_C3_same_balanced_i0p005_n1000,Near independence,0.5,500,500,0.0050000000000047,0.0100000000000022,0.005,107.3518574316245,expanded_welch,Expanded Welch,5000,5000,1.0,132,0.0264,0.0223066265103538,0.0312205407720043
CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0p005_scale0p5,C3_C3_same_balanced_i0p005_n1000,Near independence,0.5,500,500,0.0050000000000047,0.0100000000000022,0.005,107.3518574316245,normal_wald,Normal Wald,5000,5000,1.0,251,0.0502,0.0444853421500697,0.0566052825197036
CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0p005_scale0p5,C3_C3_same_balanced_i0p005_n1000,Near independence,0.5,500,500,0.0050000000000047,0.0100000000000022,0.005,107.3518574316245,simple_welch,Simple Welch,5000,5000,1.0,246,0.0492,0.0435433825554971,0.0555487775181663
CURVE_CURVE_C4_C4_s0p05_i0p0001_n500_di0p005_scale0p5,C4_C4_s0p05_i0p0001_n500,Rare-cell case B,0.5,250,250,9.999999999987796e-05,0.0050999999999959,0.005,0.7994669697625629,constrained_lr,Constrained LR (chi-squared),5000,5000,1.0,229,0.0458,0.0403459347014956,0.0519514457453942
CURVE_CURVE_C4_C4_s0p05_i0p0001_n500_di0p005_scale0p5,C4_C4_s0p05_i0p0001_n500,Rare-cell case B,0.5,250,250,9.999999999987796e-05,0.0050999999999959,0.005,0.7994669697625629,expanded_welch,Expanded Welch,5000,4990,0.998,9,0.0018036072144288,0.0009491924514442,0.0034244864089679
CURVE_CURVE_C4_C4_s0p05_i0p0001_n500_di0p005_scale0p5,C4_C4_s0p05_i0p0001_n500,Rare-cell case B,0.5,250,250,9.999999999987796e-05,0.0050999999999959,0.005,0.7994669697625629,normal_wald,Normal Wald,5000,5000,1.0,82,0.0164,0.0132326641504401,0.0203098571708191
CURVE_CURVE_C4_C4_s0p05_i0p0001_n500_di0p005_scale0p5,C4_C4_s0p05_i0p0001_n500,Rare-cell case B,0.5,250,250,9.999999999987796e-05,0.0050999999999959,0.005,0.7994669697625629,simple_welch,Simple Welch,5000,5000,1.0,77,0.0154,0.0123399813257248,0.0192040753994245
CURVE_CURVE_C4_C4_s0p1_i0p0001_n100_di0p005_scale0p5,C4_C4_s0p1_i0p0001_n100,Rare-cell case A,0.5,50,50,0.0001000000000001,0.0050999999999997,0.005,0.5646818539806965,constrained_lr,Constrained LR (chi-squared),5000,5000,1.0,69,0.0138,0.0109194272130835,0.01742708615829
CURVE_CURVE_C4_C4_s0p1_i0p0001_n100_di0p005_scale0p5,C4_C4_s0p1_i0p0001_n100,Rare-cell case A,0.5,50,50,0.0001000000000001,0.0050999999999997,0.005,0.5646818539806965,expanded_welch,Expanded Welch,5000,4505,0.901,2,0.0004439511653718,0.0001217558660781,0.0016173735516027
CURVE_CURVE_C4_C4_s0p1_i0p0001_n100_di0p005_scale0p5,C4_C4_s0p1_i0p0001_n100,Rare-cell case A,0.5,50,50,0.0001000000000001,0.0050999999999997,0.005,0.5646818539806965,normal_wald,Normal Wald,5000,4999,0.9998,22,0.0044008801760352,0.0029081467289397,0.0066547105421703
CURVE_CURVE_C4_C4_s0p1_i0p0001_n100_di0p005_scale0p5,C4_C4_s0p1_i0p0001_n100,Rare-cell case A,0.5,50,50,0.0001000000000001,0.0050999999999997,0.005,0.5646818539806965,simple_welch,Simple Welch,5000,4999,0.9998,16,0.0032006401280256,0.0019711222315001,0.0051930981651907
CURVE_CURVE_C1_N0_n10_di0p005_scale1,C1_N0_n10,"Balanced, very small sample",1.0,10,10,0.0999999999999998,0.1049999999999999,0.005,1.374888613899132,constrained_lr,Constrained LR (chi-squared),5000,4998,0.9996,261,0.0522208883553421,0.0463898375388715,0.0587397358692136
CURVE_CURVE_C1_N0_n10_di0p005_scale1,C1_N0_n10,"Balanced, very small sample",1.0,10,10,0.0999999999999998,0.1049999999999999,0.005,1.374888613899132,expanded_welch,Expanded Welch,5000,4871,0.9742,207,0.0424964073085608,0.0371828854522417,0.0485309705470417
CURVE_CURVE_C1_N0_n10_di0p005_scale1,C1_N0_n10,"Balanced, very small sample",1.0,10,10,0.0999999999999998,0.1049999999999999,0.005,1.374888613899132,normal_wald,Normal Wald,5000,4989,0.9978,665,0.1332932451393065,0.1241432791688745,0.1430074945582261
CURVE_CURVE_C1_N0_n10_di0p005_scale1,C1_N0_n10,"Balanced, very small sample",1.0,10,10,0.0999999999999998,0.1049999999999999,0.005,1.374888613899132,simple_welch,Simple Welch,5000,4989,0.9978,473,0.0948085788735217,0.0869885129665802,0.1032521479185435
CURVE_CURVE_C1_N0_n1000_di0p005_scale1,C1_N0_n1000,"Balanced, large sample",1.0,1000,1000,0.0999999999999998,0.1049999999999999,0.005,137.48886138991318,constrained_lr,Constrained LR (chi-squared),5000,5000,1.0,271,0.0542,0.0482596192447235,0.0608248638094894
CURVE_CURVE_C1_N0_n1000_di0p005_scale1,C1_N0_n1000,"Balanced, large sample",1.0,1000,1000,0.0999999999999998,0.1049999999999999,0.005,137.48886138991318,expanded_welch,Expanded Welch,5000,5000,1.0,263,0.0526,0.0467487102249782,0.0591382294754588
CURVE_CURVE_C1_N0_n1000_di0p005_scale1,C1_N0_n1000,"Balanced, large sample",1.0,1000,1000,0.0999999999999998,0.1049999999999999,0.005,137.48886138991318,normal_wald,Normal Wald,5000,5000,1.0,267,0.0534,0.0475039707136969,0.0599817406636281
CURVE_CURVE_C1_N0_n1000_di0p005_scale1,C1_N0_n1000,"Balanced, large sample",1.0,1000,1000,0.0999999999999998,0.1049999999999999,0.005,137.48886138991318,simple_welch,Simple Welch,5000,5000,1.0,266,0.0532,0.0473151188916037,0.0597708995664992
CURVE_CURVE_C1_N0_n50_di0p005_scale1,C1_N0_n50,"Balanced, moderate sample",1.0,50,50,0.0999999999999998,0.1049999999999999,0.005,6.874443069495658,constrained_lr,Constrained LR (chi-squared),5000,5000,1.0,272,0.0544,0.0484485910594408,0.061035584913994
CURVE_CURVE_C1_N0_n50_di0p005_scale1,C1_N0_n50,"Balanced, moderate sample",1.0,50,50,0.0999999999999998,0.1049999999999999,0.005,6.874443069495658,expanded_welch,Expanded Welch,5000,4998,0.9996,203,0.0406162464985994,0.0354871647370393,0.0464509498943117
CURVE_CURVE_C1_N0_n50_di0p005_scale1,C1_N0_n50,"Balanced, moderate sample",1.0,50,50,0.0999999999999998,0.1049999999999999,0.005,6.874443069495658,normal_wald,Normal Wald,5000,5000,1.0,242,0.0484,0.0427903040886361,0.0547030843081394
CURVE_CURVE_C1_N0_n50_di0p005_scale1,C1_N0_n50,"Balanced, moderate sample",1.0,50,50,0.0999999999999998,0.1049999999999999,0.005,6.874443069495658,simple_welch,Simple Welch,5000,5000,1.0,222,0.0444,0.0390318208814263,0.0504677091309097
CURVE_CURVE_C1_N3_n50_di0p005_scale1,C1_N3_n50,One skewed population,1.0,50,50,0.0300000000000003,0.0349999999996594,0.005,1.587063986477207,constrained_lr,Constrained LR (chi-squared),5000,5000,1.0,235,0.047,0.0414734961677937,0.053222041794428
CURVE_CURVE_C1_N3_n50_di0p005_scale1,C1_N3_n50,One skewed population,1.0,50,50,0.0300000000000003,0.0349999999996594,0.005,1.587063986477207,expanded_welch,Expanded Welch,5000,4975,0.995,78,0.0156783919597989,0.0125812308128308,0.0195229163351996
CURVE_CURVE_C1_N3_n50_di0p005_scale1,C1_N3_n50,One skewed population,1.0,50,50,0.0300000000000003,0.0349999999996594,0.005,1.587063986477207,normal_wald,Normal Wald,5000,5000,1.0,161,0.0322,0.0276547458300798,0.0374635161097155
