configuration_id,constrained_lr,expanded_welch,normal_wald,simple_welch,configuration_label,sample_scale,mi_difference
CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0p05_scale1,0.999,0.999,0.999,0.999,Near independence,1.0,0.05
CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0p05_scale2,1.0,1.0,1.0,1.0,Near independence,2.0,0.05
CURVE_CURVE_C4_C4_s0p05_i0p0001_n500_di0p005_scale0p5,0.0458,0.0018036072144288,0.0164,0.0154,Rare-cell case B,0.5,0.005
CURVE_CURVE_C4_C4_s0p05_i0p0001_n500_di0p005_scale1,0.1102,0.004,0.0248,0.0248,Rare-cell case B,1.0,0.005
CURVE_CURVE_C4_C4_s0p05_i0p0001_n500_di0p005_scale2,0.304,0.0224,0.0714,0.0702,Rare-cell case B,2.0,0.005
CURVE_CURVE_C4_C4_s0p05_i0p0001_n500_di0p05_scale0p5,0.824,0.5151332932451393,0.622,0.6168,Rare-cell case B,0.5,0.05
CURVE_CURVE_C4_C4_s0p05_i0p0001_n500_di0p05_scale1,0.9844,0.9278,0.9582,0.9578,Rare-cell case B,1.0,0.05
CURVE_CURVE_C4_C4_s0p05_i0p0001_n500_di0p05_scale2,1.0,0.9994,0.9996,0.9996,Rare-cell case B,2.0,0.05
CURVE_CURVE_C4_C4_s0p1_i0p0001_n100_di0p005_scale0p5,0.0138,0.0004439511653718,0.0044008801760352,0.0032006401280256,Rare-cell case A,0.5,0.005
CURVE_CURVE_C4_C4_s0p1_i0p0001_n100_di0p005_scale1,0.0152,0.002820874471086,0.042008401680336,0.0394078815763152,Rare-cell case A,1.0,0.005
CURVE_CURVE_C4_C4_s0p1_i0p0001_n100_di0p005_scale2,0.0288,0.0064,0.0278,0.0276,Rare-cell case A,2.0,0.005
CURVE_CURVE_C4_C4_s0p1_i0p0001_n100_di0p05_scale0p5,0.187,0.0460859977949283,0.0858171634326865,0.0746149229845969,Rare-cell case A,0.5,0.05
CURVE_CURVE_C4_C4_s0p1_i0p0001_n100_di0p05_scale1,0.3924,0.1722613065326633,0.2548509701940388,0.2468493698739748,Rare-cell case A,1.0,0.05
CURVE_CURVE_C4_C4_s0p1_i0p0001_n100_di0p05_scale2,0.7478,0.4462,0.5572,0.55,Rare-cell case A,2.0,0.05
