condition,condition_label,method,method_label,population_pairs,mean_valid_rate,mean_delta_error,mean_empirical_delta_sd,mean_standard_error,mean_absolute_edgeworth_adjustment,mean_fpr_10,mean_absolute_fpr_error_10,population_sd_fpr_10,mean_fpr_05,mean_absolute_fpr_error_05,population_sd_fpr_05,mean_fpr_01,mean_absolute_fpr_error_01,population_sd_fpr_01
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,8,0.9995833333333333,0.0037137626608959727,0.09718333257130439,0.09186587818727367,0.06619129735875477,0.1284127647714604,0.03341276477146042,0.033072438792642295,0.06838210702341137,0.020048773690078035,0.022935611679067103,0.018348662207357862,0.014181995540691193,0.014387266556246989
ultra_sparse,Ultra-sparsity,simple_welch,Simple Welch,8,0.0,0.0037137626608959727,0.09718333257130439,0.09186587818727367,0.06619129735875477,,,,,,,,,
ultra_sparse,Ultra-sparsity,expanded_welch,Expanded Welch,8,0.98875,0.0037137626608959727,0.09718333257130439,0.09186587818727367,0.06619129735875477,0.10930405654720723,0.017808622757252892,0.023597730721772067,0.05406456113647894,0.01147196854388635,0.01620037860192946,0.011455479452054794,0.00812214611872146,0.009996750924992899
ultra_sparse,Ultra-sparsity,edgeworth_normal,Joint Edgeworth,8,0.9737499999999999,0.0037137626608959727,0.09718333257130439,0.09186587818727367,0.06619129735875477,0.13421251395273565,0.03837918061940234,0.038234629332429,0.07623359417256714,0.029566927505900474,0.029665516544919543,0.019472015862974118,0.012805349196307454,0.014032541253553002
ultra_sparse,Ultra-sparsity,joint_influence_welch,Joint-Influence Welch,8,0.9833333333333334,0.0037137626608959727,0.09718333257130439,0.09186587818727367,0.06619129735875477,0.12288893287883765,0.02788893287883764,0.029947888052239854,0.0642460211229862,0.02091268778965287,0.020849983292459896,0.01666378906496114,0.010830455731627806,0.01144702557621672
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,8,1.0,-0.027730366323595223,0.07436031135361988,0.07070902821280678,0.28685345690469244,0.23291666666666666,0.13291666666666666,0.08736781398567163,0.17083333333333334,0.12083333333333333,0.0669695500576242,0.09625,0.08625,0.027685163065589012
ultra_imbalanced,Ultra-sparsity with imbalance,simple_welch,Simple Welch,8,0.0,-0.027730366323595223,0.07436031135361988,0.07070902821280678,0.28685345690469244,,,,,,,,,
ultra_imbalanced,Ultra-sparsity with imbalance,expanded_welch,Expanded Welch,8,0.9933333333333333,-0.027730366323595223,0.07436031135361988,0.07070902821280678,0.28685345690469244,0.1916912058437482,0.09169120584374821,0.10480081051169449,0.1259872420571573,0.07598724205715732,0.07760941400815159,0.05455277600404719,0.044552776004047195,0.028056342472457974
ultra_imbalanced,Ultra-sparsity with imbalance,edgeworth_normal,Joint Edgeworth,8,0.9608333333333334,-0.027730366323595223,0.07436031135361988,0.07070902821280678,0.28685345690469244,0.15195304925363368,0.06686405729825784,0.09830298148396206,0.08719695301945035,0.047013696014878384,0.06762936368656633,0.03014082136257755,0.02080931953107571,0.02416801501437928
ultra_imbalanced,Ultra-sparsity with imbalance,joint_influence_welch,Joint-Influence Welch,8,0.9708333333333333,-0.027730366323595223,0.07436031135361988,0.07070902821280678,0.28685345690469244,0.14098447266906045,0.06568219399760622,0.09729376600337794,0.08046722968030032,0.037077573187083206,0.0564657275884126,0.02585526461951909,0.018204825049541285,0.01951892518106332
