condition,condition_label,method,method_label,nominal_alpha,actual_rejection_rate
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.001,0.0004166666666666667
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.002,0.0004166666666666667
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.003,0.00125
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.004,0.0020833333333333333
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.005,0.0020833333333333333
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.006,0.0020833333333333333
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.007,0.002916666666666667
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.008,0.0037500000000000003
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.009000000000000001,0.004166666666666667
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.01,0.005833333333333334
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.011,0.00625
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.012,0.007500000000000001
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.013000000000000001,0.008333333333333333
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.014,0.008333333333333333
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.015,0.009999999999999998
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.016,0.010416666666666666
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.017,0.010833333333333334
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.018000000000000002,0.01125
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.019,0.012083333333333333
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.02,0.012083333333333333
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.021,0.013333333333333332
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.022,0.01375
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.023,0.01375
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.024,0.014166666666666668
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.025,0.014583333333333334
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.026000000000000002,0.015833333333333335
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.027,0.016666666666666666
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.028,0.016666666666666666
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.029,0.017083333333333332
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.03,0.017916666666666664
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.031,0.017916666666666664
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.032,0.01875
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.033,0.01875
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.034,0.019166666666666665
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.035,0.019999999999999997
