scenario_id,configuration_id,rows,columns,condition,condition_label,n_p,n_q,population_replication,target_mi,true_delta,simulation_seed,replicates,mean_delta_error,empirical_delta_sd,mean_standard_error,mean_standardized_third_cumulant,mean_studentization_covariance,mean_absolute_edgeworth_adjustment,method,method_label,valid_replicates,valid_rate,fpr_10,fpr_05,fpr_01
config_2x2_d2_p00,2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,0,0.1,1.6653345369377348e-16,2768931447,300,0.004065822487823428,0.10853508501511178,0.0967082922636505,0.0025151489124239923,-0.008704264289391247,0.0870667677441546,joint_influence_welch,Joint-Influence Welch,290,0.9666666666666667,0.12758620689655173,0.06896551724137931,0.027586206896551724
config_2x2_d2_p01,2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,1,0.1,-1.6653345369377348e-16,880372142,300,0.002425498155200579,0.10236353377863187,0.09547579023722295,0.006254892724723584,0.009259544123730095,0.09391071706098379,normal_wald,Normal Wald,300,1.0,0.14333333333333334,0.06,0.0033333333333333335
config_2x2_d2_p01,2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,1,0.1,-1.6653345369377348e-16,880372142,300,0.002425498155200579,0.10236353377863187,0.09547579023722295,0.006254892724723584,0.009259544123730095,0.09391071706098379,simple_welch,Simple Welch,0,0.0,,,
config_2x2_d2_p01,2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,1,0.1,-1.6653345369377348e-16,880372142,300,0.002425498155200579,0.10236353377863187,0.09547579023722295,0.006254892724723584,0.009259544123730095,0.09391071706098379,expanded_welch,Expanded Welch,297,0.99,0.11447811447811448,0.037037037037037035,0.0
config_2x2_d2_p01,2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,1,0.1,-1.6653345369377348e-16,880372142,300,0.002425498155200579,0.10236353377863187,0.09547579023722295,0.006254892724723584,0.009259544123730095,0.09391071706098379,edgeworth_normal,Joint Edgeworth,286,0.9533333333333334,0.15034965034965034,0.06643356643356643,0.013986013986013986
config_2x2_d2_p01,2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,1,0.1,-1.6653345369377348e-16,880372142,300,0.002425498155200579,0.10236353377863187,0.09547579023722295,0.006254892724723584,0.009259544123730095,0.09391071706098379,joint_influence_welch,Joint-Influence Welch,293,0.9766666666666667,0.12627986348122866,0.06143344709897611,0.017064846416382253
config_2x2_d3_p00,2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,0,0.1,1.6653345369377348e-16,3260596029,300,0.0018091671280049963,0.08288272119310033,0.07392015761803199,0.19945840431385967,0.32262091857925745,0.27866272297802835,normal_wald,Normal Wald,300,1.0,0.21333333333333335,0.14333333333333334,0.1
config_2x2_d3_p00,2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,0,0.1,1.6653345369377348e-16,3260596029,300,0.0018091671280049963,0.08288272119310033,0.07392015761803199,0.19945840431385967,0.32262091857925745,0.27866272297802835,simple_welch,Simple Welch,0,0.0,,,
config_2x2_d3_p00,2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,0,0.1,1.6653345369377348e-16,3260596029,300,0.0018091671280049963,0.08288272119310033,0.07392015761803199,0.19945840431385967,0.32262091857925745,0.27866272297802835,expanded_welch,Expanded Welch,296,0.9866666666666667,0.125,0.08783783783783784,0.05405405405405406
config_2x2_d3_p00,2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,0,0.1,1.6653345369377348e-16,3260596029,300,0.0018091671280049963,0.08288272119310033,0.07392015761803199,0.19945840431385967,0.32262091857925745,0.27866272297802835,edgeworth_normal,Joint Edgeworth,281,0.9366666666666666,0.10676156583629894,0.06405693950177936,0.014234875444839857
config_2x2_d3_p00,2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,0,0.1,1.6653345369377348e-16,3260596029,300,0.0018091671280049963,0.08288272119310033,0.07392015761803199,0.19945840431385967,0.32262091857925745,0.27866272297802835,joint_influence_welch,Joint-Influence Welch,281,0.9366666666666666,0.08185053380782918,0.046263345195729534,0.0071174377224199285
config_2x2_d3_p01,2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,1,0.1,1.6653345369377348e-16,3227718042,300,0.0009751815641135005,0.07805003602852077,0.07380118490751089,0.20963790886817757,0.3604728207304859,0.24533413584123778,normal_wald,Normal Wald,300,1.0,0.15,0.11333333333333333,0.056666666666666664
config_2x2_d3_p01,2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,1,0.1,1.6653345369377348e-16,3227718042,300,0.0009751815641135005,0.07805003602852077,0.07380118490751089,0.20963790886817757,0.3604728207304859,0.24533413584123778,simple_welch,Simple Welch,0,0.0,,,
config_2x2_d3_p01,2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,1,0.1,1.6653345369377348e-16,3227718042,300,0.0009751815641135005,0.07805003602852077,0.07380118490751089,0.20963790886817757,0.3604728207304859,0.24533413584123778,expanded_welch,Expanded Welch,297,0.99,0.10437710437710437,0.05723905723905724,0.026936026936026935
config_2x2_d3_p01,2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,1,0.1,1.6653345369377348e-16,3227718042,300,0.0009751815641135005,0.07805003602852077,0.07380118490751089,0.20963790886817757,0.3604728207304859,0.24533413584123778,edgeworth_normal,Joint Edgeworth,287,0.9566666666666667,0.08013937282229965,0.04878048780487805,0.017421602787456445
config_2x2_d3_p01,2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,1,0.1,1.6653345369377348e-16,3227718042,300,0.0009751815641135005,0.07805003602852077,0.07380118490751089,0.20963790886817757,0.3604728207304859,0.24533413584123778,joint_influence_welch,Joint-Influence Welch,287,0.9566666666666667,0.059233449477351915,0.0313588850174216,0.003484320557491289
config_3x3_d0_p00,3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,0,0.1,0.0,1814125591,300,0.003409821435411266,0.05241048843224064,0.054906025183232406,-0.0017783407490644606,0.0009440643146232578,0.02047790933473035,normal_wald,Normal Wald,300,1.0,0.09333333333333334,0.03333333333333333,0.01
config_3x3_d0_p00,3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,0,0.1,0.0,1814125591,300,0.003409821435411266,0.05241048843224064,0.054906025183232406,-0.0017783407490644606,0.0009440643146232578,0.02047790933473035,simple_welch,Simple Welch,0,0.0,,,
config_3x3_d0_p00,3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,0,0.1,0.0,1814125591,300,0.003409821435411266,0.05241048843224064,0.054906025183232406,-0.0017783407490644606,0.0009440643146232578,0.02047790933473035,expanded_welch,Expanded Welch,300,1.0,0.09,0.02666666666666667,0.01
config_3x3_d0_p00,3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,0,0.1,0.0,1814125591,300,0.003409821435411266,0.05241048843224064,0.054906025183232406,-0.0017783407490644606,0.0009440643146232578,0.02047790933473035,edgeworth_normal,Joint Edgeworth,299,0.9966666666666667,0.09364548494983277,0.056856187290969896,0.010033444816053512
config_3x3_d0_p00,3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,0,0.1,0.0,1814125591,300,0.003409821435411266,0.05241048843224064,0.054906025183232406,-0.0017783407490644606,0.0009440643146232578,0.02047790933473035,joint_influence_welch,Joint-Influence Welch,300,1.0,0.09666666666666666,0.04666666666666667,0.013333333333333334
config_3x3_d0_p01,3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,1,0.1,6.705747068735946e-14,3974158138,300,0.0049945149681669835,0.053500103926300065,0.05424053924316593,0.015572263501876698,0.04343912472555507,0.03163115603560718,normal_wald,Normal Wald,300,1.0,0.09333333333333334,0.03,0.013333333333333334
config_3x3_d0_p01,3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,1,0.1,6.705747068735946e-14,3974158138,300,0.0049945149681669835,0.053500103926300065,0.05424053924316593,0.015572263501876698,0.04343912472555507,0.03163115603560718,simple_welch,Simple Welch,0,0.0,,,
config_3x3_d0_p01,3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,1,0.1,6.705747068735946e-14,3974158138,300,0.0049945149681669835,0.053500103926300065,0.05424053924316593,0.015572263501876698,0.04343912472555507,0.03163115603560718,expanded_welch,Expanded Welch,300,1.0,0.08,0.03,0.01
config_3x3_d0_p01,3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,1,0.1,6.705747068735946e-14,3974158138,300,0.0049945149681669835,0.053500103926300065,0.05424053924316593,0.015572263501876698,0.04343912472555507,0.03163115603560718,edgeworth_normal,Joint Edgeworth,297,0.99,0.09427609427609428,0.030303030303030304,0.013468013468013467
config_3x3_d0_p01,3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,1,0.1,6.705747068735946e-14,3974158138,300,0.0049945149681669835,0.053500103926300065,0.05424053924316593,0.015572263501876698,0.04343912472555507,0.03163115603560718,joint_influence_welch,Joint-Influence Welch,299,0.9966666666666667,0.09698996655518395,0.03678929765886288,0.020066889632107024
config_3x3_d1_p00,3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,0,0.1,-1.1102230246251565e-16,3229974002,300,0.00013854376732241611,0.07572132919862949,0.08084379774257833,0.015030293071484672,-0.020742149065909887,0.038216960753784154,normal_wald,Normal Wald,300,1.0,0.1,0.04,0.0033333333333333335
config_3x3_d1_p00,3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,0,0.1,-1.1102230246251565e-16,3229974002,300,0.00013854376732241611,0.07572132919862949,0.08084379774257833,0.015030293071484672,-0.020742149065909887,0.038216960753784154,simple_welch,Simple Welch,0,0.0,,,
config_3x3_d1_p00,3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,0,0.1,-1.1102230246251565e-16,3229974002,300,0.00013854376732241611,0.07572132919862949,0.08084379774257833,0.015030293071484672,-0.020742149065909887,0.038216960753784154,expanded_welch,Expanded Welch,300,1.0,0.08,0.02666666666666667,0.0
config_3x3_d1_p00,3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,0,0.1,-1.1102230246251565e-16,3229974002,300,0.00013854376732241611,0.07572132919862949,0.08084379774257833,0.015030293071484672,-0.020742149065909887,0.038216960753784154,edgeworth_normal,Joint Edgeworth,297,0.99,0.12121212121212122,0.05387205387205387,0.010101010101010102
config_3x3_d1_p00,3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,0,0.1,-1.1102230246251565e-16,3229974002,300,0.00013854376732241611,0.07572132919862949,0.08084379774257833,0.015030293071484672,-0.020742149065909887,0.038216960753784154,joint_influence_welch,Joint-Influence Welch,300,1.0,0.11,0.05333333333333334,0.01
config_3x3_d1_p01,3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,1,0.1,-9.769962616701378e-15,606157434,300,0.0010986410894729159,0.07890554307614389,0.0810971214577408,-0.01321154956421514,-0.03447613950848926,0.0349355578660196,normal_wald,Normal Wald,300,1.0,0.09,0.043333333333333335,0.006666666666666667
config_3x3_d1_p01,3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,1,0.1,-9.769962616701378e-15,606157434,300,0.0010986410894729159,0.07890554307614389,0.0810971214577408,-0.01321154956421514,-0.03447613950848926,0.0349355578660196,simple_welch,Simple Welch,0,0.0,,,
config_3x3_d1_p01,3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,1,0.1,-9.769962616701378e-15,606157434,300,0.0010986410894729159,0.07890554307614389,0.0810971214577408,-0.01321154956421514,-0.03447613950848926,0.0349355578660196,expanded_welch,Expanded Welch,300,1.0,0.07666666666666666,0.03666666666666667,0.0033333333333333335
config_3x3_d1_p01,3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,1,0.1,-9.769962616701378e-15,606157434,300,0.0010986410894729159,0.07890554307614389,0.0810971214577408,-0.01321154956421514,-0.03447613950848926,0.0349355578660196,edgeworth_normal,Joint Edgeworth,298,0.9933333333333333,0.09731543624161074,0.050335570469798654,0.010067114093959731
config_3x3_d1_p01,3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,1,0.1,-9.769962616701378e-15,606157434,300,0.0010986410894729159,0.07890554307614389,0.0810971214577408,-0.01321154956421514,-0.03447613950848926,0.0349355578660196,joint_influence_welch,Joint-Influence Welch,300,1.0,0.09666666666666666,0.05,0.01
