scenario_id,regime,rows,columns,n,margin_a,margin_b,target_mi_a,target_mi_b,pairing,pattern_a,pattern_b,true_mi_a,true_mi_b,true_delta,population_variance_a,population_variance_b,population_covariance,population_score_correlation,coupling_margin_error_a,coupling_margin_error_b,min_expected_joint_a,min_expected_joint_b,expected_joint_below_1_a,expected_joint_below_1_b,expected_joint_below_5_a,expected_joint_below_5_b,condition_distribution_l1,replicates,scenario_seed,simulation_and_test_seconds,mean_test_microseconds
sparse_3x3_n50_pair08,sparse_3x3,3,3,50,strong,strong,0.05,0.05,0.8,ordinal,ordinal,0.049999999999999656,0.049999999999999656,0.0,0.14146729492982754,0.14146729492982754,0.11317383594386202,0.7999999999999999,2.220446049250313e-16,2.220446049250313e-16,0.2288925284533338,0.2288925284533338,0.3333333333333333,0.3333333333333333,0.8888888888888888,0.8888888888888888,0.0,5000,4151270842,0.007148124976083636,1.4296249952167273
sparse_3x3_n100_pair00,sparse_3x3,3,3,100,strong,strong,0.05,0.05,0.0,ordinal,ordinal,0.049999999999999656,0.049999999999999656,0.0,0.14146729492982754,0.14146729492982754,-4.336808689942018e-19,-3.0655910202377295e-18,1.1102230246251565e-16,1.1102230246251565e-16,0.4577850569066676,0.4577850569066676,0.3333333333333333,0.3333333333333333,0.8888888888888888,0.8888888888888888,0.0,5000,3874260438,0.0065731670474633574,1.3146334094926715
sparse_3x3_n100_pair04,sparse_3x3,3,3,100,strong,strong,0.05,0.05,0.4,ordinal,ordinal,0.049999999999999656,0.049999999999999656,0.0,0.14146729492982754,0.14146729492982754,0.05658691797193101,0.39999999999999997,6.938893903907228e-18,6.938893903907228e-18,0.4577850569066676,0.4577850569066676,0.3333333333333333,0.3333333333333333,0.8888888888888888,0.8888888888888888,0.0,5000,1261045927,0.007231833063997328,1.4463666127994657
sparse_3x3_n100_pair08,sparse_3x3,3,3,100,strong,strong,0.05,0.05,0.8,ordinal,ordinal,0.049999999999999656,0.049999999999999656,0.0,0.14146729492982754,0.14146729492982754,0.11317383594386202,0.7999999999999999,2.220446049250313e-16,2.220446049250313e-16,0.4577850569066676,0.4577850569066676,0.3333333333333333,0.3333333333333333,0.8888888888888888,0.8888888888888888,0.0,5000,960800307,0.006964333006180823,1.3928666012361646
sparse_3x3_n200_pair00,sparse_3x3,3,3,200,strong,strong,0.05,0.05,0.0,ordinal,ordinal,0.049999999999999656,0.049999999999999656,0.0,0.14146729492982754,0.14146729492982754,-4.336808689942018e-19,-3.0655910202377295e-18,1.1102230246251565e-16,1.1102230246251565e-16,0.9155701138133352,0.9155701138133352,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.6666666666666666,0.0,5000,3846979264,0.006251332932151854,1.2502665864303708
sparse_3x3_n200_pair04,sparse_3x3,3,3,200,strong,strong,0.05,0.05,0.4,ordinal,ordinal,0.049999999999999656,0.049999999999999656,0.0,0.14146729492982754,0.14146729492982754,0.05658691797193101,0.39999999999999997,6.938893903907228e-18,6.938893903907228e-18,0.9155701138133352,0.9155701138133352,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.6666666666666666,0.0,5000,1792811049,0.0064567080698907375,1.2913416139781475
sparse_3x3_n200_pair08,sparse_3x3,3,3,200,strong,strong,0.05,0.05,0.8,ordinal,ordinal,0.049999999999999656,0.049999999999999656,0.0,0.14146729492982754,0.14146729492982754,0.11317383594386202,0.7999999999999999,2.220446049250313e-16,2.220446049250313e-16,0.9155701138133352,0.9155701138133352,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.6666666666666666,0.0,5000,2613866778,0.006306292023509741,1.2612584047019482
sparse_3x3_n500_pair00,sparse_3x3,3,3,500,strong,strong,0.05,0.05,0.0,ordinal,ordinal,0.049999999999999656,0.049999999999999656,0.0,0.14146729492982754,0.14146729492982754,-4.336808689942018e-19,-3.0655910202377295e-18,1.1102230246251565e-16,1.1102230246251565e-16,2.288925284533338,2.288925284533338,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,5000,3505286841,0.006140250014141202,1.2280500028282404
sparse_3x3_n500_pair04,sparse_3x3,3,3,500,strong,strong,0.05,0.05,0.4,ordinal,ordinal,0.049999999999999656,0.049999999999999656,0.0,0.14146729492982754,0.14146729492982754,0.05658691797193101,0.39999999999999997,6.938893903907228e-18,6.938893903907228e-18,2.288925284533338,2.288925284533338,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,5000,215519587,0.006030041025951505,1.206008205190301
sparse_3x3_n500_pair08,sparse_3x3,3,3,500,strong,strong,0.05,0.05,0.8,ordinal,ordinal,0.049999999999999656,0.049999999999999656,0.0,0.14146729492982754,0.14146729492982754,0.11317383594386202,0.7999999999999999,2.220446049250313e-16,2.220446049250313e-16,2.288925284533338,2.288925284533338,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,5000,3273177748,0.006089249975048006,1.2178499950096011
sparse_3x3_n1000_pair00,sparse_3x3,3,3,1000,strong,strong,0.05,0.05,0.0,ordinal,ordinal,0.049999999999999656,0.049999999999999656,0.0,0.14146729492982754,0.14146729492982754,-4.336808689942018e-19,-3.0655910202377295e-18,1.1102230246251565e-16,1.1102230246251565e-16,4.577850569066676,4.577850569066676,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,5000,3189944105,0.005861500045284629,1.1723000090569258
sparse_3x3_n1000_pair04,sparse_3x3,3,3,1000,strong,strong,0.05,0.05,0.4,ordinal,ordinal,0.049999999999999656,0.049999999999999656,0.0,0.14146729492982754,0.14146729492982754,0.05658691797193101,0.39999999999999997,6.938893903907228e-18,6.938893903907228e-18,4.577850569066676,4.577850569066676,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,5000,3557477972,0.006065624998882413,1.2131249997764826
sparse_3x3_n1000_pair08,sparse_3x3,3,3,1000,strong,strong,0.05,0.05,0.8,ordinal,ordinal,0.049999999999999656,0.049999999999999656,0.0,0.14146729492982754,0.14146729492982754,0.11317383594386202,0.7999999999999999,2.220446049250313e-16,2.220446049250313e-16,4.577850569066676,4.577850569066676,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,5000,782943056,0.005883708014152944,1.1767416028305888
