source,scenario_key,scenario_id,design_index,rows,columns,n_p,n_q,replicates,simulation_seed,true_variance_p,mean_estimated_variance_p,estimated_to_true_variance_ratio_p,true_variance_q,mean_estimated_variance_q,estimated_to_true_variance_ratio_q,estimated_to_true_se2_ratio,empirical_delta_variance_to_true_se2,mean_corrected_delta_in_se_units,correlation_delta_estimated_se2,empirical_component_df_p,population_variance_if_df_p,median_plugin_variance_if_df_p,empirical_component_df_q,population_variance_if_df_q,median_plugin_variance_if_df_q,empirical_total_df,population_variance_if_total_df,median_naive_total_df,median_local_kurtosis_total_df,median_plugin_variance_if_total_df,studentized_abs_q95,studentized_abs_q99,normal_fpr_10,normal_error_10,naive_welch_fpr_10,naive_welch_error_10,local_kurtosis_fpr_10,local_kurtosis_error_10,variance_if_fpr_10,variance_if_error_10,oracle_variance_normal_fpr_10,oracle_variance_normal_error_10,normal_fpr_05,normal_error_05,naive_welch_fpr_05,naive_welch_error_05,local_kurtosis_fpr_05,local_kurtosis_error_05,variance_if_fpr_05,variance_if_error_05,oracle_variance_normal_fpr_05,oracle_variance_normal_error_05,normal_fpr_01,normal_error_01,naive_welch_fpr_01,naive_welch_error_01,local_kurtosis_fpr_01,local_kurtosis_error_01,variance_if_fpr_01,variance_if_error_01,oracle_variance_normal_fpr_01,oracle_variance_normal_error_01,normal_valid_rate,naive_welch_valid_rate,local_kurtosis_valid_rate,variance_if_valid_rate,oracle_variance_normal_valid_rate
fresh_holdout,fresh:2026080301:random_4x6_d4,random_4x6_d4,4,4,6,480,960,10000,2068916511,0.12746033648728586,0.14947814716363114,1.1727424490091594,0.12583744564112342,0.13129579416868623,1.0433761866331068,1.1299879568167746,1.107313855193997,0.017695042406530838,0.5732722586590623,59.13705422092213,42.689667876897836,53.25602889555782,101.2980844390237,92.75159650072224,97.54500615203146,110.0901320612277,85.63404401327135,906.5715091495001,632.7770750880683,100.55369545600956,1.940451684022521,2.515245575261717,0.0937,0.0063,0.0934,0.006600000000000009,0.0933,0.0067000000000000115,0.0914,0.00860000000000001,0.1156,0.015599999999999989,0.0479,0.0021000000000000046,0.0477,0.0023000000000000034,0.0474,0.002600000000000005,0.0454,0.0046,0.0602,0.010199999999999994,0.0082,0.0017999999999999995,0.0082,0.0017999999999999995,0.0082,0.0017999999999999995,0.0075,0.0025000000000000005,0.0131,0.0031000000000000003,1.0,1.0,1.0,1.0,1.0
fresh_holdout,fresh:2026080301:random_4x6_d5,random_4x6_d5,5,4,6,240,960,10000,2973142471,0.2408284818822636,0.26122431792208145,1.0846902985909657,0.22659277085683538,0.2336974840109145,1.0313545446627155,1.0745336230425933,1.1100501290133988,0.0717873621501278,0.7062554289304633,85.02631444500193,62.89929441104711,71.81542080280829,248.25134273630667,228.28616546663486,233.6901617318992,124.62873679455292,94.5290137555789,353.85440658252,179.04300026194534,106.11159434154456,2.006944212298286,2.662804809188839,0.1067,0.006699999999999998,0.1055,0.005499999999999991,0.1051,0.005099999999999993,0.1038,0.003799999999999998,0.1161,0.01609999999999999,0.0564,0.006399999999999996,0.0555,0.005499999999999998,0.0543,0.004299999999999998,0.0536,0.003599999999999999,0.0636,0.013600000000000001,0.0136,0.003599999999999999,0.013,0.002999999999999999,0.0125,0.0025000000000000005,0.011,0.0009999999999999992,0.015,0.004999999999999999,1.0,1.0,1.0,1.0,1.0
fresh_holdout,fresh:2026080301:random_5x5_d0,random_5x5_d0,0,5,5,2500,2500,10000,2733343055,0.06110677593902479,0.06697922136746656,1.0961013789092977,0.06158374874117957,0.06735655897598058,1.0937391820537368,1.094915688832503,1.0568385206975741,0.0058038178202112125,-0.02734672245968975,89.04191048143664,74.09437871314631,83.06858415645817,84.4430030262876,73.33267944535024,82.37167650451644,174.32592158406862,147.4149729000497,4971.141552829109,6770.859399104206,165.85476896244091,1.9030143836713334,2.5228628650516645,0.0907,0.009300000000000003,0.0905,0.009500000000000008,0.0905,0.009500000000000008,0.0886,0.011400000000000007,0.1058,0.0058,0.0444,0.005600000000000001,0.0444,0.005600000000000001,0.0444,0.005600000000000001,0.0433,0.0067000000000000046,0.0552,0.005199999999999996,0.0087,0.0013000000000000008,0.0087,0.0013000000000000008,0.0087,0.0013000000000000008,0.0084,0.0016000000000000007,0.0127,0.0026999999999999993,1.0,1.0,1.0,1.0,1.0
fresh_holdout,fresh:2026080301:random_5x5_d1,random_5x5_d1,1,5,5,1250,2500,10000,2882832399,0.12165256029892811,0.13114398841605995,1.0780207838931564,0.1229650320261296,0.1278821710303448,1.0399881081897357,1.0652523692341775,1.046607243667733,-0.007989870432764275,0.5497031391472563,133.93348481789093,115.32486451064906,126.70037363105675,256.3626442762031,240.8576347310273,252.5587396741113,264.75063732408586,232.87072512772383,2472.144616152622,1395.1677842179497,250.7506687765244,1.9394943495578993,2.5692450415285606,0.0962,0.0038000000000000117,0.0962,0.0038000000000000117,0.0962,0.0038000000000000117,0.0951,0.004900000000000002,0.1058,0.0058,0.047,0.0030000000000000027,0.047,0.0030000000000000027,0.0468,0.0032000000000000015,0.0458,0.004200000000000002,0.0549,0.004899999999999995,0.0097,0.0002999999999999999,0.0097,0.0002999999999999999,0.0095,0.0005000000000000004,0.009,0.0010000000000000009,0.0122,0.0022000000000000006,1.0,1.0,1.0,1.0,1.0
fresh_holdout,fresh:2026080301:random_5x5_d2,random_5x5_d2,2,5,5,625,2500,10000,1675576288,0.25936013305874783,0.2679921573919895,1.0332820014835757,0.250125885207804,0.2527019748341658,1.0102991724515902,1.0288172994081506,1.0446188260323843,0.004763990511382386,0.7419884264019954,154.97422640026855,136.54253060880737,149.6766352434047,484.6441257729543,481.4039085085494,489.69730251110565,232.6809557237171,206.90874889152693,940.5105925036746,551.6933837511856,224.4372776172723,1.9763938077143994,2.5896380975548947,0.1039,0.0039000000000000007,0.1034,0.0034000000000000002,0.103,0.002999999999999989,0.1021,0.0020999999999999908,0.1036,0.003599999999999992,0.0515,0.0014999999999999944,0.0513,0.0012999999999999956,0.0512,0.0011999999999999997,0.0509,0.000899999999999998,0.0533,0.0032999999999999974,0.0106,0.0005999999999999998,0.0106,0.0005999999999999998,0.0104,0.0003999999999999993,0.0098,0.00020000000000000052,0.0103,0.0002999999999999999,1.0,1.0,1.0,1.0,1.0
fresh_holdout,fresh:2026080301:random_5x5_d3,random_5x5_d3,3,5,5,5000,5000,10000,846951201,0.05811703502047609,0.06051366149808494,1.041237934398485,0.03814121023246057,0.03608764105836485,0.9461587830700766,1.0035639264211773,0.9998877390422328,0.10262513235753848,0.4607020686831761,170.44260229697414,156.98017586904868,165.16832542195556,205.94926280153823,219.29211828932674,221.78183142556975,334.48476270392996,329.15413129233184,9401.664853975293,1268.430591884527,332.1998107696227,1.9512738454118272,2.5333072979184936,0.0989,0.0011000000000000038,0.0989,0.0011000000000000038,0.0989,0.0011000000000000038,0.0981,0.001899999999999999,0.1022,0.0021999999999999936,0.0493,0.0007000000000000062,0.0492,0.0008000000000000021,0.049,0.0010000000000000009,0.0486,0.0014000000000000054,0.0506,0.0005999999999999964,0.0094,0.0005999999999999998,0.0093,0.000700000000000001,0.0092,0.0008000000000000004,0.0086,0.0014000000000000002,0.0094,0.0005999999999999998,1.0,1.0,1.0,1.0,1.0
fresh_holdout,fresh:2026080301:random_5x5_d4,random_5x5_d4,4,5,5,500,1000,10000,981531311,0.1316895370477276,0.1537327414956949,1.1673876675561423,0.1318479266821529,0.14082821063561085,1.0681109227838435,1.1342688954575066,1.0910177718638172,0.053594525472613154,0.5357450361116118,58.92685598558977,40.66788478882949,51.44973720863045,91.99896016149046,81.37038678111745,90.37053413675045,111.10581734153068,81.38309163733082,960.1102680081656,689.5743780731711,98.39147068469502,1.9239210993669342,2.5341722083180254,0.0967,0.0033000000000000113,0.0966,0.0034000000000000002,0.0964,0.003600000000000006,0.0942,0.0058,0.1182,0.018199999999999994,0.0458,0.004200000000000002,0.0453,0.004700000000000003,0.0452,0.004800000000000006,0.0434,0.006600000000000002,0.0602,0.010199999999999994,0.0085,0.0014999999999999996,0.0084,0.0016000000000000007,0.0084,0.0016000000000000007,0.0071,0.0029,0.0155,0.0055,1.0,1.0,1.0,1.0,1.0
fresh_holdout,fresh:2026080301:random_5x5_d5,random_5x5_d5,5,5,5,250,1000,10000,2542619126,0.24350003244241702,0.2598218217441497,1.0670299266000816,0.2511545766702391,0.25811428450388957,1.0277108541119218,1.0589695853599732,1.1183878758310175,0.07484619465784378,0.6938630341333286,98.17911528727625,74.39462923698153,80.58200226921633,219.658719840498,207.79597106110657,216.86518097844328,149.05830261962132,114.97096146516057,382.09162274074833,213.4911735997552,122.67513228753107,2.0145297327870892,2.7029506347093912,0.1115,0.011499999999999996,0.1104,0.010399999999999993,0.1093,0.009299999999999989,0.1077,0.0076999999999999985,0.12,0.01999999999999999,0.0562,0.006199999999999997,0.0558,0.0058,0.0551,0.0051,0.0532,0.0031999999999999945,0.0641,0.014100000000000001,0.0132,0.0031999999999999997,0.013,0.002999999999999999,0.0126,0.0026,0.0119,0.0019000000000000006,0.0153,0.005299999999999999,1.0,1.0,1.0,1.0,1.0
fresh_holdout,fresh:2026080301:random_5x10_d0,random_5x10_d0,0,5,10,5000,5000,10000,2523189132,0.05955929543258229,0.06622879222296421,1.1119807872464074,0.06000741176911815,0.06673131408166422,1.112051196915752,1.1120161240230049,1.0643479010023773,-0.011240197178858633,-0.017921685428925943,183.88669689208186,154.833802615808,175.5246471051355,175.22630262576834,148.70219471795969,169.473089619233,356.3187920718116,303.3619399403077,9973.063477012445,9334.737971537385,345.73703491506114,1.9139141999462372,2.4800656574298405,0.0933,0.0067000000000000115,0.0932,0.0068000000000000005,0.0932,0.0068000000000000005,0.0922,0.007800000000000001,0.1113,0.01129999999999999,0.0452,0.004800000000000006,0.0451,0.004900000000000002,0.0451,0.004900000000000002,0.0445,0.005500000000000005,0.0592,0.0092,0.0077,0.0023,0.0077,0.0023,0.0077,0.0023,0.0074,0.0026,0.0124,0.0023999999999999994,1.0,1.0,1.0,1.0,1.0
fresh_holdout,fresh:2026080301:random_5x10_d1,random_5x10_d1,1,5,10,2500,5000,10000,3854392533,0.12930773846177473,0.14074891867316103,1.0884802436999428,0.13535964800648356,0.141144578899722,1.0427374847558806,1.0727642165761155,1.0636574829559529,0.018892822796986255,0.5258254143805711,240.88056573678443,205.00390329479626,229.49965920262275,390.8356054214619,365.9509502799534,390.26115055059574,472.4247778065833,412.4643144032995,5006.085882255937,3679.731424791326,451.6489687352167,1.940306741231749,2.585368299885151,0.0955,0.004500000000000004,0.0955,0.004500000000000004,0.0955,0.004500000000000004,0.0948,0.00520000000000001,0.1087,0.0087,0.0489,0.0011000000000000038,0.0488,0.0011999999999999997,0.0487,0.0013000000000000025,0.0482,0.001800000000000003,0.0557,0.005699999999999997,0.0104,0.0003999999999999993,0.0104,0.0003999999999999993,0.0104,0.0003999999999999993,0.01,0.0,0.014,0.004,1.0,1.0,1.0,1.0,1.0
fresh_holdout,fresh:2026080301:random_5x10_d2,random_5x10_d2,2,5,10,1250,5000,10000,3727307775,0.2592411593523494,0.27091199645973446,1.0450192289547762,0.26224891953083473,0.26460070145328884,1.0089677468515845,1.0377421633957364,1.0573719248307194,0.028717009185131637,0.701287625384014,250.49036099780724,223.39443598344988,238.72293788315068,1017.1881046757095,983.7081152933895,992.3621037832527,381.9482905547495,345.65507999483134,1906.2159904563214,1098.9257512359372,364.66927437910067,1.9792930467888519,2.5942590329530524,0.1042,0.004199999999999995,0.1042,0.004199999999999995,0.104,0.00399999999999999,0.1033,0.0032999999999999974,0.1104,0.010399999999999993,0.0522,0.0022000000000000006,0.0521,0.0020999999999999977,0.0521,0.0020999999999999977,0.0517,0.0017000000000000001,0.0546,0.0046,0.0108,0.0008000000000000004,0.0107,0.0006999999999999992,0.0106,0.0005999999999999998,0.0103,0.0002999999999999999,0.0122,0.0022000000000000006,1.0,1.0,1.0,1.0,1.0
fresh_holdout,fresh:2026080301:random_5x10_d3,random_5x10_d3,3,5,10,10000,10000,10000,4066497360,0.05645052660608574,0.05885486427881996,1.042591944084274,0.0635172200165559,0.06538737101343851,1.0294432123508421,1.0356303155635842,1.0282704303848136,0.031180016647856457,-0.1391758027426753,381.1899961955331,356.10568002191434,364.85176956879013,284.79364248907484,265.3125878191628,276.30659901605645,644.8819844130796,595.8295532016012,19936.063307556447,6299.248484654259,618.7634737282713,1.9539004886630078,2.616213550359598,0.0985,0.0015000000000000013,0.0985,0.0015000000000000013,0.0985,0.0015000000000000013,0.0978,0.0022000000000000075,0.1038,0.003799999999999998,0.0492,0.0008000000000000021,0.0492,0.0008000000000000021,0.0492,0.0008000000000000021,0.049,0.0010000000000000009,0.054,0.003999999999999997,0.0112,0.0011999999999999997,0.0112,0.0011999999999999997,0.0112,0.0011999999999999997,0.0111,0.0011000000000000003,0.0122,0.0022000000000000006,1.0,1.0,1.0,1.0,1.0
fresh_holdout,fresh:2026080301:random_5x10_d4,random_5x10_d4,4,5,10,1000,2000,10000,1233189390,0.12811500047522265,0.1557782823781392,1.2159253935940673,0.1307373369627906,0.14419932195268267,1.1029697047731934,1.1777631909883532,1.1326300007730434,0.023248250966828123,0.5601207660149617,122.54562282212912,84.84892505111334,110.4369311157005,197.01373762021362,161.78549279198043,180.58557241061155,232.3206559431617,170.2754131496804,1932.6293741537252,1286.3445435389242,209.39261611093653,1.9068661844628563,2.5468147724876196,0.0917,0.008300000000000002,0.0917,0.008300000000000002,0.0917,0.008300000000000002,0.0903,0.0097,0.1186,0.01859999999999999,0.0437,0.0063,0.0436,0.006400000000000003,0.0436,0.006400000000000003,0.0428,0.007200000000000005,0.0642,0.01419999999999999,0.0093,0.000700000000000001,0.0091,0.0008999999999999998,0.0091,0.0008999999999999998,0.0086,0.0014000000000000002,0.0161,0.0060999999999999995,1.0,1.0,1.0,1.0,1.0
fresh_holdout,fresh:2026080301:random_5x10_d5,random_5x10_d5,5,5,10,500,2000,10000,3477244277,0.279457836055504,0.2880376029001059,1.0307014716985707,0.25795844578366156,0.2680408365430116,1.0390853291456317,1.0322734319300146,1.046898416476105,-0.010895625583858901,0.7254711116841509,112.35994166132453,82.59867527950644,100.57594268702142,431.49226111874077,383.78901518563845,412.23247858455136,168.3944352970442,123.70164699649327,749.5704213837685,543.1038876267733,151.29081608212758,1.983499348974695,2.6221282898273675,0.1057,0.005699999999999997,0.1056,0.005599999999999994,0.1054,0.005399999999999988,0.1038,0.003799999999999998,0.1085,0.008499999999999994,0.0532,0.0031999999999999945,0.0531,0.0030999999999999986,0.0531,0.0030999999999999986,0.0513,0.0012999999999999956,0.0545,0.004499999999999997,0.0112,0.0011999999999999997,0.011,0.0009999999999999992,0.0109,0.0008999999999999998,0.0104,0.0003999999999999993,0.0119,0.0019000000000000006,1.0,1.0,1.0,1.0,1.0
fresh_holdout,fresh:2026080301:random_8x8_d0,random_8x8_d0,0,8,8,6400,6400,10000,1387784751,0.06101838906187487,0.06814349837848314,1.1167698693156771,0.05899998832673709,0.06594655341356584,1.117738414596953,1.1172459977347784,1.0847977082741442,0.021151137784471693,0.04422625055704491,225.17390261061192,187.20514504945066,214.90277667649343,240.52735847972636,200.1028808680411,227.76680298212062,471.3700526309339,386.3365272998013,12771.646983934213,14892.89536064873,442.10050536325673,1.9110323548451806,2.52661072303662,0.0957,0.004300000000000012,0.0957,0.004300000000000012,0.0957,0.004300000000000012,0.0952,0.004799999999999999,0.1149,0.014899999999999997,0.0438,0.006200000000000004,0.0438,0.006200000000000004,0.0438,0.006200000000000004,0.0432,0.0068000000000000005,0.0591,0.009099999999999997,0.0088,0.0011999999999999997,0.0088,0.0011999999999999997,0.0088,0.0011999999999999997,0.0086,0.0014000000000000002,0.0133,0.003299999999999999,1.0,1.0,1.0,1.0,1.0
fresh_holdout,fresh:2026080301:random_8x8_d1,random_8x8_d1,1,8,8,3200,6400,10000,657556133,0.1343744524107168,0.14681733848323325,1.0925985992819873,0.1441161326427256,0.15038130635129315,1.043473090719825,1.0754506752253263,1.0329444129305352,-0.00030499246468521275,0.5045855839583979,289.32779023021055,242.9814753166249,274.9670027224362,451.5674903944772,423.13696041738126,453.00596201083493,562.9852527930271,492.1776286968836,6471.416732755895,6175.288028171957,543.4151798814798,1.9165712274377005,2.4821199289511267,0.094,0.006000000000000005,0.094,0.006000000000000005,0.094,0.006000000000000005,0.0934,0.006600000000000009,0.104,0.00399999999999999,0.0451,0.004900000000000002,0.0451,0.004900000000000002,0.0451,0.004900000000000002,0.045,0.0050000000000000044,0.0533,0.0032999999999999974,0.0073,0.0027,0.0073,0.0027,0.0073,0.0027,0.0071,0.0029,0.0095,0.0005000000000000004,1.0,1.0,1.0,1.0,1.0
