anchor_configuration_id,configuration_label,configuration_id,sample_scale,n_p,n_q,development_replicates,validation_replicates,normal_wald_rejection_rate,normal_wald_valid_rate,normal_wald_wilson_low,normal_wald_wilson_high,normal_wald_absolute_error,simple_welch_rejection_rate,simple_welch_valid_rate,simple_welch_wilson_low,simple_welch_wilson_high,simple_welch_absolute_error,expanded_welch_rejection_rate,expanded_welch_valid_rate,expanded_welch_wilson_low,expanded_welch_wilson_high,expanded_welch_absolute_error,plugin_joint_cf_rejection_rate,plugin_joint_cf_valid_rate,plugin_joint_cf_wilson_low,plugin_joint_cf_wilson_high,plugin_joint_cf_absolute_error,population_joint_cf_rejection_rate,population_joint_cf_valid_rate,population_joint_cf_wilson_low,population_joint_cf_wilson_high,population_joint_cf_absolute_error,split_location_scale_rejection_rate,split_location_scale_valid_rate,split_location_scale_wilson_low,split_location_scale_wilson_high,split_location_scale_absolute_error,split_cf_skew_rejection_rate,split_cf_skew_valid_rate,split_cf_skew_wilson_low,split_cf_skew_wilson_high,split_cf_skew_absolute_error,split_cf_four_moment_rejection_rate,split_cf_four_moment_valid_rate,split_cf_four_moment_wilson_low,split_cf_four_moment_wilson_high,split_cf_four_moment_absolute_error,split_empirical_rejection_rate,split_empirical_valid_rate,split_empirical_wilson_low,split_empirical_wilson_high,split_empirical_absolute_error,development_mean,development_sd,development_skewness,development_excess_kurtosis,plugin_joint_mean_shift_median,plugin_joint_skewness_median,population_joint_mean_shift,population_joint_skewness,population_joint_lower_critical,population_joint_upper_critical,split_location_scale_lower_critical,split_location_scale_upper_critical,split_cf_skew_lower_critical,split_cf_skew_upper_critical,split_cf_four_moment_lower_critical,split_cf_four_moment_upper_critical,split_empirical_lower_critical,split_empirical_upper_critical
C1_N3_n50,One skewed population,CURVE_CURVE_C1_N3_n50_di0_scale1,1.0,50,50,20000,20000,0.029251462573128658,0.99995,0.027004889834144126,0.031678845735987234,0.020748537426871345,0.026851342567128355,0.99995,0.024700228228335227,0.029184189195040195,0.023148657432871648,0.017348888665392737,0.9943,0.015625167685357266,0.01925904495440669,0.03265111133460727,0.3368668433421671,0.99995,0.3303482414661904,0.3434481032464925,0.2868668433421671,0.03080154007700385,0.99995,0.028495563101080736,0.03328773210549715,0.019198459922996153,0.0416020801040052,0.99995,0.03892156347264133,0.044458663394338245,0.008397919895994803,0.04185209260463023,0.99995,0.039163593219096134,0.04471656262150384,0.008147907395369774,0.04205210260513026,0.99995,0.039357236411147196,0.04492286260834912,0.007947897394869743,0.04735236761838092,0.99995,0.044494681300756865,0.05038391195949212,0.0026476323816190805,-0.04030259181507959,0.9197451079563286,-0.14842754680838902,-0.011218546509804028,-0.018269041034575703,-0.1976647415435654,0.018910537460745044,0.05985461749117102,-1.912707708607716,2.0072202604723923,-1.842969878366388,1.7623646947362284,-1.907620411738054,1.697714161364562,-1.9039516548537223,1.6940454044802304,-1.9164733940501073,1.6109793555329386
C1_N3_n50,One skewed population,CURVE_CURVE_C1_N3_n50_di0_scale2,2.0,100,100,20000,20000,0.0301,1.0,0.02782075645949143,0.03255971902603569,0.019900000000000004,0.0285,1.0,0.02628289582661474,0.03089819417429192,0.021500000000000002,0.01955,1.0,0.01772147720958281,0.021563050236728123,0.03045,0.2046,1.0,0.1990661154082417,0.2102473394937049,0.15460000000000002,0.0305,1.0,0.028205504315115832,0.0329748175415664,0.019500000000000003,0.04075,1.0,0.03809695938001785,0.04357942573751425,0.009250000000000001,0.04135,1.0,0.03867762430045459,0.044198530373810184,0.008650000000000005,0.04375,1.0,0.041001829948874635,0.046673402952320836,0.0062500000000000056,0.05145,1.0,0.0484735676630238,0.054598707882907674,0.00145,-0.004113801411820488,0.9408960426823971,-0.07595247570758719,-0.2602797718647487,0.0003248969430024153,-0.03523613013941204,0.01337176927437506,0.04232360591333397,-1.9265487513746753,1.9933792177054332,-1.8482361582655809,1.8400085554419394,-1.8820795353200412,1.8061651783874788,-1.864457961510166,1.7885436045776035,-1.793753121827231,1.7375180894071935
C1_N6_n100,"Sparse, smaller sample",CURVE_CURVE_C1_N6_n100_di0_scale0p5,0.5,50,50,20000,20000,0.004604835076830672,0.99895,0.003756555764008845,0.0056435818094080934,0.045395164923169334,0.0031032584213424095,0.99895,0.0024217112887268476,0.003975850293500649,0.04689674157865759,0.00032865907099035934,0.9128,0.00015063582898289273,0.0007169214746453745,0.04967134092900964,0.7074428149557035,0.99895,0.7010951178785065,0.7137107553043147,0.6574428149557034,0.6422743881075129,0.99895,0.6356010661990892,0.6488930089661105,0.5922743881075129,0.048400820861905,0.99895,0.045510780725433596,0.051464489924342056,0.001599179138095,0.046849191651233794,0.99895,0.044005119541924126,0.049867489250289096,0.0031508083487662084,0.05085339606586916,0.99895,0.04789240196266769,0.053987076139384034,0.0008533960658691567,0.0503028179588568,0.99895,0.04735757646046326,0.05342095711148567,0.0003028179588567964,0.0006799812921535979,0.7891947615553386,-0.20420490932853796,-0.34826116875250834,-0.45349289634777995,-2.4420503471423105,-0.6618611773838288,-3.243865894995854,-4.158043722004686,-0.23811575292457676,-1.546113328143986,1.547473290728293,-1.622433701950173,1.4711529169221065,-1.5987399279775594,1.4474591429494927,-1.5877494389476952,1.4767924421660181
C1_N6_n100,"Sparse, smaller sample",CURVE_CURVE_C1_N6_n100_di0_scale1,1.0,100,100,20000,20000,0.066,1.0,0.0626417136847662,0.0695249736119326,0.016,0.06335,1.0,0.06005719265842312,0.06681051242937307,0.01335,0.00553375591105745,0.9939,0.0045937204882934716,0.006664867368586634,0.04446624408894255,0.6783,1.0,0.6717923382121828,0.6847391817302103,0.6283,0.28015,1.0,0.2739689626301908,0.28641547562367836,0.23015000000000002,0.0448,1.0,0.042019413310485185,0.04775541631499247,0.005200000000000003,0.034,1.0,0.031576474581649853,0.03660250302263967,0.016,0.0403,1.0,0.037661566228829185,0.04311499172115342,0.0097,0.0497,1.0,0.04677361416941829,0.052799333502709545,0.00030000000000000165,-0.23650869528733662,0.9781132217444353,-0.37489110582985097,-0.41716694994989023,-0.5078490447141103,-2.7853963159210755,-0.4680065267322177,-2.2937595716113375,-3.5142410724900417,0.4056868965900675,-2.15357538270887,1.6805579921341962,-2.327229219284814,1.5069041555582525,-2.279110343575885,1.4587852798493237,-2.2414046395809533,1.3789675343686474
C1_N6_n100,"Sparse, smaller sample",CURVE_CURVE_C1_N6_n100_di0_scale2,2.0,200,200,20000,20000,0.13715,1.0,0.13245204159102233,0.14198731897489272,0.08714999999999999,0.13615,1.0,0.1314668887408811,0.14097285589714617,0.08614999999999999,0.03910195509775489,0.99995,0.036502799577152856,0.04187813755362263,0.010898044902245115,0.4711,1.0,0.4641882776634468,0.47802282202059615,0.42110000000000003,0.13335,1.0,0.12870892004600398,0.1381318999939375,0.08335,0.05815,1.0,0.05499066535741531,0.06147903690536435,0.008149999999999998,0.0296,1.0,0.027339977800916803,0.032040689720666427,0.0204,0.0425,1.0,0.039791003617531684,0.04538470937380405,0.0075,0.0468,1.0,0.043958847562615394,0.04981521391863784,0.0032000000000000015,-0.37595461289533166,1.1750372006463465,-0.718512090846625,-0.1768497063882437,-0.4112135910145815,-2.255742281395964,-0.3309305886919144,-1.621932947497927,-3.0590038532723702,0.8609241158077388,-2.6789852066569364,1.9270759808662727,-3.0788156081058227,1.527245579417387,-2.975927737268479,1.4243577085800436,-3.0057830370732375,1.336787905265626
C1_N6_n200,"Sparse, larger sample",CURVE_CURVE_C1_N6_n200_di0_scale0p5,0.5,100,100,20000,20000,0.0670634126825365,0.9998,0.06367897176809159,0.07061416572256263,0.0170634126825365,0.06436287257451491,0.9998,0.06104452118349734,0.06784857350069914,0.014362872574514907,0.007091128545564273,0.9942,0.006016274097915921,0.008356399749698505,0.042908871454435726,0.6745849169833967,0.9998,0.6680578999267126,0.6810448674315093,0.6245849169833967,0.27930586117223444,0.9998,0.2731301118812184,0.28556638987992944,0.22930586117223445,0.04940988197639528,0.9998,0.04649160794683715,0.05250124971641739,0.0005901180236047229,0.03860772154430886,0.9998,0.03602480556542572,0.04136788087199785,0.011392278455691143,0.04525905181036207,0.9998,0.04246415804200342,0.04822863382614014,0.004740948189637932,0.052660532106421284,0.9998,0.04964976630570185,0.05584314288384441,0.0026605321064212817,-0.24014411348045997,0.9667866036558852,-0.3513146211296417,-0.405983196022925,-0.501037567728489,-2.7452416470809613,-0.4680065267322177,-2.2937595716113375,-3.5142410724900417,0.4056868965900675,-2.135011037381795,1.6547228104208747,-2.295859518721118,1.4938743290815517,-2.2514586719937264,1.44947348235416,-2.220125169547328,1.3723057579858307
C1_N6_n200,"Sparse, larger sample",CURVE_CURVE_C1_N6_n200_di0_scale1,1.0,200,200,20000,20000,0.1334,1.0,0.12875816348177965,0.13818263735455621,0.08339999999999999,0.1328,1.0,0.12816725681782945,0.13757377446177374,0.0828,0.038201910095504776,0.99995,0.03563275754673052,0.040948435279011486,0.011798089904495226,0.46115,1.0,0.4542495502549203,0.468065370946639,0.41115,0.12705,1.0,0.1225060460535769,0.1317371936406715,0.07705,0.0566,1.0,0.05348182362994387,0.05988847394460971,0.006599999999999995,0.0312,1.0,0.028879073549751128,0.033700979456452576,0.018800000000000004,0.04245,1.0,0.039742584076003895,0.04533314811893745,0.007550000000000001,0.04815,1.0,0.04526880170100473,0.051204741282897016,0.0018500000000000044,-0.3764033582531833,1.1599958476951162,-0.6792303930116165,-0.17364850043917057,-0.41311091383483256,-2.2705303324867065,-0.3309305886919144,-1.621932947497927,-3.0590038532723702,0.8609241158077388,-2.6499534419516215,1.8971467254452543,-3.023086443314528,1.5240137240823484,-2.9310738705324835,1.4320011513003044,-2.9729290789525527,1.3164939796057311
C1_N6_n200,"Sparse, larger sample",CURVE_CURVE_C1_N6_n200_di0_scale2,2.0,400,400,20000,20000,0.107,1.0,0.10279120442859233,0.11135973591150591,0.056999999999999995,0.10675,1.0,0.10254565917379858,0.11110537718432768,0.056749999999999995,0.03615,1.0,0.033650817647403505,0.038827334201844754,0.013850000000000001,0.259,1.0,0.2529752420836675,0.26511731929537496,0.20900000000000002,0.12025,1.0,0.11581506583094656,0.12483078555366489,0.07024999999999999,0.06085,1.0,0.05762050557437147,0.06424815969370523,0.010849999999999999,0.0542,1.0,0.051146891709854564,0.05742432763776832,0.004199999999999995,0.06945,1.0,0.06600883489075762,0.07305652735715407,0.019449999999999995,0.0489,1.0,0.045996833337636024,0.05197642159218157,0.0011000000000000038,-0.35294302942811256,1.241772074231253,-1.0414806428487318,1.0421709016289258,-0.27399920101243735,-1.46131352279055,-0.23400326336610885,-1.1468797858056687,-2.7371025285150483,1.1828254405650607,-2.7867715719289676,2.080885513072742,-3.3992392965710874,1.4684177884306227,-3.2914276936552733,1.360606185514808,-3.673412469606688,1.4144350672742478
C1_N7_n1000,Ultra-rare categories,CURVE_CURVE_C1_N7_n1000_di0_scale0p5,0.5,500,500,20000,20000,0.0,0.94245,0.0,0.00020376020395041403,0.05,0.0,0.94245,0.0,0.00020376020395041403,0.05,0.0,0.52885,0.0,0.00036305796997758644,0.05,0.7434346649689638,0.94245,0.7371506747447023,0.7496194505992599,0.6934346649689638,5.305321237200913e-05,0.94245,9.365256090637848e-06,0.00030047975233704816,0.049946946787628,0.0026526606186004563,0.94245,0.0020128237157096356,0.0034951767121043776,0.047347339381399546,0.0013793835216722372,0.94245,0.0009415401276519212,0.0020204249927075636,0.048620616478327765,0.003925937715528675,0.94245,0.0031286713234772888,0.004925364411791251,0.04607406228447133,0.04605018833890392,0.94245,0.04314941721280678,0.0491359532774157,0.003949811661096085,0.18192627369695413,0.8499648701347041,-0.26404153228509486,-1.4148517339934947,-0.19844315291128073,-1.0242444743427093,0.031261632682310705,0.12355741110236895,-1.870188469251251,2.0497394998288576,-1.4839742598913306,1.8478268072852386,-1.5902571454174703,1.741543921759099,-1.4989631736004019,1.650249949942031,-1.2284482119410687,1.3744878408599566
C1_N7_n1000,Ultra-rare categories,CURVE_CURVE_C1_N7_n1000_di0_scale1,1.0,1000,1000,20000,20000,0.002504131817498873,0.99835,0.0019000914755716463,0.003299562181226554,0.04749586818250113,0.002504131817498873,0.99835,0.0019000914755716463,0.003299562181226554,0.04749586818250113,0.0,0.85655,0.0,0.00022418992495063997,0.05,0.5986878349276306,0.99835,0.5918706669509397,0.6054670370274444,0.5486878349276305,0.001853057544949166,0.99835,0.0013447562056709355,0.0025529993786994575,0.048146942455050835,0.011318675815094907,0.99835,0.00994251254551816,0.012882838091841124,0.038681324184905094,0.01186958481494466,0.99835,0.010458529634469707,0.013468427064174646,0.03813041518505535,0.020383632994440827,0.99835,0.01851388718677872,0.022437890458998497,0.029616367005559176,0.050282966895377375,0.99835,0.04733743590192604,0.05340150706995896,0.000282966895377372,0.16810488837658338,0.8668179212106499,-0.04892430756902081,-1.1454924924235685,-0.04868461384359024,-0.2922327703801903,0.022105312460624894,0.08736828325633908,-1.8964831088948249,2.0234448601852835,-1.530827018350169,1.8670367951033355,-1.5509106702578728,1.8469531431956319,-1.4823753351537359,1.778417808091495,-1.277461785187875,1.6559785757925187
